Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","725","Estimated","Estimated using previous year's AADF on this link","Scotland","Midlothian","A68","TU","333200","667250","B6373","A6094","0.19000000000000000","1.16","5.38","738.98","18.98","67.5","16.4","1.77","1.5","4.56","1.97","3.47","29.67","860.5"
"2000","1063","Counted","Manual count","Scotland","Midlothian","A701","PR","327000","666040","A768","A720","1.17999999999999990","54.3","96.96","7663.93","124.97","808.84","240.45","53","16.37","39.64","39.64","24.99","414.12","9108.81"
"2000","1101","Estimated","Estimated using previous year's AADF on this link","Scotland","Midlothian","A766","PR","321000","659680","A702","Rullion Rd, Penicuik","3.10999999999999990","9.07","11.34","1149.88","18.14","158.76","46.49","26.08","5.67","14.74","19.28","19.28","131.54","1469.67"
"2000","1200","Estimated","Estimated using previous year's AADF on this link","Scotland","Midlothian","A6094","PR","323860","656000","A701A703","B7026","1.93000000000000010","15.47","21.09","3357.21","18.98","248.89","33.75","30.94","21.09","16.17","12.66","11.25","125.85","3772.03"
"2000","1202","Estimated","Estimated using previous year's AADF on this link","Scotland","Midlothian","A6106","PR","330800","670700","B6415","LA Boundary","1.68000000000000010","15.92","23.27","3194.69","22.66","546.84","176.36","20.82","15.31","1.84","10.41","10.41","235.15","4022.6"
"2000","10727","Estimated","Estimated using previous year's AADF on this link","Scotland","Midlothian","A68","TR","335600","666900","B6482 Easthouses Road","A6124","2.04999999999999980","3.74","32.18","6438.09","47.15","815.8","217.05","35.93","18.71","53.89","134.72","87.57","547.86","7881.09"
"2000","10728","Counted","Manual count","Scotland","Midlothian","A68","TR","343000","660930","B6457","B6458","1.30000000000000010","1.91","24.77","3328.25","37.63","393.88","114.31","31.43","17.62","27.15","60.96","59.54","311.01","4095.54"
"2000","20714","Estimated","Estimated using previous year's AADF on this link","Scotland","Midlothian","A7","PR","338000","658200","LA Boundary","B7007","1.30000000000000010","2.38","12.86","1920.36","19.05","288.63","70.01","12.86","11.91","14.76","16.67","47.15","173.37","2414.27"
"2000","20732","Estimated","Estimated using previous year's AADF on this link","Scotland","Midlothian","A68","TU","333000","667500","A6094","B6373 Old Edinburgh Rd","0.19000000000000000","1.36","7.48","722.65","37.35","97.57","14.83","2.45","1.02","3.27","7.28","6.8","35.65","900.72"
"2000","30714","Estimated","Estimated using previous year's AADF on this link","Scotland","Midlothian","A7","PR","333500","662000","B6372","B704","1.74000000000000000","1.91","30.48","2813.23","47.63","433.1","167.02","71.12","154.95","28.58","33.66","36.83","492.16","3816.6"
"2000","30733","Counted","Manual count","Scotland","Midlothian","A68","TU","334000","666900","B6482 Easthouses Road","B6373","0.93000000000000000","6.12","61.24","4626.05","170.1","411.64","143.9","15.31","10.89","20.07","48.65","26.54","265.36","5534.39"
"2000","30734","Estimated","Estimated using previous year's AADF on this link","Scotland","Midlothian","A68","TR","340000","663640","B6458","B6367","2.35999999999999990","1.72","46.54","5551.12","50.85","824.78","216.32","77.57","25.86","75.84","141.34","93.94","630.87","7104.16"
"2000","30826","Estimated","Estimated using previous year's AADF on this link","Scotland","Midlothian","A7","PR","330400","669450","A720","LA Boundary","1.37000000000000010","16.96","67.86","5296.47","151.68","666.61","96.3","11.48","8.48","8.48","4.99","1.5","131.23","6313.85"
"2000","30876","Estimated","Estimated using previous year's AADF on this link","Scotland","Midlothian","A701","PR","326500","665000","A703","A768","0.93000000000000000","11.23","29.26","5059.13","217.05","715.78","128.94","44.91","35.04","18.03","34.02","20.75","281.69","6302.9"
"2000","31014","Estimated","Estimated using previous year's AADF on this link","Scotland","Midlothian","A6093","PR","339600","667200","A68","LA Boundary","1.55000000000000000","0.57","18.14","879.99","9.07","189.38","52.73","22.68","13.61","6.8","10.77","1.7","108.3","1204.88"
"2000","31015","Counted","Manual count","Scotland","Midlothian","A6094","PU","332880","667000","A768","B6373 Buccleuch Street","0.50000000000000000","15.6","7.98","1989.13","87.09","218.64","45.54","7.08","8.35","1.45","4.9","1.09","68.4","2371.24"
"2000","40730","Estimated","Estimated using previous year's AADF on this link","Scotland","Midlothian","A68","TR","338000","666300","A6093","A6124","0.62000000000000000","0.91","17.24","2095.64","12.7","328.63","72.58","13.83","10.21","23.36","55.57","36.74","212.29","2666.49"
"2000","40791","Estimated","Estimated using previous year's AADF on this link","Scotland","Midlothian","A702","TR","320000","659940","A766","A703","7.08000000000000010","0","38.78","20808.3","121.52","1709.03","369.73","90.49","67.22","126.69","219.77","165.47","1039.38","23717"
"2000","40876","Counted","Manual count","Scotland","Midlothian","A701","PR","323450","656800","A703/A6094","B6372 Pomathorn Rd","2.66999999999999990","16.58","37.06","5470.13","34.13","512.98","160.91","37.06","41.94","29.26","9.75","14.63","293.55","6347.85"
"2000","50726","Estimated","Estimated using previous year's AADF on this link","Scotland","Midlothian","A68","TR","332000","667800","Melville Gate Rd","A7/A720","0.25000000000000000","1.27","14.15","1737.75","42.46","198.77","47.08","2.9","3.45","7.44","4.45","9.43","74.75","2067.88"
"2000","50794","Estimated","Estimated using previous year's AADF on this link","Scotland","Midlothian","A702","TR","317700","657450","LA Boundary","A766","1.93000000000000010","3.52","29.53","3355.1","33.04","395.83","114.6","35.86","23.2","39.37","94.21","47.11","354.35","4167.87"
"2000","50831","Estimated","Estimated using previous year's AADF on this link","Scotland","Midlothian","A6106","PR","332030","669000","A720","B6415","0.81000000000000000","9.73","18.87","1685.31","1.47","374.45","72.53","7.96","4.42","3.24","6.19","8.26","102.6","2182.71"
"2000","50834","Estimated","Estimated using previous year's AADF on this link","Scotland","Midlothian","A6094","PR","330100","664300","B7026","Cockpen Place, Bonnyrigg","5.46999999999999980","9.98","47.9","9037.18","59.88","1315.26","299.38","93.8","79.83","9.98","7.98","9.98","500.96","10961.2"
"2000","50963","Estimated","Estimated using previous year's AADF on this link","Scotland","Midlothian","A703","PR","325460","665300","A701","A702","1.85999999999999990","29.26","41.5","4737.64","28.58","523.91","106.14","40.82","27.22","18.37","20.41","23.13","236.1","5567.73"
"2000","74343","Estimated","Estimated using previous year's AADF on this link","Scotland","Midlothian","A701","PR","323465","655425","LA boundary","A6094 / A703","0.06000000000000000","0.23","0.43","43.48","0.43","6.1","1.29","0.57","0.23","0.36","1.11","0.45","4.01","54.45"
"2000","74344","Estimated","Estimated using previous year's AADF on this link","Scotland","Midlothian","A703","PR","323525","655350","A701","LA boundary","0.12000000000000000","0.41","2.77","241.68","3.27","25.4","5.17","1.81","1.91","1.13","0.36","0.91","11.29","284.41"
