Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","781","Estimated","Estimated using previous year's AADF on this link","Scotland","Moray","A96","TR","342440","851000","A95","A95","0.99000000000000000","5.81","11.98","2794.18","24.68","519.65","66.41","29.03","13.06","20.32","97.98","0","226.8","3577.28"
"2000","782","Estimated","Estimated using previous year's AADF on this link","Scotland","Moray","A96","TR","323900","862300","Reiket Lane, Elgin","B9103","1.49000000000000000","16.33","69.67","7425.63","88.72","1319.43","148.06","70.22","58.79","78.38","200.31","0","555.75","9459.21"
"2000","787","Estimated","Estimated using previous year's AADF on this link","Scotland","Moray","A98","PR","337400","860000","A96","A990","3.91000000000000010","2.86","50.01","5846.83","164.32","1004.48","110.02","48.58","34.29","4.29","61.44","261.48","520.1","7585.73"
"2000","1055","Estimated","Estimated using previous year's AADF on this link","Scotland","Moray","A95","TR","324000","840300","B9008","A941","9.38000000000000080","6.85","44.52","6589.1","41.1","972.61","184.93","37.67","37.67","75.34","472.61","0","808.23","8455.55"
"2000","1174","Estimated","Estimated using previous year's AADF on this link","Scotland","Moray","A939","PR","320600","815700","B9008","LA boundary","7.01999999999999960","30.75","28.19","1629.97","38.44","133.27","12.81","5.13","0","0","0","0","17.94","1847.81"
"2000","1176","Counted","Manual count","Scotland","Moray","A941","PR","322800","866900","Covesea Rd, Elgin","B9135 Queen Street","4.84999999999999960","123.83","240.59","13957.8","19.46","564.32","214.05","21.23","1.77","21.23","0","14.15","272.43","15054.6"
"2000","10788","Estimated","Estimated using previous year's AADF on this link","Scotland","Moray","A98","PR","350000","867300","A942","B9018","1.93000000000000010","8.44","63.28","3043.64","40.78","665.82","78.04","25.31","5.62","23.2","114.6","67.5","314.28","4127.79"
"2000","10868","Estimated","Estimated using previous year's AADF on this link","Scotland","Moray","A97","PR","360500","849400","LA Boundary","LA boundary","0.43000000000000000","0.79","0","186.38","4.45","32.86","10.8","3.33","0.32","0.95","1.91","0.95","18.26","241.95"
"2000","10987","Estimated","Estimated using previous year's AADF on this link","Scotland","Moray","A941","PR","333000","839860","A920","B9009 Conval Street","0.93000000000000000","3.06","4.08","541.26","2.38","100.02","7.82","1.02","6.12","1.7","5.78","1.7","24.15","671.9"
"2000","10988","Estimated","Estimated using previous year's AADF on this link","Scotland","Moray","A942","PR","343060","864500","A98","A990","1.12000000000000010","1.63","35.93","1701.55","2.86","353.94","32.25","9.39","2.86","9.39","17.55","2.04","73.48","2167.76"
"2000","20787","Estimated","Estimated using previous year's AADF on this link","Scotland","Moray","A96","TR","332600","860000","B9103","B9104","5.83999999999999990","25.58","238.78","20786.3","309.13","3153.12","652.37","221.72","76.75","121.52","407.2","243.04","1722.59","26209.9"
"2000","20792","Estimated","Estimated using previous year's AADF on this link","Scotland","Moray","A98","PR","340000","862600","A990","A942","2.54999999999999990","17.67","96.71","5646.24","1.86","488.19","159.01","26.97","0.93","44.63","27.9","72.53","331.97","6564.97"
"2000","20866","Estimated","Estimated using previous year's AADF on this link","Scotland","Moray","A95","TR","340000","850100","B9103","A96","4.46999999999999980","8.16","13.06","1931.8","11.43","661.35","52.25","14.7","3.27","45.72","81.65","1.63","199.22","2816.86"
"2000","20984","Estimated","Estimated using previous year's AADF on this link","Scotland","Moray","A940","PR","300900","850000","LA Boundary","B9007","8.19999999999999930","20.96","44.91","3128.49","2.99","215.55","50.89","8.98","2.99","11.98","26.94","77.84","179.63","3571.56"
"2000","20985","Estimated","Estimated using previous year's AADF on this link","Scotland","Moray","A941","PR","327700","848000","A95","B9015 North Street","3.04000000000000000","4.45","44.45","4986.5","31.12","372.29","27.78","34.45","10","111.13","137.8","56.68","377.85","5812.22"
"2000","21005","Estimated","Estimated using previous year's AADF on this link","Scotland","Moray","A990","PR","340000","864370","Lennox Place, Portgordon","A942","2.49000000000000020","24.49","22.68","1387.11","47.17","310.26","19.05","13.61","3.63","4.54","1.81","39.92","82.56","1849.78"
"2000","30786","Counted","Manual count","Scotland","Moray","A96","TR","338400","854900","A98","A95","6.58999999999999990","0","62.51","9457.67","153.86","1574.68","370.23","100.97","57.7","74.53","271.66","146.65","1021.74","12270.5"
"2000","30788","Estimated","Estimated using previous year's AADF on this link","Scotland","Moray","A96","TR","300200","857800","LA Boundary","A940","5.09999999999999960","20.46","137.62","14348.1","119.02","2438.15","524.45","87.41","70.67","96.71","295.7","243.63","1318.57","18361.5"
"2000","30867","Estimated","Estimated using previous year's AADF on this link","Scotland","Moray","A95","TR","318000","836000","LA Boundary","B9008","2.10999999999999990","3.08","3.86","1217.6","9.25","288.4","37.78","6.94","5.4","18.51","56.29","40.87","165.79","1684.9"
"2000","30989","Estimated","Estimated using previous year's AADF on this link","Scotland","Moray","A941","PR","334200","836700","B9002","A920","11.61999999999999900","0","0","1174.8","25.45","250.23","25.45","21.21","4.24","8.48","33.93","12.72","106.03","1556.51"
"2000","30990","Counted","Manual count","Scotland","Moray","A942","PR","347500","868200","A990","A98","6.21000000000000000","0","15.88","2757.89","0","185.98","136.08","2.27","0","2.27","0","0","140.62","3100.36"
"2000","40867","Estimated","Estimated using previous year's AADF on this link","Scotland","Moray","A95","PR","353500","853600","A96","LA Boundary","9.13000000000000080","0","16.67","2380.45","53.34","743.47","36.67","30.01","40.01","23.34","46.68","43.34","220.04","3413.98"
"2000","40988","Estimated","Estimated using previous year's AADF on this link","Scotland","Moray","A940","PR","302060","854900","B9007","A96","6.03000000000000020","6.6","44","2947.95","22","613.79","46.2","33","11","26.4","50.6","28.6","195.8","3823.54"
"2000","40989","Estimated","Estimated using previous year's AADF on this link","Scotland","Moray","A941","PR","331650","842800","B9009 Conval Street","A95","4.54000000000000000","0","24.83","3427.18","91.06","952","62.91","28.15","18.21","13.25","72.85","54.64","250","4745.07"
"2000","50782","Estimated","Estimated using previous year's AADF on this link","Scotland","Moray","A96","TR","334200","859000","B9104","A98","0.68000000000000000","13.97","24.7","2968.82","34.93","492.97","117.26","44.66","32.68","24.2","62.37","49.15","330.31","3851.73"
"2000","50790","Estimated","Estimated using previous year's AADF on this link","Scotland","Moray","A98","PR","347200","866300","A942","A942","4.23000000000000040","0","27.76","4578.92","53.98","909.92","144.97","63.23","21.59","27.76","58.61","66.32","382.48","5953.06"
"2000","50839","Estimated","Estimated using previous year's AADF on this link","Scotland","Moray","A990","PR","339540","862900","Lennox Place, Portgordon","A98","1.24000000000000000","3.18","2.27","352.9","24.49","82.56","3.63","1.36","2.27","2.27","12.25","3.63","25.4","487.62"
