Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","717","Counted","Manual count","Scotland","North Lanarkshire","A8","TR","278000","661600","B799/B802","M8 start","1.12000000000000010","0","11.84","17697.7","146.97","2035.9","1053.67","122.88","150.23","248.62","542.14","285.77","2403.31","22295.7"
"2000","730","Estimated","Estimated using previous year's AADF on this link","Scotland","North Lanarkshire","A73","PR","282700","654500","A721","A71","1.12000000000000010","2.45","8.98","3621.5","32.66","598.89","126.55","39.19","44.09","20","28.17","25.72","283.73","4545.76"
"2000","810","Counted","Manual count","Scotland","North Lanarkshire","A80","TR","270700","671130","A752","M73","2.16999999999999990","0","100.81","35624.2","251.64","4984.28","2159.14","225.44","255.6","493.74","1832.09","1039.88","6005.9","46966.9"
"2000","1004","Estimated","Estimated using previous year's AADF on this link","Scotland","North Lanarkshire","M73","TM","268800","662700","M74","LA Boundary","0.81000000000000000","0","72.24","16420.3","203.15","2815.14","484.42","309.58","278.92","446.98","586.44","803.15","2909.49","22420.3"
"2000","1019","Estimated","Estimated using previous year's AADF on this link","Scotland","North Lanarkshire","A71","PR","281800","655000","A721","A73","1.30000000000000010","2.38","9.05","2249","19.05","419.13","129.55","24.29","32.86","16.19","23.34","33.82","260.05","2956.28"
"2000","1025","Estimated","Estimated using previous year's AADF on this link","Scotland","North Lanarkshire","A73","PR","279300","661700","A775","M8","0.25000000000000000","0","4.81","1578.44","20.14","320.15","78.2","25.13","33.93","12.52","22.86","13.97","186.61","2110.15"
"2000","1037","Counted","Manual count","Scotland","North Lanarkshire","A89","PU","274820","665000","A725","A8010","1.12000000000000010","8.57","20.41","7281.38","220.45","878.94","277.6","15.1","10.21","12.66","22.86","9.39","347.82","8749.01"
"2000","1086","Counted","Manual count","Scotland","North Lanarkshire","A725","PU","273400","663000","A8","A89","1.37000000000000010","3.49","20.46","10943.7","198.09","1589.19","503.95","33.43","49.4","39.92","107.28","46.4","780.38","13531.8"
"2000","1098","Counted","Manual count","Scotland","North Lanarkshire","A752","PR","269800","668900","LA Boundary","A80","3.60000000000000010","22.36","47.36","9475.13","172.32","1272.03","388.06","42.09","52.62","13.15","26.31","23.68","545.91","11512.8"
"2000","10719","Estimated","Estimated using previous year's AADF on this link","Scotland","North Lanarkshire","A8","TU","272000","663060","A752","A725","1.80000000000000000","0.66","44.73","28718.8","222.97","5415.68","1235.2","196","188.11","362.4","607.73","365.04","2954.48","37356.6"
"2000","10758","Estimated","Estimated using previous year's AADF on this link","Scotland","North Lanarkshire","A80","TR","275000","674760","A73","A8011","2.35999999999999990","0","136.17","34230.6","131","5807.95","1601.3","238.73","222.36","897.18","1920.18","1433.24","6312.99","46618.8"
"2000","10849","Estimated","Estimated using previous year's AADF on this link","Scotland","North Lanarkshire","A89","PU","269700","664540","M8","A752","0.37000000000000000","2.31","4.35","1740.6","23.68","268.89","42.18","5.99","10.21","15.92","25.72","20.68","120.7","2158.23"
"2000","10891","Estimated","Estimated using previous year's AADF on this link","Scotland","North Lanarkshire","A721","PU","269000","661620","B7001 Old Edinburgh Rd","A752","0.62000000000000000","6.12","12.47","2872.2","32.66","383.07","68.72","7.71","2.72","9.98","10.21","4.54","103.87","3404.28"
"2000","10892","Estimated","Estimated using previous year's AADF on this link","Scotland","North Lanarkshire","A721","PU","275200","656870","A723","A721 Menteith Rd","0.31000000000000000","0.79","1.81","1363.86","110.91","128.48","26.2","2.15","3.29","3.4","3.52","1.36","39.92","1644.98"
"2000","10898","Counted","Manual count","Scotland","North Lanarkshire","A725","TU","272200","659200","M74","A721","1.49000000000000000","1.09","56.07","18708.3","107.23","2369.43","815.39","62.05","75.66","183.98","379.94","152.95","1669.98","22911"
"2000","11018","Estimated","Estimated using previous year's AADF on this link","Scotland","North Lanarkshire","A8011","PU","276900","676000","B8054 Lye Brae","A80","1.12000000000000010","4.49","18.78","7924.77","130.23","856.49","98.39","12.66","9.8","24.9","40.01","22.86","208.61","9138.88"
"2000","20700","Counted","Manual count","Scotland","North Lanarkshire","M8","TM","279500","662100","6","5","5.21999999999999980","0","121.93","79836.1","908.74","13385.4","5221.94","392.46","331.49","1440.27","3583.54","1396.46","12366.2","106618"
"2000","20704","Estimated","Estimated using previous year's AADF on this link","Scotland","North Lanarkshire","M73","TM","270010","666540","LA boundary","LA Boundary","0.62000000000000000","0","17.01","5613.09","39.24","1109.51","268.76","61.01","75.07","111.13","345.87","234.06","1095.9","7874.74"
