Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","1182","Estimated","Estimated using previous year's AADF on this link","Scotland","Orkney Islands","A961","PR","345050","1008000","B9052","A963","6.40000000000000040","7.01","35.04","4237.59","58.4","1023.19","67.75","247.62","4.67","0","7.01","0","327.05","5681.26"
"2000","1184","Estimated","Estimated using previous year's AADF on this link","Scotland","Orkney Islands","A965","PR","327000","1011870","A967","A964","1.99000000000000000","0.73","7.98","615.45","19.6","109.59","18.87","13.79","0","10.16","2.18","3.63","48.63","801.24"
"2000","1185","Estimated","Estimated using previous year's AADF on this link","Scotland","Orkney Islands","A967","PR","325990","1011000","A965","B9056","3.16999999999999990","12.72","6.94","560.99","4.63","143.43","13.88","3.47","0","2.31","0","1.16","20.82","736.81"
"2000","10994","Estimated","Estimated using previous year's AADF on this link","Scotland","Orkney Islands","A960","PR","355000","1003450","B9052","B9050","3.04000000000000000","2.22","5.56","428.97","6.67","52.23","20","7.78","0","10","2.22","0","40.01","533.43"
"2000","10995","Estimated","Estimated using previous year's AADF on this link","Scotland","Orkney Islands","A961","PR","344300","990060","end of road, Burwick","B9044","8.25999999999999980","0","15.08","977.33","24.13","247.35","72.39","6.03","0","30.16","0","0","108.59","1372.48"
"2000","10996","Estimated","Estimated using previous year's AADF on this link","Scotland","Orkney Islands","A964","PR","344200","1010000","B9053","A963","0.93000000000000000","4.76","6.12","512.68","6.8","140.84","11.91","1.36","0","6.46","0","0","19.73","686.18"
"2000","10997","Estimated","Estimated using previous year's AADF on this link","Scotland","Orkney Islands","A965","PR","331800","1012480","B9055","A986","2.04999999999999980","1.5","3.74","1337.47","23.95","288.9","23.2","23.2","8.98","2.25","5.99","5.99","69.61","1723.66"
"2000","10998","Estimated","Estimated using previous year's AADF on this link","Scotland","Orkney Islands","A967","PR","326540","1018000","B9055","B9057","1.42999999999999990","0","2.61","160.67","4.69","40.17","22.43","0.52","0","0","0","0","22.95","231.09"
"2000","11008","Estimated","Estimated using previous year's AADF on this link","Scotland","Orkney Islands","A986","PR","330800","1019000","A965","B9057","5.58999999999999990","18.37","12.25","1779.93","91.85","483.77","81.65","38.78","4.08","2.04","0","0","126.55","2494.35"
"2000","20992","Counted","Manual count","Scotland","Orkney Islands","A960","PR","345180","1010510","A962","A961","0.62000000000000000","14.74","4.08","692.42","11.79","129.05","7.48","0.91","0.23","0.23","0","0.23","9.07","846.42"
"2000","20993","Estimated","Estimated using previous year's AADF on this link","Scotland","Orkney Islands","A963","PR","344720","1010670","A964","A963 Pickaquoy Rd","0.12000000000000000","9.93","4.35","373.63","4.54","92.85","12.29","3.18","0.18","0.18","0.23","0.18","16.24","491.61"
