Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","706","Counted","Manual count","Scotland","Perth and Kinross","M90","TM","312200","705300","7","8","1.99000000000000000","0","71.85","16578.6","184.34","2086.56","928.25","156.04","76.2","214.83","597.3","290.3","2262.92","21184.3"
"2000","722","Counted","Manual count","Scotland","Perth and Kinross","A9","TR","296500","755430","A827","A924","2.98000000000000000","0","4.35","9359.06","40.28","932.97","520.37","54.43","74.03","180.71","311.35","180.71","1321.61","11658.3"
"2000","724","Estimated","Estimated using previous year's AADF on this link","Scotland","Perth and Kinross","A9","TR","281300","705300","LA Boundary","A822","1.37000000000000010","0","12.97","9405.92","44.41","1398.09","476.01","59.88","32.43","205.07","416.63","262.95","1452.97","12314.4"
"2000","1034","Estimated","Estimated using previous year's AADF on this link","Scotland","Perth and Kinross","A85","PR","280800","722700","B827 Bridge Street","A822","6.58999999999999990","24.04","45.68","6642.49","100.97","1086.65","326.96","88.95","12.02","16.83","24.04","26.44","495.24","8371.02"
"2000","1051","Estimated","Estimated using previous year's AADF on this link","Scotland","Perth and Kinross","A93","PR","317670","745020","A923","A923","0.25000000000000000","6.35","5.99","705.98","4.72","71.49","22.59","2.63","0.36","3.9","8.8","6.08","44.36","832.54"
"2000","1054","Counted","Manual count","Scotland","Perth and Kinross","A93","PU","312300","723400","A989","A85","0.12000000000000000","1.81","4.08","486.62","8.8","27.58","25.54","7.08","1.68","1.18","2.36","3.49","41.32","568.41"
"2000","1116","Estimated","Estimated using previous year's AADF on this link","Scotland","Perth and Kinross","A822","PR","296700","739700","A826","A9/A923","7.58000000000000010","16.6","74.71","1809.6","22.14","268.4","33.2","2.77","0","0","5.53","0","41.5","2216.34"
"2000","1117","Estimated","Estimated using previous year's AADF on this link","Scotland","Perth and Kinross","A823","PR","301700","699450","LA Boundary","A977","0.50000000000000000","1.45","6.35","211.92","3.99","22.68","5.08","0.73","0.18","0.18","0.54","0","6.71","251.66"
"2000","1118","Estimated","Estimated using previous year's AADF on this link","Scotland","Perth and Kinross","A826","PR","290600","742600","A822","A827","9.50999999999999980","0","65.93","2606.01","27.76","343.53","65.93","10.41","0","6.94","6.94","17.35","107.57","3150.8"
"2000","1167","Counted","Manual count","Scotland","Perth and Kinross","A923","PR","302700","742300","A9","A984","0.37000000000000000","8.03","1.91","470.43","11.84","44.63","13.06","3.27","0.41","1.09","2.04","2.04","21.91","550.72"
"2000","10706","Counted","Manual count","Scotland","Perth and Kinross","M90","TM","312400","699100","5","6","3.16999999999999990","0","19.66","24504.3","160.78","2003.37","1023.66","94.85","156.15","259.1","530.92","315.77","2380.45","29068.6"
"2000","10723","Estimated","Estimated using previous year's AADF on this link","Scotland","Perth and Kinross","A9","TR","306600","738950","A912","A822","11.68000000000000000","0","238.78","42126.8","656.63","5039.87","1313.27","289.94","55.43","481.81","1189.61","933.78","4263.85","52325.9"
"2000","10768","Counted","Manual count","Scotland","Perth and Kinross","A90","TR","325000","726650","C-road St Madoes","B953","7.51999999999999960","0","249.73","65056","557.09","8128.58","3688.32","343.04","142.7","1405.07","3279.42","1668.53","10527.1","84518.5"
"2000","10804","Estimated","Estimated using previous year's AADF on this link","Scotland","Perth and Kinross","A823","PR","301920","698470","A977","A977","0.81000000000000000","2.36","24.77","1184.08","5.31","186.34","49.24","13.86","8.85","19.46","76.07","53.07","220.54","1621.03"
"2000","10815","Counted","Manual count","Scotland","Perth and Kinross","M90","TM","309000","722380","10","A9","2.85999999999999990","0","21.91","22508.8","189.88","2295.22","1081.88","97.03","196.14","257.69","559.2","297.34","2489.27","27505.1"
"2000","10846","Counted","Manual count","Scotland","Perth and Kinross","A85","PR","304800","725200","A822","A9 slip roads","13.05000000000000100","0","9.53","16598.4","133.36","1662.22","738.24","123.83","71.44","147.65","42.87","14.29","1138.31","19541.8"
"2000","10851","Estimated","Estimated using previous year's AADF on this link","Scotland","Perth and Kinross","A91","PR","311600","704640","M90","A911/A922","0.56000000000000000","5.51","6.94","626.45","7.14","103.28","23.27","3.88","0.82","0.41","2.45","7.35","38.17","781.99"
"2000","10861","Estimated","Estimated using previous year's AADF on this link","Scotland","Perth and Kinross","A93","PR","312850","774300","B951","LA Boundary","10.56000000000000000","3.86","7.71","2768.33","30.84","173.5","30.84","7.71","3.86","0","26.99","80.97","150.37","3130.75"
"2000","10862","Estimated","Estimated using previous year's AADF on this link","Scotland","Perth and Kinross","A93","PR","313260","730700","A94","A984","11.43000000000000000","25.04","166.93","12690.5","91.81","1406.34","304.64","66.77","16.69","20.87","70.94","116.85","596.76","14952.3"
"2000","10864","Estimated","Estimated using previous year's AADF on this link","Scotland","Perth and Kinross","A94","PR","324900","742420","A923","B854","4.78000000000000020","3.49","40.17","6159.42","22.7","1005.91","279.42","96.05","19.21","120.5","186.86","129.23","831.27","8059.47"
"2000","10927","Estimated","Estimated using previous year's AADF on this link","Scotland","Perth and Kinross","A822","PR","283700","709300","A9","A823","6.15000000000000040","0","24.7","6590.03","22.45","936.3","229.02","35.93","4.49","31.43","22.45","13.47","336.8","7910.28"
"2000","10930","Estimated","Estimated using previous year's AADF on this link","Scotland","Perth and Kinross","A827","PR","282200","748300","C-road junction just south of Kenmore","A826","5.90000000000000040","0","4.31","2617.84","34.47","437.38","75.41","10.77","0","0","4.31","23.7","114.19","3208.21"
"2000","10971","Estimated","Estimated using previous year's AADF on this link","Scotland","Perth and Kinross","A911","PR","317800","702500","B919","B920 The Causeway","2.04999999999999980","9.73","29.94","2068.69","18.71","279.92","49.4","6.74","1.5","7.48","6.74","0.75","72.6","2469.86"
