Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","708","Estimated","Estimated using previous year's AADF on this link","Scotland","Scottish Borders","A1","TR","380700","665530","A6112","A1107","3.41999999999999990","0","34.93","4117.68","57.38","820.79","326.82","54.89","41.16","129.73","485.24","462.79","1500.63","6531.4"
"2000","714","Estimated","Estimated using previous year's AADF on this link","Scotland","Scottish Borders","A7","PU","350000","635170","A6091","A7 split","1.06000000000000010","8.48","60.15","6056","82.9","713.29","132.25","10.8","3.08","18.12","15.04","12.72","192.01","7104.34"
"2000","728","Estimated","Estimated using previous year's AADF on this link","Scotland","Scottish Borders","A68","TR","358800","631050","A699","B6398","0.81000000000000000","1.77","13.27","2684.52","40.39","470.57","87.86","29.19","7.37","21.82","28.01","36.27","210.52","3419.27"
"2000","729","Estimated","Estimated using previous year's AADF on this link","Scotland","Scottish Borders","A68","TR","365100","619200","B6357","B6358 Canongate","1.42999999999999990","0.52","10.43","1929.03","30.26","246.74","81.9","16.69","5.74","17.21","38.08","29.21","188.83","2405.29"
"2000","1024","Estimated","Estimated using previous year's AADF on this link","Scotland","Scottish Borders","A72","PR","322200","639500","A701","A703","10.00000000000000000","32.86","32.86","7127.7","87.64","1949.89","390.71","54.77","18.26","25.56","65.73","73.03","628.06","9826.15"
"2000","1062","Estimated","Estimated using previous year's AADF on this link","Scotland","Scottish Borders","A698","PR","360800","621600","B6405","A68","5.83999999999999990","0","40.51","3956.85","61.83","916.73","257.96","55.43","10.66","25.58","63.96","49.03","462.63","5438.54"
"2000","1064","Estimated","Estimated using previous year's AADF on this link","Scotland","Scottish Borders","A701","PR","309500","624360","LA Boundary","B712","14.35000000000000000","0","36.67","7020.38","31.43","943.04","209.56","36.67","57.63","57.63","141.46","188.61","691.56","8723.09"
"2000","1066","Estimated","Estimated using previous year's AADF on this link","Scotland","Scottish Borders","A703","PR","324300","647300","A72","LA boundary","10.63000000000000100","34.9","236.58","20663.5","279.24","2171.84","442.12","155.13","162.89","96.96","31.03","77.57","965.69","24316.9"
"2000","1069","Estimated","Estimated using previous year's AADF on this link","Scotland","Scottish Borders","A707","PR","345400","633400","A708","A72","6.40000000000000040","25.7","49.06","2660.76","16.35","534.95","93.44","14.02","7.01","23.36","7.01","2.34","147.17","3408.29"
"2000","1197","Estimated","Estimated using previous year's AADF on this link","Scotland","Scottish Borders","A1107","PR","392400","664700","B6438","B6355 Victoria Rd","2.91999999999999990","7.46","3.2","1698.08","72.49","309.13","26.65","5.33","0","6.4","1.07","0","39.44","2122.33"
"2000","1198","Estimated","Estimated using previous year's AADF on this link","Scotland","Scottish Borders","A6089","PR","360000","646690","A697","A6105","4.84999999999999960","0","0","1574.45","1.77","320.2","51.3","3.54","1.77","17.69","12.38","5.31","91.99","1988.41"
"2000","1201","Estimated","Estimated using previous year's AADF on this link","Scotland","Scottish Borders","A6105","PR","374200","650200","A697","A6112","7.45999999999999990","2.72","13.61","4800.91","89.81","1113.14","296.66","81.65","13.61","46.27","65.32","78.93","582.42","6599.89"
"2000","1203","Counted","Manual count","Scotland","Scottish Borders","A6112","PR","379760","662000","B6355","A1","5.46999999999999980","0","0","965.99","0","143.7","99.79","27.94","25.95","13.97","37.92","19.96","225.53","1335.22"
"2000","10709","Estimated","Estimated using previous year's AADF on this link","Scotland","Scottish Borders","A1","TR","395000","661160","C-road Burnmouth","A1107","1.12000000000000010","0","4.9","2442.91","37.97","333.94","129.41","21.64","6.12","49.81","142.88","95.12","444.98","3264.7"
"2000","10715","Estimated","Estimated using previous year's AADF on this link","Scotland","Scottish Borders","A7","PR","343600","649370","B6362 Townfoot","B6368","6.21000000000000000","20.41","70.31","8083.17","65.77","1256.47","312.98","11.34","20.41","79.38","47.63","65.77","537.52","10013.2"
