Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","1187","Estimated","Estimated using previous year's AADF on this link","Scotland","Shetland Islands","A970","PR","430000","1178850","Hillswick","A970 (Sandy Lochs)","3.98000000000000000","0","0","412.23","23.22","101.61","23.22","4.35","0","0","2.9","4.35","34.84","571.9"
"2000","1188","Counted","Manual count","Scotland","Shetland Islands","A970","PR","442000","1154770","B9075","B9075","1.30000000000000010","0","12.38","776.34","11.43","167.65","30.48","29.53","2.38","0.95","10.95","4.29","78.59","1046.39"
"2000","1189","Estimated","Estimated using previous year's AADF on this link","Scotland","Shetland Islands","A970","PR","440800","1140000","Hillside Rd, Scalloway","B9074","0.75000000000000000","1.09","4.9","671.96","10.61","193.78","23.13","6.8","5.44","0.27","2.45","5.17","43.27","924.53"
"2000","1190","Estimated","Estimated using previous year's AADF on this link","Scotland","Shetland Islands","A970","PR","443040","1129000","B9122","B9073","13.10999999999999900","33.5","28.71","8551.67","167.49","1717.99","311.06","23.93","28.71","28.71","9.57","0","401.98","10867.9"
"2000","1191","Counted","Manual count","Scotland","Shetland Islands","A971","PR","432000","1152660","B9071","B9071","1.17999999999999990","0","2.15","308.11","12.07","86.62","6.89","4.31","1.29","0.86","1.72","0","15.08","424.03"
"2000","10999","Estimated","Estimated using previous year's AADF on this link","Scotland","Shetland Islands","A968","PR","446240","1180000","ferry, Flukes Hole","B9081","10.13000000000000100","0","0","939","33.27","232.9","48.06","11.09","7.39","3.7","11.09","22.18","103.51","1308.68"
"2000","11000","Estimated","Estimated using previous year's AADF on this link","Scotland","Shetland Islands","A970","PR","440000","1163790","A968","B9076","5.09999999999999960","3.72","7.44","1945.31","35.34","541.19","109.73","24.18","14.88","3.72","11.16","7.44","171.1","2700.38"
"2000","11001","Estimated","Estimated using previous year's AADF on this link","Scotland","Shetland Islands","A970","PR","443150","1144000","C-road south of Tingwall","A971","1.06000000000000010","0","6.17","1067.62","21.98","364.35","26.6","37.01","11.18","3.86","2.31","5.78","86.75","1546.87"
"2000","11002","Counted","Manual count","Scotland","Shetland Islands","A970","PR","445900","1143140","Gremista Brae","Ladies Drive","1.55000000000000000","0","13.61","2540.73","48.76","595.92","107.16","27.22","8.51","8.51","15.88","9.07","176.34","3375.36"
"2000","11003","Estimated","Estimated using previous year's AADF on this link","Scotland","Shetland Islands","A970","PR","439260","1115000","end of A-road status, Sumburgh","B9122","4.78000000000000020","3.49","10.48","1982.12","54.14","436.59","19.21","52.39","12.22","0","3.49","0","87.32","2570.65"
"2000","11004","Counted","Manual count","Scotland","Shetland Islands","A971","PR","425000","1150100","Walls","A971 Gallow Hill","1.68000000000000010","0","3.06","221.67","15.92","60.01","4.9","11.63","0","0","0","1.22","17.76","318.43"
"2000","20997","Estimated","Estimated using previous year's AADF on this link","Scotland","Shetland Islands","A968","PR","440700","1168000","A970","B9076","7.95000000000000010","0","8.71","1657.64","20.32","435.46","49.35","11.61","11.61","2.9","5.81","14.52","95.8","2217.93"
"2000","20999","Estimated","Estimated using previous year's AADF on this link","Scotland","Shetland Islands","A970","PR","442460","1141000","B9073","A970 Bridge of Fitch","1.49000000000000000","2.72","7.08","728.85","16.87","305.36","25.04","28.85","13.06","1.63","1.09","0.54","70.22","1128.38"
"2000","21000","Estimated","Estimated using previous year's AADF on this link","Scotland","Shetland Islands","A970","PR","446740","1141000","A969","A969","0.68000000000000000","8.48","26.44","1084.49","9.73","338.55","10.73","7.98","1.25","0.25","0.25","1","21.46","1480.67"
"2000","21001","Estimated","Estimated using previous year's AADF on this link","Scotland","Shetland Islands","A971","PR","439300","1146640","B9075","A970","6.76999999999999950","7.42","29.67","3334.9","61.8","934.46","86.52","37.08","14.83","4.94","12.36","14.83","170.58","4531.41"
"2000","31001","Estimated","Estimated using previous year's AADF on this link","Scotland","Shetland Islands","A968","PR","450900","1194000","B9081","ferry, Gutcher","8.64000000000000060","6.31","0","955.22","44.14","264.81","31.53","31.53","15.76","0","6.31","9.46","94.58","1358.74"
"2000","31002","Estimated","Estimated using previous year's AADF on this link","Scotland","Shetland Islands","A970","PR","433640","1170000","B9076","A970 split, Sandy Lochs","7.15000000000000040","0","5.22","1356.27","106.94","456.44","18.26","7.82","0","2.61","0","0","28.69","1953.55"
"2000","31003","Estimated","Estimated using previous year's AADF on this link","Scotland","Shetland Islands","A970","PR","442420","1150000","A971","B9075","5.21999999999999980","1.91","60.96","4019.81","72.39","1057.34","104.78","112.4","30.48","9.53","17.15","0","274.34","5484.85"
"2000","31004","Estimated","Estimated using previous year's AADF on this link","Scotland","Shetland Islands","A970","PR","444000","1142630","Ladies Drive","A970 Bridge of Fitch","1.24000000000000000","0.45","7.71","1963.64","39.92","488.98","68.49","29.03","9.07","2.27","8.16","16.78","133.81","2634.06"
"2000","31006","Estimated","Estimated using previous year's AADF on this link","Scotland","Shetland Islands","A971","PR","430000","1152400","A971 Gallow Hill","B9071","4.09999999999999960","2.99","2.99","697.55","10.48","354.76","14.97","7.48","1.5","0","0","0","23.95","1089.73"
"2000","41001","Estimated","Estimated using previous year's AADF on this link","Scotland","Shetland Islands","A968","PR","443460","1175000","B9076","ferry, Booth of Toft","1.99000000000000000","0","4.35","253.29","4.35","137.89","2.9","2.9","2.18","1.45","0","0","9.43","409.33"
"2000","41002","Estimated","Estimated using previous year's AADF on this link","Scotland","Shetland Islands","A970","PR","440850","1163510","B9071","A968","0.56000000000000000","0","7.76","414.16","6.33","143.29","9.19","6.74","0.61","1.43","0","3.06","21.02","592.56"
"2000","41003","Estimated","Estimated using previous year's AADF on this link","Scotland","Shetland Islands","A970","PR","443000","1143000","C-road south of Tingwall","Bridge of Fitch","1.17999999999999990","2.59","6.89","1849.08","24.13","492.97","42.23","32.75","5.17","1.29","4.74","0","86.18","2459.27"
"2000","41004","Estimated","Estimated using previous year's AADF on this link","Scotland","Shetland Islands","A970","PR","446880","1142000","A969","Gremista Brae","0.75000000000000000","3.81","8.16","2302.21","34.84","906.29","188.61","24.22","9.25","0","20.41","13.06","255.56","3507.06"
"2000","50845","Estimated","Estimated using previous year's AADF on this link","Scotland","Shetland Islands","A971","PR","433200","1152250","B9071","B9075","5.16000000000000010","0","3.76","2046.22","16.94","865.92","94.12","39.53","0","1.88","3.76","0","139.3","3072.15"
