Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","752","Estimated","Estimated using previous year's AADF on this link","Scotland","South Ayrshire","A77","TR","208200","575320","LA Boundary","B734","11.00000000000000000","4.01","276.99","6675.9","112.4","1204.31","441.58","232.83","64.23","172.62","220.79","196.7","1328.76","9598.36"
"2000","1017","Estimated","Estimated using previous year's AADF on this link","Scotland","South Ayrshire","A70","PR","239600","620200","A77","LA boundary","4.84999999999999960","12.38","61.92","14223.1","215.82","2007.86","530.71","206.98","72.53","38.92","44.23","681.08","1574.45","18083.2"
"2000","1076","Counted","Manual count","Scotland","South Ayrshire","A714","PR","220260","592100","B734","A77","6.76999999999999950","2.47","9.89","2168.05","54.39","284.29","101.36","39.55","7.42","19.78","22.25","4.94","195.3","2711.92"
"2000","1079","Estimated","Estimated using previous year's AADF on this link","Scotland","South Ayrshire","A719","PR","224000","609480","A77","B7023","6.03000000000000020","13.2","28.6","4956.52","66","391.59","74.8","8.8","6.6","0","2.2","2.2","94.6","5537.31"
"2000","1099","Estimated","Estimated using previous year's AADF on this link","Scotland","South Ayrshire","A759","PU","233600","631120","B749 Ayr Street","B746 Main Street","1.68000000000000010","9.19","12.86","4314.7","46.54","467.23","42.25","12.86","3.67","3.06","3.06","2.45","67.36","4908.69"
"2000","10750","Estimated","Estimated using previous year's AADF on this link","Scotland","South Ayrshire","A77","TR","237140","628000","A719","A78","2.16999999999999990","7.14","51.6","19025.8","74.62","2120.24","612.81","145.27","68.27","141.3","190.51","42.87","1201.02","22473.3"
"2000","10751","Estimated","Estimated using previous year's AADF on this link","Scotland","South Ayrshire","A77","TR","234200","616600","B742","A79","4.71999999999999980","10.34","125.83","15816.5","215.46","2195.97","673.96","180.99","112.04","163.75","267.17","1.72","1399.63","19753.4"
"2000","10752","Estimated","Estimated using previous year's AADF on this link","Scotland","South Ayrshire","A77","TR","213180","590100","B734","A714","10.13000000000000100","0","22.18","6746.75","81.33","1175.6","487.98","77.63","85.03","99.81","177.45","266.17","1194.08","9219.94"
"2000","10757","Counted","Manual count","Scotland","South Ayrshire","A78","TR","234650","632000","B746 mid-junction","A759","2.24000000000000020","16.33","143.7","13890.8","111.86","1305.55","415.59","51.44","44.91","57.15","77.57","82.46","729.12","16181"
"2000","10828","Estimated","Estimated using previous year's AADF on this link","Scotland","South Ayrshire","A70","PU","234050","621300","A70 Miller Rd","A713","0.19000000000000000","5.78","3.95","1548.66","59.67","187.65","19.39","0.82","0.61","0.68","0.27","0.14","21.91","1821.84"
"2000","10839","Estimated","Estimated using previous year's AADF on this link","Scotland","South Ayrshire","A79","PU","234500","623800","A719","Shawfarm Rd roundabout","2.73000000000000000","134.72","135.72","14545.7","505.95","1434.01","249.48","94.8","83.83","37.92","49.9","76.84","592.77","17214.2"
"2000","20758","Estimated","Estimated using previous year's AADF on this link","Scotland","South Ayrshire","A77","TR","225900","608300","A719","Ladyland Rd, Maybole","6.96000000000000000","5.08","60.96","9604.37","53.34","1887.34","548.68","134.63","58.42","71.12","35.56","96.53","944.94","12551"
"2000","20763","Estimated","Estimated using previous year's AADF on this link","Scotland","South Ayrshire","A78","TR","236000","628730","A77","A79","0.75000000000000000","0","9.25","5866.42","68.58","400.62","111.59","22.59","35.11","38.37","164.38","67.22","439.27","6784.15"
"2000","20838","Counted","Manual count","Scotland","South Ayrshire","A79","PU","234200","620000","Kersepark","A70","2.24000000000000020","44.09","8.98","3176.93","63.69","317.61","60.42","3.27","0.82","2.45","3.27","0.82","71.03","3638.24"
"2000","20887","Counted","Manual count","Scotland","South Ayrshire","A714","PR","226400","580830","LA Boundary","B7027","4.54000000000000000","0","11.59","700.34","19.87","125.83","49.67","24.83","13.25","8.28","31.46","18.21","145.7","1003.32"
