Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","731","Estimated","Estimated using previous year's AADF on this link","Scotland","South Lanarkshire","A73","PR","287800","643850","A706","A72","0.31000000000000000","1.25","1.13","1446.99","25.52","225.44","42.3","13.15","8.62","5.56","6.58","6.46","82.67","1781.74"
"2000","732","Estimated","Estimated using previous year's AADF on this link","Scotland","South Lanarkshire","A702","TR","293490","626040","M74/A74(M)","A73","1.24000000000000000","0.91","2.72","964.36","9.07","127.46","53.98","7.26","4.08","22.68","43.09","30.39","161.48","1265.09"
"2000","791","Estimated","Estimated using previous year's AADF on this link","Scotland","South Lanarkshire","A702","TR","307340","641600","A72","A721","4.46999999999999980","0","37.56","4226.11","76.75","565.01","184.52","37.56","11.43","102.88","135.54","96.34","568.27","5473.69"
"2000","1005","Estimated","Estimated using previous year's AADF on this link","Scotland","South Lanarkshire","A73","PR","291400","641700","A70","A70","0.43000000000000000","0.32","3.65","855.24","10.48","151.62","45.25","20.16","16.67","53.98","0","0","136.06","1157.05"
"2000","1016","Estimated","Estimated using previous year's AADF on this link","Scotland","South Lanarkshire","A70","PR","293000","645730","A743","A721","1.42999999999999990","7.82","9.91","1994.76","52.69","398.01","95.46","40.69","34.95","109.54","0","0","280.64","2736.01"
"2000","1023","Estimated","Estimated using previous year's AADF on this link","Scotland","South Lanarkshire","A72","PR","287000","643990","B7086 Lanark Road","A73","2.35999999999999990","0.86","7.76","3842.09","65.5","679.13","131","33.61","9.48","10.34","4.31","0","188.74","4783.22"
"2000","1065","Estimated","Estimated using previous year's AADF on this link","Scotland","South Lanarkshire","A702","PR","293870","610800","LA Boundary","A74(M)","7.63999999999999960","0","0","1241.39","11.16","145.06","75.32","16.74","16.74","39.06","0","0","147.85","1545.46"
"2000","1082","Counted","Manual count","Scotland","South Lanarkshire","A721","PR","288100","648900","B7056 Boghall Rd","A706","7.15000000000000040","2.61","57.38","11004","119.98","1507.54","573.81","57.38","70.42","73.03","44.34","18.26","837.23","13526.2"
"2000","1084","Estimated","Estimated using previous year's AADF on this link","Scotland","South Lanarkshire","A723","PU","272500","655230","A724","A72","0.25000000000000000","3.08","9.62","2668.99","191.6","308.81","67.95","8.16","7.8","7.98","2.09","1.54","95.53","3274.55"
"2000","1085","Estimated","Estimated using previous year's AADF on this link","Scotland","South Lanarkshire","A724","PU","272300","655300","Leechlee Rd","A723","0.06000000000000000","0.52","1.41","422.26","16.24","40.55","10","0.98","0.14","1.59","0","0","12.7","493.15"
"2000","1088","Counted","Manual count","Scotland","South Lanarkshire","A726","PR","269300","646600","A723","High Common Rd slip roads, East Kilbride","6.83999999999999990","34.93","62.37","16198.8","157.17","1486.9","456.55","24.95","57.38","37.42","59.88","19.96","656.13","18561.3"
"2000","10705","Estimated","Estimated using previous year's AADF on this link","Scotland","South Lanarkshire","M74","TM","277500","647800","9","8","3.66999999999999990","0","66.91","24744.6","317.14","4389.04","1504.05","247.55","176.63","1231.07","3136.56","2962.6","9258.47","38776.1"
"2000","10792","Estimated","Estimated using previous year's AADF on this link","Scotland","South Lanarkshire","A702","TR","296610","629600","A73","A72","9.57000000000000020","3.49","41.91","7376.64","48.9","1194.51","478.5","73.35","27.94","216.55","254.97","216.55","1267.86","9929.82"
"2000","10827","Counted","Manual count","Scotland","South Lanarkshire","A70","PR","286200","633300","M74","A73","6.76999999999999950","0","17.3","6167.95","185.41","1258.31","444.98","96.41","96.41","140.91","415.32","101.36","1295.39","8924.37"
"2000","10830","Counted","Manual count","Scotland","South Lanarkshire","A71","PR","277540","649400","M74","A72","2.35999999999999990","3.45","9.48","3853.29","51.71","765.32","339.57","44.82","28.44","48.26","74.98","24.99","561.06","5240.86"
"2000","10833","Counted","Manual count","Scotland","South Lanarkshire","A723","PU","272650","655350","A72","A72","0.19000000000000000","1.16","1.84","1332.91","45.93","122","44.63","3.06","5.1","2.72","4.01","1.5","61.03","1563.7"
"2000","10834","Counted","Manual count","Scotland","South Lanarkshire","A72","PR","306000","638770","A702","LA Boundary","0.87000000000000000","0.32","2.22","300.37","6.03","55.88","13.65","6.35","1.59","3.18","4.13","1.91","30.8","395.31"
"2000","10879","Counted","Manual count","Scotland","South Lanarkshire","A706","PR","291950","650000","A721","LA Boundary","6.76999999999999950","39.55","27.19","8328.59","207.66","1233.59","531.51","106.3","79.11","180.47","296.66","175.52","1369.56","11166.6"
"2000","10893","Estimated","Estimated using previous year's AADF on this link","Scotland","South Lanarkshire","A721","PR","299700","645900","A70","A702","7.63999999999999960","2.79","83.69","5682.51","75.32","887.11","153.43","30.69","184.12","30.69","83.69","164.59","647.2","7375.82"
"2000","10894","Estimated","Estimated using previous year's AADF on this link","Scotland","South Lanarkshire","A723","PU","272900","655490","A72","M74","0.50000000000000000","1.81","8.53","6639.99","201.76","497.15","140.98","13.61","13.97","9.62","15.79","6.89","200.85","7548.28"
"2000","10895","Counted","Manual count","Scotland","South Lanarkshire","A723","PR","270000","644450","B743 Muirkirk Road","A726","0.37000000000000000","2.04","1.77","491.79","5.44","51.57","17.15","2.18","5.58","2.99","2.18","2.45","32.52","583.1"
"2000","10897","Counted","Manual count","Scotland","South Lanarkshire","A724","PU","271200","655765","Lorne St","B755 Wellhall Road","0.12000000000000000","1.09","2.9","700.31","21.46","65.23","20.59","1.68","0.77","1.32","0.86","0.32","25.54","815.44"
"2000","11021","Counted","Manual count","Scotland","South Lanarkshire","A743","PR","290300","644300","A73","A70","2.79999999999999990","11.23","8.16","3415.96","108.18","682.78","191.87","14.29","3.06","33.68","6.12","0","249.03","4464.11"
"2000","20705","Counted","Manual count","Scotland","South Lanarkshire","M74","TM","272400","657000","6","LA Boundary","1.55000000000000000","0","116.8","32420.6","533.55","4691.37","1881.31","197.88","249.48","695.14","1805.33","1198.64","6027.79","43790.1"
"2000","20739","Counted","Manual count","Scotland","South Lanarkshire","A73","PR","286300","645900","A72","Goremire Rd, Carluke","4.34999999999999960","25.4","12.7","11397.4","295.29","1492.35","533.43","93.67","76.2","79.38","104.78","26.99","914.46","14112.2"
"2000","20740","Estimated","Estimated using previous year's AADF on this link","Scotland","South Lanarkshire","A73","PR","297000","632100","A702","A72","7.51999999999999960","8.23","35.68","4020.38","71.35","510.44","238.75","63.12","43.91","101.54","326.57","181.12","955.01","5592.85"
"2000","20795","Estimated","Estimated using previous year's AADF on this link","Scotland","South Lanarkshire","A702","TR","310000","646100","A721","LA Boundary","2.41999999999999990","1.77","7.96","2587.23","48.65","360","117.64","23.88","20.34","55.72","96.41","60.15","374.15","3377.99"
"2000","20822","Estimated","Estimated using previous year's AADF on this link","Scotland","South Lanarkshire","A70","PR","300000","647900","A721","LA Boundary","7.01999999999999960","7.69","20.5","3654.62","43.57","556.14","133.27","17.94","28.19","17.94","23.07","7.69","228.09","4502.92"
"2000","20826","Estimated","Estimated using previous year's AADF on this link","Scotland","South Lanarkshire","A71","PR","270000","644260","B743","A726","0.37000000000000000","0.54","0.54","481.04","2.86","118.93","31.43","6.4","7.48","6.53","18.51","30.07","100.43","703.81"
"2000","20829","Estimated","Estimated using previous year's AADF on this link","Scotland","South Lanarkshire","A72","PR","277000","652880","M74","A71","2.10999999999999990","1.54","1.54","6118.85","16.96","657","118.75","26.22","13.11","5.4","10.02","2.31","175.82","6970.17"
