Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","761","Estimated","Estimated using previous year's AADF on this link","Scotland","Stirling","A82","TR","232120","720000","LA Boundary","A85","6.58999999999999990","24.04","120.2","6289.09","132.22","331.76","60.1","21.64","7.21","28.85","48.08","38.47","204.35","7077.63"
"2000","765","Estimated","Estimated using previous year's AADF on this link","Scotland","Stirling","A84","TR","271730","702300","A820","A81","7.45999999999999990","13.61","16.33","2942.06","43.55","108.86","2.72","57.15","5.44","21.77","29.94","43.55","160.57","3271.37"
"2000","766","Counted","Manual count","Scotland","Stirling","A85","TR","248800","727960","A82","A827","11.11999999999999900","0","40.6","16498.7","239.52","1774.1","677.97","73.08","81.19","166.45","316.66","243.58","1558.94","20111.9"
"2000","1030","Estimated","Estimated using previous year's AADF on this link","Scotland","Stirling","A81","PR","250700","685600","A875","A811","5.53000000000000020","22.2","74.69","4672.88","30.28","391.59","72.67","14.13","30.28","8.07","6.06","10.09","141.3","5310.74"
"2000","1109","Counted","Manual count","Scotland","Stirling","A811","PR","262500","695400","A875","B822","8.14000000000000060","14.86","190.15","16344","178.27","1574.68","564.51","163.41","50.51","95.07","163.41","80.22","1117.13","19404.2"
"2000","1115","Estimated","Estimated using previous year's AADF on this link","Scotland","Stirling","A821","PR","257700","706100","A821 spur to ferry","A84","7.63999999999999960","13.95","25.11","3481.48","94.85","318.02","64.16","0","0","0","0","0","64.16","3983.61"
"2000","1142","Estimated","Estimated using previous year's AADF on this link","Scotland","Stirling","A872","PR","280560","686300","LA Boundary","A91","1.99000000000000000","21.05","58.79","3956.85","97.98","544.32","82.01","83.46","26.13","2.18","15.24","15.97","224.99","4882.92"
"2000","1154","Estimated","Estimated using previous year's AADF on this link","Scotland","Stirling","A907","PR","282700","695100","A91","LA Boundary","0.87000000000000000","12.38","35.24","5088.59","91.76","548.36","107.32","23.5","12.38","9.84","45.09","16.19","214.33","5978.28"
"2000","10767","Estimated","Estimated using previous year's AADF on this link","Scotland","Stirling","A84","TR","274300","697320","M9","A873","4.09999999999999960","32.93","58.38","9232.78","151.19","1324.74","305.36","110.77","92.81","59.88","184.12","106.28","859.21","11626.3"
"2000","10824","Estimated","Estimated using previous year's AADF on this link","Scotland","Stirling","A9","PU","280000","694800","A894","B998 Logie Road","1.06000000000000010","72.1","16.19","5745.24","205.12","483.49","79.81","4.63","2.31","2.31","2.31","1.16","92.53","6542.58"
"2000","10840","Estimated","Estimated using previous year's AADF on this link","Scotland","Stirling","A81","PR","263300","706300","A873","A84","5.09999999999999960","7.44","35.34","2508.82","14.88","342.2","44.63","26.04","13.02","0","1.86","13.02","98.57","2999.8"
"2000","10841","Estimated","Estimated using previous year's AADF on this link","Scotland","Stirling","A81","PR","256690","677110","LA Boundary","A891","1.93000000000000010","30.23","35.15","4598.15","28.83","364.9","54.84","10.55","13.36","2.81","4.22","0","85.78","5112.81"
"2000","10845","Estimated","Estimated using previous year's AADF on this link","Scotland","Stirling","A85","TR","232300","730750","LA Boundary","A82","0.50000000000000000","0","2.9","264.9","3.45","42.46","9.25","1.27","0.18","1.45","4.72","5.08","21.95","335.66"
"2000","10926","Estimated","Estimated using previous year's AADF on this link","Scotland","Stirling","A820","PR","275500","701500","A84","A9","3.04000000000000000","16.67","23.34","2247.09","13.34","444.53","57.79","24.45","8.89","0","5.56","10","106.69","2834.98"
"2000","10954","Estimated","Estimated using previous year's AADF on this link","Scotland","Stirling","A873","PR","268400","699600","A84","B822","4.04000000000000000","14.74","36.86","1984.28","38.33","266.83","56.02","10.32","8.85","11.79","14.74","0","101.72","2428.01"
"2000","20768","Counted","Manual count","Scotland","Stirling","A82","TR","236200","727400","A85","A85","5.03000000000000020","34.9","165.34","7181.16","161.66","646.65","268.21","47.76","25.72","66.14","156.15","106.55","670.54","8825.35"
"2000","20774","Estimated","Estimated using previous year's AADF on this link","Scotland","Stirling","A85","TR","255800","728400","A827","A84","4.96999999999999980","5.44","83.46","4394.49","97.98","624.15","141.52","12.7","9.07","34.47","112.49","68.95","379.21","5579.29"
"2000","20820","Counted","Manual count","Scotland","Stirling","A9","PU","279900","692000","A872","A905","1.06000000000000010","7.33","23.52","4858.07","62.46","450.34","134.95","3.08","4.63","9.25","5.4","2.31","159.62","5554"
"2000","20839","Estimated","Estimated using previous year's AADF on this link","Scotland","Stirling","A81","PR","253400","693400","A811","A821","6.28000000000000020","16.03","87.05","4313.36","52.69","533.73","68.72","9.16","52.69","2.29","25.2","45.81","203.87","5190.69"
"2000","20851","Estimated","Estimated using previous year's AADF on this link","Scotland","Stirling","A91","PR","282000","695700","A907","B998","0.93000000000000000","4.42","9.87","2406.24","5.44","226.57","49.33","16.33","20.07","2.04","9.53","12.25","109.54","2757.67"
"2000","20918","Estimated","Estimated using previous year's AADF on this link","Scotland","Stirling","A809","PR","252300","679330","B834","LA Boundary","4.71999999999999980","63.78","208.57","6822.34","24.13","310.26","17.24","5.17","0","5.17","1.72","1.72","31.03","7396.33"
"2000","20929","Estimated","Estimated using previous year's AADF on this link","Scotland","Stirling","A827","PR","257050","734000","C-road to Achmore, Killin","LA Boundary","2.35999999999999990","9.48","12.93","728.26","22.41","106.87","6.89","0","0","0.86","0.86","0","8.62","879.08"
"2000","20951","Estimated","Estimated using previous year's AADF on this link","Scotland","Stirling","A875","PR","253500","687400","B834 Station Road","A811","4.41000000000000010","14.49","19.32","3608.65","75.68","566.82","104.67","16.1","1.61","4.83","3.22","1.61","132.04","4402.51"
"2000","20962","Estimated","Estimated using previous year's AADF on this link","Scotland","Stirling","A905","PR","284600","691160","LA Boundary","A91","3.41999999999999990","64.86","31.19","5010.82","63.62","965.49","284.41","48.65","37.42","9.98","21.21","27.44","429.11","6500.22"
"2000","21018","Estimated","Estimated using previous year's AADF on this link","Scotland","Stirling","A91","PR","281000","689110","M9/A872","A9","0.75000000000000000","1.91","13.06","2907.22","21.5","532.35","158.4","28.3","7.62","15.79","44.91","332.58","587.59","4061.72"
"2000","30731","Counted","Manual count","Scotland","Stirling","A9","TR","280000","704000","B8033","LA Boundary","2.04999999999999980","0","12.72","11425.7","56.88","1295.55","886.9","96.55","139.96","244.74","702.79","372.72","2443.66","15234.5"
"2000","30773","Estimated","Estimated using previous year's AADF on this link","Scotland","Stirling","A84","TR","271950","700900","A873","A820","2.29999999999999980","5.03","25.17","4797.49","60.42","728.39","126.71","57.9","62.1","12.59","75.52","81.4","416.22","6027.7"
"2000","30825","Estimated","Estimated using previous year's AADF on this link","Scotland","Stirling","A9","PU","280000","697000","B998 Logie Road","Station Rd, Westerton, Bridge of Allan","1.80000000000000000","161.14","84.85","7446.72","118.39","624.84","97.34","34.86","3.29","7.23","8.55","0","151.28","8426.07"
"2000","30841","Estimated","Estimated using previous year's AADF on this link","Scotland","Stirling","A81","PR","262700","707800","C-road to Gartchonzie","A84","0.31000000000000000","5.78","1.81","300.28","4.65","28.24","6.58","0.68","3.63","0","0.23","0","11.11","346.1"
"2000","30842","Counted","Manual count","Scotland","Stirling","A81","PR","254800","680200","A891","A875","3.66999999999999990","46.83","153.88","6959.58","58.88","665.05","163.25","34.79","37.47","4.01","12.04","4.01","255.58","8092.97"
"2000","30922","Counted","Manual count","Scotland","Stirling","A811","PR","254000","691800","A81","A875","1.49000000000000000","0","7.62","1749.45","16.33","218.82","71.31","11.43","9.8","23.95","41.91","17.42","175.82","2168.03"
"2000","30955","Estimated","Estimated using previous year's AADF on this link","Scotland","Stirling","A872","PR","280100","689800","M9/A91","Lade Mill","0.93000000000000000","4.42","14.97","4569.92","99.34","522.21","76.55","6.8","4.42","13.27","8.51","4.42","113.97","5320.4"
"2000","40702","Estimated","Estimated using previous year's AADF on this link","Scotland","Stirling","M9","TM","277600","696100","10","11","2.66999999999999990","0","43.89","19998.3","175.54","2805.77","776.29","82.9","111.18","337.43","707.05","756.79","2771.64","25795.2"
"2000","40704","Counted","Manual count","Scotland","Stirling","M80","TM","280380","686200","LA boundary","M80 spur to A91/A872","1.49000000000000000","0","11.98","14368.5","116.48","1413.6","787.63","100.16","89.81","279.24","573.71","344.01","2174.56","18085.1"
"2000","40764","Estimated","Estimated using previous year's AADF on this link","Scotland","Stirling","A82","TR","233070","732000","A85","LA Boundary","1.62000000000000010","3.54","28.89","906.34","14.74","99.66","32.43","4.72","2.95","8.85","31.84","35.97","116.76","1166.39"
"2000","40769","Estimated","Estimated using previous year's AADF on this link","Scotland","Stirling","A84","TR","262000","708100","A81","A821","1.24000000000000000","3.18","9.98","1406.16","25.86","158.31","50.8","6.35","3.18","11.34","29.48","32.66","133.81","1734.12"
"2000","40822","Estimated","Estimated using previous year's AADF on this link","Scotland","Stirling","A9","PU","279680","693900","A905","A811/A905","0.93000000000000000","6.8","26.2","4520.25","32.66","601.13","117.71","13.27","3.4","8.16","10.21","11.57","164.32","5344.55"
"2000","40841","Estimated","Estimated using previous year's AADF on this link","Scotland","Stirling","A81","PR","257200","701200","A821","A873","5.16000000000000010","3.76","33.88","3266.04","47.06","523.32","50.83","26.35","48.94","5.65","9.41","15.06","156.24","4026.55"
"2000","40853","Estimated","Estimated using previous year's AADF on this link","Scotland","Stirling","A91","PR","282100","696600","B998","LA Boundary","1.12000000000000010","10.61","22.45","3669.27","42.46","337.21","46.13","8.98","13.47","3.67","11.84","4.9","89","4160.38"
"2000","40955","Estimated","Estimated using previous year's AADF on this link","Scotland","Stirling","A873","PR","262600","700800","B822","A81","4.09999999999999960","5.99","16.47","1760.33","38.92","251.48","44.91","19.46","4.49","5.99","25.45","13.47","113.76","2180.96"
"2000","50703","Counted","Manual count","Scotland","Stirling","M9","TM","278400","692100","10","M80","3.66999999999999990","0","76.27","35689.1","329.18","3691.88","1728.85","343.9","187.34","556.66","1360.87","913.94","5091.56","44878"
