Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","763","Counted","Manual count","Scotland","West Dunbartonshire","A82","PU","249000","672400","A8014","A810","0.75000000000000000","6.53","31.3","6712.57","81.38","659.17","155.13","28.3","20.14","13.88","18.23","4.9","240.59","7725.01"
"2000","1110","Estimated","Estimated using previous year's AADF on this link","Scotland","West Dunbartonshire","A813","PU","240000","678100","A811","A82","3.60000000000000010","10.52","14.47","10910.3","231.52","1133.91","424.89","63.14","39.46","18.42","27.62","1.32","574.85","12865"
"2000","1111","Estimated","Estimated using previous year's AADF on this link","Scotland","West Dunbartonshire","A814","PU","247300","671950","LA Boundary","A814 Station Rd","2.73000000000000000","34.93","10.98","7846.66","241.5","919.09","117.75","15.97","13.97","9.98","8.98","3.99","170.64","9188.87"
"2000","1206","Counted","Manual count","Scotland","West Dunbartonshire","A8014","PU","249850","671000","A814","A82","1.30000000000000010","13.34","19.53","5740.14","563.92","438.65","131.93","39.06","8.1","6.19","5.24","2.86","193.37","6955.61"
"2000","10764","Estimated","Estimated using previous year's AADF on this link","Scotland","West Dunbartonshire","A82","TR","243360","674000","A814","A814","1.12000000000000010","14.7","85.32","13558.1","210.65","1582.75","230.25","111.86","74.3","48.99","118.39","124.11","707.89","16144.7"
"2000","20769","Estimated","Estimated using previous year's AADF on this link","Scotland","West Dunbartonshire","A82","TR","238670","680000","A82 spur to A812/B857","A811","2.79999999999999990","32.66","168.4","16130.6","223.51","1630.92","319.45","103.08","50.01","84.71","85.73","122.47","765.45","18918.9"
"2000","20770","Estimated","Estimated using previous year's AADF on this link","Scotland","West Dunbartonshire","A82","PU","248200","672770","A810","Mountblow Rd","0.43000000000000000","5.24","23.34","3626.88","44.45","519.31","64.14","35.72","20","16.67","14.45","18.26","169.24","4383.21"
"2000","20920","Estimated","Estimated using previous year's AADF on this link","Scotland","West Dunbartonshire","A811","PR","240600","684000","Drymen Rd, Alexandria","LA Boundary","5.41000000000000010","47.36","90.77","10104.6","116.42","1404.89","215.07","86.82","94.71","21.7","47.36","88.79","554.46","12271.1"
"2000","20921","Estimated","Estimated using previous year's AADF on this link","Scotland","West Dunbartonshire","A814","PU","239300","675500","Greenhead Rd","A812","1.24000000000000000","21.77","4.99","553.39","6.35","89.81","2.72","1.81","1.36","0.91","0","0","6.8","661.35"
"2000","30770","Counted","Manual count","Scotland","West Dunbartonshire","A82","TR","241800","674500","A814","Greenhead Rd, Dumbarton","1.06000000000000010","26.99","131.48","8532.85","185.84","942.31","221.31","68.24","96","41.64","67.09","87.14","581.43","10373.9"
"2000","30771","Estimated","Estimated using previous year's AADF on this link","Scotland","West Dunbartonshire","A82","PU","250000","671900","LA Boundary","A8014","1.55000000000000000","14.18","89.59","11743.2","105.46","1152.71","261.95","45.93","22.68","17.58","35.15","34.59","417.88","13508.8"
"2000","30921","Estimated","Estimated using previous year's AADF on this link","Scotland","West Dunbartonshire","A810","PU","248900","672670","A82","A8014","0.81000000000000000","4.72","13.27","1591.25","32.14","211.99","30.96","5.9","9.73","1.47","1.77","0.29","50.12","1898.77"
"2000","30924","Counted","Manual count","Scotland","West Dunbartonshire","A814","PU","249750","670000","A8014","LA Boundary","0.93000000000000000","24.15","20.07","4104.18","66.68","579.02","134.38","20.41","6.8","12.25","11.57","10.55","195.96","4965.91"
"2000","40766","Counted","Manual count","Scotland","West Dunbartonshire","A82","TR","245900","673440","A814","A814","0.99000000000000000","9.07","100.52","13736.1","198.5","1396.73","416.95","92.9","62.05","93.62","139.71","63.14","868.37","16300.2"
"2000","50821","Estimated","Estimated using previous year's AADF on this link","Scotland","West Dunbartonshire","A812","PR","238900","676000","A814","A82","0.87000000000000000","11.75","15.56","1586.65","38.74","183.84","48.58","6.99","7.62","6.03","2.22","4.76","76.2","1901"
"2000","50825","Estimated","Estimated using previous year's AADF on this link","Scotland","West Dunbartonshire","A8014","PU","249980","672400","A82","A810","0.50000000000000000","2.72","8.53","2811.24","122.84","318.25","34.66","2.72","2.9","1.45","2.36","1.27","45.36","3306.21"
