Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6910","Counted","Manual count","South East","Bracknell Forest","A322","PU","488000","166600","B3430 New Forest Ride","A3095","1.42999999999999990","6.26","211.79","19813","126.76","1803.31","560.76","38.6","22.43","165.88","286.38","159.62","1233.68","23188.5"
"2000","7797","Estimated","Estimated using previous year's AADF on this link","South East","Bracknell Forest","A322","PR","490700","164800","LA Boundary","A332","0.31000000000000000","1.93","64.18","6116.47","20.98","541.71","163.18","8.62","10.43","41.96","67.59","51.48","343.26","7086.61"
"2000","8242","Estimated","Estimated using previous year's AADF on this link","South East","Bracknell Forest","A322","PU","486695","168679","A3095","A329/A3095","0.62000000000000000","11.79","56.7","5770.71","29.48","785.86","151.73","16.78","14.29","44.91","71.9","75.07","374.67","7017.43"
"2000","16884","Estimated","Estimated using previous year's AADF on this link","South East","Bracknell Forest","A330","PR","488000","173840","B3022","A3095","1.74000000000000000","22.86","26.04","2918.65","11.43","318.79","85.73","1.27","5.08","3.81","1.27","5.08","102.24","3377.15"
"2000","17564","Estimated","Estimated using previous year's AADF on this link","South East","Bracknell Forest","A3095","PU","486250","167300","South Hill Rd","A329","1.37000000000000010","12.97","89.81","11868.8","59.38","989.94","224.53","13.97","13.47","44.41","8.98","7.48","312.85","13320.8"
"2000","26955","Estimated","Estimated using previous year's AADF on this link","South East","Bracknell Forest","A332","PR","490380","166000","A322","B3017","1.80000000000000000","61.17","118.39","7859.11","50.64","870.17","71.03","12.5","5.92","11.18","8.55","1.32","110.5","9008.81"
"2000","27651","Counted","Manual count","South East","Bracknell Forest","A3095","PR","486900","172000","B3034","A330","1.85999999999999990","7.48","68.72","6467.22","59.19","572.9","115.67","11.57","6.12","4.76","1.36","7.48","146.97","7315"
"2000","27652","Counted","Manual count","South East","Bracknell Forest","A3095","PR","485423","165651","B3348 Bracknell Rd","B3430 Nine Mile Ride","0.31000000000000000","7.82","23.36","2328.22","10.89","209.22","36.86","2.15","2.15","13.95","3.06","1.7","59.88","2631.57"
"2000","28099","Estimated","Estimated using previous year's AADF on this link","South East","Bracknell Forest","A329","PU","486550","169200","A30095","B3408","0.50000000000000000","17.42","27.58","2543.61","15.97","207.39","56.07","3.45","1.81","4.35","3.08","3.45","72.21","2866.76"
"2000","36977","Counted","Manual count","South East","Bracknell Forest","A329","PU","487000","169600","B3408/B3018 roundabout","A3095","0.50000000000000000","7.44","33.93","3035.32","17.6","272.34","74.03","3.63","4.17","6.17","5.44","3.27","96.71","3455.9"
"2000","37692","Estimated","Estimated using previous year's AADF on this link","South East","Bracknell Forest","A3095","PU","487400","170000","A329","Harvest Ride","0.81000000000000000","2.95","33.91","2622.02","9.14","309.88","51.6","5.31","11.2","0.29","0.59","0.29","69.29","3044.23"
"2000","38091","Counted","Manual count","South East","Bracknell Forest","A329","PR","484882","168775","LA Boundary","Doncastle Rd","0.81000000000000000","2.95","178.08","12451.1","74.89","1311.16","384.47","28.01","41.87","143.29","199.31","117.35","914.3","14929.5"
"2000","38783","Counted","Manual count","South East","Bracknell Forest","A321","PU","484575","161000","A30","A3095","1.17999999999999990","37.06","172.37","10085.3","21.98","912.69","160.3","11.63","13.36","53.43","14.65","11.2","264.59","11456.9"
"2000","46940","Estimated","Estimated using previous year's AADF on this link","South East","Bracknell Forest","A3095","PU","487100","169000","A322","A329","0.68000000000000000","24.7","31.68","2890.73","19.71","238.25","39.92","7.73","12.22","8.48","1","4.99","74.35","3254.72"
"2000","46959","Estimated","Estimated using previous year's AADF on this link","South East","Bracknell Forest","A332","PR","490330","168000","B3017","LA Boundary","0.68000000000000000","3.99","23.7","3159.92","5.49","360","50.89","3.99","9.23","1.25","1.25","0.5","67.11","3616.22"
"2000","56714","Estimated","Estimated using previous year's AADF on this link","South East","Bracknell Forest","A330","PR","491800","171780","B3034","B3022","0.43000000000000000","5.56","7.14","649.96","9.53","72.55","6.99","0.64","0.48","0.79","0.32","0","9.21","748.4"
"2000","56922","Counted","Manual count","South East","Bracknell Forest","A329","PU","488100","169230","A3095","B3017","1.68000000000000010","101.04","95.53","11942.9","173.3","1127.97","268.21","16.53","23.27","8.57","10.41","5.51","332.51","13672.2"
"2000","56957","Estimated","Estimated using previous year's AADF on this link","South East","Bracknell Forest","A330","PR","491200","171920","B3022 North St","B3022 Bracknell Rd","1.42999999999999990","19.82","54.25","3478.3","11.48","490.34","46.43","9.39","6.26","0","1.04","8.35","71.46","4105.84"
"2000","57172","Estimated","Estimated using previous year's AADF on this link","South East","Bracknell Forest","A3095","PR","487180","171400","B3034 Warfield St","B3034 Forest Rd","0.25000000000000000","2.72","10.52","1035.84","6.17","101.52","13.06","1","0.82","0.73","0.36","1.27","17.24","1171.29"
