Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6273","Estimated","Estimated using previous year's AADF on this link","South East","Brighton and Hove","A23","PU","531360","104230","A23 Old Steine roundabout","A23 Gloucester Place/Grand Parade","0.31000000000000000","103.99","57.04","2289.44","213.08","374.11","33.34","6.01","1.93","3.4","1.93","1.25","47.85","2981.52"
"2000","6299","Estimated","Estimated using previous year's AADF on this link","South East","Brighton and Hove","A2010","PU","530970","105000","A259","A270","1.24000000000000000","57.61","78.02","4687.51","195.96","553.39","70.76","1.81","3.63","0.45","0","0","76.66","5591.54"
"2000","7551","Estimated","Estimated using previous year's AADF on this link","South East","Brighton and Hove","A2023","PU","528400","105000","A259 KINGSWAY","A270","0.93000000000000000","59.54","46.95","3379.89","57.83","520.85","14.63","5.44","8.16","3.06","1.7","1.02","34.02","4039.54"
"2000","7762","Estimated","Estimated using previous year's AADF on this link","South East","Brighton and Hove","A270","PU","531000","105400","A2010","A23","0.50000000000000000","80.74","50.98","2538.17","18.14","398.44","65.86","1.63","0.73","2.18","0.73","1.27","72.39","3078.14"
"2000","8687","Estimated","Estimated using previous year's AADF on this link","South East","Brighton and Hove","A270","PU","526486","105809","A293","A2038","0.12000000000000000","7.98","16.96","1138.49","14.97","160.08","23.09","4.76","4.72","0.86","3.67","2","39.1","1369.6"
"2000","16256","Counted","Manual count","South East","Brighton and Hove","A23","TR","529360","110000","A27 spur","LA Boundary","0.99000000000000000","17.06","122.29","19118.7","141.52","2661.73","512.75","51.89","56.97","77.29","112.13","76.93","887.97","22932.3"
"2000","16805","Estimated","Estimated using previous year's AADF on this link","South East","Brighton and Hove","A259","PU","528000","104500","B2193","A2023","1.49000000000000000","303.73","206.3","13192.2","121.38","1754.89","225.89","43","38.65","13.06","19.6","6.53","346.73","15621.5"
"2000","17517","Estimated","Estimated using previous year's AADF on this link","South East","Brighton and Hove","A2038","PU","527000","106500","A270","A2023","1.37000000000000010","45.41","55.38","4995.6","52.39","668.11","34.43","2","2.99","2.99","4.49","1.5","48.4","5819.88"
"2000","18236","Estimated","Estimated using previous year's AADF on this link","South East","Brighton and Hove","A270","PU","532000","105739","A23","A270 Lewes Road","0.68000000000000000","74.84","24.95","1367.65","7.48","191.6","14.47","1.5","1","1.25","1.75","1.25","21.21","1612.89"
"2000","18665","Counted","Manual count","South East","Brighton and Hove","A27","TR","529295","108924","A2038","A23","1.30000000000000010","2.86","204.32","27819.1","69.06","3748.81","636.79","86.68","150.03","95.73","182.89","95.26","1247.38","33088.7"
"2000","18699","Counted","Manual count","South East","Brighton and Hove","A27","TR","531000","109400","A23","A270","2.98000000000000000","19.6","191.6","49137","250.39","7448.49","1374.96","158.94","199.22","152.41","279.78","193.78","2359.09","59386.5"
"2000","26303","Estimated","Estimated using previous year's AADF on this link","South East","Brighton and Hove","A270","PU","530000","105500","A2023","A2010","1.30000000000000010","73.82","86.68","5635.83","35.72","659.65","54.3","3.33","1.91","2.86","0","0","62.39","6480.28"
"2000","27602","Estimated","Estimated using previous year's AADF on this link","South East","Brighton and Hove","A2023","PU","528010","107000","A270","A2038","0.87000000000000000","0.95","12.07","2003.24","13.02","292.75","14.61","0.95","3.49","7.94","3.81","1.27","32.07","2353.15"
"2000","28846","Counted","Manual count","South East","Brighton and Hove","A27","TR","534500","108700","A270","LA Boundary","0.37000000000000000","3.67","41.37","7691.12","84.51","944.13","225.49","31.43","52.66","28.85","37.56","41.5","417.49","9178.62"
"2000","36871","Estimated","Estimated using previous year's AADF on this link","South East","Brighton and Hove","A259","PU","530000","104180","A2023","A2010","1.68000000000000010","32.46","213.71","16624.4","178.2","1857.9","317.82","34.29","6.74","7.35","4.29","0.61","371.09","19245.3"
