Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6258","Estimated","Estimated using previous year's AADF on this link","South East","East Sussex","A21","TR","571650","130000","B2099","B2087","1.80000000000000000","3.29","120.36","5995.13","42.09","1234.54","73.66","30.91","31.57","42.09","95.37","77.61","351.22","7743.35"
"2000","6259","Estimated","Estimated using previous year's AADF on this link","South East","East Sussex","A21","TR","575900","120000","B2244","B2089","2.60999999999999990","0","110.5","6712.7","54.3","1277.39","138.12","32.39","15.24","52.39","75.25","73.35","386.74","8541.62"
"2000","6262","Counted","Manual count","South East","East Sussex","A22","PR","543800","130000","A272","A275","6.03000000000000020","8.8","105.6","24641.8","85.8","3033.75","818.39","171.6","198","165","140.8","121","1614.77","29481.7"
"2000","6264","Counted","Manual count","South East","East Sussex","A22","PR","551730","115000","B2124","A26","5.96999999999999980","30.48","222.08","26092.6","152.41","4265.3","792.53","143.7","137.17","143.7","172.01","76.2","1465.31","32197.7"
"2000","6290","Estimated","Estimated using previous year's AADF on this link","South East","East Sussex","A26","PU","542200","111000","A2029","B2192","0.68000000000000000","7.48","40.17","5066.95","35.93","758.17","39.17","18.96","25.7","7.23","11.73","6.49","109.27","6010.49"
"2000","6828","Counted","Manual count","South East","East Sussex","A259","PU","582800","110000","A2101","B2093","1.99000000000000000","41.37","103.06","8400.69","201.04","1221.46","153.86","15.97","7.98","23.22","30.48","10.89","242.4","10168.7"
"2000","6830","Counted","Manual count","South East","East Sussex","A259","PU","560000","99440","Cherry Garden Rd","A22","0.93000000000000000","30.28","32.32","3510.87","140.84","376.6","39.8","2.04","1.02","5.78","0.68","1.02","50.35","4110.99"
"2000","6842","Estimated","Estimated using previous year's AADF on this link","South East","East Sussex","A267","PR","557070","120000","A22","A265","7.26999999999999960","15.92","212.29","13769.4","76.95","2061.82","419.26","31.84","10.61","26.54","58.38","18.57","565.21","16685.6"
"2000","6844","Estimated","Estimated using previous year's AADF on this link","South East","East Sussex","A269","PU","574000","108500","A259(T)","A2036","0.68000000000000000","27.44","28.44","1527.32","29.69","279.67","11.98","3.99","2.49","0.75","3.24","2.99","25.45","1890.56"
"2000","6845","Estimated","Estimated using previous year's AADF on this link","South East","East Sussex","A272","PR","549800","123310","A27","A267","5.16000000000000010","39.53","88.47","14235","84.71","1991.63","308.72","58.36","30.12","22.59","16.94","5.65","442.37","16842.2"
"2000","6852","Counted","Manual count","South East","East Sussex","A275","PR","540000","112200","A2029","B2116","1.12000000000000010","12.66","22.45","3987.29","49.4","569.9","77.16","5.31","5.31","5.72","5.72","4.9","104.1","4733.14"
"2000","6867","Counted","Manual count","South East","East Sussex","A295","PU","558940","110000","High  Street/North Street","A271","0.99000000000000000","40.64","11.98","2593.15","31.21","292.84","37.01","5.81","2.54","1.09","1.09","0.36","47.9","2977.07"
"2000","7556","Counted","Manual count","South East","East Sussex","A2100","PR","575000","115770","B2159 Battle Rd","A271","3.23000000000000000","22.41","91.99","15844.7","239.41","2085.11","244.13","31.84","28.3","23.59","24.77","1.18","353.81","18615.1"
"2000","7840","Estimated","Estimated using previous year's AADF on this link","South East","East Sussex","A2021","PU","561630","100000","A2040","A259","0.62000000000000000","56.7","46.95","2724.33","18.82","415.27","11.34","4.08","4.08","2.49","0.91","0.45","23.36","3228.73"
"2000","8252","Estimated","Estimated using previous year's AADF on this link","South East","East Sussex","A259","PU","544400","101520","Brighton Rd","South Way","0.31000000000000000","8.51","24.38","1864.87","21.32","269.33","6.35","3.86","0.57","1.25","0.91","1.93","14.86","2194.75"
"2000","8253","Estimated","Estimated using previous year's AADF on this link","South East","East Sussex","A259","PU","581020","109100","A2102 London Road","A2101 Harold Place","0.87000000000000000","41.28","91.13","5182.57","166.7","716.33","45.41","11.75","14.61","6.99","5.08","5.08","88.91","6245.63"
"2000","8325","Estimated","Estimated using previous year's AADF on this link","South East","East Sussex","A269","PU","574300","107670","B2098 roundabout","B2182","0.50000000000000000","6.53","5.81","754.97","11.07","60.42","11.25","0.54","0.18","0.54","0.36","0.36","13.25","845.51"
"2000","8386","Counted","Manual count","South East","East Sussex","A26","PR","545000","115540","B2192","A22","5.83999999999999990","46.9","179.08","19573.2","179.08","2773.63","469.02","70.35","57.56","59.69","51.17","55.43","763.23","23468.2"
"2000","8404","Estimated","Estimated using previous year's AADF on this link","South East","East Sussex","A275","PU","540280","111000","A277","A2029","0.75000000000000000","9.8","45.45","1654.19","24.49","280.87","17.69","6.8","4.9","1.91","2.72","1.91","35.93","2040.93"
"2000","8631","Estimated","Estimated using previous year's AADF on this link","South East","East Sussex","A26","PR","547020","123338","A22","A272","0.37000000000000000","0.82","19.05","1834.77","9.12","234.33","79.47","11.7","4.9","8.71","12.11","6.94","123.83","2221.1"
"2000","16245","Estimated","Estimated using previous year's AADF on this link","South East","East Sussex","A21","PU","580000","111700","A2101 St Helens Road","A2100 Junction Road","1.24000000000000000","62.6","133.81","9570.98","108.41","1030.58","196.86","13.61","7.71","16.33","22.68","14.97","272.16","11116"
"2000","16248","Estimated","Estimated using previous year's AADF on this link","South East","East Sussex","A22","PR","557000","111180","A267","Coldharbour Road","0.37000000000000000","5.44","34.56","2424.13","18.92","483.09","25.31","12.38","8.85","7.35","9.39","10.48","73.76","3034.45"
"2000","16249","Counted","Manual count","South East","East Sussex","A2270","PU","558400","104000","A2021","A27","1.99000000000000000","77.66","85.64","16101.8","141.52","2069.15","351.99","31.21","26.13","40.64","42.09","29.03","521.1","18919.2"
"2000","16277","Estimated","Estimated using previous year's AADF on this link","South East","East Sussex","A27","TR","560000","104700","Shepham Lane, Polegate","B2247","0.62000000000000000","12.02","30.62","3297","47.4","526.86","115.9","21.09","11.57","14.52","17.92","11.11","192.1","4093.98"
"2000","16802","Estimated","Estimated using previous year's AADF on this link","South East","East Sussex","A259","PU","580000","108800","A259 Trunk","A2102 London Road","2.54999999999999990","66.02","159.94","12972.8","290.12","2068.99","317.09","33.48","21.39","26.04","29.76","16.74","444.48","15936.3"
"2000","16803","Estimated","Estimated using previous year's AADF on this link","South East","East Sussex","A259","PR","565000","103500","Pacific Drive, Eastbourne","A27","2.49000000000000020","112.49","244.94","10447.3","136.08","1196.6","144.25","20.87","15.42","11.79","12.7","4.54","209.56","12234.5"
"2000","16804","Counted","Manual count","South East","East Sussex","A259","PU","547050","100140","Bishopstone Rd","Alfriston Road","1.93000000000000010","38.67","82.96","13198.3","107.57","1569.28","151.87","13.36","16.87","11.25","2.81","6.33","202.49","15160.5"
"2000","16814","Counted","Manual count","South East","East Sussex","A265","PR","560000","122000","B2096","Scotsford Road","3.04000000000000000","6.67","18.89","6937.99","52.23","1134.66","237.82","28.89","35.56","8.89","23.34","14.45","348.96","8492.73"
"2000","16815","Estimated","Estimated using previous year's AADF on this link","South East","East Sussex","A267","PR","558300","130000","A272","B2100","6.15000000000000040","22.45","226.78","16121.4","87.57","2350.85","332.31","49.4","40.42","62.87","53.89","40.42","579.29","19365.9"
"2000","16817","Counted","Manual count","South East","East Sussex","A271","PR","558000","111260","A22/A267","B2104 London Rd","0.68000000000000000","8.98","11.98","2754.27","36.42","437.59","92.31","12.22","9.23","22.7","21.46","8.48","166.4","3406.66"
"2000","16824","Estimated","Estimated using previous year's AADF on this link","South East","East Sussex","A275","PR","541300","130000","UNC","A22","4.84999999999999960","8.85","61.92","4082.95","19.46","700.54","67.22","51.3","38.92","21.23","61.92","17.69","258.28","5123.15"
"2000","17515","Estimated","Estimated using previous year's AADF on this link","South East","East Sussex","A2029","PU","541000","110530","A2029 Fisher St","A275","0.99000000000000000","18.14","24.68","2375.42","41.37","324.42","5.44","1.09","0.36","0.73","0","0","7.62","2773.5"
"2000","17833","Counted","Manual count","South East","East Sussex","A259","PU","560600","99300","A22","A2040","0.19000000000000000","10.27","6.19","1039.25","37.08","125.26","19.26","1.36","0.68","1.77","0.27","0.34","23.68","1231.46"
"2000","18156","Counted","Manual count","South East","East Sussex","A277","PR","539911","109580","A27(T)","Montacute Rd, Lewes","0.50000000000000000","17.6","17.42","2060.62","28.85","267.26","40.82","4.54","6.17","3.99","4.72","1.81","62.05","2436.2"
"2000","18233","Estimated","Estimated using previous year's AADF on this link","South East","East Sussex","A259","TR","592000","120152","A268 Wish Street","A268 Fishmarket Road","0.62000000000000000","4.76","19.5","1688.3","27.44","282.37","88.23","13.38","14.29","7.71","19.73","10.21","153.54","2171.16"
"2000","18238","Estimated","Estimated using previous year's AADF on this link","South East","East Sussex","A2040","PU","561000","99502","A259","A2021/ upper ave","0.56000000000000000","35.11","31.03","2372.29","43.48","240.25","31.64","4.29","1.02","1.22","0.2","1.43","39.8","2726.84"
"2000","18644","Estimated","Estimated using previous year's AADF on this link","South East","East Sussex","A229","PR","573500","128000","A21","LA Boundary","0.75000000000000000","2.99","5.72","1121.03","8.71","181.26","41.37","4.35","10.61","4.9","7.08","2.72","71.03","1387.75"
"2000","26262","Estimated","Estimated using previous year's AADF on this link","South East","East Sussex","A21","TR","575000","120750","A2100","B2089","0.87000000000000000","0.64","40.01","2901.82","21.59","489.93","108.27","12.38","10.16","25.72","45.41","25.4","227.34","3680.7"
"2000","26263","Counted","Manual count","South East","East Sussex","A21","PU","580255","110065","A259 Carlisle Parade/Denmark Place","A2102 London Rd","1.62000000000000010","40.69","41.28","4209.14","131.5","394.5","48.94","4.13","0.59","1.18","1.77","0","56.61","4833.03"
"2000","26268","Estimated","Estimated using previous year's AADF on this link","South East","East Sussex","A22","PR","558000","108000","A27(T)","A295","1.80000000000000000","17.1","178.24","13853.6","194.03","1809.39","339.38","48.01","97.34","41.44","61.83","30.26","618.26","16653.5"
"2000","26304","Counted","Manual count","South East","East Sussex","A27","TR","544000","108440","A26 West","A26 East","1.42999999999999990","11.48","118.41","11031.1","135.63","1974.41","440.79","81.38","92.33","119.98","129.89","68.33","932.69","14192.3"
"2000","26305","Estimated","Estimated using previous year's AADF on this link","South East","East Sussex","A28","PR","583540","127000","A268","LA Boundary","0.50000000000000000","1.45","16.15","947.84","9.43","158.58","30.84","5.62","4.72","4.72","4.35","3.08","53.34","1185.35"
"2000","26848","Estimated","Estimated using previous year's AADF on this link","South East","East Sussex","A269","PU","574899","107664","B2182","A259","0.50000000000000000","12.16","19.96","1710.44","14.15","180.35","20.68","2","17.78","1.45","0","0","41.91","1966.81"
"2000","26849","Estimated","Estimated using previous year's AADF on this link","South East","East Sussex","A259","PU","561700","99050","Susan's Road","A2021","0.87000000000000000","41.91","39.37","2555.09","92.4","308.63","41.91","2.22","0.32","0.95","0.95","0.32","46.68","3042.17"
"2000","26850","Counted","Manual count","South East","East Sussex","A259","PU","540000","101260","LA Boundary","South Way/Lewes Rd","4.09999999999999960","104.78","178.13","22878.4","230.52","2989.28","281.41","40.42","13.47","14.97","8.98","5.99","365.24","26641.5"
