Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6012","Counted","Manual count","South East","Hampshire","M3","TM","459450","147210","7","6","4.91000000000000010","0","917.36","129644","883.32","12511.6","4851.99","365.51","335.05","1257.79","1630.47","2605.17","11046","155002"
"2000","6040","Counted","Manual count","South East","Hampshire","M27","TM","450500","109400","8","9","3.29000000000000010","0","982.07","95163.3","504.86","13337.9","4026.84","509.67","845.04","1052.99","1603.52","1202.04","9240.1","119228"
"2000","6293","Counted","Manual count","South East","Hampshire","A27","PU","453060","106700","A27 spur to M27","B3334","1.85999999999999990","96.62","315.71","15522.7","57.83","1622.08","242.9","39.46","23.81","25.17","29.26","22.45","383.07","17901.4"
"2000","6311","Estimated","Estimated using previous year's AADF on this link","South East","Hampshire","A30","PR","484000","159400","A327","B3272 Hawley Rd/Reading Rd","1.68000000000000010","17.76","102.26","9686.33","28.78","815.67","117.57","11.02","9.8","11.63","11.63","12.86","174.52","10807.6"
"2000","6312","Estimated","Estimated using previous year's AADF on this link","South East","Hampshire","A30","PR","472000","153900","A287","B3349","1.30000000000000010","20.48","58.58","4982.38","30.01","629.64","96.21","19.05","10.48","2.86","4.76","3.33","136.69","5837.3"
"2000","6335","Counted","Manual count","South East","Hampshire","A31","PR","475000","141800","B3004 roundabout","LA Boundary","5.78000000000000020","16.87","278.42","39582.1","145.54","4836.5","1073.61","73.82","42.18","90.7","189.83","151.87","1622.01","46464.6"
"2000","6337","Counted","Manual count","South East","Hampshire","A3090","PR","440000","123180","Halterworth Lane, Romsey","B3043","3.98000000000000000","68.22","242.4","15376","129.19","1468.94","232.24","34.84","50.8","11.61","20.32","7.26","357.07","17573.6"
"2000","6338","Estimated","Estimated using previous year's AADF on this link","South East","Hampshire","A31","PR","432500","116500","A31","A36","0.87000000000000000","4.76","36.2","1965.77","13.02","0.95","16.83","82.24","2.86","2.86","1.27","0","106.05","2121.99"
"2000","6339","Counted","Manual count","South East","Hampshire","A31","TR","414200","105200","LA Boundary","A338","0.62000000000000000","53.52","133.59","16480.9","110","1895.6","493.52","61.92","37.42","80.29","151.28","117.26","941.68","19561.8"
"2000","6344","Estimated","Estimated using previous year's AADF on this link","South East","Hampshire","A32","PR","457500","111200","A334","B2177","0.25000000000000000","2.63","17.15","795.16","3.63","47.99","51.26","3.72","2.18","2.63","1.45","2.54","63.78","927.7"
"2000","6345","Estimated","Estimated using previous year's AADF on this link","South East","Hampshire","A32","PU","459800","101000","B3333","B3334","2.41999999999999990","587.32","457.3","12869.8","228.21","1141.03","208.75","40.69","17.69","36.27","32.73","9.73","345.85","15042.2"
