Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6036","Counted","Manual count","South East","Kent","M20","TM","571200","158800","4","5","2.73000000000000000","0","662.62","78981.6","844.24","14596.6","3438.84","367.24","587.78","1382.12","6801.84","1135.64","13713.5","108798"
"2000","6102","Estimated","Estimated using previous year's AADF on this link","South East","Kent","A2050","PU","614000","158022","Knight Avenue roundabout","A290","0.50000000000000000","7.8","41.19","4416.26","62.42","432.55","66.41","9.07","9.07","13.61","21.95","17.78","137.89","5090.31"
"2000","6103","Estimated","Estimated using previous year's AADF on this link","South East","Kent","A290","PU","614570","158000","A2050 Rheims Way","Pound Lane","0.25000000000000000","10.98","27.76","1414.33","39.46","211.56","22.59","2.9","0","1.18","0.45","0.09","27.22","1720.33"
"2000","6105","Counted","Manual count","South East","Kent","A2","TR","627564","146001","A2 spur to A260","A256","5.78000000000000020","2.11","189.83","20852","421.85","3018.33","571.61","73.82","94.92","179.29","799.4","314.28","2033.31","26515.3"
"2000","6246","Counted","Manual count","South East","Kent","A20","PU","570000","158300","A228","hospital entrance","2.66999999999999990","53.64","225.28","13829.9","121.91","1636.46","288.67","44.86","41.94","41.94","50.71","38.03","506.15","16319.7"
"2000","6247","Estimated","Estimated using previous year's AADF on this link","South East","Kent","A20","PU","576300","155770","A26","A229","0.50000000000000000","17.6","17.42","1513.03","178.36","137.71","7.98","0.91","0.36","1.27","0.54","0.36","11.43","1857.95"
"2000","6248","Counted","Manual count","South East","Kent","A20","PR","591000","152060","East Street, Harrietsham","A252","5.53000000000000020","102.94","149.37","14696.9","161.48","3029.8","641.89","203.87","238.19","72.67","165.52","78.72","1400.86","19438.4"
"2000","6254","Counted","Manual count","South East","Kent","A21","TR","551500","154000","A225","A25","4.23000000000000040","1.54","1195.24","49914.7","444.17","8533.23","1764.33","215.91","319.24","387.1","701.72","424.12","3812.43","63899.8"
"2000","6255","Counted","Manual count","South East","Kent","A21","TR","559000","144820","A2014","A26","0.75000000000000000","0.27","62.05","5430.15","42.18","855.4","239.77","31.84","28.03","53.34","89.81","46.27","489.07","6878.86"
"2000","6284","Counted","Manual count","South East","Kent","A25","PR","544800","154000","London Road","A233","0.75000000000000000","0.82","21.23","2507.42","22.86","384.56","70.76","10.07","16.06","6.8","10.89","2.18","116.76","3052.83"
"2000","6286","Counted","Manual count","South East","Kent","A26","PR","570000","153370","B2015","B2163","0.93000000000000000","12.25","118.05","4595.77","74.5","696.39","89.13","9.19","8.16","10.89","5.78","4.08","127.24","5611.95"
"2000","6287","Estimated","Estimated using previous year's AADF on this link","South East","Kent","A26","PU","558500","145500","Baltic Rd","B2280","0.43000000000000000","17.15","63.03","2508.89","48.9","289.58","44.93","3.65","2.54","6.99","2.22","3.49","63.82","2974.22"
"2000","6288","Estimated","Estimated using previous year's AADF on this link","South East","Kent","A26","PU","558400","139800","A26 Mount Ephraim","A264 Church Rd/Crescent Rd","0.37000000000000000","20.68","30.07","1386.39","47.22","141.39","23.27","2.04","0.27","3.54","0.54","1.09","30.75","1635.82"
"2000","6303","Estimated","Estimated using previous year's AADF on this link","South East","Kent","A28","PR","594000","139650","School Rd","C road to Brissenden Green","1.17999999999999990","7.33","38.78","2575.18","39.64","468.84","93.08","25.42","18.53","13.79","9.05","5.17","165.04","3287.5"
"2000","6304","Counted","Manual count","South East","Kent","A28","PR","606000","150000","The Street, Kennington, Ashford","A252","6.65000000000000040","21.84","189.29","17315","242.68","2785.93","643.09","104.35","72.8","131.05","106.78","29.12","1087.19","21620"
"2000","6305","Counted","Manual count","South East","Kent","A28","PR","620000","161780","A291","A253","5.78000000000000020","37.97","316.39","20428","436.61","3153.32","580.04","208.82","120.23","97.03","75.93","40.08","1122.12","25456.5"
"2000","6786","Estimated","Estimated using previous year's AADF on this link","South East","Kent","A225","PU","554070","173700","B2174","A226","0.31000000000000000","14.18","17.01","1319.98","20.98","159.21","22.34","3.4","1.47","3.63","1.13","1.47","33.45","1550.63"
"2000","6787","Estimated","Estimated using previous year's AADF on this link","South East","Kent","A225","PU","553050","155000","A224","A25","1.30000000000000010","41.91","55.25","7217.09","134.31","698.7","35.72","5.72","3.33","8.57","2.86","1.43","57.63","8162.98"
"2000","6789","Estimated","Estimated using previous year's AADF on this link","South East","Kent","A226","PU","555000","173860","Home Gardens","A296","0.43000000000000000","23.02","52.87","2566.68","62.87","357.69","45.41","5.4","3.81","6.35","3.33","4.45","68.74","3108.84"
"2000","6792","Estimated","Estimated using previous year's AADF on this link","South East","Kent","A228","PR","566570","155000","A26","A20","3.60000000000000010","15.79","268.35","16624.6","202.58","2684.82","334.12","94.71","148.65","136.81","218.36","203.89","1136.54","20916.9"
"2000","6794","Counted","Manual count","South East","Kent","A229","PR","575480","150000","B2079","B2163","2.16999999999999990","9.53","102.4","6354.38","97.64","1135.14","252.43","19.85","58.74","38.1","112.72","52.39","534.23","8223.79"
"2000","6817","Counted","Manual count","South East","Kent","A249","TR","587560","164000","M2 spur road roundabout","A2","2.24000000000000020","5.72","186.97","21836.8","169.83","4478.4","955.28","177.99","317.61","406.61","1116.13","608.28","3581.91","30253.9"
"2000","6819","Estimated","Estimated using previous year's AADF on this link","South East","Kent","A251","PR","600700","155000","Shottenden Rd","M2","4.23000000000000040","0","123.38","7726.64","72.49","1789","181.98","37.01","64.77","58.61","46.27","27.76","416.41","10127.9"
"2000","6820","Estimated","Estimated using previous year's AADF on this link","South East","Kent","A252","PR","596000","150000","A20(T)","Faversham Rd","1.17999999999999990","4.74","14.22","2004.21","10.34","358.1","65.07","17.67","37.92","18.53","6.89","5.17","151.25","2538.12"
"2000","6821","Estimated","Estimated using previous year's AADF on this link","South East","Kent","A253","PR","630000","165690","A28 Canterbury Road","B2190 Minster Rd","1.55000000000000000","6.8","108.86","7641.48","133.81","1412.4","301.08","89.02","24.95","94.12","110.57","359.48","979.21","10275.8"
"2000","6822","Counted","Manual count","South East","Kent","A255","PU","635940","169950","A254/A255 square","A256","2.16999999999999990","119.07","144.47","11725.2","142.88","1267.7","142.09","22.23","5.56","5.56","3.18","0.79","179.4","13459.7"
"2000","6824","Counted","Manual count","South East","Kent","A256","PR","630600","152000","A2(T)","C road towards Nonington","5.58999999999999990","46.95","228.61","16541.9","261.27","2459.65","802.19","104.1","136.76","128.6","185.75","108.18","1465.58","20957"
"2000","6826","Counted","Manual count","South East","Kent","A259","TU","620000","135060","B2063","A2033","2.10999999999999990","104.87","107.19","8567.16","165.02","737.19","90.99","20.05","6.17","6.94","2.31","5.4","131.86","9708.42"
"2000","6827","Estimated","Estimated using previous year's AADF on this link","South East","Kent","A259","TR","606000","124620","B2075","B2071","1.24000000000000000","6.35","34.93","3753.55","35.38","427.75","89.36","14.97","13.61","8.16","13.61","7.71","147.42","4399.02"
"2000","6836","Estimated","Estimated using previous year's AADF on this link","South East","Kent","A261","PR","614800","135160","C road, Court Farm, Pedlinge","Turnpike Hill, Hythe","0.68000000000000000","3.99","11.98","1432.77","16.72","200.08","48.4","7.73","7.23","8.48","5.49","4.24","81.58","1743.12"
"2000","6837","Estimated","Estimated using previous year's AADF on this link","South East","Kent","A262","PR","575000","137500","B2085","A229","2.41999999999999990","9.73","79.61","5324.82","78.72","751.84","116.76","16.81","6.19","10.61","4.42","7.08","161.87","6396.86"
"2000","6843","Counted","Manual count","South East","Kent","A268","PR","580000","128350","A229","LA Boundary","4.84999999999999960","15.92","176.9","10407.3","102.6","1448.85","265.36","47.76","21.23","46","31.84","15.92","428.11","12563.8"
"2000","6851","Estimated","Estimated using previous year's AADF on this link","South East","Kent","A274","PR","585240","140000","Smarden Rd","King's Rd","3.54000000000000000","3.88","95.66","6459.94","84.03","1027.75","196.5","19.39","9.05","31.03","14.22","51.71","321.9","7989.27"
"2000","6865","Estimated","Estimated using previous year's AADF on this link","South East","Kent","A290","PR","612700","160000","Rough Common Rd, Canterbury","Clapham Hill southern roundabout, by A299","3.66999999999999990","52.19","148.53","11851.8","186","1324.74","128.46","17.4","13.38","5.35","4.01","1.34","169.94","13681"
"2000","6866","Estimated","Estimated using previous year's AADF on this link","South East","Kent","A292","PU","600300","143360","A20(T)","A28 Chart Road","0.31000000000000000","6.58","25.4","1823.02","16.44","287.58","60.22","10.89","10.09","7.48","6.58","9.98","105.24","2257.69"
"2000","7823","Estimated","Estimated using previous year's AADF on this link","South East","Kent","A258","PU","632320","142000","A256","Upper Rd","0.62000000000000000","2.49","12.47","1069.82","11.34","84.82","12.47","0.68","0.23","0","0.68","0.23","14.29","1192.74"
"2000","7824","Counted","Manual count","South East","Kent","M25","TM","554050","170000","3","2","3.29000000000000010","0","819.79","110208","1095.06","18360","5194.03","522.89","877.49","1637.18","7123.3","3139.74","18494.6","148978"
"2000","7825","Estimated","Estimated using previous year's AADF on this link","South East","Kent","A264","PU","558000","139430","A264 Mount Ephraim","A26","0.12000000000000000","1.04","2.95","303.69","1.81","33.48","4.31","1","0.23","0.41","0.23","0.14","6.31","348.23"
"2000","7826","Estimated","Estimated using previous year's AADF on this link","South East","Kent","A259","TU","615600","134680","A2008","A261","0.37000000000000000","15.24","25.17","1290.04","22.18","138.94","20.96","0.82","1.91","1.63","0.27","0.54","26.13","1502.46"
"2000","7869","Counted","Manual count","South East","Kent","M20","TM","608000","138750","10","11","6.76999999999999950","0","380.71","74430.8","1520.36","11179","2783.61","494.43","593.31","1710.71","11915.6","1611.83","19109.5","106620"
"2000","7931","Estimated","Estimated using previous year's AADF on this link","South East","Kent","A260","PU","623400","137000","A2033","Wear Bay Rd","0.43000000000000000","3.02","8.41","1175.3","22.86","159.4","11.11","1.27","0.32","1.91","1.75","0.48","16.83","1382.8"
"2000","8024","Estimated","Estimated using previous year's AADF on this link","South East","Kent","M20","TM","561000","159600","2","2","1.30000000000000010","0","284.34","16419.8","206.71","3186.32","431.03","50.49","152.41","300.06","969.23","453.42","2356.64","22453.8"
"2000","8032","Estimated","Estimated using previous year's AADF on this link","South East","Kent","A20","PU","600387","143855","SPUR","M20","0.56000000000000000","10.21","25.11","3047.11","18.37","537.65","121.04","13.27","6.53","26.13","26.13","24.49","217.59","3845.83"
"2000","8105","Estimated","Estimated using previous year's AADF on this link","South East","Kent","A226","PU","554000","174320","A226 West Hill","A2026","0.31000000000000000","8.62","25.17","1815.65","50.12","209.9","16.44","2.61","1.02","2.38","1.59","1.02","25.06","2125.91"
"2000","8107","Estimated","Estimated using previous year's AADF on this link","South East","Kent","A20","TU","632500","141480","A256","East Cliff roundabout","0.43000000000000000","26.35","63.66","3081.86","100.5","398.17","93.03","8.26","8.41","29.85","148.12","62.55","350.23","3994.41"
"2000","8111","Counted","Manual count","South East","Kent","A2042","PU","601000","140800","Malcolm Sargent Rd roundabout","A292","1.49000000000000000","24.49","140.43","11512.9","108.86","1162.67","194.32","15.24","13.61","10.89","26.13","9.8","269.98","13194.9"
"2000","8297","Estimated","Estimated using previous year's AADF on this link","South East","Kent","A20","PU","601000","143721","A28/A292","A28","0.75000000000000000","6.8","13.61","2486.73","17.69","277.06","38.1","14.7","11.7","9.53","5.99","1.91","81.92","2877.01"
"2000","8298","Estimated","Estimated using previous year's AADF on this link","South East","Kent","A2034","PU","622210","136100","A259","Cheriton Rd","0.12000000000000000","3.45","5.22","343.33","14.33","39.01","2.49","0.27","0.09","0.27","0.09","0.05","3.27","405.16"
"2000","8300","Estimated","Estimated using previous year's AADF on this link","South East","Kent","A292","PU","600751","142603","A2042","A292 New St","0.50000000000000000","13.97","50.44","3270.46","65.32","373.59","63.14","5.26","4.9","7.08","5.26","2.72","88.36","3848.17"
"2000","8557","Estimated","Estimated using previous year's AADF on this link","South East","Kent","A2","PU","601404","160577","B2041","A251","0.06000000000000000","0.91","5.78","412.8","3.86","59.76","8.46","1.34","1.32","2.86","3.99","3.42","21.39","503.59"
"2000","8727","Estimated","Estimated using previous year's AADF on this link","South East","Kent","A20","PR","558000","162600","A225","M20 JCT 2","5.33999999999999990","64.37","345.24","12849.8","165.79","2943.28","230.16","23.41","25.36","44.86","25.36","25.36","374.49","16678.6"
"2000","8748","Estimated","Estimated using previous year's AADF on this link","South East","Kent","A2","TR","632000","144388","A256","A258","1.17999999999999990","7.76","54.3","4972.83","120.66","670.08","156.42","24.56","21.55","40.94","182.28","166.77","592.52","6410.38"
"2000","8749","Estimated","Estimated using previous year's AADF on this link","South East","Kent","A2","TR","622100","149540","A260","A2 spur to A260","0.99000000000000000","0.73","31.57","4113.98","156.04","599.48","123.74","21.77","14.15","24.31","136.44","157.85","478.28","5379.34"
"2000","16010","Counted","Manual count","South East","Kent","M2","TM","583000","163600","LA Boundary","SPUR","2.41999999999999990","0","447.57","32039.2","479.41","6402.17","1281.67","159.21","250.32","519.21","1588.6","701.43","4500.45","43868.8"
"2000","16092","Counted","Manual count","South East","Kent","A2","TR","556250","172190","M25","A296","2.60999999999999990","0","1441.23","71004","767.76","12295.7","2357.59","281.96","514.38","763","2785.29","1640.31","8342.54","93851.2"
"2000","16093","Estimated","Estimated using previous year's AADF on this link","South East","Kent","A2","PU","571000","169500","A2 Trunk","LA Boundary","0.56000000000000000","3.67","125.94","3962.18","31.64","789.54","121.86","28.58","34.9","41.23","84.1","106.55","417.22","5326.52"
"2000","16096","Counted","Manual count","South East","Kent","A2","TR","605000","159570","M2","A2050","4.91000000000000010","0","265.18","38298.1","578.73","5563.3","1472.8","137.96","191.71","379.85","1221.96","381.64","3785.91","48491.2"
