Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6010","Counted","Manual count","South East","Medway","M2","TM","573500","165500","2","LA Boundary","2.29999999999999980","0","337.34","39204","542.94","7012.04","1673.29","193.85","407.83","520.28","1680","787.13","5262.38","52358.7"
"2000","6099","Estimated","Estimated using previous year's AADF on this link","South East","Medway","A2","PU","573936","169000","A207/A228 roundabout","B2097","0.93000000000000000","79.95","167.38","12046.5","225.89","1765.3","132.34","37.42","74.16","27.22","25.86","11.23","308.22","14513.3"
"2000","6791","Counted","Manual count","South East","Medway","A228","PU","573000","168800","Roman Way","Priory Rd","0.81000000000000000","16.81","63.69","3904.57","49.83","694.05","117.05","13.56","63.69","28.89","38.92","17.99","280.1","4992.24"
"2000","8106","Estimated","Estimated using previous year's AADF on this link","South East","Medway","A2","PU","574632","168000","High St","A229","0.19000000000000000","5.58","24.77","1261.6","39.53","166.97","35.52","5.58","8.85","4.9","5.1","5.78","65.73","1558.6"
"2000","8414","Estimated","Estimated using previous year's AADF on this link","South East","Medway","A2","PU","577000","167190","New Road","A231","0.93000000000000000","33.34","106.48","6034.48","140.5","695.71","62.94","10.21","6.46","7.48","8.51","7.82","103.42","7080.6"
"2000","16094","Estimated","Estimated using previous year's AADF on this link","South East","Medway","A2","PU","576000","167510","A230","Chatham Hill/High St","0.62000000000000000","23.59","75.98","4814.52","38.56","605.1","97.3","15.42","20.64","11.79","16.78","17.01","178.95","5713.1"
"2000","16778","Estimated","Estimated using previous year's AADF on this link","South East","Medway","A229","PU","574760","164000","LA Boundary","A230","1.06000000000000010","14.65","123.38","11592.7","110.66","1292.01","161.55","23.9","39.33","30.46","51.28","42.03","348.55","13467.3"
"2000","18375","Estimated","Estimated using previous year's AADF on this link","South East","Medway","A231","PU","575750","168080","A231 Medway St","A2 Dock Rd","0.12000000000000000","1.72","9.93","718.91","54.66","70.26","6.03","0.95","2","1.27","2.68","1.13","14.06","867.83"
"2000","26105","Estimated","Estimated using previous year's AADF on this link","South East","Medway","A2","PU","573000","169330","A226","A228","0.31000000000000000","5.56","22.91","1667.78","21.32","261.95","23.59","5.67","3.97","2.61","7.14","7.37","50.35","2024.31"
"2000","26813","Counted","Manual count","South East","Medway","A226","PU","572730","169700","B2108","A2","0.50000000000000000","11.61","17.6","1108.42","25.22","124.65","17.6","0.54","0.18","0.91","0.54","0.18","19.96","1295.85"
"2000","26821","Counted","Manual count","South East","Medway","A231","PU","576000","169000","A2","B2004","0.87000000000000000","64.77","120.66","7282.34","246.08","811.9","95.57","12.7","11.43","13.02","18.42","4.13","155.27","8616.24"
"2000","36838","Counted","Manual count","South East","Medway","A229","PU","574780","166000","A230","A2","1.85999999999999990","27.22","119.07","7791.28","110.23","728.71","81.65","18.37","25.86","7.48","22.45","6.8","162.62","8911.9"
"2000","36895","Counted","Manual count","South East","Medway","A278","PR","580000","163000","M2","Starsted Way","0.56000000000000000","0.41","36.54","4835.61","44.91","742.59","145.95","19.39","20.41","29.39","59.81","36.74","311.69","5971.34"
"2000","46098","Counted","Manual count","South East","Medway","A2","PU","572000","169480","B2108","A226","0.68000000000000000","5.74","63.87","2740.54","33.43","367.73","52.89","4.99","2.99","3.74","10.73","4.74","80.08","3285.66"
"2000","46099","Counted","Manual count","South East","Medway","A2","PU","578000","166860","A231","A289","0.75000000000000000","86.55","93.9","6651.06","96.62","712.79","83.55","6.53","3.27","6.53","7.35","4.63","111.86","7666.22"
"2000","48483","Estimated","Estimated using previous year's AADF on this link","South East","Medway","A2","PU","573480","169270","A228","A207","0.12000000000000000","4.9","21.5","817.39","15.79","105.19","15.65","1.45","2.27","2.31","3.9","2","27.58","987.44"
"2000","48626","Estimated","Estimated using previous year's AADF on this link","South East","Medway","A231","PU","575590","168030","A2","A231","0.81000000000000000","44.52","57.49","2571.6","91.99","327.86","28.3","1.47","0.59","0.88","0.29","0.29","31.84","3080.79"
"2000","56008","Estimated","Estimated using previous year's AADF on this link","South East","Medway","M2","TM","571390","168600","LA Boundary","2","1.06000000000000010","0","323.1","15755.2","326.96","2986.55","672.42","77.11","142.66","292.26","763.8","552.51","2500.75","21892.5"
"2000","56101","Estimated","Estimated using previous year's AADF on this link","South East","Medway","A2","PU","575000","167830","A229","A230","0.62000000000000000","26.31","74.62","4211.91","131.32","564.05","101.38","8.16","13.83","14.97","21.55","14.52","174.41","5156.31"
"2000","56106","Estimated","Estimated using previous year's AADF on this link","South East","Medway","A2","PU","580000","166400","A278 Hoath Way","B2004","1.30000000000000010","92.4","143.36","11466.5","200.04","1216.42","106.69","11.91","18.57","15.24","31.91","17.15","201.47","13227.8"
"2000","56415","Estimated","Estimated using previous year's AADF on this link","South East","Medway","A228","PU","573550","169390","A2","A207","0.25000000000000000","2.63","6.71","459.04","4.08","62.87","4.26","0.64","2.54","0","0.73","0.09","8.26","540.96"
"2000","56776","Counted","Manual count","South East","Medway","A228","PR","580060","175400","The Street","B2001","4.41000000000000010","3.22","140.09","5598.96","69.24","977.44","154.59","48.31","695.64","273.75","660.22","570.04","2402.54","9188.28"
"2000","56796","Counted","Manual count","South East","Medway","A230","PU","575000","165200","A229","A2 intersection","1.80000000000000000","82.22","174.95","10199.9","182.85","1214.81","169.03","17.1","13.15","23.68","21.7","10.52","255.2","12027.8"
"2000","56816","Estimated","Estimated using previous year's AADF on this link","South East","Medway","A228","PU","574150","170000","A207","A289","0.93000000000000000","9.19","20.07","3998.04","87.09","574.6","138.46","22.11","12.25","15.99","21.77","21.77","232.36","4912.16"
"2000","56827","Counted","Manual count","South East","Medway","A228","PR","575461","171564","A289","The Street","3.91000000000000010","24.29","648.69","28879.8","571.54","4037.91","743","208.61","478.66","305.77","811.58","655.84","3203.47","37341.4"
"2000","57398","Estimated","Estimated using previous year's AADF on this link","South East","Medway","A231","PU","577558","168000","B2004","A2","1.80000000000000000","58.54","36.17","3075.51","112.47","415.68","71.03","7.89","1.32","6.58","2.63","2.63","92.08","3731.91"
"2000","70211","Counted","Manual count","South East","Medway","A228","PU","573450","168950","A228","A2","0.43000000000000000","23.18","35.09","1529.34","32.55","279.26","48.74","3.65","7.3","2.86","8.41","2.7","73.66","1949.89"
"2000","70212","Counted","Manual count","South East","Medway","A231","PU","575880","167650","A231 Railway Street","A2","0.43000000000000000","3.18","30.96","2255.98","73.51","200.99","25.56","2.06","1.75","2.38","2.06","1.11","34.93","2596.37"
"2000","70213","Counted","Manual count","South East","Medway","A2","PU","576020","167850","High St","A231","0.43000000000000000","7.14","16.35","2451.26","74.62","261.48","36.2","3.97","1.91","3.81","2.22","1.91","50.01","2853.72"
"2000","70214","Counted","Manual count","South East","Medway","A2","PU","576300","167560","New Rd","Union St","0.19000000000000000","8.23","25.92","1452.93","15.92","169.56","22.32","1.5","1.36","1.09","1.7","0.61","28.58","1692.91"
"2000","70381","Counted","Manual count","South East","Medway","A289","PR","572800","170920","LA Boundary","A228  Four  Elms Hill/  B2108 Hoo Road","1.93000000000000010","2.81","393.02","16980.8","117.41","3039.42","677.77","122.34","357.17","154.68","806.43","426.07","2544.45","23075.1"
"2000","70383","Counted","Manual count","South East","Medway","A226","PR","572300","170310","LA Boundary","A289","0.31000000000000000","5.22","14.52","734.95","9.64","86.86","8.16","0.57","0.45","0.79","1.02","0","11","856.97"
