Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","7225","Counted","Manual count","South East","Milton Keynes","A509","PR","488760","250000","A422","A428","6.15000000000000040","62.87","655.63","31068.6","242.5","3931.56","1232.68","107.78","114.51","255.97","323.33","220.04","2254.31","38152.6"
"2000","7835","Estimated","Estimated using previous year's AADF on this link","South East","Milton Keynes","A422","PR","488000","242700","Willen Rd","A509","0.62000000000000000","3.18","36.74","3927.05","41.05","459.5","92.53","11.79","5.67","22.23","21.77","19.73","173.73","4638.07"
"2000","8440","Estimated","Estimated using previous year's AADF on this link","South East","Milton Keynes","A428","TR","490000","254700","A509","LA Boundary","3.16999999999999990","3.47","74.03","6340.93","47.42","1081.5","289.17","41.64","31.23","62.46","96","67.09","587.59","8131.48"
"2000","8649","Counted","Manual count","South East","Milton Keynes","A509","PR","489920","255000","A428","LA Boundary","0.81000000000000000","0.59","30.37","2636.76","13.86","365.01","104.67","15.92","16.81","20.93","40.98","45.7","245.01","3291.01"
"2000","8718","Counted","Manual count","South East","Milton Keynes","A509","PU","486000","239880","B4034","Tongwell St","1.74000000000000000","0.64","77.48","11952.8","48.26","895.41","160.03","19.05","17.15","25.4","52.71","32.39","306.72","13280.6"
"2000","17826","Estimated","Estimated using previous year's AADF on this link","South East","Milton Keynes","A5","TU","485000","236900","A509","A421","2.66999999999999990","12.68","147.26","28672.1","9.75","3415.3","942.08","101.43","149.21","196.02","317.93","142.39","1849.06","34093.5"
"2000","17827","Counted","Manual count","South East","Milton Keynes","A421","PU","485000","234630","Rhoscolyn Drive","Grafton St","1.99000000000000000","32.66","243.86","18393","82.74","1836.18","377.4","63.14","72.58","71.12","157.49","140.07","881.8","21437.5"
"2000","18161","Estimated","Estimated using previous year's AADF on this link","South East","Milton Keynes","A422","PU","483074","240000","A5","B4034","2.24000000000000020","5.72","148.6","14103.9","126.55","1820.75","459.68","40.82","38.37","66.14","61.24","44.09","710.34","16910.2"
"2000","18739","Counted","Manual count","South East","Milton Keynes","A5","TR","489800","233080","A4146","LA Boundary","2.79999999999999990","1.02","158.19","19953.8","193.91","2472.92","611.34","101.04","232.7","136.76","236.78","217.39","1536.01","24314.8"
"2000","28469","Estimated","Estimated using previous year's AADF on this link","South East","Milton Keynes","A422","PR","490000","245700","A509","LA Boundary","4.34999999999999960","17.46","98.43","14848.9","114.31","1414.55","487.39","34.93","100.02","30.16","101.61","76.2","830.32","17306.5"
