Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6363","Counted","Manual count","South East","Oxfordshire","A34","TR","450120","200000","A415","A4183","2.85999999999999990","1.04","395.4","43971.2","277.51","5785","1962.41","201.35","244.13","859.66","1917.55","1181","6366.11","56795.2"
"2000","6434","Counted","Manual count","South East","Oxfordshire","A40","TR","430000","209710","B4047","A415","4.04000000000000000","2.95","69.29","15405.4","98.77","1909.09","866.83","101.72","132.68","125.31","355.28","172.48","1754.3","19236.9"
"2000","6925","Counted","Manual count","South East","Oxfordshire","A329","PR","460000","195360","A4074","B480","4.41000000000000010","4.83","96.62","4513.62","9.66","605.47","123.99","19.32","4.83","4.83","8.05","0","161.03","5386.4"
"2000","6976","Counted","Manual count","South East","Oxfordshire","A361","PR","440000","232700","B4031","Waller Drive, Banbury","5.83999999999999990","0","91.67","9811.12","63.96","1520.06","458.36","40.51","29.85","46.9","102.33","14.92","692.88","12179.7"
"2000","6977","Estimated","Estimated using previous year's AADF on this link","South East","Oxfordshire","A361","PR","425100","212000","A40(T)","A424","0.62000000000000000","4.54","19.73","2215.61","25.86","324.55","96.39","18.37","13.83","19.05","8.16","49.44","205.25","2791.01"
"2000","7091","Counted","Manual count","South East","Oxfordshire","A420","TR","446520","204200","A338 Tobney Wood","A34 Botley","4.78000000000000020","8.73","251.48","30355.3","160.67","4133.64","1421.54","190.35","214.8","520.42","943.04","447.07","3737.22","38638.3"
"2000","7098","Counted","Manual count","South East","Oxfordshire","A41","TR","456070","220000","M40 JCT 9","BICESTER BP","2.29999999999999980","0","310.49","21232.5","229.93","2853.15","1059.02","105.73","114.13","249.23","588.25","230.77","2347.14","26973.2"
"2000","7105","Estimated","Estimated using previous year's AADF on this link","South East","Oxfordshire","A4260","PR","446260","220000","A4095","B4030","4.91000000000000010","1.79","157.67","13701.3","62.71","1743.35","560.81","68.09","26.88","57.34","46.58","19.71","779.4","16444.4"
"2000","7106","Estimated","Estimated using previous year's AADF on this link","South East","Oxfordshire","A423","TR","452760","203000","A4142 / A4074 Heyford hill","A4144","0.75000000000000000","38.65","130.91","10591.1","77.02","1288.14","279.51","28.03","20.96","84.64","78.65","48.17","539.97","12627.2"
"2000","7637","Counted","Manual count","South East","Oxfordshire","A4095","PR","440000","213400","Early Rd, Witney","A44","7.15000000000000040","174.75","312.98","23886","229.52","3197.66","779.85","59.99","31.3","28.69","49.56","39.12","988.51","28614.6"
"2000","7657","Counted","Manual count","South East","Oxfordshire","A4142","PU","455000","203440","A4158","Horspath Driftway","1.99000000000000000","1.45","236.6","23665.6","172.01","3019.89","658.27","84.19","67.5","158.94","187.25","65.32","1221.46","28315.6"
"2000","7658","Counted","Manual count","South East","Oxfordshire","A4144","PU","450000","209775","A4165","A40(T)","2.35999999999999990","218.91","224.08","12846.6","517.97","1257.43","247.35","50.85","53.43","30.16","6.03","8.62","396.45","15242.5"
"2000","7878","Estimated","Estimated using previous year's AADF on this link","South East","Oxfordshire","A415","PU","435030","209000","A4095","A40","0.75000000000000000","84.37","23.41","2301.39","17.96","354.35","64.77","7.35","1.63","4.08","3.54","11.16","92.53","2789.65"
"2000","7879","Estimated","Estimated using previous year's AADF on this link","South East","Oxfordshire","A418","PR","469240","206000","A329","LA Boundary","0.68000000000000000","2.25","27.44","3206.32","17.46","493.47","119.5","14.97","6.49","48.4","37.42","19.46","246.24","3990.94"
"2000","8060","Counted","Manual count","South East","Oxfordshire","A4130","PR","450000","191345","A34 Milton Heights","B4493","1.99000000000000000","14.52","148.06","10790.6","112.49","1539.34","386.83","52.25","195.96","200.31","307.72","164.02","1307.1","13897.6"
"2000","8236","Estimated","Estimated using previous year's AADF on this link","South East","Oxfordshire","A415","PU","449600","197255","A415 Ock St","A4183","0.25000000000000000","29.67","40.91","1361.62","29.3","157.49","27.22","3.99","0.54","2.45","0.64","2.63","37.47","1626.79"
"2000","8430","Estimated","Estimated using previous year's AADF on this link","South East","Oxfordshire","A4130","PU","476080","182950","A4130 / A4155 Rnbt","New St / Bell St Jct","0.12000000000000000","1.81","5.03","655.63","8.35","78.61","16.15","2.09","1.18","2.31","1.63","0.41","23.77","771.39"
"2000","8596","Counted","Manual count","South East","Oxfordshire","A4074","PR","462000","190000","A4130 Crowmarsh gifford Rnbt","B 4009 JCT BENSON","2.98000000000000000","18.51","178.54","16115.2","115.4","2256.76","458.32","67.5","27.22","91.45","91.45","37.01","772.94","19438.8"
"2000","8659","Counted","Manual count","South East","Oxfordshire","A422","PU","444000","241272","B4100","B4100","0.62000000000000000","13.61","45.59","2938.43","19.05","266.04","68.04","9.98","13.15","5.67","4.31","0.91","102.06","3371.16"
"2000","8660","Counted","Manual count","South East","Oxfordshire","A41","TU","458210","221710","B4100","B4030","0.93000000000000000","3.06","52.73","6679.84","28.92","777.36","294.95","30.96","38.1","59.54","124.51","60.9","608.96","8147.81"
"2000","16334","Estimated","Estimated using previous year's AADF on this link","South East","Oxfordshire","A3400","PR","432900","228000","A44","A361","0.87000000000000000","0","13.02","1119.58","9.84","151.14","40.64","6.99","3.81","11.75","11.43","12.07","86.68","1380.26"
"2000","16335","Counted","Manual count","South East","Oxfordshire","A34","TR","448570","210000","A44 Peartree","A 420 Jct, Botley","3.04000000000000000","0","556.77","63406.5","323.39","7744.81","3060.58","314.5","277.83","1185.78","2447.13","1312.47","8598.3","80629.8"
"2000","16336","Counted","Manual count","South East","Oxfordshire","A34","TR","449730","190000","A4130 Milton","A4185 Chilton","3.85000000000000010","0","433.1","53382.2","260.14","5690.74","2552.19","277.01","279.83","981.5","2484.69","1310.54","7885.76","67651.9"
"2000","16409","Counted","Manual count","South East","Oxfordshire","A40","TR","444000","210190","B4449","A44","3.85000000000000010","29.53","430.29","31692.1","271.39","3913.35","1823.79","240.45","230.61","345.92","542.78","232.02","3415.57","39722.7"
"2000","16427","Counted","Manual count","South East","Oxfordshire","A4260","PR","447000","237350","B4100 Adderbury","Weeping Cross, Banbury","1.37000000000000010","44.91","108.27","8942.38","77.34","879.17","230.02","31.43","15.97","34.43","30.44","10.98","353.26","10360.4"
"2000","16428","Counted","Manual count","South East","Oxfordshire","A41","TR","460000","220570","LA Boundary","B4100","3.35999999999999990","17.15","150.64","14434.6","61.24","2024.47","890.37","181.26","79.61","150.64","284.14","100.43","1686.44","18357.4"
"2000","16883","Estimated","Estimated using previous year's AADF on this link","South East","Oxfordshire","A329","PR","469200","205500","M40","A418","3.04000000000000000","34.45","95.57","7491.42","7.78","1144.66","237.82","34.45","11.11","31.12","43.34","281.16","639.01","9378.45"
"2000","16895","Counted","Manual count","South East","Oxfordshire","A338","PR","445000","200000","A415","A420","2.35999999999999990","6.03","58.61","3641.28","19.82","426.61","123.24","11.2","3.45","11.2","10.34","11.2","170.64","4316.97"
"2000","16942","Estimated","Estimated using previous year's AADF on this link","South East","Oxfordshire","A361","PR","435800","230000","A3400","B 4022","4.16000000000000010","6.08","118.53","7950.35","34.95","1053.06","363.18","25.83","10.64","53.18","36.47","15.2","504.49","9661.38"
"2000","17037","Estimated","Estimated using previous year's AADF on this link","South East","Oxfordshire","A4095","PU","434540","210000","A415","B4022","1.42999999999999990","69.38","31.82","3383.36","47.47","479.39","60.51","12","1.04","2.09","1.56","0.52","77.72","4019.77"
"2000","17038","Counted","Manual count","South East","Oxfordshire","A415","PR","450000","196800","Abingdon Stert St","B 4015 Clifton Hampden","3.91000000000000010","514.38","408.65","17426.2","204.32","1997.52","385.79","51.44","32.86","50.01","38.58","14.29","572.97","20609.6"
"2000","17044","Counted","Manual count","South East","Oxfordshire","A417","PR","430035","195200","A420(T)","Warmans Close","7.58000000000000010","19.37","118.98","13652.2","96.84","2116.73","727.71","143.88","146.65","182.62","143.88","85.78","1430.52","17415.3"
"2000","17051","Estimated","Estimated using previous year's AADF on this link","South East","Oxfordshire","A420","PU","455000","207310","The Plain","A420 London Rd","2.24000000000000020","573.99","143.7","9838.6","851.59","996.92","155.13","21.23","5.72","12.25","3.27","0.82","198.41","12029.2"
"2000","17052","Estimated","Estimated using previous year's AADF on this link","South East","Oxfordshire","A420","TR","445052","200649","A415 Jct Kingston Bagpuize","A 338 JCT","3.16999999999999990","2.31","80.97","13141.1","105.26","2027.66","589.91","97.16","141.12","396.74","441.85","279.92","1946.7","17301.7"
"2000","17066","Estimated","Estimated using previous year's AADF on this link","South East","Oxfordshire","A4165","PR","450000","212000","A4260","Jordan Hill","1.06000000000000010","184.68","107.96","6606.97","247.53","640.03","115.67","18.12","5.78","10.02","12.34","3.47","165.41","7767.89"
"2000","17067","Estimated","Estimated using previous year's AADF on this link","South East","Oxfordshire","A4074","PR","456000","197648","A415","B4015","1.30000000000000010","8.1","73.82","5887.31","61.44","774.91","139.55","12.38","21.43","23.81","21.43","68.58","287.2","7084.68"
"2000","17602","Estimated","Estimated using previous year's AADF on this link","South East","Oxfordshire","A4095","PR","455000","221880","B430","B4030","2.41999999999999990","3.54","61.92","1955.68","14.15","299.85","43.34","10.61","11.5","9.73","4.42","0.88","80.49","2412.09"
"2000","17603","Counted","Manual count","South East","Oxfordshire","A4095","PR","428500","200000","A417","Deer Park Rd, Witney","10.75000000000000000","58.85","204.03","8718.35","0","1275.19","266.81","0","0","11.77","0","0","278.58","10476.1"
"2000","17621","Counted","Manual count","South East","Oxfordshire","A423","TR","451900","203500","Abingdon Rd","A4144","0.31000000000000000","14.18","58.74","4469.22","40.14","543.64","128.14","12.7","7.71","41.16","34.93","14.74","239.39","5351.13"
"2000","17629","Estimated","Estimated using previous year's AADF on this link","South East","Oxfordshire","A4158","PU","452770","205000","A4142","A420","1.99000000000000000","547.95","186.52","6760.47","262","746.08","166.93","8.71","14.52","5.81","3.63","6.53","206.12","8161.19"
"2000","18220","Estimated","Estimated using previous year's AADF on this link","South East","Oxfordshire","M40","TM","462000","204847","8","A40","1.55000000000000000","0","90.72","10389.2","327.16","1369.87","317.52","29.48","25.52","68.04","164.43","114.53","719.52","12896.4"
"2000","18225","Estimated","Estimated using previous year's AADF on this link","South East","Oxfordshire","A417","PU","440000","187880","A338","A338","0.19000000000000000","10.34","12.66","768.65","5.38","92.13","18.64","1.56","1.16","1.91","1.5","1.56","26.33","905.14"
"2000","18516","Counted","Manual count","South East","Oxfordshire","A422","PU","446600","241725","A4260","Wildmere Rd","0.50000000000000000","1.63","55.7","5280.1","28.49","654.82","189.79","29.21","36.83","48.99","82.37","31.21","418.4","6437.51"
"2000","18628","Counted","Manual count","South East","Oxfordshire","M40","TM","454870","221080","10","9","5.58999999999999990","0","479.68","160818","945.08","18944.4","7583.07","626.65","802.19","2923","10336.7","4527.39","26799","207986"
"2000","18642","Counted","Dependent on a neighbouring counted link","South East","Oxfordshire","A422","PR","447381","241781","M40","LA Boundary","0.31000000000000000","2.15","21.77","1751.58","6.92","245.51","58.51","5.78","17.69","9.07","14.74","16.22","122.02","2147.8"
"2000","26364","Estimated","Estimated using previous year's AADF on this link","South East","Oxfordshire","A44","PR","437940","224000","B4030","B4022","0.75000000000000000","0.82","23.95","1529.27","21.5","231.61","63.41","9.53","5.72","13.06","10.34","9.8","111.86","1918.19"
"2000","26365","Counted","Manual count","South East","Oxfordshire","A34","TR","451530","203000","A4183","A423","2.24000000000000020","10.61","261.27","42176.2","313.53","5236.1","1865.66","211.47","230.25","565.82","1637.05","1139.81","5650.05","53637.1"
"2000","26438","Counted","Manual count","South East","Oxfordshire","A40","TR","461200","205500","A4142 Oxford Green Rd Rnbt","A418","4.23000000000000040","0","380.93","36834.9","532.07","4703.84","1403.44","126.46","114.13","319.24","619.98","299.2","2882.45","45334.2"
"2000","26439","Estimated","Estimated using previous year's AADF on this link","South East","Oxfordshire","A40","TR","436000","208660","A415 WITNEY","B4022  JCT WITNEY","2.04999999999999980","2.99","147.44","13671.8","115.26","1633.85","654.89","88.32","65.86","113.01","199.83","135.47","1257.38","16825.7"
"2000","26440","Estimated","Estimated using previous year's AADF on this link","South East","Oxfordshire","A40","TR","424436","211854","A361  Roundabout  BURFORD","A40  OXFORDSHIRE","1.85999999999999990","3.4","53.07","5889.55","27.22","855.26","253.11","37.42","24.49","74.16","120.43","74.16","583.78","7408.89"
"2000","26642","Estimated","Estimated using previous year's AADF on this link","South East","Oxfordshire","A40","PR","470540","200000","A329 MILTON COMMON","LA Boundary","7.45999999999999990","19.05","242.22","13243.3","62.6","1600.3","364.7","38.1","24.49","5.44","27.22","10.89","470.84","15619.3"
"2000","27010","Estimated","Estimated using previous year's AADF on this link","South East","Oxfordshire","A44","PR","431400","227210","New St","London Rd","0.19000000000000000","1.43","14.08","886.29","8.23","130.91","29.8","1.91","1.29","3.88","4.83","3.4","45.11","1084.63"
"2000","27106","Estimated","Estimated using previous year's AADF on this link","South East","Oxfordshire","A415","PR","443273","197290","A420 Kingston Bagpuize","A338","2.60999999999999990","17.15","100.97","6224.99","20.96","1000.19","271.48","30.48","51.44","20","39.06","36.2","448.66","7795.77"
"2000","27121","Counted","Manual count","South East","Oxfordshire","A420","PU","449950","206200","A34(T)","Hollybush Row","1.42999999999999990","596.24","280.64","6795.94","319.24","1225.33","174.23","18.78","12.52","8.35","26.6","19.82","260.3","8881.46"
"2000","27122","Counted","Manual count","South East","Oxfordshire","A420","TR","440000","198500","A415 Rnbt Kingston Bagpuize","A417 JCT FARINGDON","7.58000000000000010","0","359.71","37359.6","132.81","5506.26","1474.79","265.63","210.29","1012.71","1433.29","744.31","5141.02","48499.4"
"2000","27134","Counted","Manual count","South East","Oxfordshire","A4260","PR","446790","229700","B4030","B4031","4.29000000000000010","0","112.67","11450.5","84.51","1683.86","460.09","48.51","75.12","56.34","92.33","32.86","765.25","14096.8"
"2000","27135","Counted","Manual count","South East","Oxfordshire","A4144","PU","451010","206510","Hythe Bridge St/Wocester St","A4165 St Giles","0.50000000000000000","143.34","58.61","1984.05","27.94","282.32","66.59","3.99","1.09","2.36","1.09","0.18","75.3","2428.22"
"2000","27138","Counted","Manual count","South East","Oxfordshire","A424","PR","425000","214540","A361","LA Boundary","4.84999999999999960","0","113.22","8089.84","54.84","866.83","334.35","54.84","38.92","19.46","83.15","46","576.71","9701.44"
"2000","27700","Counted","Manual count","South East","Oxfordshire","A4095","PR","446000","215782","A44","A4260","1.30000000000000010","5.24","34.77","3253.95","28.58","503.43","114.78","22.39","29.53","13.34","15.72","5.24","200.99","4021.72"
"2000","27716","Estimated","Estimated using previous year's AADF on this link","South East","Oxfordshire","A4130","PR","447820","190000","A34 Milton","A417","1.80000000000000000","45.38","63.8","6118.78","69.72","677.45","145.36","26.31","11.84","11.18","25.65","13.81","234.15","7163.9"
"2000","27721","Estimated","Estimated using previous year's AADF on this link","South East","Oxfordshire","A44","TR","449630","210300","A 40","A34 PEARTREE","0.56000000000000000","22.45","66.54","5296.93","109","609.1","192.08","26.74","47.15","45.72","68.79","47.76","428.24","6509.81"
"2000","27902","Estimated","Estimated using previous year's AADF on this link","South East","Oxfordshire","A417","PR","428800","194950","A417 Gravel Walk/Marlborough St","A420","0.81000000000000000","17.1","18.28","2222.21","11.5","311.65","69.88","7.08","4.13","4.42","9.14","5.9","100.54","2664.18"
"2000","28264","Estimated","Estimated using previous year's AADF on this link","South East","Oxfordshire","A415","PU","449806","197140","A4183","A415 Bridge St/High St","0.19000000000000000","16.4","28.1","1029.58","22.79","109.27","19.46","1.97","1.5","1.36","0.88","0.07","25.24","1214.99"
"2000","28457","Estimated","Estimated using previous year's AADF on this link","South East","Oxfordshire","A4260","PR","447170","217350","A4095","A4095","0.12000000000000000","1.59","11.2","540.74","4.81","95.53","16.47","2.77","1.27","3.04","2","1","26.54","678.81"
"2000","28458","Estimated","Estimated using previous year's AADF on this link","South East","Oxfordshire","A4130","PU","476200","182660","A4130 Thames Side","A4155","0.12000000000000000","2.81","6.58","518.78","4.85","67.77","11.48","1.27","1.72","1.18","0.95","0.59","17.19","615.17"
"2000","28756","Counted","Manual count","South East","Oxfordshire","A34","TR","451730","215400","A44 PEARREE  INTERCHANGE","B 430  WESTON ON THE GREEN","5.28000000000000020","11.57","678.59","92750.5","780.76","11863.7","5220.49","647.74","736.42","1760.09","4671.07","2313.36","15349.2","121423"
"2000","28774","Counted","Dependent on a neighbouring counted link","South East","Oxfordshire","M40","TM","445573","243636","LA Boundary","11","3.91000000000000010","0","314.35","84000.3","648.69","9561.82","3856.45","440.08","225.76","1327.4","4610.88","2197.56","12658.1","107183"
"2000","36040","Counted","Manual count","South East","Oxfordshire","M40","TM","473700","196400","6","LA Boundary","1.80000000000000000","0","192.71","48560.9","721.52","5155.22","1956.72","142.73","129.57","473.56","1720.6","559.72","4982.9","59613.2"
"2000","36369","Counted","Manual count","South East","Oxfordshire","A44","PR","446100","215470","A 4095 BLADON","A4260 Rnbt WEST OF PEARTREE","3.60000000000000010","139.44","249.93","23443.8","310.44","2755.85","681.4","106.55","131.54","73.66","181.53","96.03","1270.72","28030.8"
"2000","36442","Counted","Manual count","South East","Oxfordshire","A40","TU","450100","210200","A4144","A4165","0.43000000000000000","18.89","67.63","4355.11","15.88","503.91","172.1","22.07","21.12","26.2","48.9","22.39","312.76","5255.28"
"2000","36980","Estimated","Estimated using previous year's AADF on this link","South East","Oxfordshire","A329","PR","461500","200400","B480","M40","4.66000000000000010","34.02","163.3","10673.8","71.44","1660.18","336.8","51.03","30.62","34.02","30.62","25.52","508.6","13077.3"
"2000","37036","Estimated","Estimated using previous year's AADF on this link","South East","Oxfordshire","A361","PR","439150","231570","B4022","B4031","0.50000000000000000","0.36","11.25","1192.79","5.44","185.43","38.28","6.17","2.9","3.08","6.89","1.45","58.79","1453.7"
"2000","37133","Counted","Manual count","South East","Oxfordshire","A415","PU","447994","196868","A34(T)","A415 Stratton Way","1.12000000000000010","33.88","129","9603.05","68.18","1094.9","259.23","32.25","19.6","45.31","51.03","22.05","429.47","11324.6"
"2000","37138","Estimated","Estimated using previous year's AADF on this link","South East","Oxfordshire","A417","PR","425500","196980","LA Boundary","A417 Gloucester St","4.96999999999999980","32.66","47.17","4443.48","18.14","622.34","170.55","48.99","27.22","34.47","41.73","7.26","330.22","5461.36"
