Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6039","Estimated","Estimated from nearby links","South East","Portsmouth","M27","TM","464300","104900","12","split","0.37000000000000000","0","119.07","11350.6","85.32","1498.24","410.96","66.68","76.61","100.56","226.17","89","969.98","14023.2"
"2000","6118","Counted","Manual count","South East","Portsmouth","A2047","PU","465000","102500","A2047 Kingston Crescent","A2047 Old London Rd","1.37000000000000010","351.77","99.29","5649.74","351.27","917.09","89.31","13.97","3.49","13.47","9.98","14.47","144.7","7162.09"
"2000","6294","Estimated","Estimated using previous year's AADF on this link","South East","Portsmouth","A3","PU","465000","105800","Johnson and Johnson RAB, nr Jnc 12 M27","RAB with A397 Northern Road","0.93000000000000000","89.47","100.02","8670.36","169.08","848.46","147.65","8.51","3.74","5.44","4.76","4.76","174.86","9962.78"
"2000","7554","Estimated","Estimated using previous year's AADF on this link","South East","Portsmouth","A2030","PU","465300","100000","A2047","A288","0.93000000000000000","350.41","104.44","5385.04","130.64","777.7","21.43","3.74","1.02","2.38","1.36","12.93","42.87","6440.68"
"2000","8250","Estimated","Estimated using previous year's AADF on this link","South East","Portsmouth","A2030","PU","467570","105000","A27","LA Boundary","1.55000000000000000","117.94","129.84","10009.8","60.1","1552.45","172.37","47.63","17.01","30.05","39.69","36.29","343.04","12095.3"
"2000","8407","Estimated","Estimated using previous year's AADF on this link","South East","Portsmouth","A2047","PU","465600","103900","A2047 Old London Rd","A288","0.19000000000000000","13.47","16.47","1486.88","53.14","168.88","24.77","4.63","0.75","2.25","2.38","2.93","37.69","1763.06"
"2000","16835","Estimated","Estimated using previous year's AADF on this link","South East","Portsmouth","A288","PU","466400","100000","A2030","A2030","0.37000000000000000","93.62","55.79","3813.79","41.1","495.88","55.25","3.4","1.09","2.04","0.41","0.27","62.46","4469.01"
"2000","17528","Counted","Manual count","South East","Portsmouth","A3","PU","465000","103240","Stamshaw Ave","A2047","1.12000000000000010","270.66","132.27","4885.42","117.98","574.8","94.3","7.35","5.31","15.92","17.15","10.61","150.64","5861.11"
"2000","17972","Estimated","Estimated using previous year's AADF on this link","South East","Portsmouth","A27","PU","465000","105200","M27/A3","M27","0.99000000000000000","75.12","173.09","7772.91","37.01","1049.81","147.33","34.47","30.12","16.33","21.77","8.71","258.73","9291.56"
"2000","18114","Estimated","Estimated using previous year's AADF on this link","South East","Portsmouth","A3","PU","464020","100660","Queen St/Edinburgh Rd","Cascade Approach roundabout","0.31000000000000000","95.6","77.11","3597.74","176.45","398.94","47.85","10.21","4.31","7.26","6.01","9.98","85.62","4335.86"
"2000","18234","Estimated","Estimated using previous year's AADF on this link","South East","Portsmouth","A2047","PU","465680","103840","A2047 London Rd","A288","0.12000000000000000","10.12","13.34","678.86","26.58","100.52","21.5","2.27","0.77","1.54","1.91","1.32","29.3","848.6"
"2000","18392","Estimated","Estimated from nearby links","South East","Portsmouth","M275","TM","464600","104600","M275 Triangle","M27","0.37000000000000000","0","66.68","5023.13","53.62","486.35","87.5","16.6","6.8","14.7","36.61","19.46","181.67","5811.45"
"2000","26264","Estimated","Estimated using previous year's AADF on this link","South East","Portsmouth","A3","PU","465800","105800","A397","B2177","0.19000000000000000","7.35","37.15","1692.7","40.01","169.83","17.01","1.77","1.09","1.09","0.48","1.7","23.13","1962.82"
"2000","26298","Counted","Manual count","South East","Portsmouth","A27","PU","464000","105630","LA Boundary","M27/A3","1.30000000000000010","286.24","244.81","13543.5","70.97","1333.11","225.28","48.58","81.44","18.1","22.86","51.91","448.18","15640.6"
"2000","26299","Counted","Manual count","South East","Portsmouth","A27","TR","468600","105000","A2030","LA Boundary","1.12000000000000010","35.93","326.59","40400.3","260.05","5435.73","1034.48","171.46","263.72","243.31","395.18","193.1","2301.25","48724"
"2000","27074","Estimated","Estimated using previous year's AADF on this link","South East","Portsmouth","A397","PU","465570","105000","M27","A3","0.68000000000000000","29.44","126.49","4812.48","159.67","577.05","64.37","5.49","4.24","3.49","1","3.74","82.33","5758.01"
