Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6127","Estimated","Estimated using previous year's AADF on this link","South East","Reading","A4","PU","473500","173350","A329","LA Boundary","0.43000000000000000","46.52","81.29","4174.29","100.18","576.14","81.29","12.07","11.75","8.73","6.99","7.94","128.75","5060.64"
"2000","6921","Counted","Manual count","South East","Reading","A327","PU","472401","172157","B3350","B3031","1.55000000000000000","320.36","125.31","7529.78","169.53","805.71","175.2","11.34","7.94","5.67","3.97","2.27","206.39","8836.71"
"2000","6924","Estimated","Estimated using previous year's AADF on this link","South East","Reading","A329","PU","470000","173520","Norcot Rd","Prospect St","1.30000000000000010","256.24","167.65","5851.11","274.34","1120.69","201.47","20.48","13.34","10.48","14.29","17.15","277.2","7690.99"
"2000","16116","Counted","Manual count","South East","Reading","A4","PU","471000","172600","A4155","A33","0.75000000000000000","64.5","60.15","4072.88","43.27","563.1","102.33","8.71","10.34","8.16","4.08","1.36","134.99","4874.4"
"2000","16878","Estimated","Estimated using previous year's AADF on this link","South East","Reading","A327","PU","471640","172900","A4W","A329W","0.12000000000000000","7.98","7.39","624.38","25.04","88.72","14.52","1.18","1","0.41","0.27","0.36","17.74","763.27"
"2000","18056","Estimated","Estimated using previous year's AADF on this link","South East","Reading","A4155","PU","472000","175100","A4074","LA Boundary","1.68000000000000010","63.07","55.72","5578.61","36.13","902.01","127.37","11.02","14.7","2.45","4.29","4.29","164.11","6736.59"
"2000","18632","Estimated","Estimated using previous year's AADF on this link","South East","Reading","A329","PU","471180","173850","Chatham St","A4155","0.43000000000000000","5.56","41.28","4176.03","30.96","571.7","73.51","12.22","11.43","13.18","11.43","10.48","132.25","4952.21"
"2000","26121","Estimated","Estimated using previous year's AADF on this link","South East","Reading","A4","PU","468400","172180","Burghfield Rd","Honey End Lane","0.19000000000000000","14.49","28.1","1390.13","14.36","210.52","33.27","6.87","6.87","4.49","3.61","4.63","59.74","1702.84"
"2000","27954","Estimated","Estimated using previous year's AADF on this link","South East","Reading","A329","PU","471050","173300","Civic centre","A4155W","0.31000000000000000","4.99","63.96","3776.91","20.64","461.09","121.57","9.98","8.39","10.55","8.28","19.5","178.27","4500.86"
"2000","28100","Estimated","Estimated using previous year's AADF on this link","South East","Reading","A4155","PU","471126","174454","A329N","A4074","0.43000000000000000","11.43","81.6","4247.63","85.41","693.31","123.04","9.37","19.85","9.37","6.51","7.62","175.75","5283.7"
"2000","36125","Estimated","Estimated using previous year's AADF on this link","South East","Reading","A4","PU","472000","172920","A327E","A329","0.81000000000000000","109.09","71.06","3626.24","93.46","461.13","63.1","3.54","2.06","2.65","2.65","2.06","76.07","4327.97"
"2000","46127","Counted","Manual count","South East","Reading","A4","PU","468900","172320","Honey End Lane","A4155","0.99000000000000000","102.33","96.89","7386.8","91.81","748.99","247.48","33.02","28.67","13.06","30.48","19.96","372.68","8697.16"
"2000","46955","Estimated","Estimated using previous year's AADF on this link","South East","Reading","A329","PU","472600","173260","Watlington St roundabout","A4","0.56000000000000000","78.59","147.17","6206.89","171.87","729.12","147.78","9.59","8.57","16.53","6.12","15.1","203.71","7458.76"
"2000","48360","Estimated","Estimated using previous year's AADF on this link","South East","Reading","A329","PU","471000","173560","Prospect St","Civic centre","0.43000000000000000","6.19","77.32","3930.27","31.28","691.72","94.78","16.99","16.99","11.27","10.16","6.19","156.38","4886.96"
"2000","56881","Counted","Manual count","South East","Reading","A329","PU","474240","172300","A4","B3350","1.17999999999999990","86.62","43.52","5628.69","159.87","0","446.43","120.66","8.19","3.88","3.88","3.45","586.48","6418.57"
"2000","56974","Estimated","Estimated using previous year's AADF on this link","South East","Reading","A327","PU","471980","172350","B3031","A327split","0.12000000000000000","14.56","14.02","995.34","27.49","160.39","13.02","1.77","1.27","0.5","0.41","0.05","17.01","1214.24"
"2000","57820","Counted","Manual count","South East","Reading","A329","PU","471600","173060","A327W","A327E","0.19000000000000000","0.82","20.62","1231.25","7.01","142.88","28.1","2.38","0.88","2.52","2.31","1.09","37.29","1439.05"
"2000","58002","Counted","Manual count","South East","Reading","A4155","PU","471000","173000","A4","A329","0.68000000000000000","58.13","109.27","6024.71","125.49","541.37","140.71","9.73","9.73","18.46","9.48","12.22","200.33","7001.17"
"2000","73893","Counted","Dependent on a neighbouring counted link","South East","Reading","M4","TM","471307","168793","LA Boundary","11","0.37000000000000000","0","89.27","11973.4","126.15","1291.4","465.8","38.24","54.02","114.04","341.15","258.96","1272.21","14752.5"
"2000","73894","Estimated","Estimated using previous year's AADF on this link","South East","Reading","A33","PR","471527","168563","LA Boundary","M4","0.19000000000000000","8.16","33.54","2257.91","17.83","335.03","64.3","8.57","11.63","9.87","15.17","7.62","117.17","2761.48"
"2000","73895","Counted","Dependent on a neighbouring counted link","South East","Reading","M4","TM","471852","168633","11","LA Boundary","0.31000000000000000","0","70.42","10615.7","95.71","1276.21","416.52","40.37","52.28","117.48","330.9","152.64","1110.19","13168.3"
"2000","73896","Estimated","Estimated using previous year's AADF on this link","South East","Reading","A327","PU","473342","170369","LA Boundary","B3350","0.19000000000000000","13.4","7.76","967.6","14.56","119.95","18.85","2.99","2.18","1.29","0.41","0.07","25.79","1135.66"
"2000","73898","Estimated","Estimated using previous year's AADF on this link","South East","Reading","A329","PU","468008","174695","LA Boundary","Norcot Rd","1.24000000000000000","134.72","37.2","7776.54","96.62","732.57","156.04","7.26","3.18","2.27","3.63","0.45","172.82","8815.73"
"2000","73899","Counted","Dependent on a neighbouring counted link","South East","Reading","A4","PU","468000","172160","LA Boundary","Burghfield Rd","0.31000000000000000","2.49","39.12","3360.05","37.88","0","388.17","80.29","9.53","10.77","8.73","13.72","511.21","3948.26"
"2000","74216","Counted","Manual count","South East","Reading","A4","PU","471500","172660","A33","A327","0.37000000000000000","20.96","13.2","970.12","19.32","125.87","22.45","1.09","0.54","0.68","0.41","0.95","26.13","1154.64"
"2000","74217","Counted","Manual count","South East","Reading","A33","PU","471360","172500","A33 Rose Kiln Lane","A33 split","0.43000000000000000","11.27","52.55","3787.39","61.28","511.68","131.77","12.86","10.16","20.96","17.94","6.03","199.72","4612.62"
