Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6269","Estimated","Estimated using previous year's AADF on this link","South East","Surrey","A23","PU","529080","154000","Station Rd North, Reigate","B2031","0.62000000000000000","16.1","75.3","2844.08","46.04","342.47","67.13","3.63","10.66","2.04","2.95","2.27","88.68","3396.56"
"2000","6309","Estimated","Estimated using previous year's AADF on this link","South East","Surrey","A30","PU","500000","170870","A328","B388","0.87000000000000000","29.53","89.22","5505.49","70.81","529.31","118.12","14.61","26.67","13.34","6.99","10.8","190.51","6385.34"
"2000","6816","Counted","Manual count","South East","Surrey","A247","PR","501860","156000","A247 spur","B382","2.49000000000000020","88","121.57","10744","68.95","1332.68","215.91","26.31","10.89","13.61","7.26","2.72","276.7","12543.9"
"2000","6904","Counted","Manual count","South East","Surrey","A320","PU","503450","170000","Norlands Lane","A308","1.62000000000000010","105.55","110.27","7352.74","115.58","742.41","95.53","9.43","27.13","4.13","0","0.59","136.81","8457.8"
"2000","6905","Estimated","Estimated using previous year's AADF on this link","South East","Surrey","A320","PU","501350","160200","A3046","A245","0.99000000000000000","19.6","98.7","7448.49","50.8","691.29","125.19","10.16","45.72","9.07","4.72","6.89","201.76","8491.05"
"2000","7764","Estimated","Estimated using previous year's AADF on this link","South East","Surrey","A25","PU","499500","150850","A322","A320","0.37000000000000000","27.49","53.34","4484.25","51.44","535.88","132.95","25.31","12.79","9.66","11.98","17.42","210.11","5335.03"
"2000","7765","Counted","Manual count","South East","Surrey","A24","PU","522230","162200","A240","A232","0.19000000000000000","13.06","45.45","2199.47","11.77","233.85","50.49","2.59","3.2","3.4","2.45","0.88","63.01","2553.55"
"2000","7766","Counted","Manual count","South East","Surrey","A25","PR","508000","148000","A248","B2126","2.41999999999999990","39.8","214.05","8923.06","62.8","1039.31","188.4","14.15","11.5","15.92","8.85","2.65","241.47","10480.7"
"2000","7768","Counted","Manual count","South East","Surrey","A25","PR","540500","152740","Brassey Rd, Oxted","LA Boundary","2.16999999999999990","11.11","84.14","9647.07","92.87","1070.04","242.11","23.02","33.34","30.16","46.04","19.05","393.73","11287.9"
"2000","7770","Counted","Manual count","South East","Surrey","A244","PR","514070","162000","Heath Rd","A3","0.68000000000000000","19.96","107.53","5038.26","39.67","589.77","85.32","15.22","36.92","4.24","3.99","3.99","149.69","5924.91"
