Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6015","Counted","Manual count","South East","West Berkshire","M4","TM","449300","173350","13","12","11.56000000000000000","0","1944.72","301158","3269.33","30111.6","11149.5","940.72","1236.02","4222.71","10115.9","7306.42","34971.3","371455"
"2000","6129","Counted","Manual count","South East","West Berkshire","A4","PU","446000","167940","A34 spur","B4494","0.99000000000000000","16.33","65.32","5073.44","26.13","543.23","117.21","13.43","6.89","7.98","3.99","3.27","152.77","5860.89"
"2000","6364","Counted","Manual count","South East","West Berkshire","A339","TR","447081","169543","A4 intersection","A34","2.16999999999999990","6.35","105.58","12744.5","36.51","1655.08","623.93","68.27","53.18","211.95","379.44","188.92","1525.69","16067.3"
"2000","6936","Estimated","Estimated using previous year's AADF on this link","South East","West Berkshire","A338","PR","436130","173000","M4","B4000","0.68000000000000000","1","14.22","1447.24","4.24","210.81","63.37","6.99","4.49","10.73","15.97","12.47","114.01","1790.52"
"2000","6942","Counted","Manual count","South East","West Berkshire","A340","PR","463500","175000","A4","A329","3.66999999999999990","26.76","198.04","15152.9","97.68","1987.11","499.12","30.78","17.4","8.03","17.4","9.37","582.08","18017.8"
"2000","8059","Counted","Manual count","South East","West Berkshire","A339","TU","447342","166788","A343","A4 intersection","0.81000000000000000","38.33","97.3","10961.6","53.37","1021.62","286.59","34.79","44.82","40.98","69.29","37.44","513.91","12647.8"
"2000","16118","Estimated","Estimated using previous year's AADF on this link","South East","West Berkshire","A4","PR","434000","168920","A338","A338","0.19000000000000000","1.77","11.84","905.89","6.19","123.36","22.66","2.45","5.03","4.29","6.26","3.54","44.23","1091.5"
"2000","16882","Estimated","Estimated using previous year's AADF on this link","South East","West Berkshire","A329","PR","460000","179450","B4009","A340","3.91000000000000010","31.43","121.45","12068","57.15","1888.93","231.47","8.57","1.43","1.43","1.43","5.72","250.05","14385.6"
"2000","16903","Estimated","Estimated using previous year's AADF on this link","South East","West Berkshire","A340","PR","459100","165000","B3051","Church rd","1.68000000000000010","15.31","43.48","4281.02","30.62","728.71","179.42","34.29","66.75","22.05","30.01","26.94","359.46","5443.28"
"2000","18305","Counted","Manual count","South East","West Berkshire","A343","PU","446920","166400","Garden Close Lane","A339","2.10999999999999990","97.16","167.33","11695.6","80.97","1154.37","205.89","27.76","5.4","4.63","5.4","7.71","256.78","13355.1"
"2000","18684","Counted","Manual count","South East","West Berkshire","A4","PR","460500","167730","A340","A340","2.66999999999999990","30.23","302.33","17439.3","183.35","2993.02","906","83.87","149.21","130.68","196.02","107.28","1573.07","22491"
"2000","26014","Counted","Manual count","South East","West Berkshire","M4","TM","468000","169660","12","LA Boundary","3.23000000000000000","0","773.66","103770","1093.27","11192.2","4036.96","331.4","468.21","988.31","2956.66","2244.33","11025.9","127855"
"2000","26122","Counted","Manual count","South East","West Berkshire","A4","PU","447000","167870","B4494","A339","0.62000000000000000","17.01","48.76","3162.05","26.54","412.55","80.29","7.71","8.39","2.49","6.12","3.86","108.86","3758.76"
