Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6037","Counted","Manual count","South East","West Sussex","M23","TM","530000","135500","11","10A","2.91999999999999990","0","376.28","68811.1","572.42","8531.96","2288.62","398.67","680.08","617.19","978.55","642.78","5605.9","83897.6"
"2000","6279","Counted","Manual count","South East","West Sussex","A24","PU","512000","108300","Bost Hill, Findon Valley","A280","1.06000000000000010","16.96","73.26","6184.78","43.57","858.64","137.65","14.27","15.81","10.8","18.89","12.34","209.75","7370"
"2000","6280","Estimated","Estimated using previous year's AADF on this link","South East","West Sussex","A24","PU","514800","103100","A259","A2031","0.12000000000000000","17.46","16.83","1020.83","17.01","118.25","12.25","0.95","0.32","0.91","0.5","0.5","15.42","1188.34"
"2000","6296","Estimated","Estimated using previous year's AADF on this link","South East","West Sussex","A27","TR","487730","104000","B2145","A259","0.68000000000000000","2.99","56.38","5202.42","48.4","999.92","296.13","44.66","69.11","48.4","66.86","74.1","599.25","6906.37"
"2000","6297","Counted","Manual count","South East","West Sussex","A27","TR","502500","106380","A284 Arundel By-pass","A284 Lyminster Rd","1.30000000000000010","25.72","106.21","10975.9","74.78","1774.62","540.58","69.06","90.02","61.44","152.89","107.16","1021.15","13952.7"
"2000","6298","Counted","Manual count","South East","West Sussex","A27","TR","520000","106000","A2025","A283","1.55000000000000000","149.12","188.81","24962.2","103.76","3247.22","604.42","58.4","59.54","51.03","116.24","91.29","980.91","29482.9"
"2000","6306","Estimated","Estimated using previous year's AADF on this link","South East","West Sussex","A29","PR","510000","128900","A264","A281","3.29000000000000010","37.26","88.95","8117.39","46.88","1182.81","247.62","13.22","38.47","15.63","22.84","18.03","355.8","9791.84"
"2000","6307","Counted","Manual count","South East","West Sussex","A29","PR","504000","117679","B2138","A283","3.16999999999999990","13.88","62.46","8498.15","55.52","1408.84","362.04","38.17","19.66","20.82","61.3","54.36","556.36","10581.3"
"2000","6833","Estimated","Estimated using previous year's AADF on this link","South East","West Sussex","A259","PR","500000","101830","B2233","New Courtwick Lane, Littlehampton","2.24000000000000020","61.24","244.94","13600.1","98.79","1711.35","308.63","42.46","22.86","16.33","28.58","34.29","453.15","16108.4"
"2000","6834","Estimated","Estimated using previous year's AADF on this link","South East","West Sussex","A259","PU","487050","104670","A286","A27","0.87000000000000000","113.67","57.47","3740.39","75.57","400.39","57.15","2.54","1.27","3.18","0.95","5.72","70.81","4344.64"
"2000","6839","Counted","Manual count","South East","West Sussex","A264","PR","520000","133110","A24","A2220","4.84999999999999960","102.6","928.75","66625.7","337.89","6920.5","1873.42","456.41","730.62","380.34","383.88","403.34","4228.01","79040.9"
"2000","6846","Counted","Manual count","South East","West Sussex","A272","PU","533000","123900","Bolnore Rd","B2122","0.62000000000000000","25.86","12.25","4886.19","88.91","401.66","105.24","22","8.62","11.34","6.8","4.08","158.08","5547.09"
"2000","6848","Counted","Manual count","South East","West Sussex","A272","PR","500000","122670","A283","B2133","7.08000000000000010","95.66","74.98","14843.5","77.57","2339.9","597.26","72.39","69.81","36.2","31.03","23.27","829.95","18165.9"
"2000","6854","Estimated","Estimated using previous year's AADF on this link","South East","West Sussex","A280","PR","508000","105000","Dapper's Lane, Angmering","A27","1.42999999999999990","60.51","38.08","4531.5","48.51","606.67","152.84","23.47","12.52","4.69","14.08","14.08","221.7","5446.45"
"2000","6856","Counted","Manual count","South East","West Sussex","A281","PU","516000","130900","B2237","A24","0.99000000000000000","93.62","33.75","6620.76","61.69","381.39","100.52","13.06","1.45","5.08","5.08","1.09","126.28","7223.87"
