Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6133","Estimated","Estimated using previous year's AADF on this link","South West","Bath and North East Somerset","A4","PU","375000","165200","Broad St","A3039","0.31000000000000000","23.7","34.13","1534.08","9.98","187.11","37.88","1.59","0.68","0.34","0","0.45","40.94","1806.24"
"2000","6134","Estimated","Estimated using previous year's AADF on this link","South West","Bath and North East Somerset","A4","TR","365000","169290","A4174/A4175","B3116","1.74000000000000000","33.66","257.19","11432.7","121.93","1700.64","490.89","74.93","36.2","40.64","104.15","73.66","820.47","14332.9"
"2000","6382","Counted","Manual count","South West","Bath and North East Somerset","A37","PR","361700","165000","B3130","Staunton Lane","1.99000000000000000","14.52","171.28","7912.98","61.69","1291.13","389.73","44.27","38.47","35.56","124.11","172.01","804.14","10241.2"
"2000","6990","Estimated","Estimated using previous year's AADF on this link","South West","Bath and North East Somerset","A36","PU","375300","164240","A367 roundabout","A3062 roundabout","0.31000000000000000","19.96","48.54","2646.42","38.67","276.92","78.13","9.75","2.95","6.24","14.52","13.95","125.53","3136.08"
"2000","7128","Estimated","Estimated using previous year's AADF on this link","South West","Bath and North East Somerset","A367","PU","374700","164540","Avon St","A4","0.43000000000000000","14.76","24.29","1285.32","102.24","113.2","17.78","0.48","0.16","0.32","0.32","0.79","19.85","1544.9"
"2000","7937","Estimated","Estimated using previous year's AADF on this link","South West","Bath and North East Somerset","A4","PR","372000","165640","A4 Trunk","Old Newbridge Hill","0.25000000000000000","6.35","27.85","1551.95","23.13","172.1","19.05","0.82","0.45","0.54","1","0.45","22.32","1797.35"
"2000","8116","Estimated","Estimated using previous year's AADF on this link","South West","Bath and North East Somerset","A362","PU","366000","154970","B3355","B3355","0.93000000000000000","9.87","40.82","2148.71","30.28","296.31","41.16","8.51","3.4","1.36","7.82","9.87","72.12","2588.25"
"2000","8292","Estimated","Estimated using previous year's AADF on this link","South West","Bath and North East Somerset","A36","PU","375619","165276","Darlington St","Beckford Rd","0.12000000000000000","8.07","8.39","548.27","16.06","74.93","33.52","3.45","1.36","2.04","2.49","3.4","46.27","693.92"
"2000","16122","Estimated","Estimated using previous year's AADF on this link","South West","Bath and North East Somerset","A36","PR","372200","165000","A4(T)","Connection Rd","0.93000000000000000","16.33","77.57","3901.42","59.54","571.54","156.15","20.07","12.59","17.69","30.96","47.97","285.43","4895.49"
"2000","16354","Counted","Manual count","South West","Bath and North East Somerset","A37","PR","361900","160000","A39","A368","3.54000000000000000","2.59","214.6","12078.3","151.25","1936.56","624.4","102.13","56.88","87.91","297.34","252.09","1420.75","15801.4"
"2000","16389","Estimated","Estimated using previous year's AADF on this link","South West","Bath and North East Somerset","A39","PR","364800","160000","B3115","A368","2.16999999999999990","18.26","58.74","6005.9","46.04","854.13","139.71","26.2","7.94","3.97","19.85","19.05","216.71","7181.52"
"2000","16957","Estimated","Estimated using previous year's AADF on this link","South West","Bath and North East Somerset","A367","PR","372050","160820","B3115","Sulis Manor Rd roundabout","1.06000000000000010","16.58","117.98","5618.01","92.53","645.43","107.19","17.35","20.05","3.47","15.81","14.27","178.13","6652.08"
"2000","17552","Estimated","Estimated using previous year's AADF on this link","South West","Bath and North East Somerset","A3062","PU","375630","164000","A36 roundabout","North Rd/The Avenue","1.06000000000000010","17.35","37.01","1746.59","51.28","141.12","14.27","1.16","0","0.39","0","0","15.81","1991.81"
"2000","17920","Estimated","Estimated using previous year's AADF on this link","South West","Bath and North East Somerset","A36","PU","375440","165500","Beckford Rd","A4","0.31000000000000000","27.22","37.99","1954.45","26.99","207.52","85.5","13.61","5.56","14.06","22.34","25.4","166.47","2393.43"
"2000","18277","Estimated","Estimated using previous year's AADF on this link","South West","Bath and North East Somerset","A4","PU","375010","165130","Saracen St","George St","0.06000000000000000","0.98","1.88","119.48","6.96","17.42","3.47","0.09","0.02","0.07","0","0","3.65","149.39"
"2000","26126","Estimated","Estimated using previous year's AADF on this link","South West","Bath and North East Somerset","A4","PU","376000","166200","A36","A46","1.24000000000000000","76.66","197.32","10647.8","241.32","1212.93","311.17","45.81","79.83","58.51","90.72","76.66","662.71","12962.1"
"2000","26127","Counted","Manual count","South West","Bath and North East Somerset","A4","TR","370000","165500","B3116","A39","3.10999999999999990","52.16","518.24","22353.5","323.19","3007.37","645.25","83.92","39.69","66.91","125.87","91.85","1053.49","27255.8"
"2000","26381","Counted","Manual count","South West","Bath and North East Somerset","A36","TU","376000","165451","Sydney Rd/Beckford Rd","Hantone Hill, Bathampton","1.17999999999999990","20.25","42.66","5068.92","94.37","484.79","163.75","25.42","7.76","32.75","70.67","74.55","374.9","6065.64"
"2000","26417","Estimated","Estimated using previous year's AADF on this link","South West","Bath and North East Somerset","A39","PR","363500","157000","A37","B3355","0.62000000000000000","3.4","19.05","1142.39","7.48","157.85","57.15","10.21","7.94","2.72","8.16","10.21","96.39","1423.17"
"2000","27024","Estimated","Estimated using previous year's AADF on this link","South West","Bath and North East Somerset","A36","PU","375640","165000","A3062 roundabout","Sydney Place","0.68000000000000000","25.7","69.11","4934.73","77.09","587.03","139.21","22.2","12.22","13.22","25.2","26.94","239","5906.95"
"2000","27025","Counted","Manual count","South West","Bath and North East Somerset","A367","PU","368000","154500","LA boundary","A362","1.62000000000000010","46","122.06","5840.79","109.09","924.62","170.42","27.13","21.23","15.92","33.02","20.05","287.76","7284.33"
"2000","27026","Counted","Manual count","South West","Bath and North East Somerset","A368","PR","360000","161000","B3114","A37","5.58999999999999990","32.66","130.64","7687.18","95.94","1408.43","179.63","28.58","4.08","12.25","12.25","20.41","257.19","9579.37"
"2000","27156","Counted","Manual count","South West","Bath and North East Somerset","A4","PU","374000","165200","A3604","A367","0.68000000000000000","44.41","74.1","3654.64","159.42","533.89","89.56","2","6.99","1","0.75","0","100.29","4522.33"
"2000","27638","Estimated","Estimated using previous year's AADF on this link","South West","Bath and North East Somerset","A3062","PU","375000","162260","A367","The Avenue/Ralph Allen Drive","1.49000000000000000","57.7","69.13","5587.46","158.4","588.41","65.32","2.72","0","0.54","0","0","68.58","6471.98"
"2000","28320","Estimated","Estimated using previous year's AADF on this link","South West","Bath and North East Somerset","A36","PU","375783","165443","Bathwick St","Warminster Rd","0.31000000000000000","22.34","14.86","918.09","23.47","122.7","34.13","8.51","5.44","0.79","9.98","56.59","115.44","1194.56"
"2000","36131","Estimated","Estimated using previous year's AADF on this link","South West","Bath and North East Somerset","A4","PU","374700","165000","A367","Broad St","0.37000000000000000","25.99","40.14","1134.77","23.81","212.15","30.75","2.99","1.77","0.27","0.27","0.27","36.33","1447.21"
"2000","36389","Estimated","Estimated using previous year's AADF on this link","South West","Bath and North East Somerset","A37","PR","361770","164000","A368","B3130","1.99000000000000000","5.81","174.91","7497.84","63.87","1220.73","338.93","39.19","22.5","41.37","167.65","117.57","727.21","9684.56"
"2000","36423","Counted","Manual count","South West","Bath and North East Somerset","A39","PR","370000","165300","A368","A4","3.73000000000000000","48.99","114.31","13044.7","100.7","1295.48","310.26","53.07","16.33","9.53","39.46","28.58","457.23","15012.4"
"2000","37050","Counted","Manual count","South West","Bath and North East Somerset","A367","PU","374800","164300","A3062","A36/A3064 roundabout","1.85999999999999990","33.34","139.48","10683.7","584.46","1017.2","206.84","26.54","15.65","16.33","23.13","14.97","303.46","12728.3"
"2000","38015","Estimated","Estimated using previous year's AADF on this link","South West","Bath and North East Somerset","A3039","PU","375085","164955","Dorchester St","Broad St","0.56000000000000000","66.75","40.82","2523.54","179.42","281.69","42.87","2.25","0.61","1.43","0.2","0","47.36","3072.83"
"2000","38606","Estimated","Estimated using previous year's AADF on this link","South West","Bath and North East Somerset","A363","PR","379280","165000","LA Boundary","Bathford Hill","1.93000000000000010","23.2","78.04","3248.94","14.06","508.33","120.93","16.17","3.52","7.03","12.66","45.7","206","4055.37"
"2000","46133","Estimated","Estimated using previous year's AADF on this link","South West","Bath and North East Somerset","A4","TR","371000","165500","A39","A36","0.87000000000000000","24.77","142.88","6875.91","127.64","816.98","333.71","32.7","13.34","21.27","33.66","36.83","471.52","8434.94"
"2000","46389","Estimated","Estimated using previous year's AADF on this link","South West","Bath and North East Somerset","A37","PR","362930","156000","A362","A39","0.87000000000000000","3.49","73.35","4262.72","48.26","664.57","284.82","35.88","15.56","18.1","64.14","87.64","506.13","5555.02"
