Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6952","Estimated","Estimated using previous year's AADF on this link","South West","Bournemouth","A347","PU","408190","96630","A341 Northbourne Roundabout","LA Boundary","0.43000000000000000","9.05","19.37","2442.37","28.1","276.08","37.78","4.29","2.38","1.59","1.27","0.48","47.79","2813.71"
"2000","7584","Estimated","Estimated using previous year's AADF on this link","South West","Bournemouth","A341","PU","406160","96604","A348 Bear Cross Roundabout","C301 Kinson Road Junction","0.81000000000000000","13.56","68.7","3730.03","57.79","493.56","74.89","15.04","2.95","7.96","2.95","2.36","106.14","4456.22"
"2000","7998","Estimated","Estimated using previous year's AADF on this link","South West","Bournemouth","A338","PU","409440","91830","A347 Richmond Hill Roundabout","A338 St Pauls Roundabout","0.56000000000000000","7.14","100.22","10204.2","71.85","782.19","132.07","9.19","10.21","14.29","11.84","4.08","181.67","11340.1"
"2000","8046","Counted","Manual count","South West","Bournemouth","A338","PU","408205","91567","LA Boundary","A347 Richmond Hill Roundabout","1.30000000000000010","27.62","298.15","23550.2","92.87","1969.9","249.09","21.91","20","28.1","31.43","9.53","360.07","26271.2"
"2000","8574","Estimated","Estimated using previous year's AADF on this link","South West","Bournemouth","A347","PU","408645","95350","A3049 Wallisdown Road (roundabout)","A3060 Redhill Roundabout","1.74000000000000000","47.63","71.12","6301.52","50.17","536.61","74.3","6.99","1.27","3.18","1.27","0.64","87.64","7047.05"
"2000","16343","Counted","Manual count","South West","Bournemouth","A35","PU","412820","92605","B3059 Parkwood Road Junction","A3060 Castle Lane East (roundabout)","1.24000000000000000","127.01","114.76","7532.04","172.37","736.65","102.51","5.44","1.81","6.35","5.9","1.36","123.38","8679.2"
"2000","16904","Estimated","Estimated using previous year's AADF on this link","South West","Bournemouth","A347","PU","408303","96348","A3060 Redhill Roundabout","A341 Northbourne Roundabout","0.68000000000000000","47.65","92.31","6306.12","34.93","750.44","94.3","17.96","5.99","6.99","4.99","2.99","133.22","7317.01"
"2000","18030","Counted","Manual count","South West","Bournemouth","A3060","PU","411940","94325","B3063 Charminster Road (roundabout)","A338 Cooper Dean Roundabout","1.42999999999999990","125.72","256.65","15049.4","263.95","1400.61","224.31","14.08","16.69","24","26.08","16.69","321.85","17292.4"
"2000","26374","Counted","Manual count","South West","Bournemouth","A35","PU","410570","91505","A338 St Pauls Roundabout","A3049 Ashley Road (roundabout)","1.68000000000000010","243.72","156.15","10432.2","387.01","811.38","99.2","5.51","7.35","5.51","3.06","0","120.64","11907.4"
"2000","26967","Counted","Manual count","South West","Bournemouth","A338","PU","411850","93950","A3049 Richmond Park Road","A3060 Cooper Dean Roundabout","1.37000000000000010","4.99","229.02","28345","271.93","2321.67","306.36","25.45","17.96","42.41","45.9","10.48","448.57","31616.2"
"2000","27627","Counted","Manual count","South West","Bournemouth","A3049","PU","411175","92630","A338 Wessex Way (roundabout)","A35 Christchurch Road (roundabout)","0.81000000000000000","80.2","98.77","3806.98","102.9","457.59","76.95","5.31","1.77","2.95","2.36","1.47","90.81","4557.06"
