Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6401","Estimated","Estimated using previous year's AADF on this link","South West","Bristol, City of","A38","PU","358000","171000","Parson St","A370 roundabout","1.30000000000000010","78.59","63.82","4591.35","204.32","718.71","123.83","12.38","14.29","4.76","2.86","6.19","164.32","5742.52"
"2000","7046","Counted","Manual count","South West","Bristol, City of","A403","PU","352000","180000","Kings Road Avenue","Unclassified Road","4.41000000000000010","80.51","209.34","10444.3","74.07","3349.39","1323.65","294.68","334.94","278.58","908.2","631.23","3771.28","17848.4"
"2000","7097","Estimated","Estimated using previous year's AADF on this link","South West","Bristol, City of","A420","PU","360000","173300","Midland Rd","Trinity Rd","0.19000000000000000","14.29","31.16","1031.01","42.32","157.85","16.87","2.31","0.68","0.61","0.75","0.54","21.77","1284.12"
"2000","7617","Estimated","Estimated using previous year's AADF on this link","South West","Bristol, City of","A4018","PU","358020","173180","A38","A4176","1.62000000000000010","492.38","297.2","13772.6","503","1265.46","191.06","17.1","4.72","10.61","4.72","0.59","228.8","16067"
"2000","7841","Estimated","Estimated using previous year's AADF on this link","South West","Bristol, City of","A4174","PU","360000","169470","Hartcliffe Way roundabout","A37","1.68000000000000010","17.76","104.71","7805.16","121.86","953.45","550.51","53.28","29.39","31.23","64.91","90.02","819.34","9804.52"
"2000","8390","Estimated","Estimated using previous year's AADF on this link","South West","Bristol, City of","A38","PU","357900","170600","Bedminster Down Rd","Bedminster Rd","0.19000000000000000","8.03","24.36","1165.05","16.94","159.28","29.12","3.2","3.06","5.72","7.14","5.51","53.75","1419.39"
"2000","8391","Estimated","Estimated using previous year's AADF on this link","South West","Bristol, City of","A420","PU","360200","173400","Trinity Rd","Easton Way roundabout","0.25000000000000000","21.68","49.62","1826.02","98.98","308.18","30.75","2.81","3.9","1.09","1.36","0.82","40.73","2323.53"
"2000","8599","Estimated","Estimated using previous year's AADF on this link","South West","Bristol, City of","A4","PU","357134","172436","A3029","Hotwells Rd","0.12000000000000000","6.21","16.47","721.18","21.82","80.29","13.47","2.22","1.77","0.64","1.09","1.32","20.5","860.25"
"2000","8600","Estimated","Estimated using previous year's AADF on this link","South West","Bristol, City of","A4018","PU","356930","177440","A4162","A4162","0.12000000000000000","3.86","9.03","810.77","8.89","61.24","7.48","0.68","0.23","0.36","0.18","0.23","9.16","899.08"
"2000","16123","Estimated","Estimated using previous year's AADF on this link","South West","Bristol, City of","A4","PU","359980","171770","A37","A4320","0.87000000000000000","66.68","329.27","6084.65","231.79","1042.74","225.12","33.02","17.46","17.15","15.88","17.15","325.78","8014.22"
"2000","16124","Counted","Manual count","South West","Bristol, City of","A4","PU","355000","176100","A4162","A4176","2.66999999999999990","51.69","342.31","16791.7","148.24","3063.24","740.21","157.01","165.79","122.88","326.71","178.47","1691.07","22036.6"
"2000","16959","Estimated","Estimated using previous year's AADF on this link","South West","Bristol, City of","A3029","PU","357000","170955","A38","A3029 Ashton Road/Winterstoke Underpass","0.87000000000000000","42.23","153.36","8357.14","103.19","1153.24","246.71","39.06","51.44","29.21","68.9","46.68","482","10248.9"
"2000","16961","Estimated","Estimated using previous year's AADF on this link","South West","Bristol, City of","A370","PU","357400","172000","A3029/B3120","A38 roundabout","1.17999999999999990","81.01","99.97","5435.64","44.38","709.3","158.15","20.68","41.8","24.13","28.87","21.98","295.61","6584.9"
"2000","17057","Estimated","Estimated using previous year's AADF on this link","South West","Bristol, City of","A420","PU","364000","173850","A431","A4017","1.30000000000000010","77.16","134.79","5141.93","115.74","1064.01","107.16","10.95","4.29","6.67","7.62","11.43","148.12","6604.59"
"2000","17091","Estimated","Estimated using previous year's AADF on this link","South West","Bristol, City of","A432","PU","361300","175000","A4320","B4469","1.06000000000000010","67.86","110.27","3652.42","236.35","528.99","57.45","5.78","1.54","2.31","1.16","0","68.24","4596.27"
"2000","17817","Estimated","Estimated using previous year's AADF on this link","South West","Bristol, City of","A37","PU","361100","169000","LA boundary","A4174","1.17999999999999990","36.63","173.23","5976.87","84.03","813.15","169.78","26.29","11.63","21.55","64.64","63.35","357.23","7404.51"
"2000","18042","Estimated","Estimated using previous year's AADF on this link","South West","Bristol, City of","A4320","PU","360450","173701","Lawrence Hill roundabout","A432","0.37000000000000000","12.79","61.1","3147.4","40.82","748.99","125.06","19.73","6.94","14.42","20.82","34.29","221.27","4219.58"
