Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6326","Counted","Manual count","South West","Cornwall excluding Isles of Scilly","A388","PR","232766","84000","A30","A388 Woodra Rd","0.93000000000000000","9.53","43.55","3493.52","55.11","571.88","97.98","22.45","3.4","12.59","14.97","8.16","159.55","4323.61"
"2000","6327","Counted","Manual count","South West","Cornwall excluding Isles of Scilly","A30","TR","210050","70255","A30 spur to A38","A395","16.89999999999999900","6.17","289.94","69764.9","320.79","11178.2","4145.55","894.5","579.88","980.87","2467.59","1400.36","10468.8","92022.6"
"2000","6331","Estimated","Estimated using previous year's AADF on this link","South West","Cornwall excluding Isles of Scilly","A3047","PU","164000","40361","Weeth Rd","B3303","1.06000000000000010","24.68","40.87","3335.49","60.53","446.48","69.4","3.86","1.54","6.55","1.54","1.16","84.05","3967.42"
"2000","6413","Counted","Manual count","South West","Cornwall excluding Isles of Scilly","A38","TR","220000","64913","A30","A390","8.50999999999999980","12.43","323.15","29101.7","214.39","5841.47","1364.05","254.79","229.93","186.43","456.75","264.11","2756.06","38236.8"
"2000","6420","Estimated","Estimated using previous year's AADF on this link","South West","Cornwall excluding Isles of Scilly","A39","TR","215000","88624","A395","B3262","1.93000000000000010","0","12.66","1975.66","14.76","324.82","92.81","32.34","7.73","18.28","6.33","11.25","168.74","2496.64"
"2000","7002","Estimated","Estimated using previous year's AADF on this link","South West","Cornwall excluding Isles of Scilly","A374","PR","234000","57046","A387","B3249","0.81000000000000000","4.13","33.91","1342.7","13.56","196.07","38.33","6.78","1.77","5.31","3.83","2.36","58.38","1644.62"
"2000","7027","Estimated","Estimated using previous year's AADF on this link","South West","Cornwall excluding Isles of Scilly","A387","PR","228400","58000","B3252","B3253","1.06000000000000010","5.4","0.77","540.56","6.55","56.68","6.94","3.86","0","1.16","0","0","11.95","616.51"
"2000","7028","Estimated","Estimated using previous year's AADF on this link","South West","Cornwall excluding Isles of Scilly","A387","PR","221250","52000","Longcoombe Lane","B3359","1.80000000000000000","2.63","23.02","1105.63","33.54","209.16","21.05","1.32","1.32","5.26","1.32","0","30.26","1401.6"
"2000","7033","Estimated","Estimated using previous year's AADF on this link","South West","Cornwall excluding Isles of Scilly","A390","PU","202000","51940","B3273","Charlestown Rd roundabout","1.17999999999999990","21.55","36.2","6856.81","52.14","1375.07","172.37","44.38","8.62","16.37","37.49","13.36","292.6","8612.82"
"2000","7034","Counted","Manual count","South West","Cornwall excluding Isles of Scilly","A390","PU","182066","44000","Station Rd roundabout","A39","0.75000000000000000","4.9","19.32","4206.79","46.81","476.01","69.95","8.16","3.27","8.44","7.62","7.35","104.78","4853.71"
"2000","7037","Estimated","Estimated using previous year's AADF on this link","South West","Cornwall excluding Isles of Scilly","A392","PR","190000","60068","A3058","A39","4.09999999999999960","22.45","146.69","4682.25","58.38","838.25","215.55","44.91","5.99","20.96","8.98","14.97","311.35","6036.93"
"2000","7039","Counted","Manual count","South West","Cornwall excluding Isles of Scilly","A394","PR","168000","28738","Godolphin Rd roundabout","A39","8.33000000000000010","63.82","264.4","23845","224.9","2841.58","583.51","103.33","12.16","63.82","85.1","39.51","887.42","28063.3"
"2000","7581","Estimated","Estimated using previous year's AADF on this link","South West","Cornwall excluding Isles of Scilly","A3058","PR","185000","59300","A392","LA Boundary","2.29999999999999980","2.52","23.5","4063.22","49.51","459.02","77.2","6.71","0.84","6.71","5.03","0.84","97.34","4692.59"
"2000","7582","Estimated","Estimated using previous year's AADF on this link","South West","Cornwall excluding Isles of Scilly","A390","PU","200900","52062","A","B3273","0.43000000000000000","3.49","26.83","2656.22","36.83","399.76","82.08","20.16","3.81","11.43","12.38","3.97","133.83","3253.48"
"2000","7588","Counted","Manual count","South West","Cornwall excluding Isles of Scilly","A3075","PR","180020","55144","B3285","A392","4.54000000000000000","21.52","180.47","12371","162.25","1422.2","281.46","51.32","9.93","31.46","8.28","9.93","392.39","14528.3"
"2000","7589","Counted","Manual count","South West","Cornwall excluding Isles of Scilly","A39","PR","184163","50000","A390","A30","5.58999999999999990","8.16","149.01","17307.4","65.32","2102.44","463.35","134.72","40.82","81.65","149.01","46.95","916.5","20540.6"
"2000","7592","Estimated","Estimated using previous year's AADF on this link","South West","Cornwall excluding Isles of Scilly","A3083","PR","167394","25000","B3293","A394","2.16999999999999990","19.05","95.26","8419.85","42.87","966.85","173.05","45.25","7.14","11.91","0","1.59","238.93","9763.76"
"2000","8604","Counted","Manual count","South West","Cornwall excluding Isles of Scilly","A388","PR","240000","61025","A38(T)","A390","7.38999999999999970","75.57","769.19","25537.2","245.6","3473.52","701.72","134.95","102.56","70.17","129.55","80.97","1219.91","31245.5"
"2000","8617","Counted","Manual count","South West","Cornwall excluding Isles of Scilly","A39","PU","180000","32614","Castle Drive roundabout","B3292 Faalmouth Rd","2.24000000000000020","50.62","100.43","8444.87","66.95","860.57","102.88","22.86","22.86","16.33","15.51","14.7","195.14","9667.96"
"2000","8624","Estimated","Estimated using previous year's AADF on this link","South West","Cornwall excluding Isles of Scilly","A30","TR","150000","31764","Jelbert Way roundabout","A394","1.06000000000000010","11.18","116.82","7695.02","70.56","934.6","170.42","21.59","7.71","16.96","15.81","8.87","241.36","9058.37"
"2000","16302","Counted","Manual count","South West","Cornwall excluding Isles of Scilly","A30","TR","205000","63585","A389","A38(T)","4.41000000000000010","3.22","225.44","27595.4","206.12","4296.24","1428.32","545.89","214.17","322.06","737.51","458.93","3706.87","36030.1"
"2000","16304","Counted","Manual count","South West","Cornwall excluding Isles of Scilly","A30","TR","175000","47294","A3075/A390","B3284","2.04999999999999980","6.74","106.28","8728.33","62.87","1828.44","384.7","107.78","29.94","87.57","130.98","91.31","832.27","11558.2"
"2000","16305","Counted","Manual count","South West","Cornwall excluding Isles of Scilly","A30","TR","165000","41272","A3047 Treswithian Rd intersection","A3047 Tolvaddon Rd intersection","1.80000000000000000","7.23","216.39","11158.2","50.64","1978.43","386.08","84.19","40.78","48.67","64.46","44.73","668.9","14072.6"
"2000","16307","Counted","Manual count","South West","Cornwall excluding Isles of Scilly","A30","PR","145000","29262","B3283","B3315","1.74000000000000000","25.4","78.75","3343.49","42.55","431.19","54.61","13.97","6.99","16.51","3.81","2.54","98.43","3994.41"
"2000","16386","Counted","Manual count","South West","Cornwall excluding Isles of Scilly","A38","TR","240000","59729","A374","A388","5.96999999999999980","13.06","544.32","36341.1","317.88","5571.67","1256.29","243.86","82.74","213.37","433.28","200.31","2429.85","45204.8"
"2000","16387","Counted","Manual count","South West","Cornwall excluding Isles of Scilly","A38","TR","221980","64972","A390","A390","3.29000000000000010","9.62","163.48","21208.8","223.58","3680.65","798.16","112.99","98.57","129.82","206.75","94.96","1441.25","26717.8"
"2000","16388","Counted","Manual count","South West","Cornwall excluding Isles of Scilly","A38","PU","208435","67000","A389","Barnpark Lane","0.31000000000000000","0.23","3.74","361.97","3.97","93.9","31.41","7.37","1.93","5.67","12.7","5.22","64.3","527.88"
"2000","16395","Estimated","Estimated using previous year's AADF on this link","South West","Cornwall excluding Isles of Scilly","A39","TR","224420","110000","A3072 Hospital Road","LA Boundary","8.33000000000000010","54.7","127.64","9603.64","97.25","1619.85","349.5","94.21","39.51","39.51","42.55","30.39","595.67","12044.1"
"2000","16398","Counted","Manual count","South West","Cornwall excluding Isles of Scilly","A390","PR","185000","46081","A39","A3078","4.34999999999999960","38.1","447.7","23723.6","231.79","2852.92","495.33","107.96","12.7","69.85","50.8","28.58","765.22","28021.2"
"2000","16990","Estimated","Estimated using previous year's AADF on this link","South West","Cornwall excluding Isles of Scilly","A387","PR","225000","55622","B3253","B3254","1.80000000000000000","1.97","18.42","1887.66","26.97","197.32","26.31","1.32","0","2.63","0","1.97","32.23","2162.59"
