Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6023","Counted","Manual count","South West","Devon","M5","TM","303700","112172","28","27","4.16000000000000010","0","208.18","62820.3","583.51","7371.4","2817.27","604.79","262.88","1540.84","2940.35","2476.89","10643","81626.4"
"2000","6407","Counted","Manual count","South West","Devon","A379","PR","294000","89374","Sannerville Way Rndbt","Glasshouse Lane","0.56000000000000000","30.01","136.35","5903.78","53.07","854.86","152.68","24.29","10.21","21.84","21.43","18.37","248.82","7196.88"
"2000","6409","Estimated","Estimated using previous year's AADF on this link","South West","Devon","A38","TR","274755","68031","B3380 Cave Inn Rndbt","B3352","1.37000000000000010","0.5","163.16","13699.5","87.82","2197.42","576.3","123.24","104.78","134.22","278.92","200.58","1418.05","17565.9"
"2000","6410","Counted","Manual count","South West","Devon","A38","TR","255004","54969","LA Boundary","B3416 mid-junction","1.17999999999999990","3.88","296.9","18723.1","127.98","2308.01","495.56","136.17","53.87","140.91","192.62","157.72","1176.85","22632.8"
"2000","6418","Estimated","Estimated using previous year's AADF on this link","South West","Devon","A39","PR","256160","135000","Westaway Plain","B3230","0.50000000000000000","4.17","22.68","1085.19","12.16","124.29","17.6","2.18","0.54","1.45","0.36","0.18","22.32","1266.64"
"2000","6419","Counted","Manual count","South West","Devon","A39","TR","240000","123877","LA Boundary","Clovelly Rd roundabout","13.17000000000000000","9.62","110.59","22358","225.98","2985.87","480.82","230.79","43.27","115.4","81.74","115.4","1067.41","26747.8"
"2000","6878","Estimated","Estimated using previous year's AADF on this link","South West","Devon","A303","TR","322100","108000","A30","B3170","1.93000000000000010","0.7","54.14","5301.94","20.39","646.83","185.61","59.06","28.12","47.81","63.28","73.12","457","6480.3"
"2000","6972","Estimated","Estimated using previous year's AADF on this link","South West","Devon","A358","PR","327500","95000","A3052","A358 spur","3.60000000000000010","27.62","118.39","6468.03","81.56","627.47","176.27","10.52","3.95","9.21","3.95","3.95","207.84","7503.29"
"2000","7006","Counted","Manual count","South West","Devon","A376","PR","297700","90000","B3179","A3052","1.42999999999999990","16.69","144.49","9300.86","65.21","1190.39","207.61","34.95","23.47","37.56","27.13","18.78","349.5","11050.5"
"2000","7015","Estimated","Estimated using previous year's AADF on this link","South West","Devon","A380","PR","287220","74570","A381/A383","B3195","1.42999999999999990","0.52","91.29","10287.8","103.81","1452.25","302.55","83.46","87.11","58.42","86.59","67.81","685.96","12621.1"
"2000","7016","Counted","Manual count","South West","Devon","A381","PR","290000","73340","A380/A383","Broadmeadow Lane, Teignmouth","3.16999999999999990","9.25","86.75","12885.4","171.19","1576.56","229.02","53.21","146.9","12.72","80.97","17.35","540.17","15260.1"
"2000","7018","Estimated","Estimated using previous year's AADF on this link","South West","Devon","A381","PR","272000","43828","B3197","A379","1.30000000000000010","1.43","31.91","2191.37","30.01","296.72","34.29","0.48","0","0.95","0","0","35.72","2585.73"
"2000","7019","Estimated","Estimated using previous year's AADF on this link","South West","Devon","A382","PR","280000","80900","B3344","B3212","6.71000000000000000","14.7","63.69","6192.2","110.23","1187.98","274.34","19.6","7.35","17.15","29.39","31.84","379.66","7933.75"
"2000","7020","Estimated","Estimated using previous year's AADF on this link","South West","Devon","A383","PR","280000","71950","A38(T)","Chercombe Bridge Rd, Newton Abbot","3.66999999999999990","20.07","211.42","8984.16","96.34","1358.19","259.6","57.54","48.17","28.1","37.47","24.09","454.96","11105.1"
"2000","7022","Estimated","Estimated using previous year's AADF on this link","South West","Devon","A385","PR","280030","60800","A381","A381","0.62000000000000000","27.22","75.52","4803.63","58.51","632.77","115.9","17.01","4.76","12.47","13.61","5.67","169.42","5739.87"
"2000","7024","Counted","Manual count","South West","Devon","A386","PR","257300","99000","C Road HATHERLEIGH ROAD","A3072 Lamerton Cross","1.80000000000000000","4.6","21.7","1833.07","30.26","358.46","83.53","49.33","35.52","7.23","35.52","24.99","236.12","2479.61"
"2000","7025","Counted","Manual count","South West","Devon","A386","PR","250000","76500","B3357","C road to Lydford","7.45999999999999990","68.04","95.26","12543.9","231.34","1638.41","348.37","54.43","29.94","19.05","78.93","48.99","579.7","15088.6"
"2000","7029","Estimated","Estimated using previous year's AADF on this link","South West","Devon","A388","PR","240000","112600","A3072","B3227","9.63000000000000080","0","70.31","6415.62","105.46","1567.87","471.06","200.38","56.25","45.7","63.28","56.25","892.91","9052.17"
"2000","7041","Counted","Manual count","South West","Devon","A396","PR","295000","110703","A3072","Ashley Rise, Tiverton","3.23000000000000000","11.79","128.55","7041.97","130.91","804.33","135.63","34.2","27.13","30.66","41.28","15.33","284.23","8389.99"
"2000","7576","Counted","Manual count","South West","Devon","A3052","PR","300000","90700","A376 Exmouth Road","B3180","4.84999999999999960","42.46","231.74","16894.4","244.13","2839.32","550.17","203.44","44.23","107.91","137.99","72.53","1116.27","21325.8"
"2000","7586","Estimated","Estimated using previous year's AADF on this link","South West","Devon","A3072","PR","270000","101720","A3124 The Barton","A377 Copplestone","6.83999999999999990","4.99","84.82","4755.1","29.94","768.4","309.36","92.31","39.92","32.43","87.32","22.45","583.78","6222.04"
"2000","7587","Estimated","Estimated using previous year's AADF on this link","South West","Devon","A388","PR","234355","103600","A3072","A3072","0.50000000000000000","0.18","5.99","581.88","5.62","94.71","31.75","7.44","0.91","2","2.72","1.45","46.27","734.47"
"2000","8027","Counted","Manual count","South West","Devon","A361","TR","300000","114266","A396","M5","5.16000000000000010","7.53","212.72","26896.4","212.72","5127.78","1560.55","429.2","99.77","308.72","711.56","506.38","3616.18","36065.8"
"2000","8078","Estimated","Estimated using previous year's AADF on this link","South West","Devon","A386","PR","252363","85965","C road to Lydford","Station Rd","0.87000000000000000","2.22","9.21","1165.3","13.02","196.86","56.84","11.75","6.03","4.45","11.75","10.48","101.29","1485.68"
"2000","8324","Estimated","Estimated using previous year's AADF on this link","South West","Devon","A381","PU","286000","71150","A382","Forde Park","0.81000000000000000","25.65","52.78","3983.89","33.91","565.8","104.08","17.1","8.26","5.31","5.31","5.9","145.95","4782.31"
"2000","8403","Counted","Manual count","South West","Devon","A380","PU","287315","70000","Aller Brake Rd","A381","0.56000000000000000","22.05","80.02","5051.98","107.98","681.35","130.84","54.09","40.21","25.72","19.19","21.43","291.48","6212.81"
"2000","8528","Estimated","Estimated using previous year's AADF on this link","South West","Devon","A386","PR","245977","126997","Old Barnstaple Rd","A39","1.30000000000000010","10.48","46.2","2369.5","55.25","338.64","59.06","10","3.81","2.38","9.05","15.72","100.02","2909.6"
"2000","8621","Estimated","Estimated using previous year's AADF on this link","South West","Devon","A381","PR","277687","53000","A3122 Totnes Cross","C Plymouth Road","0.56000000000000000","1.43","8.37","1013.46","12.25","132.68","40.82","12.04","3.06","3.88","1.63","1.63","63.07","1229.83"
"2000","8622","Estimated","Estimated using previous year's AADF on this link","South West","Devon","A3079","PR","244300","100000","A3072 Dunsland Cross","A386 Fowley Cross Rndbt","12.92000000000000000","61.33","56.61","8849.94","202.85","1707.72","462.31","94.35","28.3","66.04","136.81","127.37","915.19","11732.3"
"2000","8683","Estimated","Estimated using previous year's AADF on this link","South West","Devon","A35","TR","329800","96906","A358","LA Boundary","3.35999999999999990","0","22.05","7868.84","37.97","1113.27","296.38","68.58","48.99","48.99","68.58","68.58","600.11","9642.24"
"2000","16023","Counted","Manual count","South West","Devon","M5","TM","296900","92000","30","29","1.12000000000000010","0","91.45","18097.3","112.27","2520.07","1045.5","33.07","80.02","175.14","389.46","1027.13","2750.32","23571.4"
"2000","16296","Estimated","Estimated using previous year's AADF on this link","South West","Devon","A30","TR","318000","102414","A35","A303(T)","5.03000000000000020","5.51","240.66","14468.9","77.16","2197.15","499.69","137.78","112.06","121.25","203.92","205.75","1280.45","18264.3"
"2000","16297","Counted","Manual count","South West","Devon","A30","TR","310000","97900","","","4.34999999999999960","6.35","233.38","28789.6","141.3","3935.67","852.54","154","69.85","214.33","415.95","246.08","1952.75","35052.7"
"2000","16382","Estimated","Estimated using previous year's AADF on this link","South West","Devon","A379","PR","292400","88979","Bridge road/Sannerville Way Rndbt","A38 Mid Junction","2.16999999999999990","7.94","223.06","9512.13","98.43","1516.96","420.71","88.91","99.23","47.63","61.92","50.01","768.4","12119"
"2000","16383","Counted","Manual count","South West","Devon","A38","TR","283600","76000","A382 Newton Road","B3334","0.99000000000000000","2.54","73.66","10590.7","66.77","1639.5","422.03","154.95","51.89","120.84","230.07","169.47","1149.24","13519.9"
"2000","16384","Counted","Manual count","South West","Devon","A38","TR","270000","59272","B3372","A385 S of Sion Abbey","2.24000000000000020","0","133.9","19738.5","94.71","3274.91","802.6","140.43","76.75","247.39","508.67","321.69","2097.54","25339.5"
"2000","16951","Estimated","Estimated using previous year's AADF on this link","South West","Devon","A361","PU","257000","132600","Alexandra Road","Whiddon Drive","1.06000000000000010","29.69","72.87","6768.91","50.51","880.62","226.32","38.56","7.33","31.62","41.64","49.74","395.2","8168.11"
