Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6318","Estimated","Estimated using previous year's AADF on this link","South West","Dorset","A30","PR","386874","123084","A350 Ivy Cross Roundabout","A350 Royal Chase Roundabout","0.62000000000000000","4.99","40.82","2605.94","23.59","399.85","90.27","18.14","10.43","16.1","28.12","14.52","177.58","3247.78"
"2000","6319","Estimated","Estimated using previous year's AADF on this link","South West","Dorset","A30","PR","369800","118180","LA Boundary","LA Boundary","1.30000000000000010","0.95","44.77","2093.25","31.91","308.15","97.64","9.05","4.76","8.1","10","11.91","141.46","2619.55"
"2000","6959","Estimated","Estimated using previous year's AADF on this link","South West","Dorset","A350","PR","397510","93935","A35 / B3068 roundabout","C5 Wareham Road Junction","0.75000000000000000","4.08","87.09","3843.18","27.22","517.65","126.01","38.92","14.42","15.24","31.84","18.23","244.67","4719.81"
"2000","6961","Estimated","Estimated using previous year's AADF on this link","South West","Dorset","A352","PR","366354","106085","C19 Crossroads","B3146 Crossroads","5.90000000000000040","4.31","45.25","2126.59","32.32","389.98","94.8","8.62","2.15","4.31","17.24","40.94","168.06","2762.2"
"2000","6962","Counted","Manual count","South West","Dorset","A352","PR","380565","85375","A353 Warmwell Cross Roundabout","B3071 Lulworth Road Junction","6.28000000000000020","80.17","645.97","18071.2","174.09","2483.1","503.95","87.05","54.98","59.56","57.27","38.94","801.74","22176.1"
"2000","6963","Counted","Manual count","South West","Dorset","A354","PR","391860","110170","A350 Blandford Bypass (roundabout)","B3081 Handley Cross Roundabout","9.25999999999999980","27.03","253.45","16944","138.55","2602.08","523.8","74.35","54.07","91.24","233.17","91.24","1067.87","21005.9"
"2000","6966","Estimated","Estimated using previous year's AADF on this link","South West","Dorset","A353","PU","368155","79810","King St","Dorchester Rd/Greenhill","0.31000000000000000","37.54","32.43","2197.36","74.05","149.12","33","4.65","6.24","2.15","0.68","0.11","46.83","2499.79"
"2000","7574","Estimated","Estimated using previous year's AADF on this link","South West","Dorset","A3052","PR","335470","93920","LA Boundary","A35 Woods Farm Roundabout","3.29000000000000010","6.01","69.72","5266.15","46.88","418.31","34.86","4.81","0","1.2","0","0","40.87","5841.93"
"2000","7870","Counted","Manual count","South West","Dorset","A31","TR","404000","99890","LA Boundary","B3073 Canford Bottom Roundabout","1.49000000000000000","17.42","252.02","12149.8","58.24","1724.95","513.29","61.51","50.62","93.62","225.89","145.88","1090.82","15275.8"
"2000","8495","Estimated","Estimated using previous year's AADF on this link","South West","Dorset","A30","PR","387450","122495","A350 Royal Chase Roundabout","LA Boundary","0.56000000000000000","5.72","26.54","1136.13","9.8","192.69","42.87","6.33","2.45","6.53","3.88","6.53","68.58","1433.74"
