Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6019","Counted","Manual count","South West","Gloucestershire","M5","TM","389660","223200","11","10","2.91999999999999990","0","201.47","50768.6","265.42","8004.31","3027.33","402.93","272.89","1668.23","3952.59","2528.46","11852.4","71092.2"
"2000","6397","Counted","Manual count","South West","Gloucestershire","A430","PU","383424","218980","A4302","A38/A417","0.93000000000000000","79.95","13.95","3045.48","70.08","298.7","42.53","2.72","1.7","7.14","1.02","0.68","55.79","3484"
"2000","6398","Counted","Manual count","South West","Gloucestershire","A38","PR","379753","211755","A419","B4008","3.41999999999999990","41.16","203.33","11839.1","192.1","1586.7","693.56","114.76","93.56","109.77","283.16","108.52","1403.33","15224.5"
"2000","6435","Estimated","Estimated using previous year's AADF on this link","South West","Gloucestershire","A40","TR","399800","220190","East End Rd, Cheltenham","A436","3.79000000000000000","52.57","985.04","12419.5","135.58","1315.69","388.76","38.74","17.99","103.76","146.65","98.23","794.12","15650"
"2000","6436","Estimated","Estimated using previous year's AADF on this link","South West","Gloucestershire","A40","TU","394000","221700","A40","A4016","0.56000000000000000","104.31","54.91","3315.53","85.12","295.16","47.36","2.65","8.57","4.69","4.49","0","67.77","3818.48"
"2000","6437","Estimated","Estimated using previous year's AADF on this link","South West","Gloucestershire","A38","PU","383560","220000","A417","A40(T)","0.75000000000000000","6.53","41.1","3034.59","20.96","411.78","84.91","11.7","11.98","3.54","4.63","0","116.76","3625.18"
"2000","6438","Counted","Manual count","South West","Gloucestershire","A40","TR","374790","218700","A4136","A48","5.03000000000000020","18.37","225.96","20334.7","161.66","3077.12","655.84","209.43","218.61","202.08","317.82","310.47","1914.24","25713.7"
"2000","6465","Estimated","Estimated using previous year's AADF on this link","South West","Gloucestershire","A44","PR","419372","232278","A424","A429","3.48000000000000000","50.8","113.04","6700.96","104.15","820.47","201.94","58.42","11.43","92.72","73.66","67.31","505.49","8244.11"
"2000","6495","Estimated","Estimated using previous year's AADF on this link","South West","Gloucestershire","A46","PR","384772","206983","A4171","A4173","1.55000000000000000","10.77","77.68","6606.7","44.23","872.05","144.59","9.07","4.54","2.84","0.57","1.13","162.73","7763.38"
"2000","6496","Estimated","Estimated using previous year's AADF on this link","South West","Gloucestershire","A46","PR","380000","188650","LA Boundary","A4135","5.46999999999999980","11.98","69.85","6624.21","47.9","1067.78","289.4","51.89","21.95","87.82","39.92","39.92","530.89","8340.63"
"2000","7078","Estimated","Estimated using previous year's AADF on this link","South West","Gloucestershire","A417","PR","380352","222380","B4213","A40","6.76999999999999950","42.03","242.27","13072.6","108.77","1950.51","383.18","106.3","79.11","59.33","81.58","0","709.5","16083.7"
"2000","7079","Counted","Manual count","South West","Gloucestershire","A417","TR","387300","218140","A40","M5 JCT 11A","1.12000000000000010","0.82","42.46","9018.86","40.01","844.65","305.36","40.01","52.66","51.03","157.58","148.6","755.25","10701.2"
"2000","7090","Estimated","Estimated using previous year's AADF on this link","South West","Gloucestershire","A419","PR","377540","207110","A38","M5 Jct 13","0.50000000000000000","0.18","13.25","1413.6","8.35","220.99","75.3","16.51","16.69","18.14","37.2","0","163.84","1820.03"
"2000","7125","Estimated","Estimated using previous year's AADF on this link","South West","Gloucestershire","A429","PR","416085","221031","A436","A424","2.91999999999999990","10.66","38.37","9717.31","101.27","1321.79","499.94","59.69","18.12","102.33","91.67","75.68","847.44","12026.2"
"2000","7136","Estimated","Estimated using previous year's AADF on this link","South West","Gloucestershire","A435","PR","400014","213240","A436","Stratton Heights","10.50000000000000000","46","172.48","13407.6","199.31","1464.18","367.96","42.16","61.33","42.16","15.33","15.33","544.28","15787.8"
"2000","7655","Estimated","Estimated using previous year's AADF on this link","South West","Gloucestershire","A4136","PR","359600","213425","Berry Hill","A4151","5.53000000000000020","64.59","238.19","12335.2","189.74","1877.23","444.08","183.69","106.98","84.78","183.69","280.57","1283.78","15924.1"
"2000","7663","Estimated","Estimated using previous year's AADF on this link","South West","Gloucestershire","A4151","PR","369872","213865","A48","A4151","3.04000000000000000","0","80.02","4980.95","62.23","660.13","133.36","14.45","18.89","6.67","8.89","0","182.26","5965.58"
