Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","51","Estimated","Estimated using previous year's AADF on this link","South West","Isles of Scilly","A3111","PR","90200","10585","Pierhead, Hugh Town","A3112","0.19000000000000000","7.14","5.92","56.95","1.7","30.69","2.04","0","0","0","0","0","2.04","97.3"
"2000","52","Estimated","Estimated using previous year's AADF on this link","South West","Isles of Scilly","A3112","PR","91000","10240","A3111","A3110","1.24000000000000000","37.2","111.59","279.87","7.26","113.4","4.99","0","0","0","0","0","4.99","517.11"
"2000","53","Estimated","Estimated using previous year's AADF on this link","South West","Isles of Scilly","A3111","PR","91000","10775","A3112","A3110","0.75000000000000000","30.48","26.67","133.63","4.35","71.85","4.08","0","0","0","0","0","4.08","240.59"
"2000","54","Estimated","Estimated using previous year's AADF on this link","South West","Isles of Scilly","A3110","PR","91515","10820","A3111","A3112","0.12000000000000000","3.81","2.99","21.09","0.68","9.71","0.64","0","0","0","0","0","0.64","35.11"
"2000","55","Estimated","Estimated using previous year's AADF on this link","South West","Isles of Scilly","A3110","PR","91800","10890","A3111","A3112","2.49000000000000020","140.62","27.22","363.79","19.96","69.85","24.49","0","0","0","0","0","24.49","505.31"
"2001","51","Estimated","Estimated using previous year's AADF on this link","South West","Isles of Scilly","A3111","PR","90200","10585","Pierhead, Hugh Town","A3112","0.19000000000000000","6.33","5.65","58.31","1.84","30.69","1.91","0","0","0","0","0","1.91","98.39"
"2001","52","Estimated","Estimated using previous year's AADF on this link","South West","Isles of Scilly","A3112","PR","91000","10240","A3111","A3110","1.24000000000000000","32.66","105.69","286.68","7.71","113.4","4.54","0","0","0","0","0","4.54","518.01"
"2001","53","Counted","Manual count","South West","Isles of Scilly","A3111","PR","91000","10775","A3112","A3110","0.75000000000000000","54.98","22.05","228.61","19.05","63.96","8.98","0","0","0","0","0","8.98","342.65"
"2001","54","Estimated","Estimated using previous year's AADF on this link","South West","Isles of Scilly","A3110","PR","91515","10820","A3111","A3112","0.12000000000000000","3.36","2.86","21.59","0.73","9.71","0.59","0","0","0","0","0","0.59","35.47"
"2001","55","Estimated","Estimated using previous year's AADF on this link","South West","Isles of Scilly","A3110","PR","91800","10890","A3111","A3112","2.49000000000000020","123.38","25.4","372.86","21.77","69.85","22.68","0","0","0","0","0","22.68","512.57"
