Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","8077","Estimated","Estimated using previous year's AADF on this link","South West","Plymouth","A374","PU","248100","54710","Cobourg St roundabout","Exeter St roundabout","0.19000000000000000","11.36","35.99","1668.07","89.27","233.58","27.9","1.63","0.54","5.44","1.29","1.91","38.71","2065.63"
"2000","8323","Estimated","Estimated using previous year's AADF on this link","South West","Plymouth","A374","PU","249780","54500","A379 Laira Bridge Rd","Embankment Rd","0.06000000000000000","1.61","5.53","286.56","6.92","52.01","10.27","7.48","3.33","1.79","4.6","1.66","29.14","380.16"
"2000","16994","Estimated","Estimated using previous year's AADF on this link","South West","Plymouth","A386","PU","247700","55093","Cobourg St roundabout","A3064","0.93000000000000000","42.53","53.07","11533.8","494.65","1455.38","58.17","8.16","7.14","9.19","8.51","4.76","95.94","13632.9"
"2000","17538","Estimated","Estimated using previous year's AADF on this link","South West","Plymouth","A386","PU","248000","57530","Beauchamp rd","A38","0.68000000000000000","73.6","184.37","9297.89","128.48","925.07","35.68","6.49","3.24","12.72","8.23","10.23","76.59","10612.4"
"2000","18061","Counted","Manual count","South West","Plymouth","A38","TU","250000","57161","A386","B3413","1.80000000000000000","43.41","611.68","25334.8","149.96","3889.11","832.68","219.02","121.02","93.4","230.86","117.07","1614.05","31599.6"
"2000","27056","Counted","Manual count","South West","Plymouth","A386","PU","248430","58300","A38","B3413","0.62000000000000000","83.92","247.44","10011.7","232.7","972.07","146.06","36.74","13.38","15.2","20.87","15.65","247.89","11711.8"
"2000","27910","Estimated","Estimated using previous year's AADF on this link","South West","Plymouth","A374","PU","251300","56100","B3214","A38","0.75000000000000000","12.79","361.43","14716.3","235.15","2684.86","144.79","92.81","85.73","32.66","75.66","48.99","480.64","18478.3"
"2000","28105","Estimated","Estimated using previous year's AADF on this link","South West","Plymouth","A374","PU","247850","54920","Western Approach roundabout","Charles St roundabout","0.25000000000000000","9.34","72.76","2534.72","52.8","348.64","42.18","2.99","1.09","2.54","2.72","1.72","53.25","3062.17"
"2000","28722","Estimated","Estimated using previous year's AADF on this link","South West","Plymouth","A3064","PU","246000","58382","Wolseley Rd","A38","1.24000000000000000","29.94","234.51","7712.58","34.47","1086.37","58.51","54.43","17.24","12.7","20.41","15.42","178.72","9246.66"
"2000","37070","Estimated","Estimated using previous year's AADF on this link","South West","Plymouth","A374","PU","249100","54420","Tothill Rd roundabout","A379","0.31000000000000000","19.05","89.36","2884.45","109.66","451.79","23.59","12.47","5.44","5.44","7.03","4.65","58.63","3593.88"
