Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","7868","Estimated","Estimated using previous year's AADF on this link","South West","Poole","A350","PU","400320","92930","A3049 / A350 (roundabout)","A35 Creekmoor Junction","0.99000000000000000","10.16","226.07","12757.1","101.61","1464.22","295.75","54.43","21.05","27.22","46.09","33.75","478.28","15027.3"
"2000","7871","Estimated","Estimated using previous year's AADF on this link","South West","Poole","A349","PU","401560","98180","A341","B3073","0.50000000000000000","17.96","49.53","3906.41","16.87","551.94","82.01","19.41","9.25","13.43","22.32","23.59","170.01","4694.77"
"2000","8720","Estimated","Estimated using previous year's AADF on this link","South West","Poole","A350","PU","401000","90744","B3068 Blandford Road","A350 Holes Bay Road/Towngate Bridge (roundanbout)","0.68000000000000000","28.69","78.09","3346.53","52.64","359.25","58.13","7.48","3.74","5.24","15.47","14.22","104.28","3940.79"
"2000","16916","Counted","Manual count","South West","Poole","A349","PU","401517","95739","B3074 Darby's Corner","Dunyeats Rd","1.06000000000000010","28.53","122.99","6532.17","47.81","810.06","189.31","28.53","22.36","40.48","57.06","30.07","367.83","7880.86"
"2000","26971","Counted","Manual count","South West","Poole","A341","PU","405000","96880","King John Avenue","LA Boundary","0.43000000000000000","6.03","13.02","1859.24","8.57","219.25","27.15","8.73","12.22","2.7","3.65","0.32","54.77","2154.85"
"2000","26990","Counted","Manual count","South West","Poole","A350","PU","402170","91200","Dolphin Centre Roundabout","A35 Sandbanks Road","0.87000000000000000","31.12","99.07","7085.47","93.99","519.78","73.98","11.43","2.86","13.34","11.11","1.59","114.31","7912.62"
"2000","28074","Counted","Manual count","South West","Poole","A3040","PU","405871","93033","A35 Bournemouth Road (roundabout)","A3049 Wallisdown Road","1.55000000000000000","62.94","171.8","8667.75","136.08","1127.2","129.28","6.24","5.1","6.24","3.97","3.97","154.79","10257.6"
"2000","28332","Counted","Manual count","South West","Poole","A3049","PU","403770","94930","Old Wareham Road (roundabout)","A348 Ringwood Road (roundabout0","1.74000000000000000","161.94","483.9","19001.7","81.92","2566.2","397.54","91.45","36.2","59.69","94.62","57.15","736.65","22870.4"
"2000","28471","Counted","Manual count","South West","Poole","A3049","PU","401650","93200","A35 Fleet's Corner","Old Wareham Road (roundabout)","1.24000000000000000","53.52","335.21","19591.9","128.37","2766.06","459.95","63.96","29.48","49.9","87.09","42.18","732.57","23554.1"
"2000","36384","Estimated","Estimated using previous year's AADF on this link","South West","Poole","A35","PU","401380","93005","A349 Fleet's Corner","Wimborne Road/Fernside Road Junction","0.87000000000000000","58.74","147.01","7173.43","133.04","528.67","71.44","9.21","2.86","5.08","3.49","3.18","95.26","8077.41"
"2000","37669","Counted","Manual count","South West","Poole","A3049","PU","405000","94830","A348 Mountbatten Arms RoundabouT","A3040 Alder Road (roundabout)","1.12000000000000010","119.61","217.59","7952.94","80.02","1000.19","163.7","21.23","6.12","21.23","23.27","9.8","245.35","9496.09"
"2000","38387","Counted","Manual count","South West","Poole","A348","PU","404720","94744","A3049 Canford Way (roundabout)","A3049 Wallisdown Road (roundabout)","0.25000000000000000","39.64","108.41","3860.96","31.57","586.69","82.83","10.07","9.98","11.16","13.61","7.44","135.08","4722.71"
"2000","38733","Estimated","Estimated using previous year's AADF on this link","South West","Poole","A350","PU","400770","91510","A350 Holes Bay Road/Towngate Bridge (roundanbout)","A349 Broadstone Way","1.12000000000000010","2.45","157.99","9057.64","71.85","775.25","169.83","13.06","6.94","22.45","47.36","31.03","290.67","10353.4"
"2000","46379","Estimated","Estimated using previous year's AADF on this link","South West","Poole","A35","PU","405955","91850","A3040 Alder Road (roundabout)","Wessex Way Junction","0.75000000000000000","55.79","94.71","6062.11","181.53","645.29","174.18","11.7","10.07","11.16","11.98","6.53","225.62","7209.26"
"2000","46988","Estimated","Estimated using previous year's AADF on this link","South West","Poole","A349","PU","401263","94440","A349 Cabot Lane","B3074 Darby's Corner","0.50000000000000000","27.76","63.32","4018.36","27.58","359.61","86.91","11.07","4.9","13.06","18.14","10.89","144.97","4613.85"
"2000","46994","Estimated","Estimated using previous year's AADF on this link","South West","Poole","A350","PU","401300","91000","A350 Holes Bay Road/Towngate Bridge (roundanbout)","Dolphin Centre Roundabout","0.31000000000000000","20.75","54.89","2735.33","51.26","275.56","34.02","3.74","0.57","3.29","2.49","1.59","45.7","3162.73"
"2000","48392","Estimated","Estimated using previous year's AADF on this link","South West","Poole","A35","PU","401949","92022","Wimborne Road/Fernside Road Junction","A350 Parkstone Road Junction","0.81000000000000000","47.76","42.46","3900.15","46","306.63","49.83","4.13","2.36","2.65","2.06","0.88","61.92","4357.15"
"2000","48714","Estimated","Estimated using previous year's AADF on this link","South West","Poole","A349","PU","400662","93873","A350 Holes Bay Road","A349 Waterloo Road","1.30000000000000010","104.31","92.87","5622.02","10.48","682.99","129.55","23.34","9.53","15.72","25.24","22.39","225.76","6634.12"
"2000","56337","Estimated","Estimated using previous year's AADF on this link","South West","Poole","A35","PU","399600","93180","A350 Creekmoor Junction","A349 Fleet's Corner","1.17999999999999990","78.86","100.4","5146.06","31.89","720.07","128.41","11.2","20.68","11.2","12.5","10.77","194.78","6193.2"
"2000","57956","Counted","Manual count","South West","Poole","A31","TR","400830","98971","LA Boundary","A349 (roundabout)","1.42999999999999990","10.43","126.76","8146.99","47.47","1238.9","345.33","45.9","51.12","70.42","134.06","71.46","718.3","10278.4"
"2000","60079","Counted","Manual count","South West","Poole","A35","PU","404600","91670","A35 Commercial Road","A3040 Alder Road (roundabout)","1.74000000000000000","107.96","240.05","9272.24","118.12","936.69","128.28","10.16","3.81","12.7","20.32","6.99","182.26","10749.3"
"2000","70082","Estimated","Estimated from nearby links","South West","Poole","A35","PU","401120","93330","A349 Fleet's Corner","A3049","0.25000000000000000","2.18","13.43","783.73","5.17","110.59","18.42","2.54","1.18","2","3.54","1.72","29.39","942.31"
"2000","73099","Counted","Dependent on a neighbouring counted link","South West","Poole","A338","PU","406703","91663","B3065","LA Boundary","0.19000000000000000","3.95","42.59","3364.31","13.27","281.41","35.58","3.13","2.86","4.01","4.49","1.36","51.44","3753.03"
"2000","73416","Counted","Dependent on a neighbouring counted link","South West","Poole","A31","TR","401994","98834","A341","LA Boundary","0.62000000000000000","7.26","105.01","5062.41","24.27","718.73","213.87","25.63","21.09","39.01","94.12","60.78","454.51","6364.93"
"2000","74932","Estimated","Estimated using previous year's AADF on this link","South West","Poole","A35","PU","402800","91520","A35 Fernside Road","A35 Park Road","0.12000000000000000","6.53","12.79","787.45","9.62","74.53","9.03","1.41","0.54","0.64","1.32","0.23","13.15","897.54"
"2000","74933","Estimated","Estimated using previous year's AADF on this link","South West","Poole","A35","PU","402950","91440","A350 Parkstone Road","A35 Commercail Road","0.31000000000000000","15.88","29.82","2176.94","50.01","184.62","18.48","1.59","0.34","2.15","2.15","0.68","25.4","2466.8"
"2000","74934","Estimated","Estimated using previous year's AADF on this link","South West","Poole","A35","PU","402720","91490","A35 Sandbanks Road","A35 Fernside Road","0.06000000000000000","3.11","5.94","396.27","10","30.64","5.22","0.73","0.23","0.5","0.77","0.18","7.62","450.47"
"2000","77961","Estimated","Estimated using previous year's AADF on this link","South West","Poole","A349","PR","401620","97000","Dunyeats Rd","A341 Queen Anne Drive","0.93000000000000000","30.96","89.13","7767.12","53.75","876.02","209.9","30.96","21.43","21.77","78.25","24.83","387.15","9173.17"
"2000","77962","Estimated","Estimated using previous year's AADF on this link","South West","Poole","A341","PR","404000","97480","Canford Magna, Merley","King John Avenue","1.24000000000000000","44.45","51.71","5400.12","21.77","694.46","57.61","20.41","18.14","7.71","7.26","1.81","112.95","6281.01"
"2000","78065","Estimated","Estimated using previous year's AADF on this link","South West","Poole","A341","PU","402555","97870","A349 Gravel Hill Junction","Canford Magna","1.06000000000000010","2.7","12.72","3027.81","18.51","312.3","72.87","20.82","11.57","6.94","3.86","1.16","117.21","3488.55"
"2000","78066","Estimated","Estimated from nearby links","South West","Poole","A349","PR","401620","98500","B3073","A31","0.12000000000000000","4.08","11.25","888.7","3.86","125.6","18.64","4.45","2.09","3.08","5.08","5.4","38.74","1068.14"
"2000","99862","Counted","Manual count","South West","Poole","A350","PU","400640","92700","A349 Broadstone Way","A3049 / A350 (roundabout)","0.31000000000000000","12.36","23.59","2594.6","52.39","234.17","53.52","6.01","5.78","6.46","10.66","4.76","87.2","2991.95"
"2000","99863","Counted","Manual count","South West","Poole","A3049","PU","400610","93000","A350 Holes Bay Road (roundabout)","A35 Fleet's Corner","0.62000000000000000","3.63","96.84","5470.43","24.95","778.83","116.58","25.63","17.01","17.01","34.25","12.02","222.49","6593.54"
"2000","99864","Counted","Manual count","South West","Poole","A349","PU","401000","93460","A3049","A349","0.37000000000000000","15.92","41.1","3363.09","43.41","326.86","43.27","7.76","2.59","7.21","9.39","4.22","74.44","3848.9"
"2001","7868","Counted","Manual count","South West","Poole","A350","PU","400320","92930","A3049 / A350 (roundabout)","A35 Creekmoor Junction","0.99000000000000000","7.26","185.43","13460","101.97","1864.84","259.82","70.04","31.93","27.94","55.52","33.02","478.28","16090.5"
"2001","7871","Estimated","Estimated using previous year's AADF on this link","South West","Poole","A349","PU","401560","98180","A341","B3073","0.50000000000000000","17.06","51.35","3984.61","17.24","549.76","80.2","22.32","9.25","11.61","19.05","26.49","168.92","4771.88"
"2001","8720","Counted","Manual count","South West","Poole","A350","PU","401000","90744","B3068 Blandford Road","A350 Holes Bay Road/Towngate Bridge (roundanbout)","0.68000000000000000","19.46","87.57","3556.35","25.7","418.88","74.1","13.47","9.98","3.24","20.71","4.99","126.49","4214.97"
"2001","16916","Estimated","Estimated using previous year's AADF on this link","South West","Poole","A349","PU","401517","95739","B3074 Darby's Corner","Dunyeats Rd","1.06000000000000010","27.37","127.24","6662.49","48.58","806.98","185.45","32.77","22.36","35.86","48.97","33.54","358.96","8004.24"
"2001","26971","Estimated","Estimated using previous year's AADF on this link","South West","Poole","A341","PU","405000","96880","King John Avenue","LA Boundary","0.43000000000000000","5.72","13.65","1801.61","8.89","220.84","26.04","9.84","11.91","2.22","3.02","0.32","53.34","2098.34"
"2001","26990","Counted","Manual count","South West","Poole","A350","PU","402170","91200","Dolphin Centre Roundabout","A35 Sandbanks Road","0.87000000000000000","27.62","118.75","6934.33","103.83","531.53","62.23","16.83","3.49","3.49","11.75","0.95","98.75","7787.19"
"2001","28074","Estimated","Estimated using previous year's AADF on this link","South West","Poole","A3040","PU","405871","93033","A35 Bournemouth Road (roundabout)","A3049 Wallisdown Road","1.55000000000000000","60.1","179.74","8398.99","142.32","1135.14","123.04","6.8","5.1","5.1","2.84","3.97","146.85","10003"
"2001","28332","Counted","Manual count","South West","Poole","A3049","PU","403770","94930","Old Wareham Road (roundabout)","A348 Ringwood Road (roundabout0","1.74000000000000000","184.8","386.11","17887.8","75.57","2815.77","349.27","73.66","44.45","50.8","66.04","33.66","617.9","21783.2"
"2001","28471","Counted","Manual count","South West","Poole","A3049","PU","401650","93200","A35 Fleet's Corner","Old Wareham Road (roundabout)","1.24000000000000000","63.96","332.04","18328.7","133.36","2825.03","351.09","71.22","33.11","50.35","79.83","36.29","621.89","22241"
"2001","36384","Estimated","Estimated using previous year's AADF on this link","South West","Poole","A35","PU","401380","93005","A349 Fleet's Corner","Wimborne Road/Fernside Road Junction","0.87000000000000000","56.2","152.41","7316.95","135.58","526.45","69.85","10.8","2.86","4.45","2.86","3.49","94.3","8225.69"
"2001","37669","Estimated","Estimated using previous year's AADF on this link","South West","Poole","A3049","PU","405000","94830","A348 Mountbatten Arms RoundabouT","A3040 Alder Road (roundabout)","1.12000000000000010","114.72","225.35","8112.15","81.65","996.11","160.44","24.49","6.12","18.78","20","10.61","240.45","9655.71"
"2001","38387","Estimated","Estimated using previous year's AADF on this link","South West","Poole","A348","PU","404720","94744","A3049 Canford Way (roundabout)","A3049 Wallisdown Road (roundabout)","0.25000000000000000","38.01","112.31","3938.16","32.11","584.33","81.19","11.52","9.98","9.8","11.61","8.35","132.45","4799.37"
