Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6022","Counted","Manual count","South West","Somerset","M5","TM","330800","134540","24","23","4.96999999999999980","0","208.66","62128.8","344.74","9188.14","4062.45","531.62","333.85","1433.38","3258.67","2153.7","11773.7","83644"
"2000","6320","Estimated","Estimated using previous year's AADF on this link","South West","Somerset","A30","PU","355000","115120","A37","A3088","0.43000000000000000","4.13","28.74","2149.61","22.7","261","49.69","8.26","5.4","6.35","7.46","2.7","79.86","2541.91"
"2000","6383","Estimated","Estimated using previous year's AADF on this link","South West","Somerset","A37","PR","362340","152000","B3139","A39","2.49000000000000020","0.91","64.41","4454.36","11.79","899.04","272.16","50.8","56.25","68.04","106.14","86.18","639.58","6069.18"
"2000","6385","Counted","Manual count","South West","Somerset","A37","PR","352860","120000","Thone Lane roundabout, Yeovil","A303","3.73000000000000000","156.49","479","19504.4","125.19","2109.24","424.57","103.42","77.57","80.29","110.23","35.38","831.45","23049.3"
"2000","6402","Estimated","Estimated using previous year's AADF on this link","South West","Somerset","A38","PR","342030","155000","A371","A371","0.62000000000000000","1.59","24.95","1499.83","13.61","261.95","51.71","12.02","4.31","8.39","7.71","5.44","89.59","1889.93"
"2000","6403","Estimated","Estimated using previous year's AADF on this link","South West","Somerset","A38","PR","331000","140900","trading estate roundabout north of Bridgwater","A39 spur to M5","1.30000000000000010","63.35","131.93","7478.56","95.73","1165.94","339.11","51.44","25.72","51.44","196.7","83.83","748.24","9620.4"
"2000","6416","Estimated","Estimated using previous year's AADF on this link","South West","Somerset","A39","PR","331000","141100","A38 Bristol rd","M5","0.43000000000000000","2.38","16.51","2087.22","17.78","331.02","114.94","33.18","29.69","19.37","46.52","30.64","274.34","2726.87"
"2000","6417","Estimated","Estimated using previous year's AADF on this link","South West","Somerset","A39","PR","307000","140720","B3190","A358","1.17999999999999990","8.19","39.64","4252.76","54.3","486.94","114.19","21.55","3.88","14.22","21.12","10.77","185.73","5019.37"
"2000","6876","Counted","Manual count","South West","Somerset","A303","TR","365300","126600","A359","A371","6.33999999999999990","2.31","453.42","33795.9","117.98","4661.43","1272.35","279.92","303.05","481.18","1170.56","659.31","4166.37","43195.2"
"2000","6877","Counted","Manual count","South West","Somerset","A303","TR","347900","118840","A356","A3088","1.85999999999999990","3.4","187.79","16911.4","110.91","2101.76","608.96","125.19","95.94","232.7","525.95","298.7","1887.43","21199.3"
"2000","6968","Counted","Manual count","South West","Somerset","A356","PR","344160","110400","A30","Broadshard Rd","0.75000000000000000","6.26","36.47","1802.79","16.33","224.53","55.79","10.89","9.8","6.26","10.34","7.35","100.43","2180.55"
"2000","6970","Counted","Manual count","South West","Somerset","A358","PR","320000","126760","B3227","Dene Rd roundabout","2.35999999999999990","37.92","157.72","9465.61","83.6","1229.85","249.93","43.09","14.65","30.16","18.1","11.2","367.14","11303.9"
"2000","6983","Estimated","Estimated using previous year's AADF on this link","South West","Somerset","A358","PU","321000","126300","A3027","A3065","0.68000000000000000","57.38","61.12","4562","52.64","547.11","117.51","25.2","6.24","8.98","16.47","14.72","189.11","5411.98"
"2000","6986","Counted","Manual count","South West","Somerset","A362","PR","376300","150000","A366","Whatcombe Rd, Frome","5.09999999999999960","26.04","174.82","8495.4","81.83","1510.13","437.04","74.39","50.21","53.93","81.83","44.63","742.05","11004.2"
"2000","6991","Estimated","Estimated using previous year's AADF on this link","South West","Somerset","A367","PR","365670","150600","A37","B3139","4.71999999999999980","3.45","137.89","7005.05","49.99","984.22","270.62","24.13","34.47","15.51","49.99","17.24","411.96","8589.12"
"2000","6997","Estimated","Estimated using previous year's AADF on this link","South West","Somerset","A371","PR","364130","132987","B3153","A359","2.16999999999999990","15.88","29.37","2727.5","24.61","408.81","165.9","48.42","28.58","45.25","36.51","27.78","352.45","3542.74"
"2000","6998","Estimated","Estimated using previous year's AADF on this link","South West","Somerset","A372","PR","339100","131560","A361","A378","4.59999999999999960","3.36","75.52","4707.7","62.1","862.66","142.66","46.99","13.43","23.5","31.89","21.82","280.28","5988.26"
"2000","7040","Estimated","Estimated using previous year's AADF on this link","South West","Somerset","A396","PR","293870","140000","B3224","A39","6.90000000000000040","15.1","40.28","3380.98","75.52","707.41","163.64","17.62","5.03","7.55","2.52","0","196.36","4400.56"
"2000","8014","Estimated","Estimated using previous year's AADF on this link","South West","Somerset","A38","PU","323400","124580","A3027","A358","0.68000000000000000","125.24","103.78","6150.69","123.24","674.6","134.22","11.73","3.49","9.98","4.99","4.49","168.9","7221.21"
"2000","8016","Counted","Manual count","South West","Somerset","A3088","PR","350000","117550","A303(T)","Bunford Lane roundabout","3.79000000000000000","45.65","344.49","17407","91.31","2350.54","870.21","135.58","65.02","229.66","352.79","170.17","1823.43","22016.8"
"2000","8017","Counted","Manual count","South West","Somerset","A358","PR","330000","118940","A303","A378","6.33999999999999990","4.63","316.93","37286.8","245.22","6197.5","1871.51","326.18","201.26","599.16","1425.03","818.93","5242.08","49288.6"
"2000","8073","Estimated","Estimated using previous year's AADF on this link","South West","Somerset","A39","PR","325160","139030","C road to Cannington High St","B3339","1.49000000000000000","24.49","64.23","6145.93","34.29","857.31","166.56","52.25","16.33","11.98","44.09","41.91","333.12","7434.88"
"2000","8074","Counted","Manual count","South West","Somerset","A370","PR","335000","153678","B3140","LA Boundary","3.10999999999999990","11.34","208.66","10998.7","104.33","1482.14","297.11","48.76","68.04","40.82","52.16","46.49","553.39","13347.2"
"2000","8382","Estimated","Estimated using previous year's AADF on this link","South West","Somerset","A30","PR","344100","109705","A356","A356","0.06000000000000000","0.5","4.69","121.09","0.79","18.64","4.26","0.73","0.23","0.5","0.66","0.25","6.62","151.84"
"2000","8433","Counted","Manual count","South West","Somerset","A359","PR","368000","134670","Plox","Patwell St","0.37000000000000000","4.22","7.62","536.43","7.08","77.84","9.93","1.09","0.41","1.5","1.22","0","14.15","643.12"
"2000","8632","Estimated","Estimated using previous year's AADF on this link","South West","Somerset","A36","TR","380745","151771","A361","A361","0.62000000000000000","5.22","61.92","5171.28","20.19","714.19","190.97","41.05","36.97","64.18","95.03","55.11","483.31","6450.89"
"2000","8651","Estimated","Estimated using previous year's AADF on this link","South West","Somerset","A361","PR","377021","145588","B3090","B3092","1.12000000000000010","0.82","33.48","2178.78","5.72","416.41","183.71","118.8","140.84","38.78","145.74","96.75","724.63","3359.01"
"2000","8731","Counted","Manual count","South West","Somerset","A303","TR","374000","129610","A371","B3081","2.98000000000000000","4.35","179.63","19259.2","128.46","1965","573.71","143.7","97.98","261.27","562.83","332.04","1971.53","23503.8"
"2000","16295","Estimated","Estimated using previous year's AADF on this link","South West","Somerset","A30","PR","344860","110000","A356","A3066","2.16999999999999990","10.32","58.74","5098.59","28.58","664.41","130.18","24.61","4.76","4.76","17.46","8.73","190.51","6040.83"
"2000","16350","Estimated","Estimated using previous year's AADF on this link","South West","Somerset","A36","TR","382370","150000","A361","LA Boundary","1.62000000000000010","6.49","116.17","6519.52","42.46","891.6","259.46","38.92","29.48","91.99","119.71","79.61","619.17","8188.9"
"2000","16355","Counted","Manual count","South West","Somerset","A37","PR","362650","147000","A367","B3135","0.93000000000000000","1.02","29.94","1712.57","13.95","314.01","105.8","16.33","26.2","24.15","66.68","35.04","274.2","2344.66"
"2000","16356","Estimated","Estimated using previous year's AADF on this link","South West","Somerset","A37","PR","357320","132000","B3153","Stone Lane","2.60999999999999990","1.91","74.3","4780.91","21.91","807.77","274.34","114.31","110.5","76.2","97.16","80.97","753.48","6438.37"
"2000","16377","Estimated","Estimated using previous year's AADF on this link","South West","Somerset","A38","PR","334220","150000","M5 spur","A370","1.62000000000000010","15.92","89.04","9999.22","84.32","1508.99","308.99","95.53","79.61","55.43","95.53","53.66","688.75","12370.3"
"2000","16378","Counted","Manual count","South West","Somerset","A38","PR","330000","134060","A361","A38 spur to M5","4.59999999999999960","342.38","538.74","19085.9","198.04","3104.9","746.85","179.58","53.71","115.8","483.36","441.4","2020.7","24948.3"
