Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6399","Counted","Manual count","South West","South Gloucestershire","A38","PR","361540","185000","Old Aust Rd","B4427","1.80000000000000000","212.44","239.41","13424.8","113.79","1414.1","318.99","68.4","70.38","46.04","124.31","78.27","706.39","15898.4"
"2000","7130","Estimated","Estimated using previous year's AADF on this link","South West","South Gloucestershire","A432","PU","365000","176600","LA Boundary","A4017","0.62000000000000000","41.28","43.09","1938.46","48.08","231.56","31.98","2.04","0.45","2.27","2.95","1.59","41.28","2302.48"
"2000","7668","Estimated","Estimated using previous year's AADF on this link","South West","South Gloucestershire","A4175","PU","365000","175900","B4465","A4017","0.25000000000000000","5.9","9.43","683.12","16.69","90.72","9.07","0.36","0.09","0.09","0.27","1.27","11.16","811.13"
"2000","8057","Estimated","Estimated using previous year's AADF on this link","South West","South Gloucestershire","A4017","PU","364662","177000","LA Boundary","Cleeve Wood Road","0.68000000000000000","15.97","27.69","2157.26","38.42","215.55","27.94","2.99","1.5","1.5","1.75","1","36.67","2475.6"
"2000","16020","Estimated","Estimated using previous year's AADF on this link","South West","South Gloucestershire","M5","TM","355000","179700","LA Boundary","17","2.66999999999999990","0","362.79","62863.1","283.8","7250.93","3120.77","471.04","338.41","1029.86","3139.3","2009.97","10109.4","80870"
"2000","16374","Estimated","Estimated using previous year's AADF on this link","South West","South Gloucestershire","A38","PU","360460","180000","A4174","B4057","1.17999999999999990","268.89","342.58","14551.8","208.57","1544.85","271.48","18.53","50.42","14.65","16.81","16.81","388.69","17036.5"
"2000","16473","Estimated","Estimated using previous year's AADF on this link","South West","South Gloucestershire","A46","PR","376200","180000","M4","A420","1.93000000000000010","8.44","95.62","8085.44","54.14","1296.48","398.65","75.23","61.17","97.03","130.07","137.1","899.24","10430.9"
"2000","17089","Estimated","Estimated using previous year's AADF on this link","South West","South Gloucestershire","A431","PU","367000","170260","A4175","A4175","0.43000000000000000","12.54","42.55","2072.77","27.31","265.29","30.96","1.75","0.95","1.27","1.59","2.06","38.58","2446.5"
"2000","17583","Counted","Manual count","South West","South Gloucestershire","A4018","PU","356950","180200","LA Boundary","M5","1.06000000000000010","16.58","132.25","10895.6","99.86","845.92","129.93","26.99","19.28","7.33","8.87","7.33","199.72","12173.3"
"2000","17633","Counted","Manual count","South West","South Gloucestershire","A4174","PU","363800","178500","M32","A4017","0.81000000000000000","21.23","210.52","11289.5","118.23","1188.5","341.13","57.49","56.61","44.52","117.35","110.57","727.67","13534.4"
