Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6947","Estimated","Estimated using previous year's AADF on this link","South West","Swindon","A4259","PU","416000","184900","Magic R/About","A4312","0.25000000000000000","35.56","60.69","3011.09","54.7","250.3","45.72","2.99","1.36","4.26","4.81","1.72","60.87","3437.66"
"2000","6948","Counted","Manual count","South West","Swindon","A346","PR","419650","177700","B4005","LA Boundary","1.85999999999999990","2.72","61.92","7308.87","45.59","945.76","370.82","56.47","36.06","94.58","136.08","59.88","753.88","9116.02"
"2000","7086","Counted","Manual count","South West","Swindon","A419","TR","419550","184500","A4312 / A420","A4259","2.73000000000000000","1","209.56","32730.8","192.6","3847.99","1733.39","246.49","281.41","640.67","1243.41","616.72","4762.08","41743.1"
"2000","16910","Counted","Manual count","South West","Swindon","A4311","PU","415535","188393","A4259/ Ocotal Way","road to Thamesdown Drive/Salzgitter Drive","2.54999999999999990","193.42","371.95","12396.3","321.74","1670.07","421.24","44.63","116.24","76.25","96.71","56.72","811.79","15571.8"
"2000","16911","Estimated","Estimated using previous year's AADF on this link","South West","Swindon","A4259","PR","418000","182900","B4006","A419","1.06000000000000010","8.87","112.58","7220.01","86.75","843.61","215.53","18.51","25.83","26.6","36.24","21.98","344.69","8607.65"
"2000","16943","Estimated","Estimated using previous year's AADF on this link","South West","Swindon","A361","PR","420280","194100","B4019","LA Boundary","4.46999999999999980","13.06","200.85","11231.5","70.22","1281.88","347.82","66.95","52.25","8.16","13.06","4.9","493.15","13277.6"
"2000","17921","Estimated","Estimated using previous year's AADF on this link","South West","Swindon","A419","TR","418000","187420","A419 spur/A361","B420","0.93000000000000000","6.46","138.8","11448.1","58.51","989.64","344.96","96.96","86.75","120.09","235.76","319.79","1204.31","13839.4"
"2000","26977","Estimated","Estimated using previous year's AADF on this link","South West","Swindon","A4259","PU","415800","185000","Magic Roundabout","A4311","0.50000000000000000","41.37","77.11","3467.69","65.68","459.77","65.68","7.62","2.18","2.72","3.99","2","84.19","4154.44"
"2000","26978","Estimated","Estimated using previous year's AADF on this link","South West","Swindon","A346","PR","419220","180000","M4 J15","B4005","0.87000000000000000","1.59","35.56","4631.36","52.39","496.6","158.76","34.93","12.7","27.31","36.83","75.57","346.1","5562.01"
"2000","27011","Estimated","Estimated using previous year's AADF on this link","South West","Swindon","A361","PR","417600","188000","A419 N","A419 S","0.25000000000000000","19.78","34.47","1108.87","15.15","153.59","41.19","4.72","6.53","31.12","8.16","5.26","96.98","1409.07"
"2000","27123","Counted","Manual count","South West","Swindon","A420","TR","420000","187050","supermarket roundabout","LA Boundary","1.68000000000000010","13.47","153.09","10075.8","70.42","1369.24","484.99","93.69","107.78","214.94","344.15","160.44","1405.98","13074.5"
"2000","27124","Estimated","Estimated using previous year's AADF on this link","South West","Swindon","A3102","PU","413900","184000","B4006","B4289","0.68000000000000000","72.35","109.52","5975.06","93.31","565.82","56.38","2.99","1.25","5.99","2.49","5.74","74.84","6818.55"
"2000","37005","Counted","Manual count","South West","Swindon","A4259","PU","416800","184000","B4006","A4312","1.62000000000000010","74.3","73.71","10950.4","358.53","1203.54","264.18","27.13","17.1","24.77","28.3","10.02","371.5","12957.7"
"2000","38089","Counted","Manual count","South West","Swindon","A4289","PU","415000","183740","B4289","A4361/New port Street","1.17999999999999990","43.09","71.53","6661.61","96.1","623.97","95.66","8.19","2.15","3.88","3.45","0.43","113.76","7566.97"
"2000","46013","Counted","Manual count","South West","Swindon","M4","TM","415500","181900","LA Boundary","15","5.33999999999999990","0","278.92","110719","1384.84","14078.6","5447.7","557.84","571.49","2373.74","8383.18","2861.36","20195.3","146657"
