Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","7010","Counted","Manual count","South West","Torbay","A3022","PU","289750","66370","B3199 Hele Rd","Newton Rd","0.87000000000000000","38.42","131.14","6719.69","141.3","728.07","345.14","75.89","38.42","20","12.07","20.32","511.84","8232.04"
"2000","8304","Estimated","Estimated using previous year's AADF on this link","South West","Torbay","A3022","PU","290715","63680","A379","A3022 Falkland Rd","0.25000000000000000","8.71","13.06","661.99","6.62","65.14","8.35","1.27","0.09","0.64","0.45","0.09","10.89","757.7"
"2000","16975","Estimated","Estimated using previous year's AADF on this link","South West","Torbay","A379","PR","289199","55000","LA Boundary","A3022","1.85999999999999990","8.85","129.28","2774","24.49","378.98","37.42","2.72","0.68","2.72","0.68","0","44.23","3350.98"
"2000","16986","Counted","Manual count","South West","Torbay","A385","PU","287000","59940","Stoke Rd","A380/A3022","0.37000000000000000","3.54","15.24","1557.03","35.93","153.23","63.82","6.94","4.22","4.22","3.54","3.27","86","1847.43"
"2000","17530","Estimated","Estimated using previous year's AADF on this link","South West","Torbay","A3022","PR","290000","55830","Monksbridge Rd, Brixham","A379","1.24000000000000000","35.38","135.63","6114.54","90.27","659.08","139.71","8.16","3.18","4.99","1.36","4.54","161.94","7161.45"
"2000","18031","Counted","Manual count","South West","Torbay","A3022","PU","290520","64366","A3022 Falkland Rd","A3022 Newton Rd","0.62000000000000000","14.97","24.04","2177.28","33.34","202.99","58.06","5.9","0.23","2.49","0.91","1.13","68.72","2506.37"
"2000","27046","Estimated","Estimated using previous year's AADF on this link","South West","Torbay","A3022","PU","290260","65000","A3022 Avenue Rd","B3199","0.68000000000000000","37.92","59.13","4957.93","110.52","476.26","70.1","10.23","0.5","8.23","4.24","2","95.3","5699.13"
"2000","27620","Counted","Manual count","South West","Torbay","A380","PR","287770","65000","Marldon Rd roundabout","A3022","1.30000000000000010","4.76","186.7","8568.77","23.34","901.12","295.77","86.68","30.48","22.86","30.48","24.77","491.05","10171"
"2000","28333","Estimated","Estimated using previous year's AADF on this link","South West","Torbay","A3022","PU","290772","63463","A3022 Rathmore Rd","A3022 Avenue Rd/A379","0.06000000000000000","5.28","9.14","508.01","20.28","52.57","6.65","0.43","0.27","0.27","0.11","0.2","7.94","597.94"
"2000","37078","Estimated","Estimated using previous year's AADF on this link","South West","Torbay","A3022","PU","287600","60000","A380/A385","A3022 Commercial Rd","1.06000000000000010","89.84","184.3","4955.23","176.59","541.71","82.51","7.33","2.31","3.47","1.93","1.16","98.7","5956.53"
"2000","38388","Estimated","Estimated using previous year's AADF on this link","South West","Torbay","A3022","PU","290580","63650","A3022 Avenue Rd","A3022 Torbay Rd","0.37000000000000000","9.8","23.27","908.06","12.93","102.6","14.7","2.18","0.27","2.59","0.41","0.68","20.82","1067.69"
"2000","47047","Estimated","Estimated using previous year's AADF on this link","South West","Torbay","A3022","PU","289000","61488","A3022 Hyde Rd","A3022 Rathmore Rd","2.24000000000000020","194.32","182.89","11289.5","301.28","1227.17","222.08","21.23","4.9","15.51","4.08","4.9","272.7","13273.5"
"2000","48372","Counted","Manual count","South West","Torbay","A3022","PU","288760","60755","A3022 Commercial Rd","A3022 Hyde Rd","0.19000000000000000","8.1","11.16","651.48","26.47","62.46","24.9","2.45","0.14","1.09","0.2","0","28.78","780.35"
"2000","48752","Estimated","Estimated using previous year's AADF on this link","South West","Torbay","A3022","PU","288769","60600","A379","A3022 Totnes Rd","0.12000000000000000","4.17","6.26","616.58","20.96","66.27","11.52","1.27","0.18","0.23","0.14","0.18","13.52","723.58"
"2000","73390","Estimated","Estimated using previous year's AADF on this link","South West","Torbay","A380","PR","287660","64150","LA Boundary","Marldon Rd roundabout","1.06000000000000010","5.4","203.58","10605.6","50.12","929.59","470.77","22.75","20.05","18.51","25.06","25.83","582.97","12371.9"
"2000","73391","Estimated","Estimated using previous year's AADF on this link","South West","Torbay","A380","PR","288733","66510","A3022","LA Boundary","0.12000000000000000","6.85","27.49","1097.81","14.83","156.17","32.07","6.99","3.72","4.13","2.9","4.72","54.52","1350.82"
"2000","77971","Estimated","Estimated using previous year's AADF on this link","South West","Torbay","A3022","PU","291750","55730","Monksbridge Rd","Bolton St","0.68000000000000000","14.97","22.7","1657.8","55.63","176.88","48.15","1.75","0.5","1.5","2","0.75","54.64","1967.65"
"2000","78053","Estimated","Estimated from nearby links","South West","Torbay","A3022","PR","289600","56250","A379","Bridge Rd, Churston","0.19000000000000000","4.22","13.95","1183.29","24.97","112.67","31.37","1.84","0.41","1.36","0.61","1.16","36.74","1371.62"
"2000","78054","Estimated","Estimated using previous year's AADF on this link","South West","Torbay","A385","PR","285000","60190","LA Boundary","Stoke Rd, Collaton St Mary","1.49000000000000000","8.16","96.89","4974.01","76.2","615.63","237.32","16.33","4.35","25.58","16.87","13.06","313.53","6076.26"
"2000","78056","Estimated","Estimated from nearby links","South West","Torbay","A379","PU","291780","67000","B3199","Mor Lane, Watcombe","0.56000000000000000","4.49","23.88","1760.33","12.86","165.75","35.31","1.22","0","0.61","0","0","37.15","1999.97"
"2000","78083","Estimated","Estimated from nearby links","South West","Torbay","A3022","PR","288900","66400","Newton Rd","A380","0.12000000000000000","4.99","17.01","873.59","18.37","94.62","44.86","9.89","4.99","2.59","1.59","2.63","66.54","1070.14"
