Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6016","Counted","Manual count","South West","Wiltshire","M4","TM","389200","179080","LA Boundary","17","6.21000000000000000","0","435.46","98633.3","1004.73","13934.6","5055.38","762.05","787","2038.94","7595.55","2766.97","19005.9","133014"
"2000","6130","Counted","Manual count","South West","Wiltshire","A4","PR","425260","167750","A346","Manor Park","6.65000000000000040","240.25","133.47","21925.8","300.92","2739.82","446.52","77.66","67.95","126.19","140.75","70.38","929.45","26029.5"
"2000","6132","Estimated","Estimated using previous year's AADF on this link","South West","Wiltshire","A4","PU","390000","172140","A350","B4528 roundabout","0.50000000000000000","7.98","40.82","2979.43","50.8","234.97","59.33","7.08","6.53","4.9","8.16","2.9","88.91","3394.93"
"2000","6316","Estimated","Estimated using previous year's AADF on this link","South West","Wiltshire","A36","TU","414700","130780","A345","A30","0.50000000000000000","8.71","51.53","4418.62","23.95","77.29","364.33","244.4","18.87","17.78","34.11","130.64","810.13","5381.52"
"2000","6317","Estimated","Estimated using previous year's AADF on this link","South West","Wiltshire","A30","PU","410000","131190","South St","A36(T)","0.43000000000000000","19.53","11.43","1790.5","38.26","217.34","42.87","8.89","6.03","4.6","4.29","4.29","70.97","2128.5"
"2000","6380","Counted","Manual count","South West","Wiltshire","A36","TR","420600","125000","Bourne Way, Salisbury","A27","5.90000000000000040","23.7","142.2","31368.9","254.24","3936.46","1320.77","206.84","217.62","400.76","855.38","607.6","3608.96","39310.8"
"2000","6874","Counted","Manual count","South West","Wiltshire","A303","TR","406600","140770","A303 spur","A360","6.15000000000000040","0","47.15","21889.7","143.7","1461.71","1358.42","377.21","368.23","260.46","707.28","628.69","3700.3","27242.5"
"2000","6938","Counted","Manual count","South West","Wiltshire","A338","PR","420000","138350","Portway","B3084","6.83999999999999990","19.96","87.32","11970.1","84.82","1437.01","384.2","34.93","47.4","57.38","82.33","64.86","671.1","14250.3"
"2000","6944","Counted","Manual count","South West","Wiltshire","A342","PR","402100","160100","Marshall Rd roundabout, Devizes","B3098","3.29000000000000010","33.66","81.74","7048.78","57.7","686.37","295.7","33.66","34.86","24.04","45.68","21.64","455.57","8330.16"
"2000","6949","Estimated","Estimated using previous year's AADF on this link","South West","Wiltshire","A345","PR","413330","155600","A342","Rushall Rd roundabout","1.30000000000000010","4.76","19.53","1406.46","29.53","165.75","40.48","6.19","1.43","2.86","3.33","4.29","58.58","1679.84"
"2000","6950","Estimated","Estimated using previous year's AADF on this link","South West","Wiltshire","A345","PR","414220","132000","Waters Rd, Salisbury","Portway","0.99000000000000000","62.78","100.52","5678.36","86","661.89","109.23","14.52","11.61","24.68","39.55","28.67","228.25","6755.03"
"2000","6955","Estimated","Estimated using previous year's AADF on this link","South West","Wiltshire","A350","PU","390000","163700","A365","B3107","0.87000000000000000","11.75","74.93","5778.88","25.72","70.49","399.76","459.13","44.14","60.65","91.45","55.57","1110.69","7060.71"
"2000","6956","Counted","Manual count","South West","Wiltshire","A350","PR","386950","148200","A363","Rothe Rise","2.54999999999999990","52.07","155.29","11171.6","115.31","1639.38","411.94","99.5","109.73","94.85","263.16","105.08","1084.24","14165.8"
"2000","6973","Estimated","Estimated using previous year's AADF on this link","South West","Wiltshire","A360","PU","400800","161200","A360","A342","0.31000000000000000","18.82","23.36","1307.05","20.87","17.35","85.05","39.12","3.4","0.57","1.25","3.29","132.68","1501.31"
"2000","6974","Counted","Manual count","South West","Wiltshire","A360","PR","409900","142000","A303","A360","0.93000000000000000","0","10.89","1411.49","16.33","116.69","57.15","5.78","6.12","3.74","6.12","6.12","85.05","1640.45"
"2000","6979","Estimated","Estimated using previous year's AADF on this link","South West","Wiltshire","A361","PR","408300","168740","Horton Road","A4","5.71999999999999980","4.17","125.19","13758.8","104.33","1832","492.43","62.6","112.67","106.41","173.18","56.34","1003.64","16824"
"2000","6988","Counted","Manual count","South West","Wiltshire","A365","PU","390500","162800","A350","B3112","0.68000000000000000","3.74","16.72","1987.36","7.23","380.96","54.89","11.23","3.99","13.97","17.46","8.23","109.77","2502.04"
"2000","6989","Estimated","Estimated using previous year's AADF on this link","South West","Wiltshire","A366","PR","383600","157400","LA Boundary","Lambrok Rd, Trowbridge","2.10999999999999990","18.51","44.73","3722.98","20.05","388.65","32.39","3.08","13.11","3.08","0.77","1.54","53.98","4230.37"
"2000","7094","Estimated","Estimated using previous year's AADF on this link","South West","Wiltshire","A3102","PR","410000","182820","B4042","M4","1.85999999999999990","31.3","198","15349.9","180.99","1496.88","338.16","66.68","51.71","46.95","73.48","151.05","728.03","17953.8"
"2000","7095","Estimated","Estimated using previous year's AADF on this link","South West","Wiltshire","A420","PU","391100","173930","B4528 Hardenhuish Lane","Park Lane","0.56000000000000000","35.31","38.58","2523.95","26.94","21.84","106.55","236.37","10","10.21","7.96","9.39","380.48","2991.79"
"2000","7127","Counted","Manual count","South West","Wiltshire","A350","PR","391180","175600","B4158","M4 Jn 17","2.60999999999999990","61.92","141.93","23661.6","147.65","2740.52","972.57","125.74","154.32","170.51","457.23","257.19","2137.55","28829.3"
"2000","7568","Estimated","Estimated using previous year's AADF on this link","South West","Wiltshire","A3026","PR","425030","150000","A342","A338","2.10999999999999990","2.31","15.42","2460.65","67.86","35.47","212.06","4.63","0","5.4","43.18","52.44","317.7","2897.1"
"2000","7594","Counted","Manual count","South West","Wiltshire","A3094","PR","410400","130000","A36","Montague Rd, Salisbury","2.41999999999999990","26.54","45.11","8998.24","35.38","1090.62","268.01","36.27","36.27","68.99","127.37","79.61","616.51","10785.9"
