Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","564","Estimated","Estimated using previous year's AADF on this link","Wales","Blaenau Gwent","A467","PR","322120","200000","LA Boundary","A4046","1.80000000000000000","0","54.59","6366.09","55.91","980","217.05","24.99","62.48","37.49","78.27","76.95","497.24","7953.83"
"2000","611","Estimated","Estimated using previous year's AADF on this link","Wales","Blaenau Gwent","A4046","PU","316700","210000","B4486  Dyffryn Road","B4486  Cemetery  Road","2.85999999999999990","7.3","59.47","11573.1","293.16","817.93","197.18","46.95","54.25","37.56","50.08","33.39","419.4","13163.1"
"2000","612","Estimated","Estimated using previous year's AADF on this link","Wales","Blaenau Gwent","A4048","PU","314000","210080","A4047  Beaufort Road","A465   Heads of  The Valleys   Road","0.87000000000000000","3.18","12.07","2138.5","26.04","273.07","58.42","9.21","6.67","7.94","6.35","2.86","91.45","2541.12"
"2000","10538","Counted","Manual count","Wales","Blaenau Gwent","A465","TR","318000","212780","A4046","A467","3.04000000000000000","0","92.24","15054","162.25","2179.3","802.37","113.35","148.92","161.14","488.98","244.49","1959.26","19447"
"2000","10576","Counted","Manual count","Wales","Blaenau Gwent","A467","PR","319740","208450","Castle Street","A465","5.53000000000000020","68.63","102.94","17769.1","143.32","2270.84","744.84","34.31","16.15","74.69","135.24","96.89","1102.11","21388.3"
"2000","10624","Estimated","Estimated using previous year's AADF on this link","Wales","Blaenau Gwent","A4046","PU","316060","211600","A4047 W","A465","0.31000000000000000","0.68","4.42","1054.28","10.43","134.27","33.11","3.4","1.59","4.42","15.76","16.67","74.96","1278.36"
"2000","10625","Counted","Manual count","Wales","Blaenau Gwent","A4047","PU","318000","211930","A4046 College Rd/A4047W","B4248","1.80000000000000000","9.21","46.7","5977.37","138.78","600.5","125.62","0","1.32","0.66","0.66","0.66","128.91","6892.26"
"2000","20575","Counted","Manual count","Wales","Blaenau Gwent","A467","PR","321630","203800","Lancaster Rd","Castle Street","0.43000000000000000","3.02","13.18","1279.13","15.56","138.92","53.66","2.54","2.38","3.18","10.32","6.03","78.11","1524.89"
"2000","20622","Counted","Manual count","Wales","Blaenau Gwent","A4046","PU","316000","210740","A4046 College Road","A4047","0.43000000000000000","2.06","5.24","1359.78","19.37","90.49","24.93","1.91","3.97","2.06","1.91","0.79","35.56","1510.45"
"2000","30627","Estimated","Estimated using previous year's AADF on this link","Wales","Blaenau Gwent","A4046","PR","320000","202700","A467","B4486 Cemetery Road","3.79000000000000000","1.38","60.87","6413.83","109.3","1047.3","329.27","69.17","83.01","34.59","95.46","102.38","713.88","8345.17"
"2000","30628","Estimated","Estimated using previous year's AADF on this link","Wales","Blaenau Gwent","A4047","PU","319000","211930","B4248","A465","0.68000000000000000","3.74","21.7","939.54","12.47","85.32","19.71","0.25","0","1.5","0.75","0","22.2","1081.25"
"2000","30629","Counted","Manual count","Wales","Blaenau Gwent","A4048","PR","315130","207000","LA Boundary","road to Tredegar","3.54000000000000000","9.05","76.27","4855.62","94.37","795.05","124.11","15.51","9.05","5.17","11.63","19.39","184.87","6006.18"
"2000","40623","Estimated","Estimated using previous year's AADF on this link","Wales","Blaenau Gwent","A4046","PU","316150","211000","A4047","A4047 Waun-y-pound Rd","0.50000000000000000","3.08","19.6","1729.49","17.96","197.59","36.83","8.53","4.35","4.35","23.04","18.33","95.44","2060.07"
"2000","40624","Estimated","Estimated using previous year's AADF on this link","Wales","Blaenau Gwent","A4047","PU","315930","211200","A4046 Waun-y-Pound Road","A4046 College Rd","0.31000000000000000","1.13","3.4","910.72","11.11","88.23","11.45","0.57","0.57","1.36","1.59","1.02","16.56","1030.01"
"2000","50535","Counted","Manual count","Wales","Blaenau Gwent","A465","TR","320000","212200","A467?A4047","LA Boundary","0.93000000000000000","0","31.3","4741.38","19.05","479","232.7","19.05","10.55","61.24","144.93","66","534.46","5805.19"
"2000","50623","Estimated","Estimated using previous year's AADF on this link","Wales","Blaenau Gwent","A4047","PU","314700","210100","A4048","A4046 Waun-y-Pound Rd","1.30000000000000010","14.29","43.82","3213.94","77.16","480.57","71.44","36.2","1.43","1.43","1.43","0","111.93","3927.41"
"2000","78409","Estimated","Estimated from nearby links","Wales","Blaenau Gwent","A467","PR","321290","202500","A4046","Lancaster Rd, Abertillery","1.42999999999999990","8.87","39.64","3824.67","46.43","415.23","160.67","7.3","6.78","9.39","30.78","17.74","232.65","4558.62"
"2000","78458","Estimated","Estimated from nearby links","Wales","Blaenau Gwent","A4048","PU","314260","209750","road to Tredegar","A4047","0.25000000000000000","0.64","5.9","378.21","7.35","61.96","9.71","1.18","0.73","0.36","0.91","1.45","14.33","467.75"
"2000","99666","Counted","Manual count","Wales","Blaenau Gwent","A465","TR","312600","210540","LA Boundary","A4048","1.06000000000000010","4.24","26.6","5050.08","42.41","661.62","286.09","26.22","30.07","65.55","115.28","64.77","587.98","6368.69"
"2000","99667","Estimated","Estimated using previous year's AADF on this link","Wales","Blaenau Gwent","A465","TU","313700","210840","A4048","A4046","1.99000000000000000","3.63","39.92","10289.9","96.53","1876.09","434.73","100.88","64.59","121.2","215.55","187.25","1124.2","13426.6"
"2001","564","Estimated","Estimated using previous year's AADF on this link","Wales","Blaenau Gwent","A467","PR","322120","200000","LA Boundary","A4046","1.80000000000000000","0","60.51","6385.16","54.59","1013.55","214.42","28.94","62.48","33.54","68.4","88.13","495.92","8009.73"
"2001","611","Counted","Manual count","Wales","Blaenau Gwent","A4046","PU","316700","210000","B4486  Dyffryn Road","B4486  Cemetery  Road","2.85999999999999990","14.61","42.77","13535.5","176.31","1170.56","255.6","39.64","90.77","52.16","53.21","47.99","539.38","15464.6"
"2001","612","Counted","Manual count","Wales","Blaenau Gwent","A4048","PU","314000","210080","A4047  Beaufort Road","A465   Heads of  The Valleys   Road","0.87000000000000000","3.18","12.7","2072.14","27.31","274.97","55.57","10.16","6.67","6.35","5.08","2.86","86.68","2473.8"
