Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","502","Counted","Manual count","Wales","Bridgend","M4","TM","280770","182100","LA Boundary","37","1.80000000000000000","0","130.89","24672.5","165.75","4344.91","1079.98","280.19","398.58","343.99","1094.45","762.3","3959.48","33273.5"
"2000","621","Estimated","Estimated using previous year's AADF on this link","Wales","Bridgend","A4061","PU","290650","179800","A473S","A4061 split","0.19000000000000000","7.96","15.99","903.51","21.5","96.21","17.42","1.91","0.14","0.48","0.14","0","20.07","1057.28"
"2000","622","Estimated","Estimated using previous year's AADF on this link","Wales","Bridgend","A4063","PU","285000","193000","B4282 Neath Rd","Church St, Caerau, Maesteg","2.16999999999999990","6.35","15.88","4337.33","154","392.93","164.32","3.97","4.76","3.97","3.18","3.18","183.37","5083.51"
"2000","633","Counted","Manual count","Wales","Bridgend","A4106","PR","285425","178727","Bridgend Rd roundabout, Porthcawl","A48","2.20000000000000020","5.62","62.62","7912.32","92.33","635.07","77.88","11.24","16.06","0.8","0.8","2.41","109.19","8811.54"
"2000","647","Estimated","Estimated using previous year's AADF on this link","Wales","Bridgend","A4229","PR","282700","181400","M4","A48","0.73000000000000000","0.53","10.08","2912.82","16.72","470.74","176.99","26.27","64.75","15.66","50.95","36.35","370.97","3781.33"
"2000","10525","Estimated","Estimated using previous year's AADF on this link","Wales","Bridgend","A48","PR","286700","179800","A4106","A473 Laleston","0.56000000000000000","4.9","32.66","3945.65","40.82","441.1","83.89","26.33","16.53","6.12","13.68","8.98","155.54","4615.78"
"2000","10585","Counted","Manual count","Wales","Bridgend","A473","PU","291000","179100","Nolton St","LA Boundary","0.43000000000000000","13.02","47.31","3003.11","31.43","226.55","47.79","3.02","1.91","2.54","4.29","4.92","64.46","3372.86"
"2000","10636","Estimated","Estimated using previous year's AADF on this link","Wales","Bridgend","A4061","PR","292850","187350","A4093E","A4093W","0.81000000000000000","0.29","9.73","1777.3","40.39","233.51","39.21","0","0.59","0.29","0","0.88","40.98","2101.92"
"2000","10637","Estimated","Estimated using previous year's AADF on this link","Wales","Bridgend","A4063","PU","290300","180080","A4061","B4281 roundabout","2.24000000000000020","16.33","45.72","9775.74","106.96","783.01","244.94","27.76","31.84","4.08","11.43","42.46","362.52","11073.9"
"2000","20502","Counted","Manual count","Wales","Bridgend","M4","TM","290000","182800","37","36","5.53000000000000020","0","268.46","75547.3","619.69","12107.1","3584.9","583.35","433.98","1128.36","3017.69","1844.93","10593.2","99135.8"
"2000","20583","Counted","Manual count","Wales","Bridgend","A473","PU","289910","179710","B4622","A4063","0.87000000000000000","13.65","28.58","3939.48","108.59","339.75","46.04","5.4","3.49","2.54","1.27","3.49","62.23","4478.63"
