Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","522","Counted","Manual count","Wales","Cardiff","A48","PU","312000","175000","A4232 / A4050","A4161","2.79999999999999990","46.95","159.21","17827.9","336.8","1944.25","328.63","45.93","33.68","19.39","29.6","22.45","479.68","20747.8"
"2000","638","Counted","Manual count","Wales","Cardiff","A4119","PU","317670","175500","A4160","Tudor Street","0.50000000000000000","25.22","7.8","1778.66","42.64","266.54","30.66","3.08","0.54","1.27","2.72","1.09","39.37","2135.01"
"2000","642","Estimated","Estimated using previous year's AADF on this link","Wales","Cardiff","A4160","PU","319100","176390","A4234 Central Link","A4161 Newport Rd","0.31000000000000000","11.68","5.56","1430.54","7.03","118.96","4.2","0.23","2.61","1.36","0.34","0.79","9.53","1571.61"
"2000","10527","Estimated","Estimated using previous year's AADF on this link","Wales","Cardiff","A48","PU","315040","177475","A4161","A4119","0.87000000000000000","13.02","51.76","7656.06","53.34","930.65","120.66","24.13","9.53","5.72","9.84","10.8","180.67","8872.48"
"2000","10550","Estimated","Estimated using previous year's AADF on this link","Wales","Cardiff","A470","PU","318500","175960","","","0.12000000000000000","10.16","2.68","899.22","16.47","98.2","1.77","3.76","0.5","0.27","0.18","1.36","7.85","1024.41"
"2000","10629","Counted","Manual count","Wales","Cardiff","A4054","PU","314860","180000","A4119","Pantmawr Rd","1.93000000000000010","92.1","34.45","4618.54","66.09","426.07","35.86","1.41","0","0","0.7","0.7","38.67","5183.82"
"2000","10655","Estimated","Estimated using previous year's AADF on this link","Wales","Cardiff","A4119","PU","315350","178000","A48","A4054","0.43000000000000000","10.16","26.99","4384.17","33.34","323.24","35.72","3.65","1.75","0.64","0.16","0.64","42.55","4810.28"
"2000","10659","Estimated","Estimated using previous year's AADF on this link","Wales","Cardiff","A4160","PU","318000","175470","A4119","A470","0.75000000000000000","70.49","41.37","3824.94","37.01","803.42","138.26","12.79","7.35","5.17","9.8","16.33","189.7","4896.44"
"2000","10660","Counted","Manual count","Wales","Cardiff","A4161","PU","320730","178000","A469","A4232","1.24000000000000000","72.12","125.65","18721.5","293.03","1839.81","235.42","26.76","12.25","20.87","33.57","26.31","355.17","21335.1"
"2000","10661","Estimated","Estimated using previous year's AADF on this link","Wales","Cardiff","A4161","PU","317140","176400","B4267","A4119 Cathedral Rd","0.62000000000000000","25.4","11.11","2460.1","17.46","285.54","4.54","2.27","0.68","1.36","0.68","1.36","10.89","2785.11"
"2000","20527","Counted","Manual count","Wales","Cardiff","A48","PU","320000","178765","A469 / A470","A4161","2.60999999999999990","0.95","252.43","44579.9","306.72","4233.19","761.1","143.84","212.42","70.49","186.7","103.83","1478.38","50850.6"
"2000","20548","Estimated","Estimated using previous year's AADF on this link","Wales","Cardiff","A470","PU","317940","177000","A4161 Boulevard de Nantes","Colum Rd","0.81000000000000000","57.2","63.98","7269.3","225.26","689.04","108.5","15.92","7.37","4.72","6.78","15.04","158.33","8405.91"
"2000","30528","Counted","Manual count","Wales","Cardiff","A48","PR","322000","181840","A4232","A48M jn29a","0.93000000000000000","2.04","74.16","16592.3","94.58","1724.82","487.51","105.12","113.29","99.34","187.45","147.31","1140.01","19625.8"
"2000","30548","Counted","Manual count","Wales","Cardiff","A470","TR","313220","182000","M4","A4054","1.37000000000000010","5.99","319.83","31914","265.45","3345.53","949.52","147.69","228.03","167.15","358.75","254.47","2105.62","37950.5"
"2000","30631","Estimated","Estimated using previous year's AADF on this link","Wales","Cardiff","A4054","PR","313600","182000","M4/A470 roundabout","B4262 roundabout","1.17999999999999990","37.49","11.2","1179","68.95","159.87","16.81","13.79","8.19","0","0","0.43","39.21","1458.24"
"2000","30659","Counted","Manual count","Wales","Cardiff","A4119","PU","314920","178300","A4054","B4262 Heol Isaf","1.30000000000000010","25.72","85.73","6646.03","100.97","502.48","60.49","16.67","20","6.19","2.86","12.86","119.07","7454.27"
"2000","30660","Estimated","Estimated using previous year's AADF on this link","Wales","Cardiff","A4119","PU","318000","175000","A4232","A4160","1.12000000000000010","37.15","8.16","2012.63","69.4","212.29","21.23","1.63","1.22","0","0.82","0","24.9","2327.38"
"2000","30664","Estimated","Estimated using previous year's AADF on this link","Wales","Cardiff","A4161","PU","320740","179000","A4232","A48","0.37000000000000000","8.03","54.98","4782.13","31.84","781.78","102.6","34.84","26.26","26.4","85.73","62.05","337.89","5988.62"
"2000","30665","Counted","Manual count","Wales","Cardiff","A4161","PU","318000","176450","A4119","Heol Fawr","0.37000000000000000","46.13","21.77","3918.57","48.58","337.21","42.18","2.59","0.68","2.86","2.99","1.63","52.94","4379.06"
"2000","40549","Counted","Manual count","Wales","Cardiff","A470","PU","317420","178000","Colum Rd","A48 Eastern Avenue/A469 Whitchurch Rd","0.93000000000000000","69.74","91.51","8680.56","308.22","780.42","145.61","13.27","13.95","8.85","9.53","13.95","205.14","10065.9"
"2000","40550","Estimated","Estimated using previous year's AADF on this link","Wales","Cardiff","A470","PU","319015","175000","","","1.17999999999999990","43.52","25.42","1780.57","76.27","274.07","4.31","1.72","1.29","1.29","0.86","1.72","11.2","2167.53"
"2000","40582","Counted","Manual count","Wales","Cardiff","A469","PU","318000","178260","A4161","A48","2.29999999999999980","334.83","133.43","16803.4","403.64","1583.5","185.45","15.94","0.84","5.87","3.36","0.84","212.31","19136.3"
"2000","40655","Counted","Manual count","Wales","Cardiff","A4160","PU","317430","174970","LA Boundary","A4119","1.12000000000000010","104.1","57.56","5732.93","49.81","1138.58","151.05","14.29","8.57","2.45","13.06","10.21","199.63","7178.51"
"2000","40656","Estimated","Estimated using previous year's AADF on this link","Wales","Cardiff","A4161","PU","319475","177000","A4160 Fitzalan Place","A469 Albany Rd","0.81000000000000000","33.61","92.58","12668.1","143.59","1091.5","242.06","22.7","18.28","17.99","57.2","94.35","452.58","14448.4"
"2000","50509","Counted","Manual count","Wales","Cardiff","A4232","PR","312721","174836","A48/A4050","B4267 mid-junction","2.91999999999999990","2.13","152.43","41934.9","298.47","4745.66","1033.98","212.13","184.41","77.82","335.78","314.46","2158.57","49290.1"
"2000","50524","Counted","Manual count","Wales","Cardiff","A48","PU","320740","180000","A4161","A4232","1.68000000000000010","7.35","208.82","34769.3","157.99","3534.55","853.02","153.7","124.92","138.39","428.04","434.78","2132.85","40803.5"
"2000","50527","Counted","Manual count","Wales","Cardiff","A48","PU","316030","178100","A4119","A469 / A470","1.17999999999999990","90.06","94.8","19968.4","123.24","1814.61","229.68","34.47","33.18","12.93","14.65","21.98","346.89","22348"
"2000","50541","Counted","Manual count","Wales","Cardiff","A470","PU","316300","180000","A48 overpass","Pantmawr Rd","2.04999999999999980","23.2","149.69","22757.9","214.05","2149.52","541.12","101.04","62.87","38.92","77.09","76.34","897.38","26168.5"
"2000","50580","Estimated","Estimated using previous year's AADF on this link","Wales","Cardiff","A469","PU","316835","180000","A48","B4562","1.42999999999999990","44.34","47.99","7736.46","164.32","822.11","149.71","11.48","4.17","14.08","13.04","10.43","202.92","8973.79"
"2000","50612","Counted","Manual count","Wales","Cardiff","M4","TM","310090","179920","33","32","3.41999999999999990","0","387.94","76000.5","390.44","11304","3738.47","454.05","696.05","688.57","3636.18","1247.4","10460.7","98543.6"
