Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","514","Estimated","Estimated using previous year's AADF on this link","Wales","Carmarthenshire","A40","TR","245000","221137","A485","B4130","3.98000000000000000","5.81","37.74","7116.82","158.22","1702.64","169.83","49.35","14.52","10.16","50.8","95.8","390.46","9405.87"
"2000","542","Estimated","Estimated using previous year's AADF on this link","Wales","Carmarthenshire","A477","TR","225017","213304","B4314","A40","5.71999999999999980","0","29.21","11225.7","148.15","1660.91","454.87","52.16","47.99","102.24","296.29","129.37","1082.93","14146.9"
"2000","544","Counted","Manual count","Wales","Carmarthenshire","A483","TR","262070","215047","Aberlash Rd, Ammanford","B4556 Blaenau Rd","1.24000000000000000","7.26","23.59","2371.88","31.75","258.55","87.09","9.53","4.08","5.44","12.25","2.72","121.11","2806.88"
"2000","575","Counted","Manual count","Wales","Carmarthenshire","A476","PU","254818","211900","B4310 Heol-y-Bryn","A48","1.55000000000000000","1.7","14.18","2739.75","62.37","369.12","53.3","4.54","1.7","1.7","0.57","0","61.8","3247.22"
"2000","579","Estimated","Estimated using previous year's AADF on this link","Wales","Carmarthenshire","A484","PR","230000","241069","LA Boundary","A475E","2.60999999999999990","9.53","34.29","2879.59","60.96","506.76","137.17","37.15","11.43","9.53","13.34","0.95","209.56","3691.18"
"2000","581","Counted","Manual count","Wales","Carmarthenshire","A484","PU","251270","200770","A476","A4138","1.17999999999999990","31.89","52.14","8162.93","154.27","722.22","125.4","8.62","9.91","18.96","14.22","4.31","181.42","9272.99"
"2000","583","Estimated","Estimated using previous year's AADF on this link","Wales","Carmarthenshire","A486","PR","240000","239850","A484","LA Boundary","3.04000000000000000","5.56","7.78","2214.87","45.56","414.52","68.9","8.89","2.22","6.67","7.78","4.45","98.91","2781.64"
"2000","627","Estimated","Estimated using previous year's AADF on this link","Wales","Carmarthenshire","A4069","PR","269568","228616","A4069 High St, Llangadog","A40","0.99000000000000000","2.18","11.25","615.81","15.24","141.52","40.28","27.58","6.17","3.27","9.8","7.62","94.71","878.53"
"2000","656","Counted","Manual count","Wales","Carmarthenshire","A48","PR","258611","204178","M4 j49","A4138","2.60999999999999990","10.48","95.26","4883.79","90.49","548.68","67.63","32.39","3.81","8.57","29.53","8.57","150.5","5768.72"
"2000","10505","Counted","Manual count","Wales","Carmarthenshire","M4","TM","257364","206767","49","48","2.73000000000000000","0","133.72","24307.4","156.67","3180.38","1186.53","304.37","180.62","340.29","828.28","214.55","3054.64","30832.8"
"2000","10514","Estimated","Estimated using previous year's AADF on this link","Wales","Carmarthenshire","A40","TR","276507","234376","A483","A4069","0.19000000000000000","1.5","3.33","316.11","3.61","63.07","9.25","2.45","0.82","0.88","3.06","2.93","19.39","405.52"
"2000","10555","Estimated","Estimated using previous year's AADF on this link","Wales","Carmarthenshire","A483","TR","262771","221764","A476","A40","1.17999999999999990","15.08","36.63","2963.01","50.42","594.24","116.78","38.35","11.63","12.07","23.7","18.1","220.63","3864.93"
"2000","10587","Estimated","Estimated using previous year's AADF on this link","Wales","Carmarthenshire","A476","PU","251230","201600","A484 roundabout","Ridgeway, Swiss Valley","1.80000000000000000","2.63","74.32","4627.07","39.46","626.15","36.83","11.18","2.63","0.66","1.32","1.97","54.59","5421.6"
"2000","10593","Counted","Manual count","Wales","Carmarthenshire","A484","PR","241730","210000","B4308 Monksford St","B4309","6.90000000000000040","12.59","113.29","7809.24","65.45","898.74","254.27","37.76","7.55","7.55","22.66","12.59","342.38","9229.1"
"2000","10594","Counted","Manual count","Wales","Carmarthenshire","A484","PR","253500","199290","A4138","LA Boundary","2.54999999999999990","26.04","97.64","11598.4","51.14","921.51","175.75","38.13","30.69","13.95","35.34","6.51","300.35","12969.1"
"2000","10595","Estimated","Estimated using previous year's AADF on this link","Wales","Carmarthenshire","A485","PR","255000","245812","B4337","A482","4.66000000000000010","1.7","15.31","2634.85","27.22","760.35","88.45","30.62","18.71","11.91","3.4","22.11","175.2","3612.93"
"2000","10638","Estimated","Estimated using previous year's AADF on this link","Wales","Carmarthenshire","A4066","PR","230000","210370","B4314 Pendine Hill","A40","8.89000000000000060","3.24","6.49","5630.28","81.08","856.22","110.27","71.35","9.73","6.49","0","0","197.84","6771.9"
