Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","553","Counted","Manual count","Wales","Ceredigion","A487","TU","259940","282150","A44","Maeshendre","1.12000000000000010","3.67","19.19","4093.43","81.24","388.65","50.62","11.43","0.82","2.04","3.27","0.82","68.99","4651.5"
"2000","554","Estimated","Estimated using previous year's AADF on this link","Wales","Ceredigion","A487","TR","240753","255000","A486","B4342W","2.29999999999999980","3.36","16.78","3500.14","57.9","271.05","136.78","52.87","20.98","9.23","23.5","15.94","259.3","4105.18"
"2000","574","Estimated","Estimated using previous year's AADF on this link","Wales","Ceredigion","A475","PR","240000","242650","A486","B4338N","7.58000000000000010","0","58.11","2700.56","33.2","802.42","63.64","24.9","5.53","8.3","0","0","102.38","3696.67"
"2000","578","Counted","Manual count","Wales","Ceredigion","A482","PR","247485","260000","A485 Lampeter","A487 Aberaeron","12.68000000000000000","23.13","74.03","9475.54","291.48","1420.41","370.14","60.15","18.51","18.51","245.22","111.04","823.56","12085"
"2000","582","Estimated","Estimated using previous year's AADF on this link","Wales","Ceredigion","A485","PR","260000","252250","482 Lampeter","B4343 Crossroads, Tregaron","10.38000000000000100","15.15","15.15","6276","117.41","1355.95","257.55","34.09","18.94","18.94","11.36","18.94","359.82","8124.33"
"2000","639","Estimated","Estimated using previous year's AADF on this link","Wales","Ceredigion","A4120","PU","259291","280083","A487 / A4120 Southgate Roundabout","A44 / A4120 Llanbadarn Fawr","0.81000000000000000","1.18","14.74","2942.21","43.05","482.36","81.08","10.91","6.78","6.78","12.97","17.99","136.51","3618.87"
"2000","10520","Estimated","Estimated using previous year's AADF on this link","Wales","Ceredigion","A44","TR","270000","280897","A4159","A4120","8.57000000000000020","28.17","143.97","6447.48","87.64","1549.27","338.02","71.99","28.17","87.64","122.06","134.58","782.46","9010.83"
"2000","10565","Counted","Manual count","Wales","Ceredigion","A487","TR","259156","278683","A485","A4120","1.49000000000000000","8.16","65.86","5329.45","58.79","714.69","117.57","20.68","11.98","9.8","39.74","26.67","226.44","6395.23"
"2000","10591","Estimated","Estimated using previous year's AADF on this link","Wales","Ceredigion","A482","PR","258000","247757","LA Boundary","A475 Harford Sq roundabout","0.37000000000000000","6.67","7.62","868.06","8.85","132.13","33.75","3.67","1.63","1.63","3.4","5.72","49.81","1066.46"
"2000","10596","Estimated","Estimated using previous year's AADF on this link","Wales","Ceredigion","A486","PR","240000","254838","A487","B4342 South John St","4.46999999999999980","8.16","14.7","2914.84","35.93","395.18","146.97","6.53","6.53","0","1.63","0","161.66","3522.3"
"2000","20563","Estimated","Estimated using previous year's AADF on this link","Wales","Ceredigion","A487","TR","262400","285000","A4159","B4353","5.58999999999999990","81.65","220.45","17266.5","151.05","2755.63","302.1","61.24","12.25","28.58","14.29","10.21","428.65","20822.3"
"2000","20564","Estimated","Estimated using previous year's AADF on this link","Wales","Ceredigion","A487","TR","244420","260100","B4342W","A482","4.66000000000000010","1.7","137.78","9707.63","110.57","1495.18","243.24","113.97","22.11","34.02","56.13","64.64","534.12","11985.3"
"2000","20565","Estimated","Estimated using previous year's AADF on this link","Wales","Ceredigion","A487","TR","217900","245000","LA Boundary","A478","1.49000000000000000","0","9.8","1480.55","15.24","526.36","80.02","15.24","5.99","0.54","1.63","15.79","119.21","2151.16"
"2000","20585","Estimated","Estimated using previous year's AADF on this link","Wales","Ceredigion","A475","PR","255000","247200","B4338N","A482","5.28000000000000020","17.35","52.05","4501.42","57.83","1064.15","158.08","28.92","19.28","11.57","5.78","5.78","229.41","5904.86"
"2000","20589","Estimated","Estimated using previous year's AADF on this link","Wales","Ceredigion","A484","PR","220000","245200","A487","LA Boundary","7.33000000000000010","34.79","26.76","7544.34","53.52","1209.66","160.57","72.26","8.03","0","8.03","40.14","289.03","9123.32"
"2000","20592","Counted","Manual count","Wales","Ceredigion","A485","PR","267900","260000","B4343 crossroads","B4575 Llanilar","12.11999999999999900","101.72","79.61","5514.99","128.26","1512.53","212.29","13.27","0","4.42","8.85","0","238.82","7474.21"
"2000","20594","Counted","Manual count","Wales","Ceredigion","A486","PR","240000","242280","A486 N Llandysul","A475 Horeb","1.80000000000000000","0.66","17.76","1787.03","52.62","217.71","47.36","34.86","2.63","0","5.26","3.95","94.05","2169.17"
