Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","504","Counted","Manual count","Wales","Isle of Anglesey","A5","TR","240000","376000","A4080","A5114","5.83999999999999990","8.53","74.62","19268.3","255.83","3464.38","1349.51","428.52","577.75","61.83","571.36","260.09","3249.05","26312.2"
"2000","629","Estimated","Estimated using previous year's AADF on this link","Wales","Isle of Anglesey","A4080","PR","232000","373000","A4080 merge","A4080 split","2.85999999999999990","39.64","17.74","1913.38","22.95","209.7","52.16","0","0","0","2.09","0","54.25","2218.02"
"2000","650","Estimated","Estimated using previous year's AADF on this link","Wales","Isle of Anglesey","A5025","PR","251830","380000","B5109E","B5108","2.98000000000000000","7.62","62.05","6160.63","97.98","880.71","132.81","17.42","19.6","1.09","22.86","6.53","200.31","7401.68"
"2000","10506","Estimated","Estimated using previous year's AADF on this link","Wales","Isle of Anglesey","A5","PR","255000","372080","A55","B5420 roundabout Menai Bridge (Porthaethwy)","0.99000000000000000","10.89","27.22","2716.16","45.36","217.73","27.58","4.35","2.9","0.73","1.09","0.73","37.38","3043.84"
"2000","10665","Counted","Manual count","Wales","Isle of Anglesey","A5025","PR","250000","385060","A5108","B5111","6.71000000000000000","12.25","284.14","9479.35","154.32","1212.48","384.56","51.44","9.8","17.15","85.73","24.49","573.17","11703.5"
"2000","10675","Estimated","Estimated using previous year's AADF on this link","Wales","Isle of Anglesey","A55","TR","253970","371700","A5025","A4080","0.25000000000000000","0","7.35","842.88","5.53","144.52","44.18","11.61","6.71","9.07","25.76","11.07","108.41","1108.69"
"2000","20506","Estimated","Estimated using previous year's AADF on this link","Wales","Isle of Anglesey","A5","TR","230000","378950","A5025","A55","0.31000000000000000","1.7","6.24","911.51","19.16","162.62","33.45","4.65","51.82","0.45","14.63","8.73","113.74","1213.27"
"2000","20639","Estimated","Estimated using previous year's AADF on this link","Wales","Isle of Anglesey","A4080","PR","233500","372770","A4080 merge","A4080 split Llanfaelog","0.31000000000000000","2.49","4.2","228.5","2.27","34.36","7.26","0.34","0.23","0","0","0","7.82","277.15"
"2000","20658","Estimated","Estimated using previous year's AADF on this link","Wales","Isle of Anglesey","A5025","PR","255000","373340","A55","B5109E","4.84999999999999960","26.54","153.91","16146.1","123.83","1717.74","306.04","38.92","12.38","30.07","76.07","31.84","495.33","18636.9"
"2000","20661","Estimated","Estimated using previous year's AADF on this link","Wales","Isle of Anglesey","A5114","PR","245740","375000","A55","B5109 Maes Bulkeley (Bulkeley Square) Llangefni","1.30000000000000010","2.86","18.57","1824.16","7.62","320.06","60.49","10","8.1","3.33","9.53","5.24","96.69","2267.1"
"2000","30506","Counted","Manual count","Wales","Isle of Anglesey","A5","TR","250000","372000","A5114","A55","4.96999999999999980","23.59","520.73","18637.6","250.39","3004.65","1277.34","297.56","415.5","148.78","511.66","295.75","2946.59","25359.9"
"2000","30648","Estimated","Estimated using previous year's AADF on this link","Wales","Isle of Anglesey","A4080","PR","236510","376900","A55","B5112","0.19000000000000000","0.34","0.82","111.79","2.45","35.86","9.53","6.94","5.85","0","0.41","0.34","23.07","173.98"
"2000","30670","Estimated","Estimated using previous year's AADF on this link","Wales","Isle of Anglesey","A5025","PR","250770","385000","B5108","A5108","1.85999999999999990","1.36","21.77","2699.83","50.35","399.4","50.35","8.85","4.76","7.48","15.65","2.04","89.13","3260.48"
"2000","40505","Counted","Manual count","Wales","Isle of Anglesey","A5","TR","228200","380000","HOLYHEAD","A5025","4.16000000000000010","77.5","159.55","19328.8","158.03","2242.88","680.76","167.15","139.8","65.34","303.91","107.89","1464.86","23354.2"
"2000","40506","Counted","Manual count","Wales","Isle of Anglesey","A5","PU","255440","372000","B5420 roundabout","A545 roundabout","0.25000000000000000","2.72","4.35","769.4","5.08","50.35","10.25","0.54","0.36","0.54","0.36","0","12.07","841.25"
"2000","40616","Estimated","Estimated using previous year's AADF on this link","Wales","Isle of Anglesey","A545","PU","255700","372000","A5","B5420 Cil-Bedlam (Dale St)","0.25000000000000000","9.53","4.26","480.64","2.09","54.7","4.9","0.36","0.09","0.18","0","0","5.53","547.22"
"2000","40642","Estimated","Estimated using previous year's AADF on this link","Wales","Isle of Anglesey","A4080","PR","235000","370000","A4080 split","B4422","5.90000000000000040","21.55","45.25","2876.4","17.24","385.67","79.72","6.46","2.15","4.31","0","0","92.65","3417.2"
"2000","40663","Estimated","Estimated using previous year's AADF on this link","Wales","Isle of Anglesey","A5025","PR","240000","393660","B5111 Stryd Mona (Mona St)","High St, Cemaes","5.46999999999999980","9.98","11.98","5288.99","81.83","1023.87","105.78","21.95","0","3.99","3.99","0","135.72","6542.38"
"2000","40668","Estimated","Estimated using previous year's AADF on this link","Wales","Isle of Anglesey","A5","TR","254000","371200","A4080","LA Boundary","0.31000000000000000","3.29","27.67","2541.3","21.09","327.84","65.66","14.18","13.15","10.21","37.65","22.91","163.75","3081.65"
"2000","50616","Estimated","Estimated using previous year's AADF on this link","Wales","Isle of Anglesey","A545","PR","260000","375660","Lon Bryn Teg","B5109","3.04000000000000000","25.56","45.56","4968.72","54.45","395.63","42.23","6.67","3.33","0","0","0","52.23","5516.6"
"2000","50646","Estimated","Estimated using previous year's AADF on this link","Wales","Isle of Anglesey","A4080","PR","240000","369270","B4422","A5","12.05000000000000100","92.4","132","6063.1","145.2","923.99","136.4","22","4.4","4.4","0","0","167.2","7431.48"
"2000","50652","Estimated","Estimated using previous year's AADF on this link","Wales","Isle of Anglesey","A5108","PR","251030","386000","A5025","end of A-road, Moelfre","0.93000000000000000","1.7","0","446.34","20.07","90.83","13.95","0","0","0","0","0","13.95","571.2"
"2000","50659","Counted","Manual count","Wales","Isle of Anglesey","A5025","PR","230440","380000","A5/B4545","High St, Cemaes","11.56000000000000000","75.93","147.65","22813.6","392.32","1948.94","636.99","80.15","21.09","4.22","33.75","25.31","801.51","26104"
