Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","509","Counted","Manual count","Wales","Monmouthshire","A40","TR","350000","211160","A449","B4233","6.03000000000000020","0","138.6","37920.8","255.2","6166.5","3812.54","362.99","257.4","1707.17","3885.14","1955.77","11981","56462.1"
"2000","510","Counted","Manual count","Wales","Monmouthshire","A40","TR","325000","216300","LA Boundary","Pentre Rd, Abergavenny","2.66999999999999990","0","36.08","5406.74","73.14","698.27","175.54","22.43","3.9","26.33","66.32","52.66","347.19","6561.43"
"2000","532","Estimated","Estimated using previous year's AADF on this link","Wales","Monmouthshire","A465","TR","330000","213040","A4143  Merthyr   Road","A4042/A40","0.99000000000000000","1.09","18.87","4638.71","42.82","674.23","214.1","48.99","33.02","69.31","107.78","139.35","612.54","5987.17"
"2000","563","Estimated","Estimated using previous year's AADF on this link","Wales","Monmouthshire","A466","PR","352000","211830","A4136","LA Boundary","2.24000000000000020","7.35","36.74","3038.95","40.82","457.23","81.65","4.08","4.08","6.53","4.08","3.27","103.69","3677.43"
"2000","10510","Counted","Manual count","Wales","Monmouthshire","A40","TR","352640","215000","A466","LA Boundary","1.30000000000000010","2.38","59.06","9877.59","75.73","1314.54","678.22","73.35","55.25","294.82","763","405.79","2270.43","13597.4"
"2000","10539","Counted","Manual count","Wales","Monmouthshire","A465","TR","332240","220000","C-road to Triley  Mill","C-road Penbidwal towards Great Campston","3.60000000000000010","11.84","67.09","5574.85","40.78","827.41","349.91","42.09","13.15","53.93","182.85","101.29","743.23","7253.35"
"2000","10572","Counted","Manual count","Wales","Monmouthshire","A4042","TR","330500","210000","A472","A465/A40 intersection","7.01999999999999960","61.51","515.13","25469.6","251.16","3521.35","633.02","130.71","125.58","220.4","358.8","202.46","1670.98","31428.2"
"2000","10575","Estimated","Estimated using previous year's AADF on this link","Wales","Monmouthshire","A466","PR","352400","194000","B4293","A48","0.93000000000000000","5.44","55.79","3469.03","35.04","325.57","72.46","50.69","66.34","4.76","13.61","3.4","211.26","4096.7"
"2000","10581","Estimated","Estimated using previous year's AADF on this link","Wales","Monmouthshire","A472","PR","339000","201040","B4598","A449","1.55000000000000000","0","24.95","2916.09","37.42","462.67","76.55","40.82","10.21","9.64","7.94","6.24","151.39","3592.52"
"2000","10656","Estimated","Estimated using previous year's AADF on this link","Wales","Monmouthshire","A4136","PR","352000","213000","A466","LA Boundary","2.24000000000000020","4.08","9.8","2647.85","23.68","431.92","152.68","14.7","24.49","23.68","57.15","48.17","320.88","3434.12"
"2000","20511","Estimated","Estimated using previous year's AADF on this link","Wales","Monmouthshire","A40","TR","351000","212600","B4293","A466","0.50000000000000000","0.18","24.86","3914.03","21.77","628.33","289.03","31.57","20.32","146.42","308.63","256.92","1052.9","5641.89"
"2000","20512","Estimated","Estimated using previous year's AADF on this link","Wales","Monmouthshire","A40","TU","329700","214500","A4143","Gobanniun Way","1.55000000000000000","39.12","168.4","6666.8","87.89","925.91","167.27","16.44","5.1","13.04","10.77","13.04","225.67","8074.66"
"2000","20533","Counted","Manual count","Wales","Monmouthshire","A449","TR","339340","200000","LA Boundary","A472","4.54000000000000000","0","150.66","28857.9","233.45","3245.06","1718.56","192.05","120.86","826.17","2476.84","1271.53","6606.02","39093.1"
"2000","20574","Estimated","Estimated using previous year's AADF on this link","Wales","Monmouthshire","A466","PR","350870","215000","LA Boundary","A466 Dixton Rd/Monk St","2.41999999999999990","15.92","19.46","1694.74","26.54","169.83","19.46","1.77","1.77","1.77","6.19","4.42","35.38","1945.95"
"2000","30511","Counted","Manual count","Wales","Monmouthshire","A40","TR","340000","208500","A465","A449","8.89000000000000060","16.22","210.81","26189.2","262.7","3739.46","1718.92","181.62","110.27","723.24","1800","869.19","5403.25","35805.4"
"2000","30576","Counted","Manual count","Wales","Monmouthshire","A466","PR","353200","200000","B4293","LA Boundary","8.94999999999999930","29.39","375.58","10326.9","153.5","996.11","293.93","16.33","0","3.27","32.66","0","346.19","12198.2"
"2000","30647","Estimated","Estimated using previous year's AADF on this link","Wales","Monmouthshire","A4077","PR","325000","214650","A465","A4077 Main Rd/Crickhowell Rd","0.75000000000000000","5.99","7.89","962.36","14.7","151.59","20.68","3.54","1.36","0.82","0","1.09","27.49","1164.03"
"2000","40510","Counted","Manual count","Wales","Monmouthshire","A40","TR","351240","213000","A466 Wyebridge St","A466 Dixton Rd roundabout","0.62000000000000000","0.68","54.43","4435.99","31.53","541.37","358.12","33.34","28.58","134.95","408.69","225.67","1189.34","6252.66"
"2000","40532","Counted","Manual count","Wales","Monmouthshire","A449","TR","340000","201300","A472","A40","4.96999999999999980","0","219.54","28255.7","130.64","4173.13","2454.89","257.65","163.3","1001.55","2786.92","1444.27","8108.57","40887.6"
"2000","40539","Estimated","Estimated using previous year's AADF on this link","Wales","Monmouthshire","A465","TR","335000","223660","C-road Penbidwal towards Great Campston","LA Boundary","4.84999999999999960","3.54","77.84","5917.45","56.61","1185.26","318.43","58.38","28.3","63.69","224.67","125.6","819.07","8056.23"
"2000","40584","Estimated","Estimated using previous year's AADF on this link","Wales","Monmouthshire","A472","PR","335000","202700","A4042","B4598","4.23000000000000040","37.01","83.28","8221.7","140.34","1207.58","166.56","10.8","1.54","6.17","13.88","6.17","205.12","9858.02"
"2000","50529","Estimated","Estimated using previous year's AADF on this link","Wales","Monmouthshire","A48","TU","353000","193450","A466","England","1.12000000000000010","11.43","65.73","5771.3","80.42","785.46","184.12","59.6","37.56","24.9","60.83","60.83","427.84","7130.74"
"2000","50534","Estimated","Estimated using previous year's AADF on this link","Wales","Monmouthshire","A465","TR","331020","215000","A40/A4042 intersection","C-road to Triley Mill","2.98000000000000000","2.18","31.57","4523.31","22.86","709.79","251.48","53.34","28.3","32.66","106.69","106.69","579.16","5866.69"
"2000","50538","Estimated","Estimated using previous year's AADF on this link","Wales","Monmouthshire","A465","TR","325000","214480","A4077 Main Rd","A4077 Abergavenny Rd","0.81000000000000000","0","12.68","3684.33","19.16","556.95","124.13","20.64","10.91","41.28","113.81","96.71","407.47","4680.59"
