Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","520","Estimated","Estimated using previous year's AADF on this link","Wales","Neath Port Talbot","A48","PR","281140","185000","M4 jn38","LA Boundary","2.85999999999999990","62.6","133.54","7522.06","125.19","1031.81","280.64","25.04","105.37","9.39","11.48","16.69","448.61","9261.22"
"2000","648","Estimated","Estimated using previous year's AADF on this link","Wales","Neath Port Talbot","A4230","PU","276000","198820","A474 Penywern Rd","Penscynor","1.12000000000000010","21.64","26.13","2271.45","47.76","199.63","55.52","1.63","1.22","0.41","0.41","0","59.19","2604.17"
"2000","10524","Estimated","Estimated using previous year's AADF on this link","Wales","Neath Port Talbot","A48","PU","276370","189985","M4 jn41","A4107","1.12000000000000010","4.08","111.86","7062.57","110.23","531.12","456.41","22.05","84.1","9.39","11.43","0","583.38","8399.15"
"2000","10535","Counted","Manual count","Wales","Neath Port Talbot","A465","TR","275000","197935","A48 / A474","A4109","2.10999999999999990","6.94","67.09","13426.8","109.5","1920.09","576.03","65.55","52.44","60.92","206.66","111.04","1072.63","16596.1"
"2000","10553","Counted","Manual count","Wales","Neath Port Talbot","A483","PR","270000","192955","LA Boundary","B4290","1.49000000000000000","10.89","73.48","13794.2","155.68","1315.62","342.92","66.95","106.69","48.99","132.27","78.38","776.2","16115.2"
"2000","20523","Estimated","Estimated using previous year's AADF on this link","Wales","Neath Port Talbot","A48","TR","273950","193960","M4 western spur","A474","0.75000000000000000","11.7","39.46","3565.3","97.98","35.65","157.31","400.35","21.5","19.05","9.25","35.38","642.84","4381.24"
"2000","20524","Counted","Manual count","Wales","Neath Port Talbot","A48","PR","279200","186700","M4 jn39","M4 jn38","0.81000000000000000","15.92","31.25","2476.07","23.88","403.93","66.34","14.15","38.33","13.86","83.73","46.88","263.29","3198.43"
"2000","20535","Counted","Manual count","Wales","Neath Port Talbot","A465","TR","279050","200000","A4109/A4230","B4242","4.54000000000000000","1.66","109.27","18861.1","165.56","3195.39","650.67","114.24","71.19","134.11","407.29","177.15","1554.65","23886"
"2000","20584","Estimated","Estimated using previous year's AADF on this link","Wales","Neath Port Talbot","A474","PU","274300","197400","A465","A4230","0.25000000000000000","2.36","17.69","1198.32","35.2","16.6","68.4","120.66","13.79","2.09","4.9","7.26","217.09","1484.91"
"2000","20643","Estimated","Estimated using previous year's AADF on this link","Wales","Neath Port Talbot","A4107","PR","290000","195970","A4063","LA Boundary","4.84999999999999960","0","14.15","1484.23","8.85","12.38","107.91","293.66","7.08","0","1.77","0","410.42","1930.03"
"2000","20644","Estimated","Estimated using previous year's AADF on this link","Wales","Neath Port Talbot","A4109","PR","278000","200000","B4242","A4221","9.68999999999999950","35.38","166.29","15514.5","325.5","1765.51","711.16","10.61","21.23","7.08","10.61","7.08","767.76","18539.6"
"2000","20657","Estimated","Estimated using previous year's AADF on this link","Wales","Neath Port Talbot","A4230","PU","272000","197380","LA Boundary","A474","2.29999999999999980","11.75","119.16","6363.36","165.31","822.38","227.41","7.55","0.84","5.87","1.68","0","243.36","7713.58"
"2000","30503","Estimated","Estimated using previous year's AADF on this link","Wales","Neath Port Talbot","M4","TM","279260","186700","39","38","0.68000000000000000","0","49.4","8759.01","91.31","74.35","419.38","1488.9","64.86","68.36","147.69","682.83","2872.02","11846.1"
"2000","30524","Estimated","Estimated using previous year's AADF on this link","Wales","Neath Port Talbot","A48","PU","275000","192270","B4286","M4 J41","1.68000000000000010","63.69","57.56","3145.7","45.31","20.21","75.32","199.63","3.06","0.61","1.84","3.67","284.14","3552.92"
"2000","30534","Counted","Manual count","Wales","Neath Port Talbot","A465","TR","274000","197170","M4 Jct 43","A48 / A474","1.68000000000000010","1.22","184.93","18460.9","117.57","2584.78","532.14","135.94","142.07","96.14","253.52","126.76","1286.57","22634.7"
"2000","30535","Estimated","Estimated using previous year's AADF on this link","Wales","Neath Port Talbot","A465","TR","288000","206300","B42452","A4109","4.29000000000000010","4.69","32.86","12826.1","92.33","164.32","718.3","2009.36","122.06","278.56","89.2","652.57","3870.06","16985.7"
"2000","30587","Counted","Manual count","Wales","Neath Port Talbot","A474","PR","270340","210000","Waun Penlan, Gellygron, Pontardawe","A4069","4.91000000000000010","28.67","150.5","7247.52","139.75","980.07","172.01","35.83","111.09","5.38","39.42","1.79","365.51","8883.37"
"2000","30588","Estimated","Estimated using previous year's AADF on this link","Wales","Neath Port Talbot","A474","PU","275000","196700","A48","B4434 Windsor Rd","2.54999999999999990","97.64","116.24","12348.8","255.72","107.87","414.73","1181.88","7.44","9.3","6.51","12.09","1631.94","14460.6"
"2000","30642","Counted","Manual count","Wales","Neath Port Talbot","A4067","PR","275000","206340","A4067 spur","A4068","4.96999999999999980","27.22","263.09","14762","185.07","1799.89","475.37","41.73","328.41","52.62","128.82","32.66","1059.61","18069.7"
"2000","30655","Estimated","Estimated using previous year's AADF on this link","Wales","Neath Port Talbot","A4107","PU","277250","190000","M4 jn40","Ty-draw Hill","0.50000000000000000","5.08","10.34","778.92","11.98","8.71","36.47","92.17","0.91","2.18","0.91","6.71","139.35","949.3"
"2000","40503","Estimated","Estimated using previous year's AADF on this link","Wales","Neath Port Talbot","M4","TM","276900","190270","41 mid-junction","40","0.93000000000000000","0","108.86","14741.2","94.92","1871.1","817.16","116.35","111.25","179.97","452.13","211.95","1888.79","18704.9"
"2000","40523","Estimated","Estimated using previous year's AADF on this link","Wales","Neath Port Talbot","M4","TM","272740","195000","42 western spur","42 eastern spur","0.87000000000000000","0","87.95","14509.4","149.23","2529.37","850.32","127.96","148.92","147.01","501.37","199.72","1975.3","19251.3"
"2000","40524","Estimated","Estimated using previous year's AADF on this link","Wales","Neath Port Talbot","A48","PU","278100","188000","A4107","M4 J39","1.80000000000000000","76.95","115.1","5639.3","140.09","522.89","351.22","12.5","7.23","8.55","7.89","0","387.4","6804.79"
"2000","40535","Estimated","Estimated using previous year's AADF on this link","Wales","Neath Port Talbot","A4109","PR","277400","199600","A4230","A465","0.81000000000000000","0","10.61","3477.35","32.43","325.21","374.45","13.56","42.16","41.87","66.04","0","538.08","4383.69"
"2000","40588","Estimated","Estimated using previous year's AADF on this link","Wales","Neath Port Talbot","A474","PU","275000","198080","A4230 Neath Abbey Rd","A4230 Cadoxton Rd","0.81000000000000000","11.79","33.02","3712.34","45.41","34.5","137.4","303.98","27.72","46.58","3.54","22.7","541.92","4367.18"
"2000","40648","Estimated","Estimated using previous year's AADF on this link","Wales","Neath Port Talbot","A4109","PR","285930","210000","A4221","A465 Blaenwrach","4.41000000000000010","1.61","51.53","3238.28","67.63","363.92","336.55","16.1","133.65","30.6","24.15","0","541.06","4262.42"
"2000","50503","Counted","Manual count","Wales","Neath Port Talbot","M4","TM","278410","188000","40","39","1.85999999999999990","0","110.23","28652.4","208.88","4120.51","1251.26","173.5","166.02","390.55","998.15","486.49","3465.97","36558"
"2000","50518","Counted","Manual count","Wales","Neath Port Talbot","A48","TU","274340","193000","A474","B4286","1.12000000000000010","4.9","65.32","7158.91","72.26","1007.95","207.39","26.54","19.6","13.47","20","18.37","305.36","8609.8"
"2000","50523","Counted","Manual count","Wales","Neath Port Talbot","M4","TM","272000","196700","LA Boundary","43","1.24000000000000000","0","151.96","20980.9","117.03","3950.41","971.16","167.83","200.95","242.68","709.43","254.47","2546.52","27746.8"
"2000","50560","Counted","Manual count","Wales","Neath Port Talbot","A474","PU","275000","197060","B4434","A465","0.50000000000000000","2.72","36.65","3627.36","75.12","459.41","53.89","2.36","1.63","3.27","3.81","2","66.95","4265.48"
"2000","50572","Estimated","Estimated using previous year's AADF on this link","Wales","Neath Port Talbot","A474","PR","270000","212235","A4069","LA Boundary","0.50000000000000000","3.45","10.52","945.3","16.51","106.32","43.91","4.54","2.18","0.73","1.81","0.73","53.89","1132.55"
"2000","50586","Estimated","Estimated using previous year's AADF on this link","Wales","Neath Port Talbot","A474","PR","274580","200000","Main Rd, Rhydding","Delffordd, Gelinudd","2.66999999999999990","11.7","65.34","4920.1","95.57","547.11","197","25.36","5.85","2.93","1.95","3.9","236.98","5865.11"
"2000","50590","Estimated","Estimated using previous year's AADF on this link","Wales","Neath Port Talbot","A4107","PU","277250","189400","A48 Talbot Rd","M4 jn40","0.25000000000000000","3.08","5.26","515.2","8.8","4.99","20.05","57.15","2.36","2.36","1.27","4.9","88.09","622.34"
"2000","50634","Estimated","Estimated using previous year's AADF on this link","Wales","Neath Port Talbot","A4107","PR","280000","194020","B4287 Queen St, Pontrhydyfen","A4063 Maesteg Rd, Cymer","4.78000000000000020","15.72","68.11","5010.32","130.98","661.87","260.21","8.73","5.24","3.49","6.99","13.97","298.63","6169.9"
"2000","70012","Counted","Manual count","Wales","Neath Port Talbot","A4241","PU","274325","191335","A48","B4286","2.29999999999999980","10.07","21.82","2300.98","56.22","319.72","46.15","5.87","3.36","5.03","5.87","2.52","68.81","2767.56"
"2000","73147","Counted","Manual count","Wales","Neath Port Talbot","A4063","PR","286500","195640","LA Boundary","A4107","0.75000000000000000","1.63","2.45","451.79","8.44","60.15","13.34","0.27","0","1.36","0.27","0","15.24","538.06"
"2000","73149","Counted","Dependent on a neighbouring counted link","Wales","Neath Port Talbot","M4","TM","280005","184445","38","LA Boundary","2.24000000000000020","0","162.48","30627.9","205.75","5393.68","1340.66","347.82","494.79","427.02","1358.63","946.3","4915.22","41305"
