Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","501","Counted","Manual count","Wales","Newport","M4","TM","328570","187000","28","27","1.37000000000000010","0","163.16","37714.5","286.4","4663.79","1879.09","218.54","161.66","595.26","1942.46","847.73","5644.75","48472.6"
"2000","560","Counted","Manual count","Wales","Newport","A4051","PU","330260","190000","M4 Jct 26","LA Boundary","1.49000000000000000","15.24","88.72","18257.1","391.91","1990.04","314.07","47.36","27.22","51.17","99.61","42.46","581.88","21309.6"
"2000","658","Counted","Manual count","Wales","Newport","A48","PU","335000","188970","A455","Llanwern Rd","2.10999999999999990","53.98","77.11","8073.64","195.09","904.53","156.54","20.82","6.94","17.74","21.59","15.42","239.05","9489.42"
"2000","664","Estimated","Estimated using previous year's AADF on this link","Wales","Newport","A4042","PU","330000","185640","A48","A4042 spur","3.16999999999999990","41.64","98.32","13808.5","200.11","2072.77","515.88","96","128.39","114.51","291.48","252.16","1398.43","17578.1"
"2000","10500","Counted","Manual count","Wales","Newport","M4","TM","335000","189300","25","24","2.66999999999999990","0","450.56","66575.9","516.88","8973.2","3559.63","410.58","304.28","1370.22","4280.34","2095.8","12020.8","88537.4"
"2000","10573","Estimated","Estimated using previous year's AADF on this link","Wales","Newport","A4051","PU","330880","189200","A4042","M4 Jct 26","0.75000000000000000","31.03","43.55","5723.81","211.74","837.98","110.5","18.23","4.63","8.98","4.9","21.5","168.74","6985.82"
"2000","10578","Counted","Manual count","Wales","Newport","A468","PR","325000","187600","LA Boundary","Pentre Tai Rd, Newport","2.49000000000000020","1.81","27.22","5127.51","21.77","840.98","253.11","56.25","176.9","57.15","165.11","78.02","786.54","6804.01"
"2000","20505","Counted","Manual count","Wales","Newport","A48","TM","325000","183640","LA Boundary","29A","1.74000000000000000","0","179.72","22129.9","145.42","2660.19","635.04","94.62","114.31","202.58","556.3","216.55","1819.39","26934.6"
"2000","20528","Estimated","Estimated using previous year's AADF on this link","Wales","Newport","A48","PU","330000","186520","A4042 Maes Glas","A4042 Queen St","1.68000000000000010","37.97","89.4","12636.7","274.34","1165.32","242.5","47.15","56.34","41.64","110.23","61.24","559.09","14724.8"
"2000","30500","Counted","Manual count","Wales","Newport","M4","TM","339100","189240","24","LA Boundary","3.60000000000000010","0","419.63","62620.3","544.59","8726.65","3324.12","424.89","313.08","1421.99","4235.73","2067.88","11787.7","84098.9"
"2000","30529","Counted","Manual count","Wales","Newport","A48","TR","340000","191150","M4 jn24","LA Boundary","4.29000000000000010","17.21","139.28","10162.6","117.37","1198.73","394.36","122.06","45.38","12.52","48.51","9.39","632.23","12250.2"
"2000","40500","Estimated","Estimated using previous year's AADF on this link","Wales","Newport","M4","TM","330920","189840","26","25A","0.87000000000000000","0","87.32","17217.2","103.83","2550.01","685.21","124.15","93.35","344.83","1046.23","757.92","3051.69","23010.1"
"2000","40501","Counted","Manual count","Wales","Newport","M4","TM","324000","183800","LA Boundary","29","2.04999999999999980","0","172.14","31897.8","192.35","3443.58","1504.37","247.73","302.37","508.19","1328.48","1005.91","4897.05","40603"
"2000","40528","Counted","Manual count","Wales","Newport","A48","PR","325000","183200","LA Boundary","Celtic Way","2.73000000000000000","6.99","68.86","13607.7","155.68","981.96","344.28","25.95","36.92","44.91","58.88","40.91","551.85","15366"
"2000","40574","Estimated","Estimated using previous year's AADF on this link","Wales","Newport","A4042","PU","331281","188088","A4042 spur","A4051","0.43000000000000000","8.73","29.69","4657.08","165.75","505.02","107.8","14.45","26.67","9.68","21.91","23.18","203.69","5561.22"
"2000","40576","Counted","Manual count","Wales","Newport","A455","PU","335000","187830","A48","Beatty Rd","3.66999999999999990","28.1","186","13582","123.11","1989.79","817.59","171.28","199.38","326.5","1039.72","564.69","3119.16","19000"
"2000","50500","Counted","Manual count","Wales","Newport","M4","TM","330000","189300","27","26","1.80000000000000000","0","265.06","47265.8","299.26","6833.73","2244.15","239.41","321.63","815.57","2484.87","1379.24","7484.87","62148.8"
"2000","50501","Counted","Manual count","Wales","Newport","M4","TM","326700","184380","29","28","2.10999999999999990","0","306.91","55021.1","448.02","7236.98","2861.63","338.52","345.46","926.89","3162.37","1204.49","8839.37","71852.4"
"2000","50573","Estimated","Estimated using previous year's AADF on this link","Wales","Newport","A4072","PR","328000","186440","M4  JCT 28","A468  Forge Road","0.75000000000000000","6.8","60.15","7211.44","54.98","1181.72","262.36","102.06","108.32","95.8","154.59","141.52","864.65","9372.94"
"2000","70057","Counted","Manual count","Wales","Newport","M4","TM","332000","189970","25a","25","0.37000000000000000","0","57.97","9004.84","75.39","1153.28","514.25","52.94","67.36","180.99","540.37","249.98","1605.88","11897.4"
"2000","70058","Counted","Manual count","Wales","Newport","A4042","TR","331500","190000","A4042","M4","0.31000000000000000","1.59","22.57","2833.87","19.16","289.62","66.68","10.32","11.34","12.02","55","26.08","181.44","3346.67"
"2000","70059","Counted","Manual count","Wales","Newport","A4042","PU","331380","187690","A4042","A48","0.31000000000000000","4.08","15.65","1777.21","52.73","136.19","24.72","1.02","0.57","1.25","0.23","0","27.78","2009.57"
"2000","73203","Counted","Dependent on a neighbouring counted link","Wales","Newport","A467","PU","326750","188350","A468","LA Boundary","2.41999999999999990","9.73","166.29","17364","137.1","1809.73","804.03","81.38","81.38","120.29","250.32","125.6","1463","20940.2"
"2000","74079","Counted","Dependent on a neighbouring counted link","Wales","Newport","A449","TR","337350","191780","M4","LA Boundary","3.48000000000000000","0","115.58","22137.5","179.08","2489.36","1318.35","147.33","92.72","633.77","1900.04","975.42","5067.63","29989.2"
"2000","78480","Estimated","Estimated using previous year's AADF on this link","Wales","Newport","A468","PU","327000","186970","Pentre Tai Rd","A467","1.30000000000000010","10.48","18.57","5588.21","40.96","589.64","150.5","52.87","65.73","27.62","77.63","22.39","396.74","6634.12"
"2000","78481","Estimated","Estimated from nearby links","Wales","Newport","A455","PR","336000","189350","Beatty Rd","M4 jnc24","0.31000000000000000","2.38","15.2","1104.97","9.98","161.94","66.57","13.83","16.22","26.54","84.6","45.93","253.68","1545.76"
"2000","78482","Estimated","Estimated from nearby links","Wales","Newport","A48","PR","335500","189380","Llanwern Rd","M4 J24","0.56000000000000000","13.68","19.6","2051.61","49.6","229.84","39.8","5.1","1.84","4.49","5.51","4.08","60.83","2411.48"
"2000","78519","Estimated","Estimated using previous year's AADF on this link","Wales","Newport","A48","PU","328300","185000","Celtic Way","M4jn28 / A467","0.81000000000000000","27.13","40.69","4019.27","47.47","391.55","78.13","14.45","12.97","9.73","33.91","5.9","155.09","4654.06"
"2000","99725","Counted","Manual count","Wales","Newport","A4042","TR","331250","191000","slip to M4","LA Boundary","1.24000000000000000","6.35","106.14","11733.8","68.04","1426.12","259.91","58.06","45.36","55.79","140.16","72.12","631.41","13965.5"
"2000","99726","Estimated","Estimated from nearby links","Wales","Newport","A4042","TR","331000","189500","A4051","M4 spur","1.06000000000000010","6.17","98.7","11731.5","74.8","1295.48","269.51","49.35","46.27","52.44","190.47","92.53","700.56","13901"
"2000","99826","Counted","Manual count","Wales","Newport","A48","PR","329000","185930","M4jn28 / A467","A4042 Maes Glas","0.62000000000000000","39.24","65.32","5127.73","64.41","669.97","230.43","29.26","29.71","31.53","87.54","47.4","455.87","6383.3"
"2000","99827","Counted","Manual count","Wales","Newport","A48","PU","332000","187820","A4042 Queen St","A455","0.68000000000000000","37.42","66.11","5534.23","57.88","710.77","192.35","24.45","19.21","10.98","33.68","19.71","300.37","6669.36"
"2001","501","Counted","Manual count","Wales","Newport","M4","TM","328570","187000","28","27","1.37000000000000010","0","209.56","36149.2","239.5","4943.21","1662.54","195.59","222.04","596.26","1769.81","1046.82","5493.06","47034.6"
"2001","560","Counted","Manual count","Wales","Newport","A4051","PU","330260","190000","M4 Jct 26","LA Boundary","1.49000000000000000","46.27","213.92","18945.6","397.35","2129.93","325.5","44.63","28.85","45.18","70.22","56.07","570.45","22257.3"
"2001","658","Estimated","Estimated using previous year's AADF on this link","Wales","Newport","A48","PU","335000","188970","A455","Llanwern Rd","2.10999999999999990","51.67","80.97","7823.03","204.35","910.69","148.83","23.9","6.94","13.88","16.96","15.42","225.94","9244.98"
"2001","664","Counted","Manual count","Wales","Newport","A4042","PU","330000","185640","A48","A4042 spur","3.16999999999999990","41.64","68.24","13180.4","139.96","2151.43","580.65","97.16","86.75","65.93","427.97","168.88","1427.35","16967.4"
"2001","10500","Counted","Manual count","Wales","Newport","M4","TM","335000","189300","25","24","2.66999999999999990","0","613.43","68474.7","395.95","9044.4","3206.6","391.07","430.08","1092.27","3926.32","1917.33","10963.7","89492.1"
"2001","10573","Estimated","Estimated using previous year's AADF on this link","Wales","Newport","A4051","PU","330880","189200","A4042","M4 Jct 26","0.75000000000000000","29.67","45.18","5838.12","215.55","834.72","108.32","20.96","4.63","7.89","4.08","24.22","170.1","7103.66"
"2001","10578","Estimated","Estimated using previous year's AADF on this link","Wales","Newport","A468","PR","325000","187600","LA Boundary","Pentre Tai Rd, Newport","2.49000000000000020","1.81","29.94","5142.93","21.77","870.01","249.48","65.32","178.72","51.71","144.25","88.91","778.38","6843.02"
"2001","20505","Counted","Manual count","Wales","Newport","A48","TM","325000","183640","LA Boundary","29A","1.74000000000000000","0","109.23","23571.5","347.37","2313.46","794.44","84.46","95.89","147.96","573.44","146.69","1842.89","28184.4"
"2001","20528","Counted","Manual count","Wales","Newport","A48","PU","330000","186520","A4042 Maes Glas","A4042 Queen St","1.68000000000000010","69.81","149.42","13419.9","246.78","1172.67","196.57","34.29","31.84","16.53","19.6","12.86","311.69","15300.5"
"2001","30500","Counted","Manual count","Wales","Newport","M4","TM","339100","189240","24","LA Boundary","3.60000000000000010","0","601.16","71783.7","544.59","8996.31","3810.84","459.09","488.03","1598.26","4953.96","1523.28","12833.5","94759.2"
"2001","30529","Estimated","Estimated using previous year's AADF on this link","Wales","Newport","A48","TR","340000","191150","M4 jn24","LA Boundary","4.29000000000000010","14.08","154.93","10193.9","114.24","1239.42","388.1","142.41","45.38","10.95","42.25","10.95","640.05","12342.5"
"2001","40500","Estimated","Estimated using previous year's AADF on this link","Wales","Newport","M4","TM","330920","189840","26","25A","0.87000000000000000","0","87.95","17733.8","106.05","2695.43","699.5","148.92","97.16","314.98","933.51","883.66","3077.73","23701"
"2001","40501","Counted","Manual count","Wales","Newport","M4","TM","324000","183800","LA Boundary","29","2.04999999999999980","0","153.43","31304.3","192.35","4780.3","1401.83","220.79","246.24","646.65","2130.81","948.28","5594.6","42025"
"2001","40528","Estimated","Estimated using previous year's AADF on this link","Wales","Newport","A48","PR","325000","183200","LA Boundary","Celtic Way","2.73000000000000000","6.99","75.84","14029.8","159.67","1036.84","339.29","29.94","36.92","40.91","51.89","47.9","546.86","15849"
"2001","40574","Counted","Manual count","Wales","Newport","A4042","PU","331281","188088","A4042 spur","A4051","0.43000000000000000","6.99","47.31","4725.98","160.35","481.2","157.01","10.95","6.83","6.51","24.93","18.73","224.96","5639.8"
"2001","40576","Estimated","Estimated using previous year's AADF on this link","Wales","Newport","A455","PU","335000","187830","A48","Beatty Rd","3.66999999999999990","28.1","195.37","13161.8","128.46","2004.51","780.13","192.69","194.03","264.95","822.95","583.42","2838.16","18328.3"
"2001","50500","Counted","Manual count","Wales","Newport","M4","TM","330000","189300","27","26","1.80000000000000000","0","326.23","52060","278.87","6470.66","2248.09","226.26","205.87","897.13","2442.78","1264.8","7284.92","66420.7"
"2001","50501","Counted","Manual count","Wales","Newport","M4","TM","326700","184380","29","28","2.10999999999999990","0","318.47","59184.4","338.52","8254.86","2453.71","333.12","272.98","882.93","3063.67","1154.37","8160.78","76257"
"2001","50573","Counted","Manual count","Wales","Newport","A4072","PR","328000","186440","M4  JCT 28","A468  Forge Road","0.75000000000000000","1.91","71.31","7459.65","57.43","945.21","342.11","46.81","74.57","67.22","172.82","75.93","779.47","9313.06"
"2001","70057","Counted","Manual count","Wales","Newport","M4","TM","332000","189970","25a","25","0.37000000000000000","0","60.83","9400.02","61.51","1280.24","391.37","53.89","41.78","143.56","648.15","289.03","1567.78","12370.4"
"2001","70058","Estimated","Estimated using previous year's AADF on this link","Wales","Newport","A4042","TR","331500","190000","A4042","M4","0.31000000000000000","1.47","24.95","2921.76","19.73","305.84","65.77","12.02","11.34","10.89","48.88","30.28","179.17","3451.45"
"2001","70059","Estimated","Estimated using previous year's AADF on this link","Wales","Newport","A4042","PU","331380","187690","A4042","A48","0.31000000000000000","3.86","16.44","1722.1","55.23","137.1","23.59","1.13","0.57","0.91","0.23","0","26.42","1957.29"
"2001","73203","Counted","Dependent on a neighbouring counted link","Wales","Newport","A467","PU","326750","188350","A468","LA Boundary","2.41999999999999990","53.07","139.75","17832.8","72.53","1923.84","587.32","78.72","96.41","149.48","308.7","136.22","1356.86","21325.8"
"2001","74079","Counted","Dependent on a neighbouring counted link","Wales","Newport","A449","TR","337350","191780","M4","LA Boundary","3.48000000000000000","0","134.63","21140.5","104.15","2733.22","1402.17","218.45","151.14","852.23","2258.21","788.72","5670.92","29783.4"
"2001","78480","Estimated","Estimated using previous year's AADF on this link","Wales","Newport","A468","PU","327000","186970","Pentre Tai Rd","A467","1.30000000000000010","10.48","19.53","5415.32","42.87","593.92","143.36","59.06","63.82","22.39","61.44","23.34","373.4","6445.03"
"2001","78481","Estimated","Estimated from nearby links","Wales","Newport","A455","PR","336000","189350","Beatty Rd","M4 jnc24","0.31000000000000000","2.38","15.88","1070.73","10.43","163.07","63.39","15.65","15.76","21.55","67.02","47.51","230.88","1490.99"
"2001","78482","Estimated","Estimated from nearby links","Wales","Newport","A48","PR","335500","189380","Llanwern Rd","M4 J24","0.56000000000000000","13.06","20.62","1988.13","52.05","231.47","37.76","5.92","1.84","3.67","4.29","4.08","57.56","2349.83"
"2001","78519","Estimated","Estimated using previous year's AADF on this link","Wales","Newport","A48","PU","328300","185000","Celtic Way","M4jn28 / A467","0.81000000000000000","25.95","42.75","3894.55","49.83","394.2","74.59","16.22","12.38","7.67","26.83","5.9","143.59","4524.92"
"2001","99725","Estimated","Estimated using previous year's AADF on this link","Wales","Newport","A4042","TR","331250","191000","slip to M4","LA Boundary","1.24000000000000000","5.44","117.03","12097.1","69.85","1505.96","256.28","67.59","45.36","50.8","124.29","83.92","628.24","14418.2"
"2001","99726","Estimated","Estimated from nearby links","Wales","Newport","A4042","TR","331000","189500","A4051","M4 spur","1.06000000000000010","5.78","108.34","12095.4","76.73","1367.97","265.65","57.45","46.27","47.42","168.49","107.96","693.24","14341.7"
"2001","99826","Estimated","Estimated using previous year's AADF on this link","Wales","Newport","A48","PR","329000","185930","M4jn28 / A467","A4042 Maes Glas","0.62000000000000000","34.7","71.9","5286.72","66.23","707.62","227.25","34.02","29.71","28.8","77.79","55.11","452.69","6585.15"
"2001","99827","Estimated","Estimated using previous year's AADF on this link","Wales","Newport","A48","PU","332000","187820","A4042 Queen St","A455","0.68000000000000000","35.93","68.61","5644.75","58.88","708.03","188.36","28.19","19.21","9.48","28.69","21.95","295.88","6776.14"
"2002","501","Counted","Manual count","Wales","Newport","M4","TM","328570","187000","28","27","1.37000000000000010","0","173.64","39696.8","224.03","5681.67","1582.7","256.47","285.41","522.91","1936.97","1051.81","5636.26","51412.4"
"2002","560","Estimated","Estimated using previous year's AADF on this link","Wales","Newport","A4051","PU","330260","190000","M4 Jct 26","LA Boundary","1.49000000000000000","47.9","216.1","18908.1","406.06","2134.28","313.53","46.81","29.94","40.82","61.51","61.51","554.12","22218.7"
"2002","658","Counted","Manual count","Wales","Newport","A48","PU","335000","188970","A455","Llanwern Rd","2.10999999999999990","28.53","97.93","8150.76","161.94","777.29","154.22","12.34","10.02","9.25","7.71","4.63","198.18","9386.09"
"2002","664","Estimated","Estimated using previous year's AADF on this link","Wales","Newport","A48","PU","330000","185640","A48","A4042 spur","2.16999999999999990","30.16","48.42","9190.64","96.84","1582.84","376.26","68.27","61.12","41.28","255.6","127.01","929.54","11848.3"
"2002","10500","Counted","Manual count","Wales","Newport","M4","TM","335000","189300","25","24","2.66999999999999990","0","536.38","72577.5","427.16","10150.3","2979.36","463.24","408.63","1136.16","4208.17","1868.56","11064.1","94755.5"
"2002","10573","Counted","Manual count","Wales","Newport","A4051","PU","330880","189200","A4042","M4 Jct 26","0.75000000000000000","28.85","57.43","5974.74","173.37","662.98","139.35","10.07","4.35","6.53","10.34","5.72","176.36","7044.88"
"2002","10578","Estimated","Estimated using previous year's AADF on this link","Wales","Newport","A468","PR","325000","187600","LA Boundary","Pentre Tai Rd, Newport","2.49000000000000020","1.81","29.94","5204.62","22.68","938.05","256.74","72.58","198.68","48.99","131.54","101.61","810.13","7005.41"
"2002","20505","Estimated","Estimated using previous year's AADF on this link","Wales","Newport","A48","TM","325000","183640","LA Boundary","29A","1.74000000000000000","0","105.42","23878.2","348.64","2484.92","812.22","93.99","106.05","139.71","516.92","167.02","1835.9","28653.1"
"2002","20528","Estimated","Estimated using previous year's AADF on this link","Wales","Newport","A48","PU","330000","186520","A4042 Maes Glas","A4042 Queen St","1.68000000000000010","72.26","150.64","13393","252.29","1175.12","189.22","35.52","33.07","14.7","17.15","14.08","303.73","15274.7"
"2002","30500","Counted","Manual count","Wales","Newport","M4","TM","339100","189240","24","LA Boundary","3.60000000000000010","0","541.96","73242.5","464.35","9704.02","3004.47","455.14","249.93","1015.52","4064.72","2358.59","11148.4","95101.3"
"2002","30529","Estimated","Estimated using previous year's AADF on this link","Wales","Newport","A48","TR","340000","191150","M4 jn24","LA Boundary","4.29000000000000010","14.08","151.8","10316","122.06","1338.01","397.49","158.06","50.08","10.95","39.12","12.52","668.22","12596.1"
"2002","40500","Counted","Manual count","Wales","Newport","M4","TM","330920","189840","26","25A","0.87000000000000000","0","122.25","18245.7","72.71","2352.83","806.5","106.69","120.34","232.11","1047.5","457.55","2770.69","23564.2"
"2002","40501","Counted","Manual count","Wales","Newport","M4","TM","324000","183800","LA Boundary","29","2.04999999999999980","0","101.79","33139.5","139.21","5665.7","1491.64","204.32","186.36","583.78","2026.78","1233.43","5726.33","44772.5"
"2002","40528","Counted","Manual count","Wales","Newport","A48","PR","325000","183200","LA Boundary","Celtic Way","2.73000000000000000","24.95","155.68","14912","164.66","1495.89","268.44","37.92","31.93","27.94","49.9","15.97","432.1","17160.3"
