Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","515","Estimated","Estimated using previous year's AADF on this link","Wales","Pembrokeshire","A40","TR","215000","216780","A478","LA Boundary","4.23000000000000040","4.63","92.53","10434.8","84.82","1883.08","561.38","146.51","58.61","83.28","212.83","107.96","1170.56","13665.8"
"2000","516","Estimated","Estimated using previous year's AADF on this link","Wales","Pembrokeshire","A40","TR","194270","230000","A4219","B4331","3.73000000000000000","2.72","72.12","6173.96","53.07","817.84","227.25","55.79","13.61","43.55","51.71","20.41","412.32","7529.32"
"2000","576","Estimated","Estimated using previous year's AADF on this link","Wales","Pembrokeshire","A478","PR","211794","214972","A4115","A40(T)","3.85000000000000010","25.31","61.87","4180.52","75.93","767.77","163.11","35.15","8.44","11.25","7.03","9.84","234.83","5320.92"
"2000","577","Estimated","Estimated using previous year's AADF on this link","Wales","Pembrokeshire","A478","PR","213000","201080","A4139 White Lion St","A4218 Serpentine Rd","0.75000000000000000","11.7","6.8","803.42","19.87","128.19","8.98","0.54","0","0","0","0","9.53","967.8"
"2000","640","Estimated","Estimated using previous year's AADF on this link","Wales","Pembrokeshire","A4139","PR","213120","200450","A4218","A478","0.56000000000000000","4.69","15.51","1555.81","26.94","114.72","10.41","0","0.41","0.61","0","0","11.43","1724.41"
"2000","641","Estimated","Estimated using previous year's AADF on this link","Wales","Pembrokeshire","A4139","PR","196993","203281","Ferry Lane","Water St roundabout","0.99000000000000000","25.76","14.15","1036.02","5.08","139.71","6.89","0.36","0","0","0.36","0.36","7.98","1202.95"
"2000","661","Estimated","Estimated using previous year's AADF on this link","Wales","Pembrokeshire","A477","TR","197703","203517","A4139 London Rd","A4139 Ferry Lane","0.12000000000000000","3.36","7.67","595.76","9.39","94.39","11.75","3.58","0.18","1.18","2.54","2.63","21.86","729.07"
"2000","10517","Counted","Manual count","Wales","Pembrokeshire","A40","TR","200000","215815","A4076","A4075","7.21000000000000000","18.42","113.13","28955.5","252.57","3288.61","1257.56","220.99","144.7","136.81","339.38","210.47","2309.92","34919.7"
"2000","10551","Counted","Manual count","Wales","Pembrokeshire","A477","TR","204238","203139","A4075","A4075","1.62000000000000010","9.43","58.38","5149.1","41.87","855.04","188.7","66.63","28.89","10.61","70.17","25.95","390.96","6495.34"
"2000","10567","Estimated","Estimated using previous year's AADF on this link","Wales","Pembrokeshire","A487","TR","200000","237900","B4329","A40S","11.50000000000000000","41.96","58.74","11865.8","222.38","2081.12","516.08","62.94","0","41.96","0","12.59","633.57","14861.6"
"2000","10588","Estimated","Estimated using previous year's AADF on this link","Wales","Pembrokeshire","A478","PR","219099","240116","B4332E","LA Boundary","3.79000000000000000","2.77","17.99","3081.02","37.35","592.13","123.13","31.82","6.92","16.6","22.14","47.04","247.64","3976.13"
