Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","540","Estimated","Estimated using previous year's AADF on this link","Wales","Rhondda, Cynon, Taff","A470","TR","308800","195000","A4054 spur","A4059/A472","0.75000000000000000","0.54","59.6","8365.13","119.48","1208.94","319.24","61.51","40.28","49.53","63.69","71.85","606.1","10359.3"
"2000","541","Counted","Manual count","Wales","Rhondda, Cynon, Taff","A470","TR","312100","185000","LA Boundary","A468/A4054","1.62000000000000010","14.15","176.9","33820.6","286","4777.01","892.19","160.98","175.14","185.16","408.06","237.05","2058.58","41119.1"
"2000","571","Estimated","Estimated using previous year's AADF on this link","Wales","Rhondda, Cynon, Taff","A473","PR","300070","182790","LA Boundary","Coedcae Lane roundabout","3.60000000000000010","53.93","157.85","9126.54","160.48","1051.04","361.75","55.25","30.26","44.73","22.36","24.99","539.33","11035.3"
"2000","617","Counted","Manual count","Wales","Rhondda, Cynon, Taff","A4058","PR","305000","191030","A4225 Coedcae Rd","Tymawr Rd","1.42999999999999990","20.34","65.73","9697.31","163.27","1275.93","194.05","24.52","76.16","21.91","19.82","20.34","356.8","11559"
"2000","619","Counted","Manual count","Wales","Rhondda, Cynon, Taff","A4059","PR","303430","200000","B4275, Mountain Ash","Canal Rd, Cwmbach","1.85999999999999990","14.97","93.21","9595.7","138.8","1276.43","258.55","26.54","27.22","31.3","48.31","51.71","443.62","11547.8"
"2000","620","Estimated","Estimated using previous year's AADF on this link","Wales","Rhondda, Cynon, Taff","A4061","PR","295000","195700","LA Boundary/A4107","Park Crescent, Treorchy","2.91999999999999990","14.92","23.45","2110.61","4.26","382.68","117.26","2.13","0","2.13","4.26","1.07","126.85","2647.85"
"2000","10502","Counted","Manual count","Wales","Rhondda, Cynon, Taff","M4","TM","302800","180540","35","LA Boundary","6.08999999999999990","0","428.97","114042","691.24","18636.9","4918.71","840.16","869.05","1598.08","4400.84","3249.51","15876.4","149675"
"2000","10548","Estimated","Estimated using previous year's AADF on this link","Wales","Rhondda, Cynon, Taff","A470","TU","308350","189570","A4054 roundabout","A4058","0.56000000000000000","2.86","42.66","8248.1","70.83","831.38","373.74","33.88","23.88","29.39","57.36","56.34","574.6","9767.57"
"2000","10632","Estimated","Estimated using previous year's AADF on this link","Wales","Rhondda, Cynon, Taff","A4223","PU","307210","190300","A4058","A470 roundabout","0.50000000000000000","2.36","5.99","1949.4","52.25","233.51","50.62","3.81","1.27","1.09","0","0.18","56.97","2298.12"
"2000","10650","Estimated","Estimated using previous year's AADF on this link","Wales","Rhondda, Cynon, Taff","A4093","PR","298940","188220","LA Boundary","A4119","2.73000000000000000","10.98","67.86","8025.29","151.68","857.22","311.35","10.98","2","3.99","5.99","7.98","342.29","9444.34"
"2000","10654","Counted","Manual count","Wales","Rhondda, Cynon, Taff","A4119","PR","302670","185000","B4595 Talbot Rd","A4093","3.79000000000000000","29.05","78.86","25518.3","231.04","2789.1","452.4","96.84","51.19","92.69","77.48","45.65","816.25","29433.6"
"2000","10663","Estimated","Estimated using previous year's AADF on this link","Wales","Rhondda, Cynon, Taff","A4058","PU","303000","191170","A4058 North Rd","A4225 Coedcae Rd","0.43000000000000000","1.59","5.72","1536.64","45.41","171.14","56.36","2.7","0.79","2.7","2.38","1.11","66.04","1824.95"
"2000","20536","Estimated","Estimated using previous year's AADF on this link","Wales","Rhondda, Cynon, Taff","A465","TR","300000","207070","A4059","B4276 Merthyr Rd","3.16999999999999990","6.94","55.52","7769.44","111.04","1490.96","803.89","213.99","348.16","181.6","230.18","492.75","2270.57","11697.5"
"2000","20547","Counted","Manual count","Wales","Rhondda, Cynon, Taff","A470","TR","311558","186341","A468/A4054","A4054","1.55000000000000000","9.07","118.5","26462.5","238.71","3666.23","642.98","99.79","105.46","125.31","273.29","155.93","1402.76","31888.7"
"2000","20577","Counted","Manual count","Wales","Rhondda, Cynon, Taff","A468","PR","313232","186080","A470/A4054","A469","1.12000000000000010","18.37","186.57","11542.2","117.17","1624.8","355.17","57.56","67.77","59.6","84.51","55.93","680.54","14151.3"
"2000","20626","Estimated","Estimated using previous year's AADF on this link","Wales","Rhondda, Cynon, Taff","A4054","PU","311200","186000","Cardiff Rd roundabout","A470","1.42999999999999990","26.6","25.56","3377.63","131.45","377.15","304.64","6.26","4.17","16.69","14.61","6.78","353.15","4264.94"
"2000","20627","Estimated","Estimated using previous year's AADF on this link","Wales","Rhondda, Cynon, Taff","A4058","PU","297010","196000","A4061","A4119","3.23000000000000000","54.25","93.17","12470.6","258.28","1294.94","588.5","12.97","23.59","10.61","9.43","5.9","651.01","14768"
"2000","20631","Counted","Manual count","Wales","Rhondda, Cynon, Taff","A4061","PU","295010","197480","A4058","Hill St, Treherbert","1.80000000000000000","14.47","23.02","4959.88","136.81","705.08","90.77","15.79","5.92","5.92","7.89","5.92","132.2","5956.98"
"2000","30547","Counted","Manual count","Wales","Rhondda, Cynon, Taff","A470","TR","308000","190830","A4223/A4054","A4054","3.04000000000000000","10","175.59","39433.1","491.2","5119.86","924.62","160.03","167.81","210.04","416.75","278.94","2158.19","47377.9"
"2000","30636","Counted","Manual count","Wales","Rhondda, Cynon, Taff","A4059","PR","305000","199110","A470","A4275","3.85000000000000010","33.75","113.9","20769","329.04","2667.49","627.15","49.22","67.5","118.12","163.11","127.96","1153.05","25032.5"
"2000","40536","Estimated","Estimated using previous year's AADF on this link","Wales","Rhondda, Cynon, Taff","A465","TR","296000","205080","A4061","A4059","0.81000000000000000","10.02","28.6","3609.14","60.15","739.76","173.96","41.87","74.59","34.79","58.97","94.05","478.23","4915.88"
"2000","40548","Counted","Manual count","Wales","Rhondda, Cynon, Taff","A470","TU","310000","187700","A4054 Upper Boat","A4054 Glyntaff","2.04999999999999980","0.75","104.78","36930.3","334.55","4203.25","728.98","148.19","112.27","159.42","288.9","170.64","1608.4","43181.3"
"2000","40628","Counted","Manual count","Wales","Rhondda, Cynon, Taff","A4054","PR","308680","193000","Jones St, Gilfynydd","A4054 spur to A470S","1.42999999999999990","22.95","19.3","1478.33","45.38","271.25","40.69","4.17","7.82","1.56","8.35","7.82","70.42","1884.69"
"2000","40650","Estimated","Estimated using previous year's AADF on this link","Wales","Rhondda, Cynon, Taff","A4119","PR","305000","182300","A4119","A473","0.99000000000000000","5.08","47.9","9678.39","72.21","1038.93","449.25","66.41","53.71","55.52","99.07","94.35","818.3","11655.7"
"2000","50628","Estimated","Estimated using previous year's AADF on this link","Wales","Rhondda, Cynon, Taff","A4054","PU","308000","190100","A470 roundabout","A4054 Common Rd","0.99000000000000000","9.07","5.44","2368.52","37.01","170.55","64.96","2.18","0","0.36","1.09","0.36","68.95","2650.48"
"2000","50629","Counted","Manual count","Wales","Rhondda, Cynon, Taff","A4059","PR","295100","208000","A465","C-road west of Chapel Rd, Penderyn","2.29999999999999980","31.89","37.76","1799.16","52.03","219.86","54.55","83.08","47.83","5.87","25.17","31.89","248.39","2357.21"
