Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","521","Estimated","Estimated using previous year's AADF on this link","Wales","The Vale of Glamorgan","A48","PR","295000","176435","LA boundary","A4222 Gibbet's Hill","4.76999999999999950","24.35","330.52","21099.1","170.48","2230.12","238.32","41.75","33.05","80.02","62.62","1.74","457.5","24287.7"
"2000","646","Estimated","Estimated using previous year's AADF on this link","Wales","The Vale of Glamorgan","A4222","PR","302000","178950","A4222 Eastgate/Cardiff Rd","LA Boundary","3.73000000000000000","36.74","83.01","7398.69","140.16","718.5","74.84","6.8","10.89","10.89","1.36","0","104.78","8445.14"
"2000","10526","Estimated","Estimated using previous year's AADF on this link","Wales","The Vale of Glamorgan","A48","PR","300000","174700","A4222 Gibbet's Hill","A4222 Primrose Hill","1.62000000000000010","1.18","60.74","3855.34","20.64","354.99","126.78","22.41","11.79","4.13","19.46","23.59","208.16","4499.86"
"2000","10630","Estimated","Estimated using previous year's AADF on this link","Wales","The Vale of Glamorgan","A4055","PR","315340","170000","A4231","Cross-Common Rd","1.17999999999999990","15.51","59.9","6516.82","99.97","863.57","69.38","14.65","6.89","12.07","7.76","0.43","111.18","7651.43"
"2000","10664","Estimated","Estimated using previous year's AADF on this link","Wales","The Vale of Glamorgan","A4226","PR","310000","168690","A4226 Waycock Rd","Stirling Rd","0.56000000000000000","7.76","32.66","3226.33","60.22","271.28","60.22","12.66","7.35","2.86","41.23","10.82","135.13","3725.61"
"2000","20625","Estimated","Estimated using previous year's AADF on this link","Wales","The Vale of Glamorgan","A4050","PU","310840","169000","Park Ave/Harbour Rd/St Nicholas Rd triangle","A4226 Port Road West","1.93000000000000010","54.84","77.34","9559.8","328.34","815.57","111.09","9.84","54.14","2.81","2.11","0","179.99","10961"
"2000","20651","Estimated","Estimated using previous year's AADF on this link","Wales","The Vale of Glamorgan","A4160","PU","318000","172000","Plymouth Rd, Penarth","A4055 roundabout","1.12000000000000010","19.19","14.29","4960.13","124.51","319.65","127.37","5.72","1.22","2.45","1.22","0","137.99","5556.57"
"2000","20655","Estimated","Estimated using previous year's AADF on this link","Wales","The Vale of Glamorgan","A4222","PR","299000","174845","A4222 Aberthin Rd","A48","0.87000000000000000","8.26","8.26","2519.53","45.41","214.96","44.45","6.35","3.18","4.76","2.54","3.81","65.09","2853.24"
"2000","30667","Estimated","Estimated using previous year's AADF on this link","Wales","The Vale of Glamorgan","A4222","PR","300000","174300","A48","A4222 Aberthin Rd","0.93000000000000000","6.8","16.67","1913.29","46.27","178.61","39.12","9.19","6.46","4.08","5.44","2.38","66.68","2221.51"
"2000","40526","Estimated","Estimated using previous year's AADF on this link","Wales","The Vale of Glamorgan","A48","PR","305000","174235","A4222 Primrose Hill","A4226","4.29000000000000010","20.34","153.36","19854.2","234.74","1608.74","475.74","93.9","68.86","20.34","37.56","45.38","741.77","22592.8"
