Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","569","Counted","Manual count","Wales","Torfaen","A472","PU","328550","200450","A4043","A4042","0.87000000000000000","0.32","60.33","6507.27","88.91","777.29","223.53","16.51","18.73","15.56","30.8","21.59","326.73","7760.52"
"2000","10674","Counted","Manual count","Wales","Torfaen","A4042","TR","330800","195000","A4042 split","A4051","4.23000000000000040","6.17","257.55","30829.4","209.75","3084.49","913.01","132.63","124.92","131.09","363.97","226.71","1892.33","36273.6"
"2000","20621","Counted","Manual count","Wales","Torfaen","A4043","PR","326950","205000","B4246","Vicarage Lane, Talywain","3.35999999999999990","13.47","57.56","5563.91","127.37","901.4","260.87","8.57","26.94","3.67","17.15","11.02","328.23","6978.47"
"2000","20666","Counted","Manual count","Wales","Torfaen","A4042","TU","329600","199000","A4051","A472","1.06000000000000010","1.16","58.61","11608.1","108.34","1480.17","196.25","37.78","26.22","40.48","91.38","40.48","432.6","13687.8"
"2000","30583","Counted","Manual count","Wales","Torfaen","A472","PR","326080","200000","LA Boundary","A4043","2.41999999999999990","0","312.24","10611.6","101.72","1504.57","486.49","80.49","43.34","42.46","99.07","46","797.84","13328"
"2000","40627","Counted","Manual count","Wales","Torfaen","A4051","PR","330080","192000","A4042 Llantarnam","Hollybush Way, Cwmbran","0.99000000000000000","15.6","59.15","7063.11","37.38","958.01","169.1","21.41","62.05","27.58","77.29","31.57","389.01","8506.65"
"2000","40669","Estimated","Estimated using previous year's AADF on this link","Wales","Torfaen","A4042","TR","330000","200400","A472 Pontymoel","A472 Berthon Rd","2.41999999999999990","10.61","153.02","12712.4","133.56","1337.4","218.48","28.3","16.81","53.96","122.06","68.11","507.72","14844"
"2000","74087","Counted","Dependent on a neighbouring counted link","Wales","Torfaen","A4042","TR","330680","191935","LA Boundary","A4042 split","0.19000000000000000","0.95","15.92","1760.06","10.21","213.92","38.99","8.71","6.8","8.37","21.02","10.82","94.71","2094.82"
"2000","74088","Counted","Dependent on a neighbouring counted link","Wales","Torfaen","A4051","PU","330135","191880","LA Boundary","A4042","0.06000000000000000","0.64","3.7","760.71","16.33","82.92","13.09","1.97","1.13","2.13","4.15","1.77","24.24","887.9"
"2000","78456","Estimated","Estimated using previous year's AADF on this link","Wales","Torfaen","A4051","PU","329210","195000","Hollybush Way, Cwmbran","A4042 Pontypool","3.23000000000000000","68.4","83.73","15851.8","252.38","1700.64","268.89","27.13","20.05","55.43","125.01","38.92","535.43","18424"
"2000","78457","Estimated","Estimated using previous year's AADF on this link","Wales","Torfaen","A4043","PU","327640","201600","Vicarage Lane, Talywain","A472","2.60999999999999990","18.1","119.07","14541.8","349.59","1997.52","295.29","28.58","20","15.24","34.29","6.67","400.08","17408.1"
"2000","99724","Counted","Manual count","Wales","Torfaen","A4042","TR","330400","191960","A4051","A4042 split","0.31000000000000000","0.34","29.71","2103.01","10.09","266.6","62.14","6.8","6.46","9.07","22","9.53","116.01","2525.42"
"2001","569","Estimated","Estimated using previous year's AADF on this link","Wales","Torfaen","A472","PU","328550","200450","A4043","A4042","0.87000000000000000","0.32","62.55","6637.45","90.81","774.12","219.09","18.73","18.73","13.65","26.35","24.13","320.7","7885.63"
"2001","10674","Counted","Manual count","Wales","Torfaen","A4042","TR","330800","195000","A4042 split","A4051","4.23000000000000040","12.34","370.14","35773.9","259.1","3881.83","966.99","140.34","97.16","124.92","334.67","166.56","1830.64","42115.6"
"2001","20621","Estimated","Estimated using previous year's AADF on this link","Wales","Torfaen","A4043","PR","326950","205000","B4246","Vicarage Lane, Talywain","3.35999999999999990","12.25","64.91","5581.06","124.92","932.01","258.42","9.8","26.94","3.67","14.7","13.47","327","7029.91"
"2001","20666","Estimated","Estimated using previous year's AADF on this link","Wales","Torfaen","A4042","TU","329600","199000","A4051","A472","1.06000000000000010","1.16","60.53","11840.2","110.66","1474.38","192.39","43.18","26.22","35.86","78.65","45.5","421.8","13907.6"
"2001","30583","Estimated","Estimated using previous year's AADF on this link","Wales","Torfaen","A472","PR","326080","200000","LA Boundary","A4043","2.41999999999999990","0","344.96","10940.7","105.26","1589.49","479.41","92.87","43.34","38.92","87.57","53.07","795.19","13775.5"
"2001","40627","Counted","Manual count","Wales","Torfaen","A4051","PR","330080","192000","A4042 Llantarnam","Hollybush Way, Cwmbran","0.99000000000000000","11.98","73.66","6581.93","41.37","947.12","141.52","12.34","13.06","29.03","82.01","27.58","305.55","7949.63"
