Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","599","Estimated","Estimated using previous year's AADF on this link","Wales","Wrexham","A539","PU","327913","343138","B5434","B5605","2.04999999999999980","14.22","31.43","5067.7","130.23","667.61","135.47","17.21","3.74","8.23","26.94","20.21","211.81","6108.78"
"2000","653","Estimated","Estimated using previous year's AADF on this link","Wales","Wrexham","A5152","PU","333300","350700","A541","Chester Rd Roundabut","0.37000000000000000","13.74","23.27","1804.7","9.53","158.81","38.92","4.9","0.68","1.91","1.63","1.09","49.12","2045.42"
"2000","10560","Counted","Manual count","Wales","Wrexham","A483","TR","334700","355320","A5156","B5102","2.85999999999999990","0","191.96","27186.9","140.84","3462.65","1352.09","203.44","171.1","406.88","1118.4","1094.4","4346.31","35328.7"
"2000","10607","Estimated","Estimated using previous year's AADF on this link","Wales","Wrexham","A525","PR","332076","350063","A483","Centenary Rd","0.87000000000000000","7.62","26.99","2929.45","26.35","345.14","23.5","10.48","6.67","2.22","3.49","3.49","49.85","3377.79"
"2000","10608","Estimated","Estimated using previous year's AADF on this link","Wales","Wrexham","A525","PR","335000","348440","Kingsmills Rd","A528","1.24000000000000000","14.52","43.55","3274.55","30.84","357.44","59.42","7.26","4.08","2.72","9.53","7.26","90.27","3796.64"
"2000","10609","Counted","Manual count","Wales","Wrexham","A528","PR","335720","345000","A539W","A525","2.91999999999999990","22.39","100.2","3445.19","31.98","380.55","90.61","20.25","6.4","5.33","10.66","4.26","137.51","4095.43"
"2000","10611","Counted","Manual count","Wales","Wrexham","A539","PR","340460","340180","A528S","A525","6.83999999999999990","17.46","167.15","4370.9","142.2","503.95","144.7","42.41","9.98","7.48","44.91","19.96","269.44","5453.64"
"2000","10671","Estimated","Estimated using previous year's AADF on this link","Wales","Wrexham","A5152","PU","332900","349800","Ruabon Rd/Victoria Rd Roundabout","A525W","0.25000000000000000","5.81","10.34","829.73","23.32","87.18","6.53","2.45","0.73","0.36","0.54","0.18","10.8","961.36"
"2000","20558","Counted","Manual count","Wales","Wrexham","A483","TR","330920","344540","A539","A5152","3.16999999999999990","2.31","167.72","29453.8","130.71","3666.68","1249.22","244.06","152.68","241.75","873.3","646.59","3407.59","36826.5"
"2000","20608","Estimated","Estimated using previous year's AADF on this link","Wales","Wrexham","A525","PR","350800","341160","A539","A495","2.85999999999999990","2.09","77.2","3911.27","42.77","665.61","214.92","26.08","42.77","76.16","140.84","143.97","644.75","5341.6"
"2000","20609","Counted","Manual count","Wales","Wrexham","A534","PU","334806","351031","A5152","A5156","1.55000000000000000","22.11","20.98","3443.4","28.35","374.79","90.15","9.64","2.84","11.34","11.34","4.54","129.84","3997.36"
"2000","20610","Estimated","Estimated using previous year's AADF on this link","Wales","Wrexham","A539","PR","335000","343330","A483","A528N","3.23000000000000000","9.43","33.02","2344.57","10.61","491.79","130.91","29.48","7.08","9.43","22.41","16.51","215.82","3095.83"
"2000","20612","Counted","Manual count","Wales","Wrexham","A541","PR","331440","355000","LA Boundary","High St","0.99000000000000000","7.98","49.35","5187.38","38.83","584.24","142.25","25.4","37.74","9.07","18.87","5.81","239.14","6098.94"
"2000","20663","Estimated","Estimated using previous year's AADF on this link","Wales","Wrexham","A5152","PU","332665","349484","Church St","Ruabon Rd/Victoria Rd Roundabout","1.24000000000000000","9.98","13.61","3826.58","186.43","522.55","87.09","4.99","2.27","2.27","0.45","1.36","98.43","4647.6"
"2000","30510","Estimated","Estimated using previous year's AADF on this link","Wales","Wrexham","A5","TR","329950","339500","A483","LA Boundary","1.62000000000000010","0","56.02","9249.74","24.77","923.44","396.27","70.17","64.28","170.42","543.69","253.56","1498.38","11752.4"
"2000","30559","Counted","Manual count","Wales","Wrexham","A483","TR","330920","349000","A5152","A525","1.37000000000000010","2.49","122.25","14847.6","93.31","1758.34","655.63","120.25","69.36","82.83","393.18","347.78","1669.02","18490.5"
"2000","30560","Counted","Manual count","Wales","Wrexham","A483","TU","333200","352540","A541","A5156","1.62000000000000010","1.18","79.61","17179.2","77.84","1868.11","777.2","130.32","94.94","114.4","397.45","361.47","1875.78","21080.5"
"2000","30610","Estimated","Estimated using previous year's AADF on this link","Wales","Wrexham","A525","PR","330636","350682","B5430","A483","2.41999999999999990","6.19","58.38","9039.81","76.95","1457.69","279.51","142.41","58.38","15.92","22.11","39.8","558.13","11191"
"2000","30616","Counted","Manual count","Wales","Wrexham","A541","PU","333080","350560","A483","A5152","0.68000000000000000","30.94","40.91","3858.96","102.29","384.2","55.14","5.49","1.75","6.74","6.24","2","77.34","4463.71"
"2000","30675","Estimated","Estimated using previous year's AADF on this link","Wales","Wrexham","A5152","PU","333100","349700","Ruabon Rd/Victoria Rd Roundabout","Farndon St/A525 intersection","0.68000000000000000","9.98","18.71","1568.73","4.74","173.14","26.94","1","1","1","0","0.25","30.19","1795.51"
"2000","40560","Estimated","Estimated using previous year's AADF on this link","Wales","Wrexham","A539","PR","330068","343495","B5605","A483","0.37000000000000000","0.82","16.74","1323.79","8.57","191.46","45.04","4.9","12.11","4.35","8.03","5.85","80.29","1620.85"
"2000","40610","Counted","Manual count","Wales","Wrexham","A525","PR","339660","345016","A528","A539","8.33000000000000010","21.27","158.03","7777.12","15.2","1291.63","534.89","100.29","60.78","158.03","468.03","355.58","1677.6","10919.6"
"2000","40611","Estimated","Estimated using previous year's AADF on this link","Wales","Wrexham","A528","PR","337930","338800","ENGLAND BORDER","A539E","1.99000000000000000","7.98","10.16","1395.64","5.08","176.36","57.34","14.52","7.26","5.81","9.43","15.24","109.59","1696.83"
"2000","40612","Estimated","Estimated using previous year's AADF on this link","Wales","Wrexham","A539","PR","335403","342730","A528N","A528S","1.85999999999999990","6.8","70.08","2724.33","24.49","402.12","68.04","21.09","17.69","11.57","12.25","13.61","144.25","3365.27"
"2000","40667","Estimated","Estimated using previous year's AADF on this link","Wales","Wrexham","A5152","PU","333730","351894","Chester Rd Roundabut","A483 / A5156","1.62000000000000010","20.05","67.22","6117.94","0","671.65","125.01","14.74","4.13","8.85","7.08","5.9","165.7","7022.51"
"2000","50549","Estimated","Estimated using previous year's AADF on this link","Wales","Wrexham","A483","TR","331851","350697","A525","A541","0.99000000000000000","1.09","104.51","11873.1","67.86","1644.58","219.18","83.46","68.58","75.12","251.84","206.12","904.3","14594.3"
"2000","50597","Estimated","Estimated using previous year's AADF on this link","Wales","Wrexham","A525","PR","351000","341200","A495","ENGLAND BORDER","0.31000000000000000","0.34","10.09","713.06","4.76","121.22","36.29","15.88","11","10.32","20.41","18.6","112.49","961.63"
"2000","50674","Estimated","Estimated using previous year's AADF on this link","Wales","Wrexham","A5152","PU","333062","350455","A525W","A541","0.37000000000000000","16.06","12.66","1686.03","95.53","170.51","25.45","2.99","1.91","0.95","1.36","0.82","33.48","1998.2"
"2000","50677","Estimated","Estimated using previous year's AADF on this link","Wales","Wrexham","A495","PR","350000","339800","ENGLISH BORDER","A525","5.33999999999999990","15.6","87.77","5570.58","11.7","1016.2","310.13","167.74","107.28","35.11","91.67","97.52","809.45","7495.71"
"2000","73336","Counted","Dependent on a neighbouring counted link","Wales","Wrexham","A5","TR","328000","340720","LA Boundary","B5605","1.93000000000000010","7.73","184.21","2631.63","48.51","349.43","98.43","14.76","9.14","17.58","59.06","26.01","224.99","3438.77"
"2000","73339","Counted","Manual count","Wales","Wrexham","A525","PR","326620","353180","LA Boundary","B5426","2.85999999999999990","13.56","36.51","1630.65","20.87","178.4","89.72","24","12.52","7.3","15.65","15.65","164.84","2031.27"
"2000","77105","Estimated","Estimated using previous year's AADF on this link","Wales","Wrexham","A539","PR","326600","342500","LA Boundary","B5434","1.06000000000000010","4.63","27.37","1810.21","33.16","247.92","45.11","6.94","2.7","1.54","3.08","3.08","62.46","2181.12"
"2000","78508","Estimated","Estimated from nearby links","Wales","Wrexham","A5152","PR","331050","348270","A483","Church St","0.31000000000000000","2.38","3.29","918.43","44.79","125.42","20.98","1.25","0.57","0.57","0.11","0.34","23.81","1115.74"
"2000","78509","Estimated","Estimated using previous year's AADF on this link","Wales","Wrexham","A525","PU","333901","349712","A534/A5152","Kingsmill Rd (minor road)","0.93000000000000000","28.58","33.68","5215.62","58.85","350.75","75.52","8.51","3.06","8.16","6.8","4.76","106.82","5765.72"
"2000","78510","Estimated","Estimated from nearby links","Wales","Wrexham","A525","PU","332750","350020","Centenary Rd","A5152 Victoria Rd / Bradley Rd","0.25000000000000000","2.36","8.16","887.24","7.98","104.51","7.08","3.18","2.09","0.64","1","1","14.97","1022.87"
"2000","78511","Estimated","Estimated using previous year's AADF on this link","Wales","Wrexham","A5156","PU","335750","352000","A534","Borras Park Rd","0.43000000000000000","0.95","9.53","1843.37","10.48","252.91","97.8","27.15","27.78","25.56","69.38","23.34","271","2387.28"
"2000","78512","Estimated","Estimated using previous year's AADF on this link","Wales","Wrexham","A541","PU","331970","353000","High St","A483","1.74000000000000000","7.62","25.4","10077.5","87.64","724.58","202.58","41.91","40.64","25.4","29.21","13.34","353.08","11268.2"
"2000","99024","Estimated","Estimated using previous year's AADF on this link","Wales","Wrexham","A483","TR","329887","341990","A5","A539","2.35999999999999990","6.89","122.38","11886.5","51.71","1753.85","447.3","133.59","110.32","130.14","524","567.09","1912.43","15726.9"
"2000","99269","Estimated","Estimated using previous year's AADF on this link","Wales","Wrexham","A534","PR","340328","353313","A5156","LA Boundary","3.48000000000000000","17.78","123.2","5891.91","38.1","872.55","214.64","64.77","63.5","41.91","134.63","74.93","594.4","7520.16"
"2000","99270","Counted","Manual count","Wales","Wrexham","A5156","PU","335280","352230","Borras Park Rd","A483 / A5152","1.12000000000000010","2.04","37.97","5261","21.64","751.16","264.13","89.4","157.58","89","215.55","107.37","923.03","6994.8"
"2000","99571","Counted","Manual count","Wales","Wrexham","A483","TR","336570","359020","B5102","LA Boundary","1.62000000000000010","0","90.22","13714.2","75.48","1881.08","776.61","130.91","99.66","196.36","630.37","455.23","2289.14","18050.1"
"2000","99572","Counted","Manual count","Wales","Wrexham","A5","TR","328660","340060","B5605","A483","1.17999999999999990","0.43","55.59","2958.27","32.75","392.57","111.18","23.27","12.93","37.92","199.52","109.02","493.84","3933.02"
"2000","99573","Estimated","Estimated using previous year's AADF on this link","Wales","Wrexham","A5152","PU","333825","350556","Chester Rd Roundabut","A534","0.31000000000000000","2.84","12.02","1847.86","17.12","143.11","29.14","2.61","1.25","3.29","4.2","3.4","43.89","2064"
"2000","99574","Estimated","Estimated using previous year's AADF on this link","Wales","Wrexham","A5152","PU","333832","350400","Smithfield Road","A534","0.12000000000000000","2.9","4.72","702.17","8.16","57.11","9.25","0.95","0.18","1","1.04","1.45","13.88","786.05"
"2001","599","Estimated","Estimated using previous year's AADF on this link","Wales","Wrexham","A539","PU","327913","343138","B5434","B5605","2.04999999999999980","13.47","32.93","4910.53","136.22","672.1","129.48","19.46","3.74","6.74","20.96","20.96","201.33","5953.1"
"2001","653","Estimated","Estimated using previous year's AADF on this link","Wales","Wrexham","A5152","PU","333300","350700","A541","Chester Rd Roundabut","0.37000000000000000","13.06","24.36","1748.63","9.93","159.89","37.15","5.44","0.68","1.63","1.36","1.09","47.36","1990.17"
"2001","10560","Counted","Manual count","Wales","Wrexham","A483","TR","334700","355320","A5156","B5102","2.85999999999999990","1.04","210.74","28544.2","100.16","3819.46","1103.79","199.27","142.93","330.72","1268.63","735.51","3780.85","36455.4"
"2001","10607","Estimated","Estimated using previous year's AADF on this link","Wales","Wrexham","A525","PR","332076","350063","A483","Centenary Rd","0.87000000000000000","6.67","27.62","3055.5","28.58","349.27","23.5","12.38","6.67","2.22","2.86","4.13","51.76","3512.73"
"2001","10608","Estimated","Estimated using previous year's AADF on this link","Wales","Wrexham","A525","PR","335000","348440","Kingsmills Rd","A528","1.24000000000000000","12.7","44.45","3415.16","33.57","361.97","59.88","8.62","4.08","2.72","8.16","8.16","91.63","3946.78"
