Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","7114","Estimated","Estimated using previous year's AADF on this link","West Midlands","Telford and Wrekin","A41","TR","375745","319000","A518W","A518 E","0.62000000000000000","1.36","10.21","1678.78","9.98","344.74","81.42","22.91","17.92","41.05","74.84","73.03","311.17","2354.87"
"2000","8115","Counted","Manual count","West Midlands","Telford and Wrekin","A442","PU","365000","313625","A518 roundabout","B5063","2.54999999999999990","63.23","153.43","10128.3","39.06","1258.13","333.83","45.56","44.63","35.34","85.55","38.13","583.04","12161.9"
"2000","16042","Counted","Manual count","West Midlands","Telford and Wrekin","M54","TM","364600","310325","7","6","2.49000000000000020","0","113.4","22743.5","156.95","3067.25","1065.96","181.44","223.17","309.36","615.99","406.43","2802.35","28883.5"
"2000","16128","Estimated","Estimated using previous year's AADF on this link","West Midlands","Telford and Wrekin","A518","PU","368000","311000","A5223 roundabout","A442","2.16999999999999990","50.01","102.4","9300.18","157.97","1008.13","233.38","24.61","16.67","7.14","13.49","11.91","307.2","10875.9"
"2000","17631","Estimated","Estimated using previous year's AADF on this link","West Midlands","Telford and Wrekin","A442","PU","370677","304646","Halesfield 10/Sutton Hill roundabout","A4169 bridge","0.62000000000000000","0","24.72","2887.4","26.08","383.75","63.5","19.73","22.45","17.46","16.56","21.32","161.03","3482.98"
"2000","17925","Estimated","Estimated using previous year's AADF on this link","West Midlands","Telford and Wrekin","A464","PR","372450","308800","A442","LA Boundary","1.12000000000000010","5.31","79.2","6857.22","48.99","1023.46","418.04","51.85","53.89","106.55","218","134.72","983.04","8991.91"
"2000","18099","Estimated","Estimated using previous year's AADF on this link","West Midlands","Telford and Wrekin","A5","PU","370120","309400","M54/B5072","A442","0.56000000000000000","0.41","19.19","2339.83","8.16","226.37","50.62","11.63","7.14","6.53","8.78","7.76","92.47","2686.02"
"2000","18567","Estimated","Estimated using previous year's AADF on this link","West Midlands","Telford and Wrekin","A4169","PU","369900","305440","B4373 Castlefields Way","A442","0.87000000000000000","3.49","56.84","5245.76","51.76","520.42","155.9","14.29","51.12","5.4","15.88","12.7","255.29","6130.05"
"2000","27171","Estimated","Estimated using previous year's AADF on this link","West Midlands","Telford and Wrekin","A442","PR","371006","303705","LA Boundary","Halesfield 10/Sutton Hill roundabout","0.12000000000000000","0.45","4.9","629.05","1.41","75.98","21.59","4.85","3.49","3.49","5.49","3.27","42.18","753.52"
"2000","27261","Counted","Manual count","West Midlands","Telford and Wrekin","A442","PU","370580","305150","A4169 bridge","A4169 mid-junction","0.68000000000000000","2.25","33.43","5285.74","46.9","830.27","158.92","27.19","36.17","21.46","44.91","25.7","314.35","6510.69"
"2000","27962","Estimated","Estimated using previous year's AADF on this link","West Midlands","Telford and Wrekin","A5","PU","370685","309510","A442","B5061","0.43000000000000000","3.18","20.32","2185.81","35.24","210.2","35.4","6.35","4.45","2.86","3.49","2.22","54.77","2506.35"
"2000","28012","Counted","Manual count","West Midlands","Telford and Wrekin","M54","TM","371117","309348","5","4","1.85999999999999990","0","97.98","17865.3","123.83","2280.03","820.56","153.09","156.49","236.1","576.98","259.91","2203.14","22570.3"
"2000","28143","Counted","Manual count","West Midlands","Telford and Wrekin","A442","PU","368830","312250","A518 Wombridge Way roundabout","A518/Hortonwood roundabout","0.68000000000000000","1","54.64","6048.16","16.22","729.23","202.83","25.2","24.45","34.43","104.53","53.64","445.07","7293.31"
"2000","28459","Estimated","Estimated using previous year's AADF on this link","West Midlands","Telford and Wrekin","A5223","PU","365000","313096","A442","A518","2.16999999999999990","18.26","63.5","8031.69","89.7","679.49","188.92","34.13","23.02","25.4","21.43","11.11","304.03","9168.41"
"2000","36136","Estimated","Estimated using previous year's AADF on this link","West Midlands","Telford and Wrekin","A5223","PR","366980","310600","M54","A5223 roundabout","0.56000000000000000","2.45","30.01","5063.21","34.9","526.43","102.06","19.6","15.72","17.76","28.37","31.84","215.35","5869.89"
"2000","37290","Counted","Manual count","West Midlands","Telford and Wrekin","A518","PR","372743","315989","B5060 School Rd, Telford","A41(T)","4.16000000000000010","71.42","300.87","24768.9","203.62","2525.51","525.77","85.1","75.98","69.9","110.93","72.94","940.61","28739.5"
"2000","38706","Counted","Manual count","West Midlands","Telford and Wrekin","A5223","PR","367422","308991","A4169","M54","2.91999999999999990","24.52","82.08","13260.6","63.96","1204.54","211.06","49.03","70.35","42.64","61.83","40.51","475.42","15086.6"
"2000","48181","Counted","Manual count","West Midlands","Telford and Wrekin","A41","TR","374000","321281","A519 / B5062","LA Boundary","4.41000000000000010","6.44","93.4","10615","74.07","1515.28","872.77","93.4","90.18","296.29","954.9","516.9","2824.44","15122.2"
