Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","7354","Counted","Manual count","Yorkshire and the Humber","Barnsley","A616","TR","420000","401251","A628","LA Boundary","3.66999999999999990","2.68","81.63","8315.1","133.81","1474.61","764.07","66.91","26.76","339.88","822.95","469.68","2490.25","12495.4"
"2000","7378","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Barnsley","A629","PR","425000","404540","A628","LA Boundary","2.85999999999999990","7.3","58.42","6224.22","29.21","510.17","236.83","43.82","18.78","45.9","64.68","40.69","450.7","7272.72"
"2000","7387","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Barnsley","A633","PU","435000","408850","A628","A61","2.10999999999999990","33.93","53.98","5314.57","79.43","888.33","172.73","17.74","13.11","13.11","11.57","10.8","239.05","6575.35"
"2000","7812","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Barnsley","A61","PU","434900","405800","A6133","A635","0.19000000000000000","3.61","5.17","533.43","53.28","65.45","16.19","1.22","0.68","1.84","2.45","2.52","24.9","682.24"
"2000","8442","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Barnsley","A61","PU","434800","406200","A628","A628","0.19000000000000000","1.84","12.86","1547.16","130.5","197.79","34.7","5.72","2.52","8.37","6.26","4.9","62.46","1950.78"
"2000","8591","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Barnsley","A616","TR","432000","398979","A629","A61","1.80000000000000000","1.97","67.09","9097.6","44.07","1241.12","683.37","113.79","82.22","185.48","470.27","421.6","1956.72","12406.6"
"2000","8745","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Barnsley","A635","PU","434724","406962","Church Lane","A61","0.43000000000000000","1.27","13.49","2177.72","9.53","182.42","22.54","2.54","0.95","0.79","1.59","1.27","29.69","2412.84"
"2000","17329","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Barnsley","A629","PR","432000","397619","A61","A629 spur","1.49000000000000000","16.33","28.3","2209.4","20.68","339.66","95.8","19.05","16.87","9.25","10.34","4.35","155.68","2753.72"
"2000","17342","Counted","Manual count","Yorkshire and the Humber","Barnsley","A635","PR","430000","408040","LA Boundary","B6428 Barugh Lane","3.91000000000000010","11.43","55.72","7810.06","68.58","731.57","90.02","24.29","31.43","21.43","28.58","25.72","221.47","8887.4"
"2000","18723","Counted","Manual count","Yorkshire and the Humber","Barnsley","A61","PU","434938","408690","B6132 Carlton Rd","A633","0.43000000000000000","4.45","9.53","2259.16","156.86","287.83","40.96","3.97","3.97","10","9.21","6.35","74.46","2787.83"
