Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6054","Counted","Manual count","Yorkshire and the Humber","Calderdale","M62","TM","404000","416600","22","LA Boundary","3.73000000000000000","0","176.9","80232.9","434.1","15296.8","4247.07","691.29","481.72","2430.39","8031.46","4678.44","20560.4","116701"
"2000","6576","Counted","Manual count","Yorkshire and the Humber","Calderdale","A58","PR","404130","420000","A672","Jerry Lane, Sowerby Bridge","2.54999999999999990","19.53","62.3","7316.31","89.27","1236.74","191.56","24.18","12.09","20.46","25.11","10.23","283.61","8988.24"
"2000","6577","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Calderdale","A58","TU","412000","425556","A58 principal","A644","0.62000000000000000","2.72","27.22","3053.41","51.94","410.28","129.96","14.29","7.94","16.1","28.35","22","218.64","3761.49"
"2000","6604","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Calderdale","A62","PU","417720","420800","LA Boundary","A644","0.31000000000000000","14.29","26.99","3163.07","35.04","517.79","145.61","11.11","13.04","20.07","35.15","15.88","240.86","3983.75"
"2000","7406","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Calderdale","A644","PU","416960","422000","M62","A62","1.17999999999999990","11.2","56.88","7022.72","27.58","1468.15","467.98","68.52","55.59","93.08","165.47","114.62","965.26","9540.59"
"2000","7408","Counted","Manual count","Yorkshire and the Humber","Calderdale","A646","TU","390000","426130","LA Boundary","Cross Lee Rd, Todmorden","2.29999999999999980","16.78","20.14","3189.65","68.81","709.09","81.4","11.75","25.17","15.94","20.14","4.2","158.6","4146.3"
"2000","7728","Counted","Manual count","Yorkshire and the Humber","Calderdale","A629","PU","409400","424000","A646","A58","1.49000000000000000","22.86","107.23","11523.3","297.2","1598.13","212.29","45.18","31.03","35.38","69.13","24.49","417.49","13943.3"
"2000","7729","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Calderdale","A6026","PU","407500","423600","A58","A629","2.24000000000000020","54.7","117.57","7878.23","41.64","1299.84","252.29","35.93","13.88","13.88","32.66","22.05","370.68","9707.97"
"2000","7733","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Calderdale","A6036","PU","411400","427000","A58","A644","1.55000000000000000","8.51","58.97","6146.86","68.04","829.52","192.78","19.28","9.07","15.88","11.34","14.74","263.09","7366.48"
"2000","7852","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Calderdale","A6142","PU","407200","424000","A58","A58","0.56000000000000000","5.31","11.63","1016.11","43.89","143.29","34.09","2.65","1.02","3.06","1.84","2.86","45.52","1260.44"
"2000","17353","Counted","Manual count","Yorkshire and the Humber","Calderdale","A641","PU","414500","421000","LA Boundary","A644","1.55000000000000000","14.74","115.67","8740.32","118.5","1057.46","104.9","13.04","19.85","10.21","19.28","7.37","174.64","10206.6"
"2000","17357","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Calderdale","A643","PU","413470","421000","A6107","A6025","1.74000000000000000","12.07","48.26","3217.12","34.29","476.28","62.23","3.81","5.08","3.81","2.54","0.64","78.11","3854.07"
"2000","17358","Counted","Manual count","Yorkshire and the Humber","Calderdale","A644","PU","412600","425000","A58(T)","A6025","2.04999999999999980","18.71","93.56","6869.2","112.27","1056.8","120.5","29.94","17.21","23.2","38.92","11.98","241.75","8373.56"
"2000","17360","Counted","Manual count","Yorkshire and the Humber","Calderdale","A646","TR","400000","426650","A6033","Warley Wood Ave, Luddenden Foot","4.23000000000000040","94.08","181.98","20642.9","376.31","3442.29","374.77","89.45","24.68","30.84","155.77","35.47","710.97","25354.5"
"2000","17391","Counted","Manual count","Yorkshire and the Humber","Calderdale","A672","PR","400000","415570","M62","A58","5.46999999999999980","15.97","83.83","7105.21","81.83","1173.56","293.39","27.94","21.95","77.84","89.81","55.88","566.82","9011.24"
"2000","17883","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Calderdale","A629","PU","411000","421501","LA Boundary","A6025","1.93000000000000010","10.55","130.77","15635.1","106.87","2166.19","413.41","67.5","44.29","56.95","106.17","74.53","762.84","18801.8"
"2000","17988","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Calderdale","A58","PU","407500","424230","A6142","A646","0.37000000000000000","5.17","19.32","1808.37","55.93","223.72","57.7","6.67","3.67","4.49","3.54","2.86","78.93","2186.27"
"2000","26587","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Calderdale","A58","PR","400000","418700","LA Boundary","A672","4.23000000000000040","21.59","18.51","2544.7","64.77","297.65","20.05","0","0","0","0","0","20.05","2945.68"
"2000","26588","Counted","Manual count","Yorkshire and the Humber","Calderdale","A58","PU","410000","425670","A647","A6036","1.12000000000000010","13.47","104.1","10974.7","158.4","1615.41","213.51","34.29","15.92","41.64","64.09","34.7","404.16","13256.8"
"2000","27426","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Calderdale","A58","PU","408830","425000","A646","A629","1.17999999999999990","20.25","110.32","6836.99","21.98","792.03","247.78","19.82","9.91","21.55","30.6","21.55","351.2","8112.52"
"2000","27804","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Calderdale","A6033","PR","394500","420000","LA Boundary","Ramsden Wood Road","1.24000000000000000","17.24","23.13","2803.25","22.68","464.94","88","4.08","7.26","5.44","9.07","5.9","119.75","3433.76"
"2000","28683","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Calderdale","A641","PU","414796","423000","A643/A644","A643","0.06000000000000000","0.7","3.56","334.08","9.43","50.76","14.81","2.18","3.02","1.81","5.44","3.88","31.14","428.97"
"2000","36601","Counted","Manual count","Yorkshire and the Humber","Calderdale","A58","PU","406400","423750","A6139","A6026","0.25000000000000000","2.54","17.87","1483.09","40.1","251.57","34.11","5.9","3.54","3.72","6.53","3.27","57.06","1849.69"
"2000","36602","Counted","Manual count","Yorkshire and the Humber","Calderdale","A58","TU","414000","426300","A644","LA Boundary","1.62000000000000010","2.36","54.84","6697.6","34.2","1164.03","221.72","43.64","20.64","61.92","99.07","39.51","486.49","8437.16"
"2000","37438","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Calderdale","A629","PR","406950","430000","Pavement Lane, Illingworth","LA Boundary","1.37000000000000010","15.97","28.94","3582.04","30.44","500.46","135.72","17.46","44.91","24.45","51.39","23.45","297.38","4439.26"
"2000","37439","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Calderdale","A629","PU","409750","423000","A6026","A646","0.75000000000000000","13.06","60.15","7755.76","140.43","1032.58","222.9","42.73","11.7","16.06","35.65","22.32","351.36","9340.28"
"2000","37466","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Calderdale","A641","PU","414800","425000","A643","A649","1.37000000000000010","23.45","68.86","6065.87","117.26","886.65","187.61","20.96","6.99","22.45","21.95","11.98","271.93","7410.57"
"2000","37470","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Calderdale","A643","PU","415000","422900","A641","LA Boundary","1.80000000000000000","15.79","42.09","4828.33","28.94","654.43","105.89","3.95","3.29","11.18","5.26","1.32","130.89","5684.69"
"2000","37471","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Calderdale","A644","PU","412000","427700","A6036","A58","1.68000000000000010","14.7","49.6","6268.74","41.03","859.14","157.38","20.21","31.23","11.63","32.46","11.63","264.54","7483.06"
"2000","46597","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Calderdale","A58","PU","409320","425680","A629","A647","0.19000000000000000","4.56","17.15","1646.1","5.03","311.01","56.61","5.38","3.81","8.98","11.7","8.78","95.26","2074.54"
"2000","47406","Counted","Manual count","Yorkshire and the Humber","Calderdale","A629","PU","410000","421830","A6025","A6026","0.81000000000000000","6.78","63.69","8080.4","54.55","945.85","411.89","24.18","15.92","34.79","72.83","27.72","587.32","9731.8"
"2000","47433","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Calderdale","A643","PU","414500","422950","A6025","A641","0.31000000000000000","6.8","18.82","1721.87","19.62","264.68","88.45","20.07","19.39","9.19","18.48","18.26","173.84","2198.83"
"2000","47436","Counted","Manual count","Yorkshire and the Humber","Calderdale","A646","PU","406000","424250","A6139","A646","1.49000000000000000","31.03","71.31","6281.47","141.52","966.17","133.36","21.23","3.27","23.41","24.49","17.96","223.72","7684.18"
"2000","47804","Counted","Manual count","Yorkshire and the Humber","Calderdale","A6025","PU","412000","422470","A629","A644","2.91999999999999990","50.1","93.8","9225.9","53.3","1375.09","289.94","66.09","99.13","35.18","46.9","17.06","554.3","11302.4"
"2000","47806","Counted","Manual count","Yorkshire and the Humber","Calderdale","A6033","PU","393600","424000","A681","A646","0.75000000000000000","19.6","9.25","2940.7","41.37","386.2","149.69","5.44","5.44","4.35","11.16","4.63","180.71","3558.23"
"2000","47905","Counted","Manual count","Yorkshire and the Humber","Calderdale","A6139","PU","405800","424000","A58","A646(T)","0.43000000000000000","1.11","13.02","1115.45","20.16","182.1","16.03","2.38","1.11","1.75","1.27","0.48","23.02","1353.75"
"2000","56121","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Calderdale","A646","PU","408000","424000","A58","A629","1.30000000000000010","8.57","31.43","3547.34","22.39","454.37","142.41","11.43","5.24","10","7.62","10.95","187.65","4243.19"
"2000","56470","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Calderdale","A58","PU","407000","424280","A6142","A6142","0.62000000000000000","1.59","4.76","1855.23","45.13","234.74","66.23","5.44","0.91","4.08","3.4","6.12","86.18","2226.05"
"2000","56867","Counted","Manual count","Yorkshire and the Humber","Calderdale","A644","PU","415000","422860","A641","M62","1.12000000000000010","6.53","60.42","4242.44","31.84","933.24","188.61","42.46","60.01","58.38","120.43","47.76","517.65","5785.59"
"2000","57429","Counted","Manual count","Yorkshire and the Humber","Calderdale","A649","PU","414000","425330","A58/A644","A641","1.62000000000000010","6.49","44.23","3625.95","73.12","438.72","28.89","3.54","2.95","3.54","4.13","2.95","46","4228.01"
"2000","57515","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Calderdale","A681","PR","390000","423700","LA Boundary","A6033","3.10999999999999990","12.47","18.14","2450.58","17.01","517.11","96.39","11.34","11.34","4.54","11.34","0","134.95","3137.78"
"2000","57704","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Calderdale","A6033","PR","400000","431200","A646(T)","LA Boundary","4.46999999999999980","8.16","45.72","2851.15","13.06","431.1","99.61","6.53","13.06","9.8","9.8","0","138.8","3479.85"
"2000","58154","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Calderdale","A58","PU","406700","423880","A6026","A6142","0.12000000000000000","2.09","7.3","615.31","10.43","106.73","24.04","2.36","0.86","1.22","1.5","1.86","31.84","771.62"
"2000","73110","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Calderdale","A641","PU","414790","425500","A649","LA Boundary","0.43000000000000000","6.03","23.81","1879.88","44.77","245.44","73.98","6.83","3.18","3.81","2.54","1.75","92.08","2285.99"
"2000","73124","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Calderdale","A647","PU","408800","427000","A58","LA Boundary","1.99000000000000000","13.79","114.67","8095.14","151.68","1021.15","187.97","17.42","15.97","7.26","9.43","13.79","251.84","9634.48"
"2000","73126","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Calderdale","A644","PU","411200","428530","LA Boundary","A6036","1.17999999999999990","6.46","21.98","3558.54","40.08","580.02","122.38","15.51","21.12","12.5","26.29","15.51","213.31","4413.92"
"2000","73127","Counted","Dependent on a neighbouring counted link","Yorkshire and the Humber","Calderdale","A6036","PR","412500","428800","A644","LA Boundary","1.17999999999999990","11.2","40.08","6631.87","89.63","945.87","118.5","20.68","13.36","13.36","36.2","13.36","215.46","7922.91"
"2000","73208","Counted","Dependent on a neighbouring counted link","Yorkshire and the Humber","Calderdale","M62","TM","411008","419402","LA Boundary","24","0.19000000000000000","0","8.64","3761.94","23.07","751.5","209.63","34.22","19.19","132.13","422.46","255.9","1073.54","5618.69"
"2000","73209","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Calderdale","A629","PR","411168","419407","LA Boundary","M62","0.19000000000000000","0.41","11.29","1555.6","21.36","266.92","77.57","6.67","6.74","9.66","18.37","11.5","130.5","1985.68"
"2000","73210","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Calderdale","A643","PU","413168","420544","LA Boundary","A6107","0.25000000000000000","4.81","9.25","796.43","2","93.35","12.25","1.36","1","0.91","1.18","0.73","17.42","918.45"
"2000","73211","Counted","Dependent on a neighbouring counted link","Yorkshire and the Humber","Calderdale","M62","TM","412000","419810","24","LA Boundary","1.30000000000000010","0","71.44","32640.5","140.5","5917.79","1300.72","242.43","151.93","984.95","2724.8","1622.21","7027.05","45797.3"
