Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6035","Counted","Manual count","Yorkshire and the Humber","Doncaster","M18","TM","466400","407900","4","5","4.04000000000000000","0","36.86","38579.9","190.17","7396.08","2877.64","378.87","352.33","1098.28","5447.18","2948.41","13102.7","59305.7"
"2000","6066","Counted","Manual count","Yorkshire and the Humber","Doncaster","A1","TM","454000","403800","A635","A630","3.48000000000000000","0","241.32","50939.2","419.13","8753.41","3030.42","520.73","698.55","1802.25","5980.82","3262.84","15295.6","75648.7"
"2000","6587","Counted","Manual count","Yorkshire and the Humber","Doncaster","A60","PU","456560","400000","Woodfield Way roundabout","A630","1.37000000000000010","26.44","48.9","3659.38","38.42","443.58","61.87","14.97","4.99","2.99","12.97","6.99","104.78","4295.06"
"2000","7347","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Doncaster","A614","PU","468700","413000","A1146","Omega Boulevard","1.37000000000000010","28.94","42.41","4770.57","117.75","612.23","69.85","7.48","1.5","1","1.5","0","81.33","5624.29"
"2000","7397","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Doncaster","A638","PU","457000","403740","A630","A19","0.56000000000000000","81.24","112.47","9393.42","260.25","1182.47","232.29","27.76","41.44","20.41","39.4","30.82","392.12","11340.7"
"2000","7811","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Doncaster","A18","PU","458000","402500","A638","A638","0.99000000000000000","54.79","92.17","12304.2","133.18","1407.98","195.96","22.5","31.21","22.5","22.5","13.79","308.45","14246"
"2000","7815","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Doncaster","A630","PU","457200","402700","A630/A18","A638","0.43000000000000000","23.5","33.66","3112.66","162.41","407.22","63.5","7.46","3.97","7.3","4.45","4.45","91.13","3807.07"
"2000","7974","Counted","Manual count","Yorkshire and the Humber","Doncaster","A6182","PR","458780","400000","M18","Balby Carr Bank roundabout","0.81000000000000000","0","23.88","4714.5","38.03","696.71","147.42","24.18","23","66.63","147.42","88.75","497.4","5970.52"
"2000","8156","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Doncaster","A18","PU","461078","405970","A630","A630","0.25000000000000000","12.88","24.49","2351.29","26.22","247.48","50.98","8.35","4.17","9.53","16.42","13.43","102.88","2752.36"
"2000","8443","Counted","Manual count","Yorkshire and the Humber","Doncaster","M18","TM","468260","415000","6","LA Boundary","2.85999999999999990","0","115.8","25840","155.45","4802.23","2361.99","273.34","227.44","977.56","4262.85","2437.11","10540.3","41453.8"
