Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6713","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Kingston upon Hull, City of","A165","PU","511370","430000","A1033","Ings Rd","1.55000000000000000","666.79","266.49","8905.32","565.3","1162.92","175.77","31.75","19.28","20.98","22.11","17.58","287.47","11187.5"
"2000","7482","Counted","Manual count","Yorkshire and the Humber","Kingston upon Hull, City of","A1033","TU","515000","429150","Marfleet Avenue","LA Boundary","1.30000000000000010","83.35","148.12","9987.14","88.59","1174.51","309.58","117.64","53.34","52.87","198.13","103.35","834.92","12233.3"
"2000","8413","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Kingston upon Hull, City of","A1166","PU","507000","427540","North rd","Witty St","0.56000000000000000","138.6","47.76","3180.4","63.69","559.9","78.38","18.57","4.29","8.16","7.35","15.31","132.07","3983.82"
"2000","17889","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Kingston upon Hull, City of","A1105","PU","506000","428300","A1166","B1231","0.68000000000000000","128.73","48.15","3058.13","72.85","382.45","43.66","3.99","1.5","4.99","2.99","2.49","59.63","3621.21"
"2000","17892","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Kingston upon Hull, City of","A1165","PU","510000","431400","A1079","A1033","1.12000000000000010","214.73","107.78","7100.94","53.89","1028.77","252.29","45.72","20","13.88","23.27","8.98","364.15","8655.52"
"2000","18318","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Kingston upon Hull, City of","A1166","PU","507260","427200","Witty St","A63","0.31000000000000000","8.85","27.9","1539.29","3.52","278.85","74.62","11.79","4.08","9.75","9.41","19.96","129.62","1979.17"
"2000","18583","Counted","Manual count","Yorkshire and the Humber","Kingston upon Hull, City of","A165","PU","510000","429153","A1079","A1165","0.75000000000000000","298.56","130.91","5353.13","243.86","682.85","108.32","15.51","6.26","10.89","11.16","4.63","156.76","6567.51"
"2000","26732","Counted","Manual count","Yorkshire and the Humber","Kingston upon Hull, City of","A165","PU","514100","432060","Ings Rd","B1237","0.93000000000000000","139.14","103.42","5088.38","109.2","555.89","86.07","22.11","15.65","18.03","29.6","15.31","186.77","6043.67"
"2000","27510","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Kingston upon Hull, City of","A1033","TU","512566","429274","A1033 roundabout","Marfleet Avenue","1.64999999999999990","215.77","295.1","13106.5","140.04","2018.83","643.09","156.87","94.96","130.42","560.75","395.47","1981.57","17542"
"2000","27932","Counted","Manual count","Yorkshire and the Humber","Kingston upon Hull, City of","A63","TU","509600","428450","A1079","A1165","0.99000000000000000","124.11","227.89","14324.4","55.52","1968.27","625.61","144.79","120.11","184.71","681.85","365.78","2122.85","18698.9"
"2000","28008","Counted","Manual count","Yorkshire and the Humber","Kingston upon Hull, City of","A1165","PU","510600","428900","A165","A63","0.19000000000000000","4.76","7.69","482.06","3.74","115.74","25.99","4.29","2.31","5.85","14.42","4.97","57.83","667.07"
"2000","28361","Counted","Manual count","Yorkshire and the Humber","Kingston upon Hull, City of","A63","TU","508000","427300","A1166","Hessle Rd/Rawling Way roundabout","0.99000000000000000","5.08","145.52","14459.4","97.25","1860.13","655.36","131","99.79","166.56","706.17","415.5","2174.38","18736.6"
"2000","28417","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Kingston upon Hull, City of","A1079","PU","509250","428850","A165","A1105","0.37000000000000000","51.98","41.64","2375.15","185.21","355.31","75.39","5.58","5.17","9.39","9.39","7.48","112.4","3069.7"
"2000","28714","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Kingston upon Hull, City of","A165","PU","511000","429566","Witham","A1033","0.31000000000000000","213.08","54.09","1953.66","136.87","258.55","49.33","3.4","5.1","4.65","3.06","2.61","68.15","2471.33"
"2000","36636","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Kingston upon Hull, City of","A1105","PU","505000","427764","LA Boundary","A1166","0.87000000000000000","121.29","51.44","3654.35","100.34","320.38","63.5","11.43","3.49","15.56","8.89","13.02","115.9","4242.39"
"2000","37579","Counted","Manual count","Yorkshire and the Humber","Kingston upon Hull, City of","A1079","PU","508500","432050","LA Boundary","B1233","1.74000000000000000","548.04","194.96","12263.9","239.41","1158.95","165.11","24.13","15.88","28.58","28.58","16.51","278.78","14136"
"2000","37996","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Kingston upon Hull, City of","A165","PU","510600","429100","A1165","Witham","0.25000000000000000","81.83","22.68","420.85","45.72","79.02","14.88","1.45","0.54","1.36","1","1","20.23","588.5"
"2000","38064","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Kingston upon Hull, City of","A63","TU","511068","428909","A1165","A1033","0.56000000000000000","34.09","95.94","6198.32","53.89","881.39","252.5","63.89","37.35","58.79","290.67","243.72","946.91","8176.45"
"2000","38670","Counted","Manual count","Yorkshire and the Humber","Kingston upon Hull, City of","A1033","PU","511240","429450","A165","A63","0.37000000000000000","12.52","41.91","1895.05","15.79","347.82","87.23","27.22","14.02","28.03","61.24","33.48","251.2","2551.78"
"2000","46738","Counted","Manual count","Yorkshire and the Humber","Kingston upon Hull, City of","A1105","PU","508000","428680","B1231","Rawling Way roundabout","1.17999999999999990","452.9","132.72","7138.2","371.45","904.07","101.27","7.76","1.72","3.02","6.03","2.15","121.95","8668.41"
"2000","46741","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Kingston upon Hull, City of","A165","PU","514400","432400","B1237","B1238","0.87000000000000000","63.5","73.98","6642.53","34.93","809.04","111.77","47.63","33.02","16.51","28.89","26.67","264.49","7824.98"
"2000","48331","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Kingston upon Hull, City of","A63","TU","509000","428200","Rawling Way roundabout","A1079 roundabout","0.62000000000000000","0.45","69.17","6788.59","31.07","818.98","342.92","81.65","50.8","103.42","316.16","249.25","1144.21","8852.02"
