Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6009","Counted","Manual count","Yorkshire and the Humber","Leeds","M621","TM","432150","429500","7","M1","1.17999999999999990","0","84.46","22614.3","125.4","3480.98","557.18","117.21","123.67","270.62","643.8","396.88","2109.36","28414.5"
"2000","6055","Counted","Manual count","Yorkshire and the Humber","Leeds","M62","TM","426000","426200","27","28","3.04000000000000000","0","254.49","76372.3","313.39","13133.6","4478.63","693.47","470.09","2163.74","7411.41","4159.68","19377","109451"
"2000","6063","Counted","Manual count","Yorkshire and the Humber","Leeds","M621","TM","426500","429600","RD SPLIT","1","2.49000000000000020","0","219.54","37170.8","136.99","6212.52","940.77","166.02","89.81","284.86","774.75","370.14","2626.35","46366.2"
"2000","6578","Counted","Manual count","Yorkshire and the Humber","Leeds","A58","PU","423500","430000","B6135","A6110","3.23000000000000000","28.3","121.47","8327.48","159.21","1265.46","167.47","22.41","31.84","24.77","25.95","12.97","285.41","10159"
"2000","6595","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Leeds","A61","PU","432560","428000","A654","A639","1.68000000000000010","26.94","66.75","5912.96","109.61","799.13","189.83","56.95","60.01","15.31","17.76","38.58","378.44","7266.89"
"2000","6607","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Leeds","A63","TU","440000","432400","A642","Ninelands Lane","1.12000000000000010","16.74","77.97","8084.39","93.9","961.82","97.57","23.27","46.13","20.41","43.27","29.8","260.46","9478.54"
"2000","6613","Counted","Manual count","Yorkshire and the Humber","Leeds","A65","PU","419934","441000","A6038","A658","2.10999999999999990","84.82","92.53","14146.2","173.5","1548.41","179.67","53.21","30.07","30.07","58.61","25.45","377.08","16337.8"
"2000","7398","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Leeds","A639","PU","436100","428000","A654","A642","0.31000000000000000","3.4","13.15","1694.54","30.39","246.31","28.69","7.03","8.28","6.24","9.19","5.1","64.52","2048.92"
"2000","7402","Counted","Manual count","Yorkshire and the Humber","Leeds","A642","PR","436040","427000","M62","Oulton Drive","0.99000000000000000","13.06","46.09","4555.97","41.37","633.59","68.95","20.32","39.92","20.32","51.53","18.51","219.54","5496.56"
"2000","7403","Counted","Manual count","Yorkshire and the Humber","Leeds","A643","PU","427560","429830","A650","A6110","2.60999999999999990","50.49","128.6","11968","470.57","1781.29","196.23","17.15","7.62","20","12.38","26.67","280.05","14628.5"
"2000","7410","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Leeds","A647","PU","424500","434000","A6110","A657","0.50000000000000000","1.45","26.85","3771.24","59.15","419.31","99.25","8.89","5.26","7.98","9.07","6.53","136.99","4413.54"
"2000","7415","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Leeds","A650","PU","430000","425120","A654","M1","1.68000000000000010","33.07","52.66","8884.14","153.7","1500.9","67.97","3.67","6.12","3.67","3.06","0.61","85.12","10676.5"
"2000","7418","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Leeds","A654","PR","435500","428500","Arran Way","A639","0.81000000000000000","17.99","16.51","2103.39","14.45","283.93","27.72","3.54","16.51","0.88","1.18","1.18","51.01","2469.29"
"2000","7422","Counted","Manual count","Yorkshire and the Humber","Leeds","A659","PR","430000","445300","A658","A61","4.41000000000000010","67.63","93.4","9991.81","33.82","1045.07","106.28","35.43","46.7","35.43","51.53","25.76","301.12","11465.2"
"2000","7755","Counted","Manual count","Yorkshire and the Humber","Leeds","A6120","TU","430000","439030","A660(T)","A61","2.73000000000000000","3.99","126.74","22934.3","125.74","2126.57","273.43","33.93","30.94","36.92","75.84","33.93","484.99","25798.3"
"2000","7850","Counted","Manual count","Yorkshire and the Humber","Leeds","A58","PU","430533","434519","A64(M)","A61 Meanwood Road","0.37000000000000000","14.7","43.55","5690.74","32.25","580.93","49.26","4.76","4.49","4.9","4.76","3.4","71.58","6419.04"
"2000","8263","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Leeds","A659","PU","419620","445185","A660(T)/A6038","Ilkley rd","0.31000000000000000","11","17.46","1666.76","31.75","147.99","52.73","4.31","3.74","5.33","4.76","4.65","75.52","1939.48"
"2000","8348","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Leeds","M621","TM","430550","431500","4","5","0.37000000000000000","0","44.77","8024.93","45.04","1008.35","202.35","35.52","43.27","60.28","117.44","87.5","546.36","9669.46"
"2000","8466","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Leeds","A661","PR","440425","448000","A58","B1224","0.25000000000000000","2.18","8.35","1419.5","12.88","99.07","40.64","1.36","3.18","2.27","3.45","4.54","55.43","1595.22"
"2000","8537","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Leeds","A62","PU","424101","428086","M62 mid-junction","A650 roundabout","0.19000000000000000","1.97","10.48","2369.16","7.89","264.4","138.73","11.57","5.58","26.06","37.97","33.2","253.11","2905.04"
"2000","8538","Estimated","Estimated from nearby links","Yorkshire and the Humber","Leeds","M621","TM","424290","428000","A650 SPUR","RD SPLIT","0.68000000000000000","0","17.46","2542.96","8.48","425.36","74.1","11.23","7.48","20.21","60.37","27.94","201.33","3195.6"
"2000","8540","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Leeds","A660","PU","429951","434211","A58","A58(M)","0.19000000000000000","24.15","8.37","951.2","70.08","76.82","7.89","0.75","0.14","0.48","0.14","0.2","9.59","1116.06"
"2000","8548","Estimated","Estimated from nearby links","Yorkshire and the Humber","Leeds","M621","TM","425000","427910","A62","SPUR","0.81000000000000000","0","29.78","6069.88","24.18","1013.66","130.61","27.42","11.5","44.82","109.39","54.25","377.99","7515.49"
"2000","8554","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Leeds","A64","PM","431250","433680","A64(M)","A64(M)","0.19000000000000000","0","24.36","3327.44","115.26","363.88","136.35","16.4","19.19","28.44","59.74","50.96","311.08","4142.01"
"2000","9050","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Leeds","M621","TM","428954","431691","2","2A","0.43000000000000000","0","20.16","4309.39","43.18","761.73","238.14","25.08","24.61","66.68","97.16","62.55","514.22","5648.69"
"2000","16054","Counted","Manual count","Yorkshire and the Humber","Leeds","M62","TM","433800","425850","29","30","2.24000000000000020","0","153.5","42979.6","177.18","9006.61","2003.65","363.33","424.57","1393.73","4492.28","2134.28","10811.9","63128.7"
"2000","16082","Counted","Manual count","Yorkshire and the Humber","Leeds","A1","TR","441400","445000","A1 non-DBFO 150 m N of Spen Common Lane","A659","3.60000000000000010","0","272.3","59184.4","348.59","10407.8","2616.42","465.67","477.51","2116.55","6386.48","3608.26","15670.9","85883.9"
"2000","16562","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Leeds","A58","PR","439000","446050","A659","A659","0.43000000000000000","3.97","25.24","4393.69","35.72","325.62","144.95","5.56","5.08","6.35","9.21","6.19","177.34","4957.61"
"2000","16576","Counted","Manual count","Yorkshire and the Humber","Leeds","A61","PU","430000","436500","A58","A6120","3.23000000000000000","82.56","182.8","29834.3","501.23","2818.68","191.06","49.53","51.89","17.69","29.48","17.69","357.35","33694.4"
"2000","16577","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Leeds","A653","PU","430670","432800","A61","A61","0.31000000000000000","4.76","14.06","1973.5","41.05","228.27","90.83","8.05","5.78","11.23","13.04","7.82","136.76","2393.65"
"2000","16590","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Leeds","A6120","TU","436000","435902","A64","A64","0.56000000000000000","5.1","66.34","7077.88","34.7","842.41","286.38","38.37","38.37","58.58","123.29","111.45","656.45","8677.77"
"2000","16593","Counted","Manual count","Yorkshire and the Humber","Leeds","A64","PU","433000","434000","A64(M)","A63","1.74000000000000000","69.85","427.38","24364.6","767.13","2803.07","392.46","93.35","69.85","59.69","99.07","58.42","772.85","29135.1"
"2000","16598","Counted","Manual count","Yorkshire and the Humber","Leeds","A65","PU","425000","436700","A6120","B6157","2.85999999999999990","162.75","183.62","20206.3","296.29","2230.54","230.57","54.25","57.38","41.73","66.77","34.43","485.13","23401.9"
"2000","17366","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Leeds","A650","PU","424600","428000","A62","A643","0.62000000000000000","15.2","49.22","4362.51","18.14","627.1","218.41","12.7","6.12","23.59","33.79","38.78","333.4","5390.37"
"2000","17369","Counted","Manual count","Yorkshire and the Humber","Leeds","A653","PU","428569","428000","M62","A6110 Millshaw Road","1.68000000000000010","41.03","120.64","24544.7","218.61","2616.01","301.28","55.72","79.61","53.89","139.62","58.17","688.29","28188.2"
"2000","17370","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Leeds","A656","PR","443000","432001","A63","A1 / A642","2.04999999999999980","5.99","26.2","3484.74","30.69","591.27","225.28","71.1","177.38","34.43","46.4","37.42","592.02","4724.91"
