Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6088","Counted","Manual count","Yorkshire and the Humber","North Yorkshire","A1","TM","439926","463500","47 /A59 New Road","48","5.09999999999999960","0","275.25","77836.7","626.74","13301","6230.21","730.89","593.26","3686.05","12326.5","7818.45","31385.4","123425"
"2000","6089","Counted","Manual count","Yorkshire and the Humber","North Yorkshire","A1","TR","422150","500000","A6136","A1Spur to A6136 Gatherley Road","2.98000000000000000","2.18","269.98","39034.4","523.64","4957.68","2389.57","318.97","197.04","1134.37","2611.65","1725.5","8377.1","53162.8"
"2000","6580","Counted","Manual count","Yorkshire and the Humber","North Yorkshire","A59","PR","420000","455770","A65(T)","Stonecrop Drive, Harrogate","17.77000000000000000","6.49","382.7","34560","304.87","2458.38","2211.89","752.43","1485.41","252.97","1621.62","343.78","6668.12","44374.1"
"2000","6593","Counted","Manual count","Yorkshire and the Humber","North Yorkshire","A61","PR","430300","450000","LA Boundary","A658","2.79999999999999990","22.45","123.49","13233.1","112.27","473.56","85.73","32.66","34.7","17.35","27.56","11.23","209.22","14151.7"
"2000","6612","Counted","Manual count","Yorkshire and the Humber","North Yorkshire","A65","TR","390000","455130","A682","A59","10.07000000000000000","14.7","1006.72","22471.2","338.02","3093.65","705.44","194.73","282.91","180.03","510.71","216.78","2090.6","29000.2"
"2000","6617","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","North Yorkshire","A66","TM","425000","512000","A1M","A66","1.99000000000000000","0","32.66","9098.15","106.69","1126.38","344.01","115.4","115.4","165.47","364.33","277.97","1382.58","11746.5"
"2000","6718","Counted","Manual count","Yorkshire and the Humber","North Yorkshire","A167","PR","440000","476600","A168(T)","A61","3.91000000000000010","18.57","38.58","3182.03","75.73","468.66","110.02","5.72","18.57","5.72","4.29","2.86","147.17","3912.17"
"2000","6720","Counted","Manual count","Yorkshire and the Humber","North Yorkshire","A170","PR","470000","486100","B1257","A169","13.10999999999999900","157.92","636.47","29880.6","282.34","4723.28","1225.09","234.49","95.71","90.92","315.84","129.21","2091.26","37613.9"
"2000","6723","Counted","Manual count","Yorkshire and the Humber","North Yorkshire","A172","PR","450000","504940","A19(T)","A173","7.83000000000000010","57.15","254.33","15611.5","131.45","1700.32","468.66","100.02","60.01","40.01","222.9","120.02","1011.62","18709.3"
"2000","7420","Counted","Manual count","Yorkshire and the Humber","North Yorkshire","A658","PR","429730","450000","A659","A61","4.96999999999999980","50.8","188.7","19617.3","166.93","1273.71","371.95","88.91","130.64","50.8","197.77","41.73","881.8","22128.5"
"2000","7484","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","North Yorkshire","A1041","TR","461900","430000","A645","Abbot's Rd, Selby","4.29000000000000010","32.86","206.57","9076.56","115.8","1331.75","231.61","107.98","178.4","78.25","231.61","120.5","948.34","11679"
"2000","7810","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","North Yorkshire","A659","PR","448000","442980","A64","A162","2.24000000000000020","34.29","91.45","4204.88","50.62","525","133.9","16.33","51.44","16.33","64.5","13.88","296.38","5168.33"
"2000","8743","Counted","Manual count","Yorkshire and the Humber","North Yorkshire","A661","PR","434880","453780","LA Boundary","A658","4.71999999999999980","24.13","136.17","16268.1","127.55","763.59","653.28","67.22","168.92","46.54","248.21","113.76","1297.93","18593.4"
"2000","16081","Counted","Manual count","Yorkshire and the Humber","North Yorkshire","A1","TR","448455","425000","LA Boundary","A1 spur Dish Hill Flyover","0.50000000000000000","14.33","46.99","7732.45","76.02","1055.98","413.87","40.82","44.45","172.01","593.85","342.38","1607.38","10518.8"
"2000","16084","Counted","Manual count","Yorkshire and the Humber","North Yorkshire","A1","TR","421600","506000","Scotch Corner","A1M/B6275","1.42999999999999990","5.74","125.72","18966.3","189.88","2393.81","1182.56","150.75","99.11","544.59","1348.96","918.09","4244.07","25919.8"
"2000","16221","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","North Yorkshire","A19","PR","456000","422519","M62 JCT 34","A645","0.87000000000000000","1.59","18.73","2317.9","9.84","459.77","75.89","36.83","74.93","46.04","180.35","92.72","506.76","3313.01"
"2000","16563","Counted","Manual count","Yorkshire and the Humber","North Yorkshire","A59","PU","436000","456750","A6055","Manse Lane","1.12000000000000010","10.21","30.21","2792.78","14.7","195.55","62.46","15.1","10.21","5.72","7.76","3.27","104.51","3137.74"
