Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6007","Counted","Manual count","Yorkshire and the Humber","Rotherham","M1","TM","446000","389300","M18 spur","33","2.35999999999999990","0","144.79","70169.4","379.21","12022.7","4611.72","565.37","612.77","1368.6","4063.58","1852.1","13074.1","95790.3"
"2000","7360","Counted","Manual count","Yorkshire and the Humber","Rotherham","A618","PU","444000","390800","A631","A6021","1.68000000000000010","15.31","45.31","7317.11","131.05","476.42","62.46","3.67","0.61","2.45","6.12","0.61","75.93","8045.82"
"2000","7379","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Rotherham","A629","PR","439000","394500","M1","Oaks Lane","1.80000000000000000","15.79","57.88","9012.1","163.11","1268.09","236.78","32.23","19.07","54.59","107.87","105.24","555.77","11057"
"2000","7382","Counted","Manual count","Yorkshire and the Humber","Rotherham","A631","PU","448000","391900","A6021","M18","2.41999999999999990","14.15","73.42","25951.9","388.31","2466.05","427.22","67.22","60.15","57.49","164.52","91.99","868.6","29748.2"
"2000","7388","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Rotherham","A633","PU","443850","400000","A6022","A6023","1.37000000000000010","7.98","34.93","3918.84","111.27","596.26","103.28","14.97","13.97","8.48","11.98","5.99","158.67","4819.96"
"2000","7750","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Rotherham","A630","PU","442600","393140","A629","A633","0.56000000000000000","3.88","40.21","5223.03","103.49","699.72","155.74","24.09","47.15","17.96","40.42","36.54","321.9","6388.36"
"2000","7973","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Rotherham","A6021","PU","445500","391500","A6123","A631","0.56000000000000000","10.41","18.37","3046.5","73.89","329.86","60.01","5.72","6.12","4.49","16.53","9.19","102.06","3570.68"
"2000","8012","Counted","Manual count","Yorkshire and the Humber","Rotherham","A57","PR","446000","384300","B6200","A618","0.87000000000000000","11.11","25.4","5831.27","33.02","730.3","163.52","17.78","11.75","23.81","25.4","9.53","251.79","6871.78"
"2000","8219","Counted","Manual count","Yorkshire and the Humber","Rotherham","M18","TM","448325","388413","M1","M18 SPUR","1.30000000000000010","0","41.44","11085.4","113.35","2021.34","1060.2","127.64","96.21","469.14","1681.27","1138.79","4573.25","17834.8"
"2000","8345","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Rotherham","A6021","PU","442600","392200","A630","A618","0.43000000000000000","1.91","8.1","1454.88","18.1","145.42","15.88","1.59","0.79","2.38","4.29","0.48","25.4","1651.9"
