Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","6565","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Sheffield","A57","PR","430000","387100","A6061","Hagg Lane","1.49000000000000000","27.76","48.99","2963.83","11.43","280.87","50.08","4.9","1.09","3.27","3.27","7.08","69.67","3374.79"
"2000","7355","Counted","Manual count","Yorkshire and the Humber","Sheffield","A6135","PU","438500","384860","LA Boundary","A6102","4.29000000000000010","40.69","226.91","26708.5","1586.83","2588.38","625.97","34.43","50.08","56.34","20.34","18.78","805.94","31916.6"
"2000","7380","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Sheffield","A6178","PU","438000","388900","B6200","A6102","0.93000000000000000","25.52","38.44","3974.57","125.87","909.02","206.84","31.98","27.22","18.71","35.38","24.49","344.62","5392.52"
"2000","7758","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Sheffield","A6135","PR","436000","397350","C-road Chapeltown","LA Boundary","0.50000000000000000","3.45","9.98","1142.71","15.24","116.85","17.06","1.45","0.18","0.73","2.36","0.36","22.14","1306.92"
"2000","7813","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Sheffield","A61","PU","435500","387730","Snig Hill","A57","0.12000000000000000","4.45","7.98","695.46","58.06","101.24","19.1","2.81","1.18","1.77","2.22","1.63","28.71","891.46"
"2000","7817","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Sheffield","A6102","PU","438000","390040","A6109","A6135","1.06000000000000010","20.82","48.97","5417.52","44.34","678.97","208.97","35.09","55.91","19.66","45.5","13.88","379.01","6568.8"
"2000","7818","Counted","Manual count","Yorkshire and the Humber","Sheffield","A6102","PU","436000","381680","A61","A6135","3.66999999999999990","57.54","350.59","32955.3","222.13","3932.74","1062.47","153.88","120.43","92.33","168.6","57.54","1655.26","39116"
"2000","8144","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Sheffield","A57","PU","433730","387226","B6069","A61","0.87000000000000000","72.39","38.74","4015.68","182.26","415.95","88.27","20.64","22.86","3.49","2.54","1.59","139.39","4792.02"
"2000","8710","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Sheffield","A621","PU","432000","380860","Hillfoot Rd, Totley","B6068","2.16999999999999990","62.71","40.48","8712.77","226.23","796.98","122.25","11.91","35.72","11.91","15.88","12.7","210.36","9986.82"
"2000","8744","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Sheffield","A61","PU","435356","386400","A621 Eyre St","A61 Shoreham St","0.25000000000000000","8.07","13.61","2472.58","107.05","308.99","46.54","3.63","2.09","3.18","3.08","1.72","60.24","2962.47"
"2000","8758","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Sheffield","A61","PU","435770","386680","Shoreham St","Fornham St","0.12000000000000000","4.08","6.99","569.59","66","78.93","12.38","1.54","0.91","1","1.72","0.95","18.51","740"
"2000","16007","Counted","Manual count","Yorkshire and the Humber","Sheffield","M1","TM","438000","393350","34","35","2.98000000000000000","0","240.59","79468.7","420.22","12395.3","5383.34","572.63","636.86","1572","3989.87","1975.89","14130.6","106655"
"2000","16580","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","Sheffield","A61","PU","433600","390000","A6101","A6102","0.37000000000000000","39.6","45.04","5790.49","103.69","739.19","136.76","17.96","10.48","20.55","15.1","13.06","213.92","6892.33"
