Year,CP,Estimation_method,Estimation_method_detailed,Region,LocalAuthority,Road,RoadCategory,Easting,Northing,StartJunction,EndJunction,LinkLength_miles,PedalCycles,Motorcycles,CarsTaxis,BusesCoaches,LightGoodsVehicles,V2AxleRigidHGV,V3AxleRigidHGV,V4or5AxleRigidHGV,V3or4AxleArticHGV,V5AxleArticHGV,V6orMoreAxleArticHGV,AllHGVs,AllMotorVehicles
"2000","8002","Counted","Manual count","Yorkshire and the Humber","York","A64","TR","464170","455000","A1079/A166","A1237","2.54999999999999990","0","94.85","27742.1","101.36","2922.62","832.24","161.8","100.43","238.98","629.53","426.82","2389.8","33250.7"
"2000","8264","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","York","A1036","PU","460945","452355","Jewbury","Monkgate","0.31000000000000000","20.87","25.4","1043.4","53.07","195.05","21.66","1.59","0.23","1.25","0.91","0.11","25.74","1342.66"
"2000","8424","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","York","A1036","PU","459520","451200","Scarcroft Road","Holgate Rd","0.12000000000000000","46.31","12.29","521.69","49.71","64.37","9.34","0.82","0.14","0.45","0.27","0.18","11.2","659.26"
"2000","8608","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","York","A1237","PR","456150","450000","A64(T)","A59","3.98000000000000000","17.42","365.78","23163.4","66.77","2698.38","667.7","107.41","193.05","114.67","574.8","449.97","2107.61","28402"
"2000","16594","Counted","Manual count","Yorkshire and the Humber","York","A64","TR","460000","448400","A1036 spur","A19","1.99000000000000000","2.18","220.63","27306","225.71","2677.33","913.01","126.28","86.37","234.42","487.71","248.94","2096.73","32526.5"
"2000","18409","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","York","A1237","TR","464000","455300","A1036","A19","0.19000000000000000","0.34","2.99","1204.45","4.63","166.43","36.81","9.8","6.74","10.21","20.34","22.86","106.75","1485.25"
"2000","26239","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","York","A19","PU","460860","450000","Fordlands Rd","A1036 Fishergate","1.17999999999999990","209.43","30.6","7641.95","177.54","962.68","70.24","29.73","13.79","12.5","18.53","12.5","157.29","8970.05"
"2000","27511","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","York","A1036","PU","458900","450000","Moor Lane roundabout","Dalton Terrace","1.42999999999999990","699.52","339.07","8360.86","362.02","858.62","47.47","6.78","0.52","18.26","4.17","16.69","93.9","10014.5"
"2000","27536","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","York","A1079","TR","470000","450960","A64(T)","LA Boundary","3.60000000000000010","1.32","106.55","15684","132.86","2384.9","413.05","99.97","105.24","163.11","357.8","257.83","1397","19705.3"
"2000","28163","Estimated","Estimated using previous year's AADF on this link","Yorkshire and the Humber","York","A1036","PU","460040","452003","A1036 Blossom St","A19","0.56000000000000000","342.51","41.44","2002.22","126.96","219.84","38.78","2.65","0.41","2.45","0.41","0.2","44.91","2435.36"
