iter	Passed	Remaining
0	57692	57635212
1	113775	56773876
2	169841	56444137
3	225926	56255817
4	282432	56203975
5	338538	56084476
6	394903	56019945
7	451233	55952925
8	506796	55803966
9	562615	55698887
10	618559	55614136
11	674977	55573163
12	731054	55503897
13	787198	55441239
14	843949	55419338
15	901235	55425978
16	958467	55421971
17	1016082	55432955
18	1073931	55448783
19	1131856	55460983
20	1190109	55481766
21	1246785	55425284
22	1304344	55406281
23	1362228	55397279
24	1419837	55373672
25	1476874	55326007
26	1534079	55283684
27	1591505	55247969
28	1648695	55202871
29	1705807	55154443
30	1763198	55114165
31	1820952	55083801
32	1879105	55063472
33	1936527	55020177
34	1994656	54995518
35	2052693	54966581
36	2111024	54943686
37	2168195	54889573
38	2225383	54835723
39	2284034	54816819
40	2340604	54747318
41	2397952	54696155
42	2455097	54640183
43	2512018	54579318
44	2568319	54505440
45	2624444	54428690
46	2680102	54343353
47	2736309	54270142
48	2794013	54226662
49	2850781	54164850
50	2907573	54103669
51	2964802	54050625
52	3021481	53987601
53	3077735	53917371
